time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/12/01 05:24:18.793, 49766435, [1.87141916 1.8304858  1.79295173 1.74908286 1.72193011 1.6930078  1.66823749 1.64460558 1.63463969 1.61987503 1.59708337 1.56516398 1.53513127 1.5081689  1.474674   1.44506078 1.42335327 1.40240103 1.3832645  1.35724992 1.32665756 1.29241686 1.25498459 1.2196654  1.18474361 1.14764469 1.11581153 1.08257438 1.05034626 1.02350122 0.99953944 0.97375354 0.95003765 0.92727318 0.90661167 0.88790925 0.87225204 0.85815856 0.84180341 0.82749407 0.81855887 0.80585116 0.7925358  0.78041551 0.76619732 0.75069167 0.73908351 0.72924314 0.71565013 0.70510594 0.69585634 0.68883175 0.68427122 0.67652114 0.66731269 0.6645586  0.66740705 0.67376365 0.67938876 0.6745375  0.66714649 0.64899438 0.62054684 0.60448597 0.58673067 0.57081151 0.56169242 0.55423262 0.55158672 0.5499404  0.55220881 0.55395919 0.5536517  0.55930098 0.55778141 0.56120069 0.56220621 0.55917107 0.55218841 0.54855684 0.5411521 ], [0.53876207 0.5606302  0.5432417  0.54310438 0.5416536  0.542      0.54209306 0.54485009 0.53924402 0.53427362 0.52273745 0.50206236 0.4843931  0.47260707 0.4615946  0.45411562 0.44918807 0.43912744 0.42865141 0.41286847 0.39107456 0.36893387 0.34848577 0.33029364 0.31528603 0.29982098 0.28708011 0.27437219 0.2653756  0.25739772 0.25039962 0.24430512 0.23984473 0.23682597 0.23430925 0.23228377 0.23185977 0.23163271 0.23019188 0.22910503 0.23058819 0.2296261  0.22905813 0.22773117 0.22709567 0.22458723 0.22446783 0.22453564 0.22460077 0.22657024 0.22928568 0.23076439 0.23196022 0.23384163 0.23956997 0.24838395 0.25867765 0.26638973 0.26462514 0.25390073 0.23615513 0.21740057 0.20020369 0.18897085 0.18247503 0.17997508 0.17955557 0.18116482 0.18503507 0.18912261 0.19441698 0.19933786 0.20568543 0.21225483 0.21812543 0.22544176 0.22849089 0.23166455 0.23022903 0.22688068 0.2115173 ], 25.20, 23.83, False
2022/12/01 05:24:19.043, 49766686, [1.87142725 1.82440822 1.79617924 1.74908786 1.72193445 1.68965663 1.66716964 1.64707309 1.6294072  1.61278984 1.59551014 1.56403755 1.53173774 1.50226926 1.46872395 1.44469583 1.41934807 1.39892244 1.37782619 1.35460326 1.32234116 1.28969273 1.25246413 1.21768607 1.18063273 1.14537905 1.11103796 1.07843228 1.04781214 1.02136416 0.99531885 0.97009867 0.94714476 0.92479277 0.90350119 0.88445862 0.86873206 0.85502113 0.83881062 0.82461773 0.8125917  0.80044842 0.78687639 0.77486974 0.76093077 0.7453133  0.73389721 0.72478999 0.71069836 0.70033825 0.69122775 0.68451182 0.6802488  0.67203753 0.66313643 0.65989155 0.66259283 0.66939999 0.67442424 0.67070793 0.66193614 0.64381148 0.61692847 0.59955999 0.5818148  0.56738481 0.55733025 0.55061622 0.54640159 0.54487097 0.54870083 0.54760028 0.54933786 0.55513305 0.55281979 0.55623212 0.5554445  0.55527999 0.55043499 0.54225221 0.53790033], [0.54657283 0.54874548 0.5451271  0.54924796 0.54563355 0.546135   0.54495029 0.53906766 0.54203417 0.53245349 0.517956   0.50109011 0.4842896  0.47043948 0.46259455 0.4532492  0.44680349 0.43767733 0.4266827  0.41160141 0.39048188 0.36778192 0.347997   0.32979387 0.3136452  0.29922017 0.28557227 0.27533394 0.26537531 0.2569494  0.25192124 0.24384852 0.23960501 0.236425   0.23356923 0.23168273 0.23133076 0.23080363 0.22992665 0.22851234 0.22940816 0.22828213 0.22778377 0.22678326 0.22578839 0.22429932 0.22366471 0.22359547 0.22377106 0.22536609 0.22840672 0.22972626 0.23101    0.23322695 0.23842745 0.24721155 0.25860716 0.26558089 0.26327359 0.2524326  0.23563064 0.21612451 0.20026726 0.18838712 0.18199241 0.17991678 0.1793403  0.18079719 0.1836386  0.18857491 0.19400914 0.19933744 0.20617685 0.21329977 0.21804813 0.22452059 0.229264   0.23066392 0.22933013 0.22707611 0.20914452], 25.21, 23.83, False
2022/12/01 05:24:19.293, 49766936, [1.87138679 1.82810745 1.78460606 1.75188471 1.72068469 1.69079006 1.66345109 1.64879045 1.62814859 1.61796156 1.58950757 1.56706407 1.53309759 1.50350149 1.46735654 1.44527215 1.42098343 1.39990856 1.37768463 1.3540286  1.32349632 1.28951058 1.25306922 1.21718684 1.18114578 1.14585478 1.11176865 1.07874652 1.0484824  1.01968954 0.99599214 0.97128467 0.94656922 0.92428842 0.90451522 0.88494867 0.86967926 0.85435327 0.8392387  0.82502197 0.81238585 0.79986962 0.78650039 0.7744987  0.76038478 0.74423876 0.73300448 0.72336694 0.70928273 0.69892445 0.68980219 0.68324757 0.67859593 0.67054123 0.66123217 0.65813684 0.66138495 0.66815432 0.67269606 0.66935489 0.6612237  0.64232834 0.61485682 0.59709884 0.58093472 0.5652109  0.55469277 0.54916751 0.54402405 0.54274538 0.54615285 0.54548078 0.54788629 0.55247476 0.55162477 0.55429698 0.55485589 0.55264231 0.5508511  0.54225109 0.53567241], [0.57469483 0.55063619 0.53556514 0.5498738  0.54857754 0.54690748 0.54435299 0.54303431 0.54202623 0.53426981 0.521931   0.50346566 0.48512372 0.47029481 0.46245209 0.45495462 0.44757112 0.43985363 0.42736222 0.41225622 0.39107498 0.36840956 0.34811317 0.3300047  0.31330345 0.29864037 0.28591324 0.2751175  0.26476896 0.25734595 0.24985878 0.24486828 0.24018935 0.2364785  0.23399781 0.23208372 0.23181371 0.23126541 0.23014891 0.2288516  0.22945207 0.22852257 0.22801829 0.22693687 0.22582905 0.22441078 0.2235201  0.22359797 0.22414399 0.22584526 0.22849322 0.22972853 0.23086118 0.2330118  0.23827292 0.24762799 0.25837278 0.26523917 0.26401739 0.25302643 0.23576798 0.21689699 0.20039663 0.18838861 0.18109742 0.17926607 0.17912838 0.18061697 0.18397574 0.18829748 0.19366333 0.19981103 0.20663994 0.21325721 0.2179747  0.22441538 0.23095213 0.23034804 0.23114346 0.22727635 0.21193833], 25.20, 23.83, False
2022/12/01 05:24:19.543, 49767185, [1.85235486 1.81597998 1.79294055 1.74320851 1.72069338 1.69510055 1.67017954 1.64485759 1.6293998  1.61384127 1.59629324 1.56780523 1.53070311 1.50102909 1.46983741 1.44405228 1.41934567 1.39974939 1.37947748 1.35586312 1.32307426 1.29107534 1.25261277 1.21768347 1.18237092 1.14663091 1.11144223 1.08092863 1.0481747  1.02273005 0.99593428 0.97130316 0.94825729 0.92452477 0.90401957 0.88568509 0.86921392 0.85547214 0.83923474 0.82563745 0.81418047 0.80179776 0.78838198 0.77597959 0.76220322 0.74620963 0.73514774 0.72514508 0.71122765 0.70104448 0.69122694 0.68450941 0.68024441 0.67240829 0.66313376 0.65930228 0.66299112 0.66981512 0.67485415 0.6716081  0.66217124 0.64454953 0.61718477 0.59901439 0.58181284 0.56646575 0.55669955 0.5513161  0.54715773 0.54558631 0.54869914 0.5478012  0.54933671 0.55597644 0.55458819 0.55788663 0.55728007 0.55590638 0.55193756 0.54484528 0.53865638], [0.55740448 0.55064211 0.5411924  0.54446986 0.54460307 0.54018697 0.5398252  0.54285654 0.53993022 0.53765156 0.52133929 0.50123285 0.48668749 0.47379976 0.46259432 0.45587575 0.44758281 0.43912805 0.42799594 0.41098846 0.39153003 0.36840933 0.34901307 0.32979419 0.31451101 0.29922099 0.28625236 0.2753862  0.26537618 0.25752655 0.25089002 0.2449199  0.24003306 0.2367033  0.23389656 0.2318807  0.23166839 0.23154062 0.2305423  0.22948631 0.2291263  0.22844478 0.2273611  0.22655883 0.22538148 0.22385752 0.22307833 0.22297439 0.22352289 0.22511798 0.22782262 0.22923995 0.23075352 0.23261409 0.23836325 0.24709844 0.25761261 0.26518894 0.26360854 0.2527297  0.23524329 0.21624757 0.19969179 0.1878045  0.18157867 0.17861159 0.17865045 0.17963802 0.18358477 0.18857621 0.19412928 0.19979059 0.20513208 0.21273349 0.21860688 0.22289912 0.22926599 0.23050633 0.22733314 0.22610983 0.21129918], 25.20, 23.83, False
2022/12/01 05:24:19.792, 49767435, [1.87876269 1.83792938 1.79482134 1.75906479 1.72069338 1.69835655 1.67583725 1.64632947 1.63833331 1.61521655 1.60432934 1.57010302 1.5358287  1.50998733 1.47715664 1.44829728 1.42554759 1.40438326 1.38629502 1.35863368 1.32918454 1.29415799 1.25949464 1.22114946 1.18746617 1.1493809  1.11670536 1.08302576 1.05288038 1.02621468 0.9992686  0.97442237 0.95068651 0.92731327 0.90713935 0.8881607  0.87133028 0.857493   0.84223106 0.82769655 0.81319188 0.80122126 0.7880052  0.77542262 0.76183207 0.74584803 0.73407627 0.72478982 0.7106972  0.70033759 0.69122694 0.68450941 0.67969312 0.67222498 0.66256218 0.65969275 0.66238557 0.66919099 0.67485415 0.6709324  0.66240816 0.64405631 0.61666781 0.59983163 0.5823864  0.56768627 0.55635207 0.55099758 0.54636581 0.54645663 0.54862566 0.54822976 0.54861174 0.55664095 0.55356005 0.55541162 0.55786765 0.55628453 0.55085164 0.54458935 0.5374093 ], [0.55049    0.55792145 0.53557261 0.54107283 0.54755401 0.54432318 0.54661829 0.54240434 0.5402754  0.53765156 0.52033529 0.50361152 0.48418514 0.47043889 0.46254693 0.4541434  0.44841038 0.43985236 0.42799594 0.41158259 0.39104728 0.3687983  0.34927061 0.33075139 0.31467335 0.29926869 0.28717227 0.27597632 0.26598409 0.2589669  0.25056541 0.2449642  0.24075112 0.23700167 0.23417243 0.23229045 0.23176482 0.23185736 0.23075681 0.22973576 0.22981826 0.22907609 0.22759133 0.22686173 0.22631341 0.22418382 0.22347953 0.22407393 0.22420713 0.22603098 0.22840816 0.23006708 0.23092304 0.23347154 0.23847429 0.24748762 0.25875185 0.26599743 0.26409111 0.25289473 0.2353988  0.21659142 0.20024642 0.18789843 0.18164585 0.1788037  0.17968766 0.17957627 0.1842005  0.18853158 0.19369229 0.19886702 0.20568653 0.21277869 0.21924045 0.2231149  0.22940251 0.23066624 0.22860591 0.22610983 0.21195745], 25.20, 23.83, False
2022/12/01 05:24:20.043, 49767686, [1.88012708 1.81225038 1.78919068 1.75036914 1.72066311 1.69184719 1.66716086 1.64706656 1.63463476 1.61902789 1.59459653 1.5685847  1.53343162 1.50540065 1.47268862 1.44527347 1.42262446 1.40322961 1.38160872 1.35781825 1.3252882  1.29134301 1.25574656 1.22058927 1.1838153  1.14846385 1.11421738 1.08222017 1.04994944 1.02414772 0.99795053 0.9743554  0.94918594 0.9275472  0.90559116 0.88815483 0.87156598 0.85704306 0.84180764 0.82708251 0.8171631  0.80372826 0.7912089  0.77856314 0.76456142 0.74907175 0.73693725 0.72728225 0.71317266 0.70263211 0.69443251 0.68739155 0.6831776  0.67483911 0.66560561 0.66241865 0.66519626 0.67209982 0.67744412 0.6736354  0.66501287 0.64652393 0.61925329 0.60147305 0.58441399 0.56925119 0.55934888 0.55244424 0.54877658 0.54732714 0.54932618 0.55087894 0.54893116 0.55664095 0.5560705  0.55705873 0.5579416  0.55753844 0.55126928 0.54601436 0.54016924], [0.55443019 0.54796051 0.53931458 0.53358677 0.53767578 0.53270889 0.54091216 0.53752331 0.5402754  0.53089209 0.51694849 0.49939581 0.48022969 0.46931922 0.45954881 0.45140897 0.44437318 0.4362337  0.42470518 0.4098606  0.38898091 0.36546563 0.34631371 0.32780138 0.31223139 0.29750586 0.28475364 0.27180848 0.2629455  0.25561782 0.24850163 0.24324484 0.23779631 0.23424133 0.23212959 0.23011213 0.23013015 0.22980327 0.22888569 0.22742344 0.22818788 0.22769233 0.22705249 0.22557297 0.22497336 0.22333604 0.22274482 0.22260302 0.22271713 0.22493145 0.22711086 0.22888145 0.23040756 0.23200003 0.23773686 0.247145   0.25770848 0.26445293 0.26325224 0.25185442 0.23516557 0.21505244 0.19926496 0.18741886 0.18017178 0.17757404 0.17850141 0.17859809 0.18257903 0.18825195 0.1927883  0.19845496 0.20413283 0.21164297 0.21853018 0.22322284 0.22708121 0.22830758 0.22842659 0.22514143 0.21129918], 25.20, 23.83, False
2022/12/01 05:24:20.293, 49767936, [1.87138679 1.82064476 1.79615127 1.74168233 1.71442911 1.68858802 1.67017368 1.64213307 1.63030784 1.61521242 1.59504768 1.57010013 1.53309759 1.50445014 1.47355419 1.44267742 1.42280783 1.40006934 1.38250513 1.35700144 1.32602277 1.29084986 1.25513272 1.21830583 1.1847397  1.1467235  1.11303133 1.08109417 1.04927088 1.02212739 0.99724938 0.97188837 0.94829478 0.92480891 0.90480743 0.88665979 0.86991048 0.85569207 0.84008824 0.82604763 0.81239249 0.80044112 0.7872509  0.77450156 0.76056363 0.74513258 0.73353846 0.7240774  0.7094593  0.69927825 0.69051491 0.68360907 0.6791433  0.67091445 0.6617983  0.65911037 0.66198771 0.66877469 0.67442217 0.67025483 0.66264381 0.64306764 0.61588917 0.59955904 0.58180319 0.56614103 0.55536127 0.5499118  0.54524559 0.54515064 0.54766496 0.54865749 0.5472968  0.5551308  0.55436076 0.55568129 0.55485589 0.55427406 0.54934831 0.54108269 0.53616221], [0.55739883 0.55522071 0.56657375 0.54374684 0.53767213 0.54612954 0.54494475 0.54637945 0.53958219 0.53244873 0.52114132 0.49968196 0.48533159 0.46939041 0.46064156 0.45406127 0.44678068 0.43840488 0.42802883 0.41166235 0.39000014 0.36844355 0.3481518  0.32992061 0.31282547 0.29868811 0.28562335 0.27378365 0.26451776 0.25687676 0.24915626 0.24471897 0.23928416 0.23537093 0.23309529 0.23137395 0.23032352 0.23039656 0.22993456 0.22839036 0.22896459 0.22820691 0.22759453 0.22633101 0.22590603 0.2244498  0.22355972 0.22349235 0.22370915 0.22578241 0.22744667 0.22996277 0.23047107 0.23312045 0.23795968 0.24709916 0.2584908  0.26558237 0.26337898 0.25235816 0.23557387 0.21645067 0.19984196 0.18868034 0.18157949 0.17933333 0.17912838 0.1805553  0.18375033 0.18866633 0.19404091 0.19981103 0.20616388 0.21277977 0.21860816 0.22463172 0.22862992 0.2307077  0.23023798 0.22688383 0.21259685], 25.20, 23.83, False
2022/12/01 05:24:20.543, 49768185, [1.85516167 1.82203303 1.78544518 1.74168233 1.71816918 1.69404077 1.66539993 1.64632512 1.63121961 1.61415385 1.59244417 1.56589697 1.53107036 1.50111142 1.46859535 1.44246397 1.42061441 1.39808947 1.37995414 1.35378469 1.32391967 1.28884135 1.25184779 1.21725128 1.18098048 1.14571266 1.11095349 1.07874652 1.04744013 1.0206625  0.99496447 0.97066451 0.94711394 0.92341048 0.90298351 0.88444933 0.86825305 0.85455751 0.83815678 0.82378362 0.81199226 0.80006496 0.78762194 0.77468044 0.76110544 0.74530842 0.73353846 0.72407675 0.71016645 0.69927737 0.69069277 0.68378901 0.67877518 0.67110281 0.66199529 0.65930803 0.66239002 0.66898506 0.6733424  0.67003032 0.66169725 0.64282156 0.61615005 0.59873644 0.58122693 0.56613439 0.5559776  0.54952893 0.54553884 0.5442806  0.54766496 0.5473963  0.54788629 0.55428644 0.55065808 0.55484579 0.55603115 0.55389642 0.54976547 0.54179526 0.53567241], [0.55591545 0.55791553 0.54714257 0.54583813 0.55255962 0.54122282 0.5494722  0.54501992 0.54377946 0.53635591 0.52293373 0.50361055 0.48783393 0.47379936 0.46459466 0.45679806 0.44760777 0.44057742 0.42799668 0.41277176 0.39260595 0.36879853 0.34885895 0.33187287 0.31562926 0.29999374 0.286833   0.27597691 0.26654015 0.25770875 0.25051306 0.24568405 0.24059658 0.23667461 0.23401036 0.23279379 0.23205459 0.23208802 0.23132707 0.22956849 0.23046913 0.22990642 0.22871169 0.22788438 0.22687155 0.22559351 0.22458847 0.22505469 0.22526332 0.22719441 0.2292876  0.23114866 0.2322198  0.23424021 0.23941498 0.24912162 0.25953439 0.26690591 0.26439614 0.25355092 0.23660264 0.21766537 0.20090934 0.18967794 0.18322731 0.18023668 0.18039861 0.1820854  0.18531712 0.19014207 0.19404091 0.20071478 0.20665573 0.21382511 0.21987539 0.22501093 0.23017791 0.23302704 0.23114346 0.22901804 0.21281656], 25.20, 23.83, False
2022/12/01 05:24:20.793, 49768435, [1.86683398 1.8001475  1.78597137 1.74754926 1.7057261  1.69184719 1.66365489 1.64140336 1.63031277 1.61278364 1.59120526 1.5625172  1.52797645 1.50102909 1.46735818 1.44124527 1.41916146 1.39643333 1.37891957 1.35057046 1.32213139 1.28786021 1.25185009 1.21656502 1.17994711 1.14359189 1.11010141 1.07794416 1.0459507  1.01927222 0.99428839 0.96911654 0.94597438 0.9228511  0.90243327 0.88321687 0.86730852 0.85344196 0.83751787 0.82317133 0.81099409 0.79870854 0.78536879 0.77357359 0.75929671 0.74352166 0.73210951 0.72247564 0.70840011 0.69822007 0.68945119 0.68235026 0.67804721 0.6697991  0.66066504 0.65755803 0.6601819  0.66732265 0.6729141  0.66822844 0.66075121 0.64208332 0.61459992 0.59764714 0.57978364 0.56490876 0.55434656 0.54880726 0.54438669 0.54259273 0.5471131  0.54643932 0.54611885 0.55247566 0.55111119 0.55512494 0.55511378 0.55151132 0.54759564 0.54153884 0.53669555], [0.54956725 0.5487366  0.53948459 0.53834019 0.53564333 0.53606038 0.53864907 0.53861393 0.53714496 0.52932515 0.51974471 0.50065665 0.4836676  0.47022343 0.46050108 0.45489905 0.44676811 0.43912884 0.42607206 0.41108778 0.38900866 0.36847731 0.34815171 0.32780138 0.31339356 0.29941175 0.2849935  0.27462993 0.26390955 0.25648141 0.24936863 0.24364816 0.23914784 0.2360048  0.2339843  0.23167316 0.23137971 0.23099453 0.2298489  0.22873213 0.22928879 0.22852184 0.2275938  0.22629456 0.22560739 0.22385752 0.2228521  0.22349135 0.22403877 0.22503547 0.2274457  0.23025831 0.23036343 0.23230705 0.23856544 0.24762727 0.2583721  0.26528821 0.2641207  0.25265366 0.23512693 0.21683534 0.20011866 0.18881151 0.18147201 0.17900561 0.17884712 0.18061618 0.18452977 0.18825195 0.19412928 0.19890665 0.20614705 0.21146291 0.21845349 0.22392663 0.2289931  0.22986732 0.22933167 0.22533726 0.21002192], 25.20, 23.83, False
