time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/12/01 03:43:47.627, 43735246, [2.53794795 2.48748525 2.43662906 2.39402173 2.36918535 2.32092282 2.29951459 2.28235503 2.26214624 2.23986011 2.21792138 2.18088432 2.14197614 2.09650412 2.05918696 2.02659781 1.99036144 1.9652983  1.93822112 1.90641772 1.86604859 1.82067442 1.77216821 1.72262304 1.67403543 1.62397643 1.57907197 1.53424344 1.49205919 1.45375865 1.41957994 1.38583313 1.35347739 1.32190909 1.29338397 1.26827299 1.24555605 1.22646123 1.20497658 1.18569283 1.17059885 1.15375769 1.13548978 1.11817026 1.10025036 1.07979019 1.06394791 1.049714   1.03158865 1.01787005 1.0057718  0.99647011 0.98919814 0.97809078 0.96598947 0.9625559  0.96685948 0.97547647 0.98298636 0.9803943  0.96839348 0.94375144 0.90832518 0.88280714 0.8600435  0.83887651 0.82513137 0.81565996 0.8074128  0.80380004 0.80351191 0.80270162 0.80086561 0.80523321 0.80088142 0.80396642 0.80052416 0.79739731 0.79205    0.78306989 0.77367763], [0.65737212 0.65835422 0.65491286 0.66885768 0.66160038 0.67070492 0.67356972 0.67939556 0.68264362 0.67384264 0.6587488  0.63655066 0.61469974 0.59765046 0.58728771 0.57753811 0.56897799 0.55667698 0.54515619 0.52305694 0.49786111 0.46731227 0.44005036 0.41522606 0.39271694 0.37332016 0.35472762 0.3397195  0.32708159 0.31676827 0.3070647  0.30081486 0.29463861 0.28947787 0.28576319 0.28362025 0.28272097 0.28309727 0.28210104 0.27991923 0.28030769 0.27926206 0.27813489 0.27680895 0.27594589 0.27371571 0.27342765 0.27416951 0.27546545 0.27810879 0.28147477 0.28384333 0.28558467 0.28828595 0.29554993 0.3082992  0.32348758 0.33373946 0.33253028 0.31833147 0.29533031 0.26980918 0.24741717 0.23266855 0.22351562 0.21895552 0.21967838 0.21694836 0.22050776 0.22617924 0.23015596 0.23613874 0.24029991 0.24742511 0.25288345 0.25762877 0.2625395  0.26422856 0.26259182 0.25933846 0.24287604], 25.19, 23.70, False
2022/12/01 03:43:47.877, 43735496, [2.53793986 2.49838019 2.43939407 2.41552246 2.36172063 2.33617123 2.31276769 2.28524198 2.27073456 2.25409519 2.22659633 2.18667813 2.14992602 2.107081   2.06782072 2.03163363 2.00267801 1.97400021 1.94482647 1.91323297 1.87473722 1.82748301 1.78177145 1.72949961 1.68265407 1.63181647 1.58622938 1.54211029 1.49928704 1.46042615 1.42716151 1.3922738  1.36091771 1.32930176 1.30046782 1.27540716 1.25399611 1.23260971 1.2122424  1.19207094 1.17519453 1.15877918 1.14015921 1.12302269 1.10442091 1.08409479 1.067866   1.0543505  1.03599712 1.0219137  1.01039425 1.0005329  0.99317117 0.98252753 0.97009066 0.9659407  0.97033748 0.97951601 0.98743468 0.98427192 0.97173627 0.94770421 0.91138458 0.88693918 0.86408121 0.84252989 0.82903103 0.81904531 0.80928705 0.80705121 0.8079069  0.8045315  0.80491695 0.80616325 0.80407053 0.8046293  0.80384159 0.80085611 0.79271779 0.7875072  0.77916051], [0.6590622  0.65376673 0.65286812 0.66546098 0.6627417  0.66812235 0.68015311 0.68191692 0.6808888  0.6744971  0.65620609 0.63655017 0.61684546 0.59996173 0.58736666 0.57834868 0.56897825 0.55887116 0.54313107 0.52367081 0.49728335 0.46785871 0.44010674 0.41385372 0.39373175 0.37340224 0.35490317 0.33962478 0.3277469  0.31691564 0.30721319 0.30034842 0.29478458 0.28929769 0.28621633 0.28451323 0.28333832 0.28271806 0.28201004 0.28042647 0.28022832 0.27882772 0.27790453 0.27680937 0.27587309 0.27476278 0.2736902  0.27420817 0.27550448 0.27781484 0.28155542 0.28361159 0.28519506 0.28857023 0.29591137 0.30850684 0.32362343 0.33448456 0.33239821 0.31814269 0.29488134 0.26992605 0.24754017 0.23279563 0.22364526 0.21895931 0.21769824 0.21829943 0.22089821 0.22576626 0.23054128 0.23521033 0.23927679 0.24804856 0.25327634 0.25774338 0.26190287 0.26406238 0.26170172 0.25974732 0.24287664], 25.19, 23.71, False
2022/12/01 03:43:48.126, 43735747, [2.50351218 2.48748525 2.43662906 2.40195542 2.34854539 2.3307439  2.29366806 2.27717032 2.26160329 2.23848531 2.21667972 2.18265384 2.14150051 2.10035004 2.05746889 2.02268086 1.9921414  1.96185997 1.93810986 1.90698805 1.86624438 1.81934838 1.77110045 1.72275417 1.67258068 1.62407901 1.57815538 1.53302673 1.49069004 1.45434371 1.41774936 1.38470034 1.35222885 1.32164367 1.29220035 1.26827299 1.2459082  1.22500592 1.20448359 1.18483398 1.16798689 1.15124871 1.13382585 1.11654116 1.09789835 1.07727599 1.06200682 1.04775228 1.02986481 1.01544056 1.00459054 0.99452421 0.98705997 0.97666695 0.96435004 0.96089182 0.96489802 0.97435498 0.9815712  0.97893427 0.96614898 0.94211805 0.90532373 0.88108819 0.85815751 0.83600246 0.8240221  0.81295608 0.80590489 0.80240736 0.8016758  0.80100826 0.79835344 0.80381928 0.80036731 0.79967979 0.80052416 0.79463659 0.78725584 0.78306989 0.77443413], [0.65070379 0.67454753 0.66106623 0.66698353 0.67210224 0.67594343 0.67562677 0.68461383 0.68264362 0.67671253 0.66026929 0.63984598 0.61886781 0.60111816 0.58847739 0.5801358  0.57074486 0.5604727  0.54516496 0.52549481 0.49834868 0.46825365 0.4409432  0.41689076 0.39394042 0.37434508 0.35619757 0.34144135 0.3281727  0.31832777 0.30899129 0.30153988 0.29522076 0.29002004 0.28686354 0.28473634 0.28446126 0.28387439 0.28219256 0.28102492 0.28105082 0.27974797 0.27896091 0.27784582 0.27711546 0.27506269 0.27517772 0.27564449 0.27645462 0.27928643 0.28262149 0.28496318 0.28641867 0.28937563 0.29697983 0.3092345  0.32457793 0.33531052 0.33366664 0.31920681 0.29592137 0.27051319 0.24843588 0.23364535 0.22453969 0.21974483 0.21901753 0.21985598 0.22175762 0.22605582 0.2321076  0.23613874 0.24183591 0.24747524 0.25424378 0.25998697 0.26346287 0.2652424  0.26352769 0.26072298 0.24573341], 25.19, 23.71, False
2022/12/01 03:43:48.376, 43735997, [2.53795604 2.48062883 2.44262717 2.40478031 2.36039848 2.32473475 2.30750752 2.2823572  2.26214871 2.24654555 2.2213872  2.18442559 2.14459772 2.10610234 2.06480437 2.02855722 1.99497506 1.96854891 1.94195823 1.90823364 1.87091917 1.82298489 1.77597593 1.72725131 1.67857629 1.62828331 1.58145582 1.53908175 1.49581631 1.45848454 1.42361122 1.38927677 1.3574036  1.32651926 1.29809824 1.27259399 1.25010844 1.22974839 1.20920854 1.18930046 1.17364878 1.15628889 1.13853443 1.12135284 1.10242496 1.08173879 1.066473   1.05185467 1.03391817 1.02036975 1.00864724 0.99843034 0.99124281 0.98071239 0.96843683 0.96428977 0.96882257 0.97839421 0.98621818 0.98215182 0.97073284 0.94639371 0.91055123 0.885429   0.86188372 0.84062367 0.82760007 0.81647974 0.80971108 0.80658714 0.80494224 0.80482471 0.80257735 0.80616415 0.80482448 0.80374948 0.80286529 0.79997369 0.79320351 0.78750766 0.7750008 ], [0.67415651 0.66124231 0.66274439 0.66431052 0.67095048 0.67594452 0.68015533 0.68353535 0.68481971 0.67572727 0.6625583  0.63887923 0.62001469 0.60111836 0.59022226 0.58094495 0.57063267 0.5596382  0.54514704 0.52611075 0.49895213 0.46879997 0.44194827 0.41868734 0.39452194 0.37442644 0.35624099 0.34153307 0.32912401 0.31803505 0.3087648  0.30220205 0.29589968 0.29104211 0.28738944 0.28519156 0.28422055 0.28397116 0.28258866 0.28161864 0.28063641 0.27974113 0.27844704 0.27741521 0.27583561 0.27468742 0.27409785 0.27468773 0.2751328  0.27821626 0.28173087 0.28406132 0.28573723 0.28863955 0.29598278 0.30887659 0.32403833 0.33443733 0.33280894 0.31850171 0.29583447 0.2701608  0.24806481 0.23250333 0.22374381 0.21948227 0.21804282 0.21898878 0.22180897 0.22543434 0.23095146 0.23568256 0.24079115 0.24685195 0.25335726 0.25785627 0.26048403 0.26356037 0.26333986 0.25897347 0.24373298], 25.20, 23.71, False
2022/12/01 03:43:48.627, 43736246, [2.5423319  2.48406756 2.43896633 2.40197044 2.36289086 2.32855455 2.30888266 2.28352319 2.26414153 2.24569498 2.22263238 2.18684325 2.14515704 2.10466583 2.06393861 2.02776512 1.99853784 1.96855046 1.94097797 1.91141822 1.8714481  1.82350225 1.77612909 1.72698955 1.67688939 1.62779562 1.58265334 1.53778561 1.49533774 1.4586827  1.42332762 1.38859    1.35727175 1.32503637 1.2965486  1.27184082 1.24959166 1.2294262  1.20801068 1.18842138 1.17214568 1.1551742  1.13687011 1.11974268 1.10123945 1.08057036 1.0651138  1.05029417 1.03198744 1.01864915 1.00691447 0.99704185 0.98923743 0.97908648 0.96622189 0.963004   0.9675101  0.97639084 0.98438696 0.98086557 0.96845098 0.94430433 0.90810621 0.88371052 0.86155067 0.83854646 0.8252055  0.8159555  0.80681273 0.80565857 0.80259553 0.80270281 0.80114787 0.80404359 0.80221906 0.80110967 0.80150069 0.79702513 0.79089791 0.78359914 0.77651405], [0.6590735  0.64346551 0.65304663 0.67225663 0.65865274 0.66989117 0.67494352 0.68047323 0.68784627 0.67261634 0.66027045 0.63800586 0.61599187 0.60144605 0.58942989 0.58019142 0.56984171 0.55968136 0.54448846 0.52611517 0.49839985 0.4693245  0.44192023 0.41646592 0.39440998 0.37479482 0.35619676 0.34078857 0.32862387 0.31905787 0.30839013 0.30194316 0.2952195  0.29053561 0.28734122 0.28493951 0.28445984 0.28382882 0.28267301 0.28157619 0.28141869 0.28053958 0.27899702 0.27799792 0.27658863 0.27532217 0.27502749 0.27520044 0.27653063 0.27924594 0.28236337 0.28466133 0.28630638 0.28934675 0.2964586  0.30927747 0.3244985  0.33451805 0.33317083 0.31874215 0.29597573 0.27021837 0.24855748 0.23341608 0.22387224 0.21915789 0.21895317 0.21941383 0.22126276 0.22506129 0.23048766 0.23565306 0.24081019 0.24705114 0.25152204 0.25785509 0.26232894 0.26337977 0.26169968 0.25994833 0.24178891], 25.20, 23.71, False
2022/12/01 03:43:48.877, 43736496, [2.51625938 2.48747917 2.42466531 2.39912855 2.35981095 2.32532145 2.29892482 2.27773832 2.25961613 2.24156231 2.21839665 2.18570896 2.14308918 2.10325294 2.06133202 2.02538129 1.99529891 1.96558437 1.94159371 1.90766139 1.86894221 1.8215084  1.77383675 1.72569444 1.67770105 1.62662975 1.58007782 1.53821439 1.49403336 1.45686409 1.42225719 1.38794793 1.35615212 1.32446261 1.29593522 1.27102183 1.24843218 1.22851186 1.2075379  1.18794596 1.17044321 1.15396804 1.1358805  1.11841007 1.10025005 1.07977261 1.0637535  1.04953637 1.03160304 1.01808851 1.00614327 0.99645683 0.9888278  0.97809048 0.96577096 0.96196726 0.96619542 0.97462571 0.98366851 0.9799069  0.96790032 0.94371286 0.90723117 0.88228247 0.85973237 0.8376332  0.82480952 0.81527301 0.80638798 0.80418361 0.80340629 0.80127934 0.8013199  0.80426483 0.80091534 0.80177035 0.79973666 0.79721076 0.79004489 0.78359824 0.77424375], [0.67294003 0.65835126 0.65882494 0.66546098 0.66914293 0.67424476 0.68379845 0.68208148 0.68566186 0.67482523 0.6602689  0.63693534 0.62030793 0.60111797 0.58760395 0.5812266  0.57074512 0.55970448 0.54450729 0.52488946 0.49946633 0.46980687 0.44140384 0.41777285 0.39516414 0.37508336 0.35719125 0.34102358 0.32919475 0.31827927 0.30949317 0.3022656  0.29638581 0.29024936 0.2881597  0.28596496 0.28495555 0.28434314 0.28281558 0.28187795 0.28314614 0.28162191 0.2805989  0.27926355 0.27779685 0.27626092 0.27588471 0.27663974 0.27766853 0.28017029 0.28384914 0.28605644 0.28783853 0.29011192 0.29757268 0.31062907 0.32563567 0.33596269 0.33444086 0.31996398 0.29730112 0.27092387 0.24868446 0.23439413 0.22509194 0.22092665 0.21917562 0.21979771 0.22277343 0.22692428 0.23084842 0.23749571 0.24179592 0.24814902 0.25352302 0.2592774  0.2629692  0.26321609 0.26242774 0.26210983 0.24310455], 25.19, 23.71, False
2022/12/01 03:43:49.126, 43736747, [2.52927096 2.48379817 2.44588004 2.38895147 2.36233247 2.32857146 2.30557623 2.27832499 2.26162055 2.24689389 2.2228816  2.18507716 2.14365334 2.10708934 2.06479636 2.02734613 1.9988673  1.96759742 1.94196104 1.9130141  1.87131692 1.82532481 1.77674349 1.72752014 1.67963093 1.62898681 1.58183087 1.53838262 1.49649984 1.45810224 1.42361751 1.38928275 1.35805648 1.32656403 1.29738015 1.27265999 1.25022446 1.22999982 1.2091656  1.1899603  1.17218951 1.15604009 1.1371175  1.12016631 1.10167357 1.08133367 1.06495369 1.05145418 1.03275514 1.01907387 1.00769919 0.99800326 0.99005602 0.97970581 0.9672217  0.96364874 0.96794484 0.97640821 0.98507192 0.98184195 0.96870879 0.94508593 0.9086464  0.88432112 0.86155329 0.83896669 0.82620795 0.81600406 0.80808328 0.80519525 0.80310933 0.80284035 0.80240589 0.80333848 0.80300871 0.80199116 0.80071436 0.79872101 0.79023081 0.78608374 0.77500199], [0.65908479 0.65091921 0.66090471 0.6688756  0.66980989 0.67077977 0.6778989  0.68499287 0.68132201 0.67639018 0.65976439 0.63820084 0.61743057 0.6002896  0.5894302  0.58013478 0.57070571 0.55965824 0.54381169 0.52489504 0.4983737  0.46829605 0.44243643 0.41741315 0.39516313 0.3748345  0.35662867 0.34078738 0.32888367 0.31890985 0.30963713 0.30111856 0.2954604  0.29038963 0.28750798 0.28555157 0.28388663 0.28392413 0.28293955 0.28174456 0.28108794 0.28021842 0.27903276 0.27806949 0.27696164 0.27550683 0.27487679 0.27549347 0.27634361 0.27857685 0.28228132 0.28511027 0.28645771 0.28957099 0.2969769  0.30980981 0.32483452 0.33469144 0.33335094 0.31887815 0.29636869 0.27056902 0.24942035 0.2328948  0.22380598 0.21954724 0.21854258 0.21966202 0.22248361 0.22609392 0.23089711 0.23704193 0.24131999 0.24762192 0.25407458 0.25856265 0.26232628 0.26558207 0.26261077 0.26014944 0.24413053], 25.21, 23.71, False
2022/12/01 03:43:49.377, 43736997, [2.53364015 2.48066528 2.42746276 2.39405676 2.3667305  2.3237508  2.30479191 2.27025964 2.2606277  2.24210111 2.21719295 2.18266396 2.13674161 2.10084549 2.05660704 2.02580886 1.99222525 1.96310631 1.93463184 1.90585348 1.86605371 1.82033733 1.76989083 1.7228914  1.6732267  1.62398468 1.57789347 1.5329538  1.49124915 1.4533779  1.41947372 1.38539531 1.35251444 1.32221981 1.29350492 1.26848885 1.24524719 1.22614356 1.20359471 1.18545174 1.16694378 1.15062005 1.13276211 1.11493466 1.09691311 1.07611043 1.06048908 1.04680514 1.02851212 1.01465074 1.00307958 0.99334617 0.985677   0.97527189 0.96351969 0.95944058 0.96428125 0.97278832 0.98089247 0.97773998 0.9658418  0.9408121  0.90580948 0.88077785 0.8572781  0.83655755 0.82231004 0.81334622 0.80500238 0.80194529 0.8015749  0.80101103 0.79835614 0.80166365 0.79906666 0.79968241 0.79681097 0.79533109 0.78840996 0.78254315 0.77311299], [0.6536389  0.66126007 0.66295968 0.66700146 0.66390147 0.67514209 0.68085201 0.68300529 0.68525169 0.67548996 0.66307018 0.64072291 0.61857687 0.60238549 0.59157431 0.5827874  0.57232437 0.56257658 0.54854102 0.52794017 0.50005586 0.47135884 0.44373499 0.41855578 0.39667136 0.37659823 0.35779354 0.34241731 0.33052287 0.31983591 0.3096863  0.30282698 0.29711049 0.29148586 0.28846629 0.2863047  0.28543226 0.28466621 0.28381804 0.2822561  0.28150208 0.28053812 0.27903276 0.27822288 0.27700272 0.27517151 0.2747259  0.27512219 0.27652905 0.27891059 0.28246975 0.28480976 0.28652675 0.2893726  0.2969769  0.30939524 0.32471096 0.33424899 0.33333691 0.31887815 0.29620313 0.26989535 0.24821758 0.23247622 0.22393521 0.22020067 0.21910851 0.21904511 0.22170328 0.22687973 0.23007499 0.23748685 0.24078785 0.24762192 0.25304334 0.25844846 0.26232628 0.26591662 0.26314954 0.26230834 0.24441398], 25.21, 23.71, False
2022/12/01 03:43:49.627, 43737246, [2.51627557 2.48749132 2.43065111 2.39228229 2.35044822 2.33074813 2.30945541 2.27485771 2.25149836 2.24431652 2.21617849 2.18314119 2.13935661 2.09891455 2.06005536 2.02268152 1.99505182 1.96367433 1.93785724 1.90607269 1.86716462 1.81917796 1.77201103 1.7228862  1.67456    1.62359056 1.57815651 1.53345982 1.49165119 1.45479671 1.41958099 1.38533899 1.35403622 1.32206631 1.29490145 1.26881735 1.24601941 1.22646196 1.20518902 1.18632713 1.16911705 1.15192168 1.1344228  1.11732687 1.09886764 1.07807222 1.06276698 1.04834722 1.02987971 1.016751   1.00480968 0.99471903 0.98782602 0.97669341 0.96495188 0.9609058  0.96557625 0.97457967 0.98183808 0.97989076 0.96687909 0.94244122 0.90669548 0.88219976 0.85851555 0.83793808 0.82434389 0.81411523 0.80554357 0.80341644 0.80300093 0.80071567 0.80132067 0.80262902 0.80012739 0.80198891 0.79934891 0.79721117 0.7897448  0.78058872 0.77443433], [0.66871803 0.65665252 0.66706248 0.67190917 0.66569847 0.68120347 0.678581   0.68353535 0.68741904 0.67515555 0.65950856 0.63781198 0.61886807 0.6003973  0.58744587 0.58019171 0.57078193 0.55974769 0.54517337 0.52610316 0.4983357  0.46928181 0.44232509 0.41855642 0.39508953 0.37582096 0.35610988 0.3420011  0.32878993 0.31881445 0.30986597 0.30226469 0.29580277 0.29130784 0.28849632 0.28612235 0.28499998 0.28518172 0.28316858 0.28208877 0.28195312 0.28077676 0.27934754 0.27815217 0.27835809 0.27524898 0.27499071 0.27593906 0.27674793 0.27916822 0.28272934 0.28511298 0.28668233 0.28968659 0.29729724 0.3096799  0.32457759 0.3349958  0.33379883 0.31949946 0.29690638 0.27065978 0.24914499 0.23397518 0.22466842 0.22020381 0.22008614 0.2190475  0.22204399 0.22650999 0.2321847  0.23657725 0.2408113  0.24814794 0.25399609 0.25916191 0.26296787 0.26524163 0.26242672 0.26056295 0.24550409], 25.20, 23.71, False
