time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/11/30 22:51:50.829, 26218400, [ 0.09874988  0.07402695  0.05666491  0.03834317  0.03345464  0.02110377  0.00675974 -0.0014674  -0.01180903 -0.02061623 -0.02568813 -0.02956667 -0.03961546 -0.04082487 -0.04830443 -0.05199597 -0.053875   -0.05852387 -0.06040921 -0.06392836 -0.0679045  -0.06907738 -0.07096192 -0.07522326 -0.0758522  -0.07762472 -0.08122877 -0.08230716 -0.08589093 -0.08728394 -0.08748576 -0.08814827 -0.08895142 -0.09190701 -0.09158124 -0.09186381 -0.09226594 -0.09174448 -0.09374482 -0.09484504 -0.09475493 -0.09413888 -0.09504955 -0.09469659 -0.09611758 -0.10009    -0.0996492  -0.09793809 -0.10158211 -0.10359363 -0.10532882 -0.10639834 -0.1046639  -0.10482519 -0.10719866 -0.10696618 -0.10748656 -0.10791041 -0.1084163  -0.11335128 -0.1128527  -0.11149337 -0.11889877 -0.11485823 -0.11441391 -0.11713727 -0.113737   -0.11145724 -0.10755533 -0.09810855 -0.09167387 -0.08349418 -0.0788198  -0.06812659 -0.06264736 -0.05587962 -0.05187336 -0.04724336 -0.04855392 -0.05049472 -0.05270577], [0.1892263  0.18114633 0.1751509  0.16154595 0.15146315 0.14478842 0.13306445 0.13028565 0.12146153 0.12071173 0.11786084 0.1114194  0.10732425 0.10284672 0.10084305 0.10156088 0.0978214  0.09710873 0.0958132  0.09341701 0.09154319 0.08989931 0.08851208 0.08766265 0.0866288  0.0855383  0.08413021 0.08348756 0.08223316 0.08173207 0.08078486 0.08107897 0.07993394 0.08020573 0.08033979 0.08009099 0.08011301 0.08116591 0.08081522 0.07969994 0.08132544 0.08121855 0.08237361 0.08227152 0.08177243 0.08036392 0.07961526 0.07899855 0.07730501 0.07605583 0.07470916 0.07454353 0.07459054 0.07533956 0.07588257 0.07584493 0.07592035 0.07495148 0.07306331 0.07161699 0.07058157 0.06930386 0.06780614 0.06723476 0.06746041 0.06874454 0.07313756 0.07616897 0.08147423 0.08824957 0.09461777 0.10262333 0.11082199 0.11831715 0.12622713 0.1313358  0.13873073 0.14042224 0.14062751 0.13744741 0.12212425], 25.23, 23.75, False
2022/11/30 22:51:51.080, 26218651, [ 0.09009466  0.06996473  0.05685668  0.03836817  0.02855306  0.01893372  0.00499895 -0.00336822 -0.01200292 -0.01912756 -0.02568029 -0.03281842 -0.03847258 -0.04071256 -0.04677913 -0.05031179 -0.05522377 -0.05890909 -0.05961436 -0.06472262 -0.06790084 -0.0693292  -0.07271002 -0.07407568 -0.07537163 -0.07921227 -0.08182634 -0.0828773  -0.08677168 -0.08715833 -0.0878653  -0.08838052 -0.09012336 -0.09206434 -0.09172994 -0.0917648  -0.09309282 -0.09253636 -0.09357231 -0.09520774 -0.0959362  -0.09452574 -0.09588252 -0.09510623 -0.09634368 -0.10031276 -0.10029175 -0.09886844 -0.10230012 -0.10388056 -0.10590911 -0.10695247 -0.10507885 -0.10528368 -0.10763107 -0.10764022 -0.10691657 -0.108799   -0.10937612 -0.11326671 -0.11296097 -0.11173657 -0.11953867 -0.11585526 -0.11441064 -0.1176555  -0.11373465 -0.11053757 -0.1088948  -0.09922884 -0.09207895 -0.08439473 -0.07831489 -0.0686916  -0.06328006 -0.0560387  -0.05324656 -0.0466164  -0.04975151 -0.05108269 -0.05377845], [0.18612625 0.18981546 0.17516957 0.15725072 0.1521223  0.14828553 0.1336934  0.13029317 0.12119698 0.11874322 0.11790694 0.11267948 0.10736938 0.10491335 0.10088243 0.09983117 0.09809432 0.09511698 0.09533454 0.0920341  0.09167496 0.09016633 0.08849169 0.0878612  0.08596335 0.0856698  0.08419522 0.08294192 0.08171802 0.08220209 0.08071821 0.08089546 0.08011523 0.07994867 0.08071658 0.08048433 0.08099585 0.08121672 0.08056515 0.07995873 0.08097572 0.08171868 0.08219317 0.08251733 0.08215706 0.08041529 0.07938174 0.07867024 0.07707202 0.07633348 0.07550565 0.07454127 0.07439355 0.07543409 0.07547644 0.07578988 0.07543611 0.07517104 0.0731221  0.07160352 0.07020795 0.06956533 0.06752739 0.06657654 0.06731054 0.0688905  0.0727894  0.07586955 0.08173563 0.0882474  0.09537016 0.10262125 0.10933759 0.11779202 0.12498689 0.13092137 0.13872741 0.1379581  0.13876794 0.13821545 0.12126444], 25.24, 23.75, False
2022/11/30 22:51:51.329, 26218901, [ 0.08971233  0.0814481   0.04695624  0.03834317  0.02853136  0.0188507   0.00481846 -0.00165755 -0.01048531 -0.02176708 -0.02478186 -0.03293603 -0.03642179 -0.04155555 -0.04667987 -0.05337671 -0.05189389 -0.06015281 -0.06146129 -0.06472702 -0.0697621  -0.06925545 -0.07203533 -0.0751513  -0.07679307 -0.07928512 -0.08060026 -0.08339327 -0.08699013 -0.08789269 -0.08787055 -0.08885995 -0.09024571 -0.0923408  -0.09213956 -0.09273251 -0.09378932 -0.09324779 -0.09387224 -0.09566045 -0.09621686 -0.09495349 -0.09637097 -0.09581565 -0.09689724 -0.10103727 -0.10027548 -0.09888496 -0.10252434 -0.10442476 -0.10613454 -0.10736191 -0.1056806  -0.10536935 -0.10876153 -0.10789143 -0.10794512 -0.10931288 -0.10990954 -0.11404918 -0.11382548 -0.11280063 -0.11971289 -0.11631421 -0.11509842 -0.11791951 -0.11462161 -0.1111181  -0.10956808 -0.09925704 -0.09330288 -0.08615437 -0.07781376 -0.06926102 -0.06430752 -0.05620147 -0.05540858 -0.04661743 -0.04935159 -0.05137817 -0.05346099], [0.18611214 0.17657751 0.16069873 0.17017594 0.15211317 0.1426642  0.13563267 0.13269378 0.12482479 0.12045942 0.11215168 0.11394872 0.10847769 0.10177388 0.10183227 0.09988007 0.09871987 0.09572208 0.09454475 0.09157864 0.09154319 0.08970989 0.08871245 0.08733853 0.08676168 0.08532839 0.08465167 0.08355386 0.08152097 0.081116   0.08052518 0.08016614 0.08080625 0.08010822 0.08019303 0.08026066 0.08086822 0.08162471 0.08045099 0.08022279 0.08179475 0.0818725  0.08189767 0.08232961 0.08172871 0.08060462 0.07961526 0.07890825 0.07749031 0.07675471 0.0752265  0.0747832  0.07464039 0.07494309 0.0755821  0.07599879 0.07602348 0.07517252 0.07335345 0.07173147 0.07052737 0.06975226 0.06808326 0.06716216 0.06723867 0.0693975  0.07244671 0.07587154 0.08192746 0.08963381 0.09457807 0.10218268 0.11082199 0.11769919 0.12560856 0.1324831  0.1382545  0.14110142 0.14183144 0.13650078 0.12165799], 25.23, 23.75, False
2022/11/30 22:51:51.580, 26219150, [ 0.08537023  0.08145418  0.05346151  0.03836006  0.03345898  0.01233606  0.008703   -0.00156026 -0.0089535  -0.02198426 -0.0233233  -0.03282419 -0.0397255  -0.03893392 -0.04927169 -0.05120472 -0.05314976 -0.05776458 -0.06154987 -0.06441124 -0.0680662  -0.06850912 -0.07165164 -0.07472145 -0.07496934 -0.07915003 -0.08059914 -0.08323233 -0.08643939 -0.08619281 -0.08792749 -0.0879655  -0.08979558 -0.09074484 -0.09188667 -0.0925867  -0.09300399 -0.09218698 -0.09429389 -0.09484426 -0.0948746  -0.09421999 -0.09531607 -0.09514078 -0.09558213 -0.10034647 -0.09918227 -0.09769633 -0.10151683 -0.1032396  -0.10475901 -0.10600201 -0.10459486 -0.10429574 -0.10728484 -0.10677022 -0.10618578 -0.10794746 -0.10837694 -0.11249018 -0.11265758 -0.11153532 -0.11790833 -0.11490135 -0.1136419  -0.11570694 -0.11317231 -0.10989504 -0.10680777 -0.09924338 -0.09126033 -0.08394507 -0.07685672 -0.06747439 -0.06189221 -0.05517034 -0.05088487 -0.04575413 -0.04681881 -0.05007742 -0.0519505 ], [0.20320901 0.1806503  0.17515463 0.15386068 0.152115   0.14524511 0.13594694 0.12695203 0.12294003 0.11890607 0.11790539 0.11144709 0.10848639 0.10284692 0.10274382 0.09973534 0.09844586 0.09548266 0.09568699 0.09341669 0.09134451 0.08964285 0.08893311 0.08805311 0.08639594 0.08609099 0.08484135 0.08368612 0.08252282 0.08153486 0.08097972 0.08144109 0.08010205 0.08020525 0.08016493 0.08039788 0.08083272 0.08105894 0.0807493  0.07997365 0.08184216 0.08207012 0.08247725 0.08251904 0.08230229 0.08079075 0.07919721 0.07890775 0.07758384 0.07582253 0.07546007 0.07492519 0.07502521 0.07592899 0.0762344  0.07589193 0.07623678 0.07467256 0.07335316 0.07160477 0.07058129 0.06962518 0.06801217 0.06716186 0.06723826 0.06914477 0.07264595 0.07690239 0.08186378 0.08855487 0.09576891 0.10348382 0.1103263  0.11779418 0.12597778 0.1322983  0.13849187 0.14053616 0.13917694 0.13856844 0.12356733], 25.23, 23.75, False
2022/11/30 22:51:51.829, 26219400, [ 0.08533788  0.07791689  0.05977027  0.03835196  0.02851834  0.0168335   0.00675096 -0.00328976 -0.0074346  -0.02188285 -0.02670842 -0.03170685 -0.03675453 -0.03977604 -0.04820324 -0.05130741 -0.05460197 -0.05861856 -0.06093669 -0.06481406 -0.07045276 -0.06786747 -0.0726447  -0.07351004 -0.07672648 -0.07858439 -0.0803021  -0.08323618 -0.08616931 -0.08775318 -0.08748891 -0.08891847 -0.09013093 -0.09106435 -0.09143571 -0.0923491  -0.09277639 -0.09249835 -0.09378861 -0.09509124 -0.09554744 -0.09449348 -0.09573534 -0.09547169 -0.09649223 -0.10049236 -0.09993946 -0.09848469 -0.10194973 -0.10370542 -0.10555378 -0.10677352 -0.10526528 -0.10494487 -0.1077899  -0.10744773 -0.10728661 -0.10883979 -0.1089876  -0.11345668 -0.11304887 -0.11174148 -0.11980293 -0.11563165 -0.11408652 -0.11770274 -0.11430254 -0.11149253 -0.10753145 -0.09962741 -0.09248891 -0.08394665 -0.07786443 -0.07031246 -0.06328192 -0.05784609 -0.05187392 -0.04724398 -0.04722051 -0.05037293 -0.05227005], [0.2086141  0.17860071 0.18432838 0.15815847 0.15504996 0.14266093 0.14045464 0.13070563 0.1284559  0.12217961 0.11659587 0.11266163 0.10851069 0.10595739 0.10373182 0.10069692 0.09929088 0.09716913 0.09479809 0.09464309 0.09429761 0.09049065 0.08857902 0.0881862  0.08719409 0.0867668  0.08523124 0.08287795 0.0829461  0.08200847 0.08117466 0.08108033 0.08051676 0.08070061 0.08157073 0.07851428 0.0805196  0.08173258 0.08124151 0.08054833 0.08185676 0.08202558 0.08253807 0.08238898 0.08197329 0.08126446 0.07981037 0.07947116 0.07767935 0.07694264 0.07579107 0.07502086 0.0750269  0.07538678 0.07638632 0.07646151 0.07607974 0.07554883 0.07369378 0.07244318 0.07114082 0.07015294 0.06773633 0.067382   0.0676957  0.0695028  0.07319348 0.07706259 0.08206526 0.08891608 0.09577053 0.10350603 0.11082742 0.1193955  0.12567261 0.13152136 0.13936982 0.14192417 0.13933822 0.13899358 0.12423075], 25.23, 23.75, False
2022/11/30 22:51:52.080, 26219651, [ 0.08534597  0.07029906  0.0600291   0.04396303  0.02852268  0.01890413  0.00295431 -0.00338344 -0.01355068 -0.02188079 -0.02703915 -0.03282853 -0.03653348 -0.04218046 -0.04906645 -0.05100673 -0.05701657 -0.06100608 -0.06155127 -0.06594938 -0.07008939 -0.06933498 -0.07371656 -0.07515303 -0.07753801 -0.07967311 -0.0809694  -0.08361884 -0.08849079 -0.08769193 -0.08823901 -0.08886194 -0.09097482 -0.09218086 -0.09274899 -0.09321503 -0.09356022 -0.09271994 -0.09417019 -0.09553934 -0.0959834  -0.09456528 -0.0952142  -0.09555322 -0.09634583 -0.10031502 -0.10011638 -0.09816306 -0.10212582 -0.10384921 -0.10522937 -0.10644481 -0.10489589 -0.10497913 -0.10728579 -0.10721632 -0.1073225  -0.10842315 -0.10937982 -0.11335261 -0.11304834 -0.11202974 -0.11847113 -0.11531556 -0.11392987 -0.11657508 -0.11405841 -0.11088071 -0.10644846 -0.09962712 -0.09167004 -0.0843739  -0.07731142 -0.06756015 -0.06304015 -0.05626736 -0.05088543 -0.04575475 -0.04882045 -0.04936654 -0.05453507], [0.17682883 0.18726943 0.17905159 0.16154083 0.1514595  0.14569807 0.13914592 0.13311812 0.12495945 0.12201122 0.1165088  0.11394775 0.1107733  0.10491197 0.10365527 0.10146551 0.09850143 0.09777297 0.09581394 0.09390025 0.09260558 0.08944231 0.08893324 0.08772924 0.08712758 0.0856717  0.08516472 0.08348816 0.08265588 0.08255863 0.08091666 0.0813238  0.08051634 0.08091703 0.08133456 0.08039937 0.08112916 0.0810604  0.08113836 0.08023669 0.08226489 0.08217721 0.08249306 0.08244666 0.08263431 0.08070395 0.07976513 0.07965615 0.07855977 0.0770821  0.07602634 0.07521146 0.07478175 0.07558459 0.07643765 0.07635468 0.07629302 0.07571206 0.07374291 0.0717321  0.07126077 0.06975295 0.06849662 0.06723649 0.0675475  0.06987339 0.07339284 0.07704241 0.08231805 0.08916788 0.09620683 0.10348507 0.11083064 0.11766844 0.12759069 0.13211597 0.14076251 0.14206482 0.1409476  0.13916782 0.12232086], 25.23, 23.74, False
2022/11/30 22:51:52.330, 26219901, [ 0.08932268  0.06600119  0.05663136  0.04112115  0.02606108  0.01456548  0.00480091 -0.00339214 -0.01488309 -0.0219987  -0.02671313 -0.0337365  -0.04031579 -0.04261437 -0.04658147 -0.05317991 -0.05431532 -0.06073105 -0.06128607 -0.0667507  -0.06895972 -0.07057304 -0.07379575 -0.07501262 -0.07828493 -0.08083495 -0.08140623 -0.08403757 -0.08773363 -0.08810185 -0.08966914 -0.08892147 -0.09159865 -0.09319153 -0.0929551  -0.09350797 -0.09388565 -0.09334132 -0.09556703 -0.09599122 -0.09732684 -0.09545401 -0.09679095 -0.09761304 -0.09784006 -0.10197147 -0.10124263 -0.09985065 -0.10345438 -0.10532288 -0.106863   -0.1078054  -0.1066172  -0.10654807 -0.10888471 -0.10924537 -0.10827782 -0.10999769 -0.11118988 -0.11446305 -0.11480124 -0.1132116  -0.11993174 -0.11664233 -0.11611609 -0.11783944 -0.11507306 -0.1113935  -0.10848846 -0.09995745 -0.09249779 -0.0866545  -0.07977862 -0.06991487 -0.06379573 -0.05855574 -0.05324862 -0.04897022 -0.04975448 -0.05179684 -0.05529122], [0.19151159 0.18112858 0.16578885 0.16001259 0.15210222 0.14220372 0.13336932 0.1287165  0.12859063 0.11881604 0.11655097 0.11143009 0.10847616 0.10394364 0.10274327 0.09901636 0.09787785 0.09506052 0.09514971 0.09219345 0.09141145 0.09042413 0.08886665 0.08772967 0.08712808 0.08519709 0.08432169 0.08305141 0.08274875 0.08140626 0.07994588 0.08089365 0.08090166 0.07937881 0.08011013 0.08067684 0.08048589 0.08090257 0.08065016 0.07992763 0.08118429 0.08172271 0.08228649 0.08262405 0.08168757 0.08032292 0.07934212 0.0788661  0.07777191 0.07629143 0.07546344 0.07426135 0.0746384  0.07543885 0.07608708 0.07620223 0.07549508 0.0751743  0.07403415 0.07142928 0.07064919 0.06936436 0.0677373  0.06730914 0.06677296 0.06962332 0.07264981 0.077044   0.08173972 0.08886373 0.0945805  0.10304594 0.11083284 0.11828847 0.12684964 0.13221036 0.13925259 0.13960663 0.14054347 0.13762688 0.1202191 ], 25.22, 23.74, False
2022/11/30 22:51:52.580, 26220150, [ 0.09404971  0.06603156  0.05008577  0.04116003  0.02356732  0.02109954  0.00118449 -0.004814   -0.01028273 -0.02176914 -0.02929047 -0.03496331 -0.03950547 -0.04061174 -0.04896184 -0.05317661 -0.05556702 -0.06081986 -0.06137273 -0.06617832 -0.06984426 -0.07056891 -0.07371541 -0.07493637 -0.0786167  -0.08062777 -0.08217418 -0.08396898 -0.0887643  -0.08912668 -0.08935546 -0.08992085 -0.09019318 -0.09372344 -0.09295062 -0.09335932 -0.09466653 -0.09386709 -0.09488841 -0.09582429 -0.09681185 -0.09648298 -0.09722781 -0.0965898  -0.09834136 -0.1018253  -0.10141851 -0.09996128 -0.1038057  -0.10549869 -0.10686164 -0.10816631 -0.10639699 -0.10651193 -0.10907434 -0.10904785 -0.10937437 -0.10982505 -0.11093245 -0.11568938 -0.11413132 -0.114312   -0.12040096 -0.1161835  -0.11635537 -0.11930777 -0.11535266 -0.1133583  -0.10954304 -0.1010774  -0.09411894 -0.08617816 -0.0808315  -0.07087858 -0.06518244 -0.05871436 -0.05403485 -0.04959522 -0.05068586 -0.05238405 -0.05592615], [0.20861975 0.18114337 0.17651571 0.16061232 0.15505361 0.13962936 0.13820143 0.13007223 0.1248232  0.1205425  0.11489763 0.11016085 0.10964611 0.10384014 0.10175466 0.10232995 0.09872013 0.09632627 0.09587645 0.09348241 0.09267149 0.09003325 0.08948774 0.08740504 0.08682823 0.08615793 0.08451934 0.08368671 0.0825234  0.08255825 0.08143572 0.08138599 0.08016402 0.08064    0.08080815 0.08117602 0.08090866 0.08151876 0.08153957 0.08036129 0.08180817 0.08248086 0.08259672 0.08282601 0.08273372 0.08098837 0.08023435 0.0791443  0.07758718 0.07666247 0.0760717  0.0752077  0.07473147 0.07602659 0.07658252 0.07630109 0.07644378 0.07494259 0.07431213 0.07213851 0.07095412 0.07007438 0.06870266 0.06745399 0.06779364 0.06990247 0.07291971 0.07713122 0.0818012  0.08938193 0.09569053 0.10308503 0.11033854 0.11880807 0.1274652  0.13229947 0.13773727 0.14206404 0.14054092 0.13899201 0.12290705], 25.23, 23.74, False
2022/11/30 22:51:52.829, 26220400, [ 0.09837428  0.073625    0.05985455  0.03270623  0.02603926  0.02109109 -0.00076264 -0.00328976 -0.01202263 -0.01925279 -0.02895941 -0.03373217 -0.03847926 -0.04417878 -0.05003549 -0.05189779 -0.05711414 -0.05948897 -0.06181047 -0.0674856  -0.06879489 -0.07237272 -0.07318616 -0.07458113 -0.07888556 -0.07999292 -0.08211096 -0.08575857 -0.08821726 -0.0890685  -0.0886827  -0.08944846 -0.0908152  -0.09356363 -0.09290294 -0.09432452 -0.09466802 -0.09347214 -0.09624201 -0.09659938 -0.09669836 -0.09698153 -0.09734481 -0.09652417 -0.09830961 -0.10218001 -0.10109716 -0.09978501 -0.10334218 -0.10500134 -0.10733163 -0.10831412 -0.10628181 -0.10681908 -0.10876248 -0.10853293 -0.10840497 -0.10982588 -0.11050192 -0.11528082 -0.11378523 -0.11337073 -0.12023191 -0.11568482 -0.11578468 -0.11822422 -0.11539208 -0.11169732 -0.10918317 -0.10107799 -0.09370779 -0.08622572 -0.07932388 -0.06917819 -0.06454934 -0.0583278  -0.05403523 -0.0489696  -0.05042083 -0.05108449 -0.05409837], [0.18300036 0.17656864 0.17377429 0.16491522 0.15766937 0.14478514 0.13337264 0.1342435  0.12468231 0.11890226 0.11794804 0.11143155 0.11077305 0.10491177 0.10278204 0.1007449  0.09793193 0.09650573 0.09581431 0.09306583 0.09253965 0.09101465 0.08815803 0.08766297 0.08676206 0.08553911 0.08348601 0.08318319 0.083684   0.081458   0.08072179 0.08102443 0.08045566 0.07999028 0.08066231 0.07976052 0.08033461 0.08081504 0.08090535 0.08033665 0.08129174 0.08158353 0.08234475 0.08249102 0.08168628 0.08051781 0.0791095  0.07881944 0.07744581 0.07629022 0.0755095  0.07464211 0.0742972  0.07494439 0.07573359 0.07563296 0.07565246 0.07478889 0.07340366 0.07173241 0.07064836 0.06903182 0.06829647 0.06745459 0.06731382 0.0687168  0.07250246 0.07734022 0.08141198 0.08906102 0.09584969 0.10304469 0.11033964 0.11766898 0.12622905 0.13298811 0.13813754 0.14192417 0.14183297 0.13839664 0.12290824], 25.23, 23.74, False
