exp,bottle,tp,datetime,date,time,wl,c,c_se,a,a_se,b
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,400,0.775704105,5.278286262907339e-4,0.1487236975,6.975854980712535e-4,0.6269804075
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,404.6,0.7674756400000001,4.971742797714134e-4,0.15352120249999995,3.738787304852345e-4,0.6139544375000001
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,408.7,0.7595839875,4.765930825434013e-4,0.15776676999999997,3.7397509292585795e-4,0.6018172175000001
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,412.5,0.7563448862500001,4.584643052214222e-4,0.16051320500000002,3.4411513063315884e-4,0.5958316812500001
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,416.9,0.7508335975,4.5019732307209837e-4,0.16424067,2.3515100165489441e-4,0.5865929275
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,421.4,0.7455678637500001,4.462786554985614e-4,0.16819328249999999,2.695278927955954e-4,0.5773745812500001
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,426.5,0.7425034025,4.402758848483448e-4,0.17276813499999996,1.67094766114998e-4,0.5697352675
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,430.9,0.7383790125,4.329536600665436e-4,0.17766819250000002,1.6272366416248565e-4,0.56071082
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,435.5,0.73735331875,4.321361532416941e-4,0.1793354775,1.6412684995004403e-4,0.55801784125
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,439.8,0.7342555150000001,4.241824199347064e-4,0.177884155,1.429523154191396e-4,0.5563713600000001
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,444.8,0.729171915,4.2138048145774255e-4,0.1766643525,1.3381141198457746e-4,0.5525075625
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,449.9,0.72026760375,4.207227830891906e-4,0.170376155,1.270239283938586e-4,0.54989144875
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,455,0.70795783125,4.1187838591155316e-4,0.16437320749999998,1.6832771108407407e-4,0.54358462375
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,459.4,0.6971394725,4.110366824568205e-4,0.160640565,1.2585391824226788e-4,0.5364989075
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,463.8,0.68668873625,4.0829019962375563e-4,0.1580490825,1.2515023383273197e-4,0.52863965375
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,468.7,0.6775902100000001,4.045013851541462e-4,0.15606562749999997,1.2044080795726043e-4,0.5215245825000001
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,474,0.6702465375,4.037531139827038e-4,0.1543010775,1.1296686969424987e-4,0.51594546
OL22-2,A,1,2022-11-30T17:26:00Z,2022-11-30,09:26:00,479.2,0.6630209187500001,3.996500374726341e-4,0.151940845,1.1830779520979247e-4,0.5110800737500001
