time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/12/08 11:15:13.507, 70872352, [0.9193887  0.89171013 0.8698012  0.83237689 0.83702631 0.80312756 0.7961489  0.7951487  0.77986287 0.77830571 0.76584365 0.74716416 0.72674774 0.7099446  0.68650666 0.67634586 0.66332026 0.65439686 0.64188968 0.62880981 0.60946087 0.58922695 0.5651907  0.54418977 0.52167363 0.50047658 0.48157514 0.46041593 0.44122911 0.42562542 0.41018564 0.39645303 0.38100328 0.36754679 0.35650573 0.34540345 0.33734432 0.32990773 0.32097749 0.31383706 0.30815667 0.30182236 0.29502061 0.28846934 0.28070034 0.27076641 0.26536483 0.26178348 0.25313609 0.24845004 0.24426435 0.24198895 0.2420058  0.23832332 0.23351883 0.23386299 0.23944013 0.24700716 0.25301418 0.25096527 0.24546146 0.23144194 0.20996292 0.19879159 0.18730312 0.17712962 0.17130396 0.16777767 0.16652411 0.17064635 0.17400627 0.17875681 0.18019114 0.18791457 0.18963288 0.19282108 0.1960914  0.19766068 0.19387828 0.19190872 0.18523883], [0.40836758 0.39168519 0.37330129 0.37877382 0.37548885 0.37220913 0.37490552 0.37415185 0.37268268 0.36697812 0.35892321 0.34442347 0.32978843 0.31861943 0.31560135 0.31006127 0.30594063 0.30011959 0.29390258 0.28101444 0.26578863 0.24977545 0.23609711 0.22434439 0.21458941 0.20410882 0.1951649  0.18723095 0.1805757  0.1741834  0.16837891 0.16461028 0.16129479 0.15838855 0.15635078 0.15532073 0.15555001 0.15590691 0.15588091 0.1539811  0.15466052 0.15489581 0.15454841 0.15370246 0.1535557  0.15192146 0.15146543 0.15177943 0.15221522 0.15339906 0.15629307 0.15721479 0.15859228 0.16050219 0.16477431 0.17257181 0.18167549 0.1867177  0.18609909 0.17674345 0.16336277 0.14766787 0.13420884 0.12505982 0.12058894 0.11793009 0.12027894 0.1212438  0.12426914 0.13028088 0.13473278 0.1420948  0.14892328 0.15685406 0.16308325 0.16667327 0.17322628 0.17735278 0.17477031 0.17375205 0.15887802], 24.97, 23.74, False
2022/12/08 11:15:13.757, 70872602, [0.93110986 0.89609613 0.87881254 0.84220868 0.83003416 0.81101358 0.79647964 0.79193307 0.78824297 0.77259233 0.76890152 0.74830246 0.72787265 0.71096775 0.69195353 0.67550927 0.66405373 0.65301115 0.64502332 0.62707339 0.61159011 0.58923627 0.56519185 0.54461176 0.52170526 0.49969864 0.4815963  0.4604169  0.44091368 0.42565087 0.41052302 0.39593861 0.38133604 0.36735783 0.35602385 0.34586379 0.3364901  0.33040251 0.32045704 0.31313207 0.30711974 0.30062347 0.29349424 0.28717233 0.27908148 0.26930801 0.26440555 0.26017044 0.25137289 0.2466468  0.24264466 0.24085509 0.24049951 0.23697637 0.23231833 0.23241461 0.2381496  0.24587996 0.25162589 0.24994675 0.24391343 0.23077143 0.20803466 0.19754934 0.18651271 0.17477896 0.17006585 0.16810845 0.16688819 0.16868055 0.1731283  0.17638543 0.1788208  0.18706056 0.18808302 0.19302942 0.194657   0.19741072 0.19220867 0.19083296 0.18294479], [0.39010554 0.384836   0.37727527 0.3660354  0.36864684 0.37092997 0.3731     0.36707162 0.37445379 0.36640905 0.3573795  0.34306318 0.32967531 0.31849809 0.31080814 0.3092149  0.30441344 0.29878707 0.29396731 0.28039669 0.26535311 0.24924753 0.23614842 0.22399056 0.21339426 0.2038661  0.19433657 0.18640235 0.18027389 0.17345205 0.16861447 0.16341544 0.16139909 0.15855515 0.15657613 0.15623606 0.15517061 0.15574632 0.15553082 0.15421519 0.15527603 0.15493887 0.15411729 0.15429925 0.15370207 0.15239992 0.15206909 0.15239597 0.15291604 0.15434575 0.15620295 0.15769824 0.15863883 0.16040615 0.16518805 0.17299659 0.18103177 0.18778323 0.18609881 0.17692623 0.16349187 0.14780243 0.13469713 0.12542177 0.11980344 0.11876954 0.11951521 0.12100802 0.12408862 0.13033053 0.13509887 0.14252456 0.14741849 0.15427223 0.16140839 0.16816204 0.1736121  0.17569225 0.175497   0.17338368 0.15953081], 24.97, 23.75, False
2022/12/08 11:15:14.007, 70872853, [0.94138213 0.89875878 0.87556447 0.84985682 0.83712739 0.81849588 0.80073899 0.79314437 0.78493416 0.77414905 0.76904043 0.75079545 0.73012173 0.71294533 0.69195353 0.67394821 0.66489715 0.65441748 0.64630487 0.6293923  0.61265118 0.58872014 0.56698124 0.54545414 0.52447193 0.50157687 0.48153618 0.46170329 0.44281376 0.42623048 0.41159357 0.39726509 0.38253436 0.36926262 0.35815807 0.34660409 0.33942029 0.33097333 0.32254092 0.31572932 0.3072101  0.30195363 0.2948535  0.28828683 0.28138446 0.2709453  0.26572249 0.26194325 0.25351145 0.24775657 0.24442462 0.24196867 0.24163391 0.23882896 0.23369072 0.23403915 0.23939743 0.24658804 0.25316543 0.25180462 0.24589093 0.2325858  0.20998934 0.19928939 0.18809499 0.17684749 0.17191498 0.16876895 0.1676123  0.17067169 0.17567174 0.17795028 0.18206492 0.18791502 0.19028636 0.19378938 0.19777935 0.198585   0.19620267 0.19298523 0.18638664], [0.39922755 0.38705585 0.37957407 0.37535027 0.37462145 0.37546358 0.36852857 0.37616089 0.37242282 0.37088723 0.35751391 0.34297291 0.32984542 0.31961438 0.31271546 0.31006945 0.30753114 0.29949086 0.29259271 0.28159244 0.26635707 0.24958077 0.23609707 0.22445062 0.21371924 0.20345413 0.1943817  0.18697405 0.1802146  0.17366135 0.1689716  0.16497599 0.16076623 0.15861042 0.15714361 0.15612985 0.1559285  0.15600676 0.15533718 0.15435913 0.1550256  0.1549823  0.15435376 0.15366053 0.15311487 0.15210848 0.15169461 0.15225239 0.15192909 0.15358582 0.15558111 0.15778986 0.15903018 0.16065299 0.16487954 0.1723138  0.18065405 0.18744564 0.18609881 0.17662576 0.1631095  0.14740335 0.13434362 0.12498984 0.11939858 0.11851334 0.11958508 0.12070632 0.12604451 0.13064496 0.13513464 0.14113591 0.14793665 0.15539425 0.16259266 0.16816204 0.17219986 0.17696902 0.17672792 0.17356743 0.15822357], 24.97, 23.74, False
2022/12/08 11:15:14.257, 70873102, [0.94578015 0.9014132  0.87556447 0.85838864 0.83055012 0.81932646 0.80533142 0.80090722 0.7869107  0.78038201 0.77279571 0.75317905 0.73228666 0.71301274 0.69565552 0.68133457 0.6701397  0.6592748  0.64883043 0.63230937 0.61690927 0.5931532  0.56926668 0.54927048 0.52605374 0.50453877 0.48508319 0.46440925 0.44632288 0.42925186 0.41422175 0.40001964 0.38483064 0.37165161 0.35968266 0.348993   0.34128892 0.33439566 0.32445969 0.31716497 0.31038834 0.30529191 0.29732936 0.29139532 0.2836347  0.27330986 0.26840515 0.26449569 0.25549676 0.2511468  0.24664522 0.24470399 0.24425525 0.24080917 0.23585864 0.23626115 0.24175608 0.24945181 0.25550941 0.25316291 0.24753619 0.2350481  0.21231162 0.20092969 0.19075782 0.17880538 0.1743581  0.1720731  0.16978671 0.17383389 0.17702112 0.18080902 0.18460184 0.19071631 0.19232769 0.19641331 0.19811707 0.20232466 0.19687444 0.19549421 0.18829482], [0.37029634 0.39190939 0.38687933 0.37996654 0.3699057  0.37871959 0.37766621 0.37309119 0.37137949 0.36874081 0.35865388 0.34433322 0.32725327 0.31741276 0.31079791 0.31094516 0.30439733 0.30016962 0.29332909 0.28039669 0.26701387 0.2487684  0.23658844 0.22491063 0.21371924 0.20457702 0.19461252 0.18628491 0.17943878 0.17418302 0.16903057 0.16516867 0.16075767 0.15911083 0.15666923 0.15547971 0.15589435 0.1559566  0.15536401 0.15426528 0.15511588 0.15482675 0.15400735 0.15372682 0.15340846 0.15210848 0.15127768 0.15167813 0.15174296 0.15354184 0.1560041  0.15750639 0.15844314 0.16035051 0.16477389 0.17272971 0.18151191 0.18700183 0.18615436 0.17728529 0.16304767 0.1480609  0.13420852 0.12519884 0.12032561 0.11792956 0.11993175 0.12100802 0.12514234 0.1300162  0.13590361 0.14250828 0.14840432 0.15487031 0.16259266 0.167965   0.17309076 0.17598984 0.17583257 0.17279306 0.15760726], 24.97, 23.74, False
2022/12/08 11:15:14.506, 70873352, [0.94283293 0.89984254 0.87638898 0.84918662 0.83304566 0.81667781 0.80498989 0.78965501 0.78866655 0.78193555 0.77042725 0.75339665 0.73020406 0.71498771 0.6920026  0.67725864 0.66785397 0.65580235 0.64695105 0.63056815 0.6137162  0.59167428 0.56744793 0.54716072 0.52369344 0.50345206 0.48404723 0.46309698 0.44378406 0.42771347 0.41278597 0.39804825 0.38385796 0.36920874 0.35952751 0.34754697 0.33897788 0.33240855 0.32256247 0.31529355 0.30837517 0.30214384 0.29552242 0.28930954 0.28136556 0.27158455 0.26566545 0.26210186 0.25378918 0.24841    0.2444238  0.24227141 0.24161222 0.2386596  0.23386135 0.23438956 0.23959899 0.24694094 0.25301312 0.25114462 0.24610381 0.23188818 0.2109261  0.1992877  0.1881175  0.17706166 0.17227166 0.16875576 0.16761081 0.17105659 0.17444449 0.17843455 0.1809821  0.18900954 0.18995894 0.19434009 0.19870721 0.19862718 0.19320598 0.19370082 0.18523843], [0.37932739 0.39433794 0.39083043 0.37652977 0.37162976 0.37742547 0.37814189 0.37450366 0.37189588 0.36483663 0.35737833 0.34297145 0.33094315 0.31855823 0.31272591 0.31006989 0.30433361 0.30087471 0.29135027 0.28101508 0.26578884 0.24977568 0.23532009 0.22409729 0.21344968 0.20463429 0.19500465 0.18703361 0.18015619 0.17384122 0.16897295 0.16436069 0.16028773 0.15811146 0.15720724 0.15583959 0.15589577 0.15564743 0.1551182  0.15414798 0.15532234 0.15458543 0.15454914 0.15381111 0.15303349 0.15173498 0.15184088 0.15211033 0.1521164  0.15401661 0.15639347 0.15736172 0.15882795 0.1606543  0.16513221 0.17257253 0.18103278 0.18738395 0.1859244  0.17711027 0.16311033 0.14766856 0.13455511 0.12535302 0.11980468 0.11800255 0.11958674 0.12057476 0.12526339 0.13069633 0.13557391 0.14252581 0.14843985 0.155957   0.16273075 0.16935784 0.17347961 0.17614105 0.1763935  0.17338605 0.15695502], 24.97, 23.75, False
2022/12/08 11:15:14.756, 70873602, [0.93110986 0.90472998 0.88121289 0.85138951 0.8360856  0.82113006 0.80073899 0.79340986 0.79176875 0.77847935 0.77432792 0.75453785 0.72995219 0.71505877 0.69467756 0.67889803 0.66712371 0.65651869 0.64947872 0.63172726 0.61425092 0.59365155 0.56696478 0.54968035 0.52565822 0.50420042 0.48473236 0.46478556 0.44473816 0.42927598 0.41429593 0.39918317 0.38403963 0.37060904 0.35897091 0.34904386 0.34045831 0.33350494 0.3237973  0.31659503 0.31051665 0.30460598 0.29705113 0.29077337 0.2829865  0.27304485 0.26762359 0.26407334 0.25503994 0.24985787 0.24636529 0.2437516  0.24363632 0.23998741 0.23519302 0.23505134 0.2414361  0.24888762 0.2547945  0.25255096 0.24670156 0.23392868 0.21134666 0.19976149 0.18862256 0.17797879 0.17345926 0.16975991 0.16906092 0.17145582 0.17658158 0.17929735 0.18243792 0.18901089 0.19148352 0.19565307 0.19896104 0.1986278  0.19487693 0.19513866 0.18638664], [0.40472584 0.38705585 0.39084169 0.37640326 0.3699057  0.37156963 0.37357641 0.37179139 0.37340635 0.36678891 0.35724518 0.34560286 0.32978868 0.31961438 0.31463208 0.31006945 0.30514474 0.30021992 0.29269098 0.28170942 0.26578853 0.24967808 0.23609707 0.2248044  0.21328415 0.20410855 0.19516463 0.18760457 0.1802146  0.17412348 0.16858652 0.16356877 0.16153007 0.15822093 0.1568792  0.15577145 0.15534231 0.15562562 0.15570826 0.15400557 0.1552309  0.15493887 0.15463235 0.15429925 0.15363791 0.15244174 0.15142255 0.15216689 0.15240095 0.15378425 0.15620295 0.15793589 0.15913195 0.1606052  0.1652852  0.17288798 0.18195045 0.18805819 0.18621853 0.17716798 0.16399785 0.14766752 0.13525322 0.1257284  0.11987451 0.11851334 0.11993175 0.12130973 0.12547362 0.13038062 0.13644863 0.1421107  0.14743518 0.15651658 0.16203451 0.16856188 0.17436872 0.17545734 0.17711903 0.17279306 0.15887742], 24.97, 23.75, False
2022/12/08 11:15:15.006, 70873853, [0.94141461 0.90475437 0.8861725  0.85206572 0.83610303 0.81670752 0.80764135 0.80118523 0.7855867  0.7850714  0.77572673 0.75465505 0.73350109 0.71431079 0.69669006 0.6805381  0.67008548 0.65995148 0.64821075 0.63348534 0.61531911 0.59364376 0.57064111 0.55010548 0.52686362 0.50569518 0.48475663 0.46539016 0.44603393 0.42948606 0.41448783 0.4008353  0.38516577 0.37170608 0.36014385 0.34943043 0.34144974 0.33377887 0.32486482 0.31757853 0.30974804 0.30407336 0.29634432 0.28989699 0.28264576 0.27238726 0.26728591 0.26304207 0.25490172 0.24916498 0.24570597 0.24326636 0.24239747 0.23982012 0.23450772 0.23485574 0.24069069 0.24729805 0.25433938 0.25196492 0.24606012 0.23323523 0.21137519 0.19929165 0.18917723 0.17765422 0.17283286 0.16940898 0.1679764  0.17222845 0.17485701 0.17806106 0.18298034 0.18986258 0.18960707 0.19565457 0.19837099 0.19984646 0.1962212  0.19083386 0.18868365], [0.37934723 0.39412863 0.38125655 0.37536055 0.37376103 0.37354107 0.36987096 0.3741594  0.37393595 0.36503256 0.35543669 0.34705718 0.32863414 0.31967653 0.31370696 0.31007303 0.3059235  0.2995149  0.29329495 0.28282572 0.26430474 0.25063628 0.23516544 0.22515786 0.21382875 0.20463238 0.19527884 0.18665764 0.17979589 0.1744649  0.16870273 0.16429963 0.16181194 0.15833092 0.15762372 0.15659232 0.15632314 0.15587458 0.15555564 0.15431007 0.15559479 0.1559322  0.15465655 0.15402375 0.15351221 0.15235595 0.1517528  0.15206405 0.15254224 0.15392583 0.15634527 0.15818035 0.15962339 0.16095376 0.16533209 0.17278718 0.18194909 0.18767586 0.18609767 0.17716673 0.16349075 0.14812984 0.13441775 0.1260198  0.11994393 0.1185826  0.12034359 0.12117546 0.12508087 0.13027869 0.13590198 0.14341604 0.14741628 0.15542927 0.16272626 0.16855952 0.17360101 0.17598673 0.1756627  0.17452246 0.15911709], 24.98, 23.75, False
2022/12/08 11:15:15.257, 70874102, [0.95014898 0.890122   0.8796397  0.85049792 0.83910168 0.82070106 0.80302573 0.79541084 0.78514077 0.78453452 0.76889679 0.75578174 0.73219876 0.71212135 0.69118012 0.67889604 0.66565556 0.65651635 0.64696408 0.63114258 0.61371889 0.59018977 0.5678773  0.54670341 0.52484936 0.50272461 0.48367667 0.46307512 0.44407742 0.42612988 0.41333416 0.39785301 0.38248043 0.36942456 0.35807882 0.34757248 0.33962564 0.33129512 0.32287104 0.31552176 0.30775968 0.30216413 0.29466554 0.28808449 0.28087968 0.27096283 0.26534554 0.26144509 0.25315479 0.24761718 0.24390336 0.24164376 0.24109596 0.23849115 0.23298232 0.23346793 0.23925783 0.24663042 0.25301312 0.25053301 0.2447695  0.23191268 0.20897115 0.19824271 0.18677441 0.17538716 0.17160828 0.16842546 0.1668867  0.16988668 0.1744137  0.17697833 0.18089833 0.18876383 0.18808233 0.19261243 0.19465644 0.1989209  0.19420436 0.19119187 0.18638604], [0.40471734 0.38259815 0.37726402 0.38115138 0.3737482  0.37092669 0.37033709 0.37414883 0.37444901 0.36678604 0.36060274 0.34714544 0.32984465 0.32175527 0.31368457 0.30918925 0.30668961 0.30017055 0.29393588 0.28151537 0.26736189 0.25015772 0.23741755 0.22418501 0.21447979 0.20517608 0.19555684 0.18792076 0.1809346  0.17457251 0.16852886 0.16499656 0.1611167  0.15911227 0.1575106  0.15638347 0.1562054  0.15631891 0.1557582  0.15459857 0.15543736 0.15538133 0.15450698 0.15406824 0.153786   0.15240153 0.15202813 0.15211033 0.15254501 0.15449018 0.15639347 0.15760797 0.15893754 0.16135485 0.16559497 0.17263143 0.18205384 0.18800601 0.18661679 0.17741783 0.16380749 0.14806193 0.13490865 0.12535302 0.12063581 0.11844353 0.1196566  0.12081012 0.12514346 0.12960298 0.13543094 0.14297237 0.1474285  0.15655556 0.16377889 0.16727143 0.17385795 0.17584335 0.17566629 0.174528   0.1578144 ], 24.97, 23.75, False
2022/12/08 11:15:15.507, 70874352, [0.93252282 0.90734304 0.87637214 0.84567351 0.84107198 0.81098811 0.8010518  0.79540429 0.78822812 0.77708067 0.77014383 0.75214444 0.73124172 0.71102839 0.69205168 0.67877806 0.66630207 0.65849363 0.64564197 0.62882718 0.61424369 0.59217039 0.56652885 0.5467008  0.52369049 0.50233156 0.48441437 0.46273948 0.44273595 0.42773453 0.41223478 0.39779988 0.38337038 0.36872329 0.35888962 0.34621668 0.33835299 0.33161266 0.32232406 0.31554237 0.30941148 0.30282799 0.29637809 0.28943634 0.28167062 0.27172517 0.26614458 0.26204439 0.25374971 0.24886532 0.2452231  0.24293943 0.24243706 0.23952197 0.23379691 0.23450019 0.23973584 0.24773524 0.25377034 0.2513465  0.24629298 0.23253318 0.21063785 0.19926078 0.18837929 0.17679906 0.17221746 0.16908437 0.16869711 0.17105571 0.17573018 0.17837872 0.18289246 0.18681649 0.19115504 0.19489072 0.19811594 0.19862656 0.19520218 0.19155095 0.18792126], [0.38122326 0.38240034 0.38289054 0.37533485 0.3737427  0.36570487 0.37033375 0.37378986 0.37365827 0.36483376 0.35905628 0.34451183 0.33215469 0.32063752 0.31175633 0.31007448 0.30669039 0.30087564 0.29329869 0.28217279 0.26649043 0.24919952 0.23565731 0.22531818 0.21415505 0.20457865 0.19600659 0.18709316 0.18123162 0.1749306  0.16924138 0.16542193 0.16199513 0.15850192 0.15694435 0.15607973 0.15679285 0.15670135 0.15558762 0.15507258 0.15550845 0.15545118 0.15485449 0.15440966 0.15351654 0.15231948 0.15194477 0.15272889 0.15278874 0.15430425 0.15630529 0.15809329 0.15893882 0.16080685 0.16564479 0.17263251 0.1822181  0.18767884 0.18627578 0.17735297 0.16349354 0.14839742 0.13518768 0.12550723 0.12032808 0.11917158 0.12055853 0.12228366 0.12487333 0.13147668 0.13550366 0.1429574  0.14840764 0.15491069 0.16280079 0.16717485 0.17437272 0.1765267  0.17566783 0.17357218 0.15888103], 24.96, 23.75, False
