exp,bottle,tp,datetime,date,time,wl,c,c_se,a,a_se,b
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,400,1.6075935433333335,5.111132613139326e-4,0.31575879000000007,0.0028556089047948956,1.2918347533333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,404.6,1.5911025366666667,4.448496823537342e-4,0.3264720333333333,0.0022365206387307407,1.2646305033333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,408.7,1.57395892,4.1683156607898425e-4,0.33259310000000003,0.0026941346375884924,1.24136582
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,412.5,1.55897979,3.5687180391018623e-4,0.3424954766666667,0.0025903494647017285,1.2164843133333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,416.9,1.5478977566666667,3.02522764596933e-4,0.3521245966666667,8.61617130104951e-4,1.1957731600000001
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,421.4,1.53554625,3.187180904363975e-4,0.3608442666666667,0.0012507817922368953,1.1747019833333332
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,426.5,1.5256520266666667,2.7105204484876737e-4,0.36902834666666673,0.0010896072341893307,1.15662368
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,430.9,1.5182873633333334,2.900380136786327e-4,0.37906431666666673,7.886624016594783e-4,1.1392230466666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,435.5,1.51093648,2.493803201340615e-4,0.38319919333333335,8.24479704866232e-4,1.1277372866666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,439.8,1.5036207133333335,2.4033138495417359e-4,0.38014235333333335,8.150633696001738e-4,1.12347836
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,444.8,1.4864886766666667,2.514149349946343e-4,0.37076773,0.001036235953496562,1.1157209466666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,449.9,1.4610970466666666,2.340051170630645e-4,0.3560182066666666,7.899070136758677e-4,1.10507884
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,455,1.43191798,2.3418745171436772e-4,0.3418478833333334,7.863665913212672e-4,1.0900700966666665
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,459.4,1.40150036,2.1971570135764706e-4,0.3333181333333333,7.162819284653926e-4,1.0681822266666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,463.8,1.3753423433333334,2.2741203502307756e-4,0.3253845166666667,6.507229485260128e-4,1.0499578266666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,468.7,1.34968484,2.2474566692914555e-4,0.31901426666666666,6.242501910958632e-4,1.0306705733333335
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,474,1.3244735166666666,2.185276319573266e-4,0.31490945,5.418371361617214e-4,1.0095640666666665
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,479.2,1.3023093700000001,2.1057566100673032e-4,0.31367058000000003,4.97653874173778e-4,0.9886387900000001
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,484.1,1.2855512633333335,2.1478126073608568e-4,0.31664618,4.910289585236318e-4,0.9689050833333335
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,489.2,1.2765150133333334,2.0422419394938967e-4,0.3218976866666666,4.352269199796156e-4,0.9546173266666668
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,493.9,1.2702729266666666,2.058410495914201e-4,0.3207208766666667,4.0738099411324517e-4,0.9495520499999999
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,498.9,1.2556919333333334,2.056488852591337e-4,0.30660415333333335,3.681578388656351e-4,0.94908778
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,503.8,1.22859274,1.998742102395121e-4,0.28341357666666667,3.26154696020076e-4,0.9451791633333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,508.7,1.1909976999999998,2.0356299230019968e-4,0.25645789333333335,3.169226084322421e-4,0.9345398066666665
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,514,1.1490467500000001,1.99918742199386e-4,0.23187607666666665,2.7733516297308937e-4,0.9171706733333335
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,519.7,1.1079836633333333,1.957852856662639e-4,0.21290165333333333,2.6696942114850066e-4,0.89508201
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,524.8,1.07245174,1.9329052195881592e-4,0.20036121666666665,2.3739178282766054e-4,0.8720905233333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,529.9,1.0435821733333333,1.8906398509316286e-4,0.19384662666666663,2.1645183895157384e-4,0.8497355466666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,534.6,1.0205735033333334,1.899178813899854e-4,0.19054595000000002,1.9417773385866678e-4,0.8300275533333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,539.6,1.00118845,1.8427883006110228e-4,0.18809208,1.7231617874356573e-4,0.8130963699999999
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,544.4,0.98359138,1.8384537395398065e-4,0.1853698866666667,1.5376049184778908e-4,0.7982214933333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,549.7,0.9659433233333333,1.7920023517824956e-4,0.18042165333333332,1.3608458383179296e-4,0.7855216700000001
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,554.6,0.9467869266666668,1.797819705583811e-4,0.17429399999999998,1.2238564119735135e-4,0.7724929266666668
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,560.1,0.92781734,1.785265785917012e-4,0.16836448333333331,1.1397781790786921e-4,0.7594528566666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,565.2,0.9086041866666668,1.751696782170855e-4,0.16323738999999998,1.1385780935352443e-4,0.7453667966666668
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,569.8,0.89141625,1.7319913227836656e-4,0.15849149666666668,9.640958504914085e-5,0.7329247533333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,574.2,0.8757037733333334,1.7348649914442714e-4,0.15339171333333332,8.670533904932173e-5,0.72231206
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,579,0.85820447,1.7185589279168333e-4,0.14762618333333333,8.433815330184784e-5,0.7105782866666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,583.4,0.84111914,0.00016863776991279491,0.14242380333333332,8.14403913054996e-5,0.6986953366666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,587.8,0.8249417333333333,1.6896965554063413e-4,0.13836205666666665,1.0289395155481734e-4,0.6865796766666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,592.7,0.8110712233333334,1.6568824974783983e-4,0.13423023666666667,1.5310640363035496e-4,0.6768409866666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,597.4,0.79695603,1.6340027640579792e-4,0.13210670666666668,1.5426207457735203e-4,0.6648493233333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,602.1,0.78396377,1.6241717847713074e-4,0.13100106333333333,1.5256897225798623e-4,0.6529627066666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,607,0.7721279133333333,1.6069288210447262e-4,0.13060406000000002,1.5219191651803638e-4,0.6415238533333333
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,612,0.7612308333333333,1.588854736992597e-4,0.13102903666666668,1.5424914105391434e-4,0.6302017966666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,616.9,0.7510522713333333,1.5809055791264924e-4,0.13191510333333334,1.5579984072772377e-4,0.619137168
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,621.9,0.7417893966666667,1.5487142577423315e-4,0.13290964,1.5625114326575198e-4,0.6088797566666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,626.5,0.732814656,1.5421477829170133e-4,0.13346988333333332,1.59169494457824e-4,0.5993447726666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,631.2,0.7239461,1.538253923092374e-4,0.1336717,1.542601742782373e-4,0.5902744
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,635.8,0.7151014633333334,1.530258964278402e-4,0.13307132,1.542759914093553e-4,0.5820301433333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,640.8,0.7056973966666666,1.520423550922697e-4,0.13197213333333335,1.5097490279562115e-4,0.5737252633333333
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,645.3,0.6955514899999999,1.503301071660117e-4,0.13122253333333334,1.5106957699905787e-4,0.5643289566666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,650.2,0.6859436600000001,1.4876936592074725e-4,0.13180966,1.4632221912464497e-4,0.5541340000000001
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,654.9,0.6776431466666667,1.4719246321771552e-4,0.13512129,1.454632758161723e-4,0.5425218566666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,659.3,0.67252567,1.462198235971488e-4,0.14185794666666665,1.382863178849653e-4,0.5306677233333333
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,663.9,0.6721952166666667,1.4564831392215564e-4,0.15231103333333335,1.3435300625816e-4,0.5198841833333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,668.8,0.67625716,1.4469275512641008e-4,0.1640279533333333,1.324861399288985e-4,0.5122292066666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,673.2,0.68366152,1.4384092114673938e-4,0.17374346333333335,1.252437893328888e-4,0.5099180566666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,677.6,0.6904939033333334,1.4458735936820357e-4,0.1783246266666667,1.2684663992738328e-4,0.5121692766666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,681.9,0.6929888566666667,1.4527280385635567e-4,0.17523641333333334,1.2874974309044933e-4,0.5177524433333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,686.1,0.6887240466666666,1.4494960133883632e-4,0.16482424,1.155345083483031e-4,0.5238998066666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,690,0.6761075366666667,1.4512900464383745e-4,0.14960854,1.1089990265049004e-4,0.5264989966666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,693.9,0.65819634,1.4395090386193536e-4,0.13397003666666668,1.0376357991616862e-4,0.5242263033333334
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,697.8,0.6389009566666667,1.4444262410815727e-4,0.12058076,1.0149677778471027e-4,0.5183201966666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,701.8,0.6206472366666667,1.4399989894057258e-4,0.11060138000000001,1.1275620251299679e-4,0.5100458566666667
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,705.5,0.6052412233333334,1.4321116702947401e-4,0.10352712666666668,1.1024627738874601e-4,0.5017140966666668
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,709.1,0.5929199,1.4296281522285562e-4,0.09819216,1.282965545655341e-4,0.4947277400000001
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,712.8,0.5824723533333334,1.4177423138593312e-4,0.09492084,1.4498241386306908e-4,0.48755151333333335
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,716.6,0.5746382666666667,1.436250366248999e-4,0.09221005,1.600287507384147e-4,0.48242821666666674
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,719.8,0.5674091133333333,1.4343774311460867e-4,0.08942057,2.1388575310848421e-4,0.4779885433333333
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,723.2,0.5613798633333333,1.4431410968383142e-4,0.08748288,2.155691546016063e-4,0.47389698333333335
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,726.5,0.55636593,1.4313592542396653e-4,0.08520603,2.566509455946892e-4,0.4711599
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,729.4,0.55134913,1.43428615994985e-4,0.08318252333333334,3.505482972222065e-4,0.46816660666666665
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,732.3,0.5471139866666667,1.4301890388977766e-4,0.08231741000000001,3.8954679466942835e-4,0.46479657666666663
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,735.3,0.5428410466666667,1.4313315868548878e-4,0.07979151999999998,4.363123241776084e-4,0.46304952666666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,738.3,0.5384555910333333,1.433346242748676e-4,0.07786090333333334,4.931018054008033e-4,0.46059468769999995
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,741.3,0.5345214966666667,1.5033682021028182e-4,0.07667598666666667,5.999136589443326e-4,0.45784551000000007
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,744.2,0.5297124400000001,1.460747594516103e-4,0.07381299999999999,6.199311983761441e-4,0.45589944000000004
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,746.7,0.5258252233333334,1.5075957691628217e-4,0.07447847999999999,6.799023554101713e-4,0.45134674333333336
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,749.4,0.5222914333333333,1.5204181328771357e-4,0.07196126666666666,8.7301439357729e-4,0.4503301666666666
SYN22-4,B,1,2022-08-16T16:35:45Z,2022-08-16,09:35:45,751.9,0.5185147666666667,1.5126780600457012e-4,0.07218635000000001,8.144546410376661e-4,0.4463284166666667
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,400,2.4010972400000004,6.985219619548888e-4,0.42251591333333327,0.00914195173964945,1.9785813266666672
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,404.6,2.372140273333333,6.176092154245702e-4,0.44270319999999996,0.0027242991185178127,1.9294370733333333
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,408.7,2.348957313333333,5.429374139021531e-4,0.46201742999999995,0.0051192420843087635,1.886939883333333
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,412.5,2.3276537033333335,5.588326264601286e-4,0.47644782666666674,0.003463676858087422,1.8512058766666668
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,416.9,2.307296736666667,4.709083806745771e-4,0.49415661666666666,0.002753160027135601,1.8131401200000001
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,421.4,2.2924871133333333,4.350560622172132e-4,0.5113259566666667,0.002743648946316928,1.7811611566666667
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,426.5,2.2781963933333333,4.5486971906864816e-4,0.5298677666666667,0.0024796957360241584,1.7483286266666667
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,430.9,2.2655016466666664,4.074574236259185e-4,0.5459357333333333,0.002365782094701585,1.7195659133333332
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,435.5,2.2572793733333336,4.0444946907476495e-4,0.5547865333333334,0.0012898006417225228,1.7024928400000001
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,439.8,2.243961333333333,4.1639937778727734e-4,0.55320076,0.002391316033947655,1.690760573333333
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,444.8,2.2212334633333333,3.8911272235194345e-4,0.5390244000000001,0.0012474918041217788,1.682209063333333
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,449.9,2.1853082633333334,3.8735183311433476e-4,0.5184849699999999,0.0010536364350954704,1.6668232933333336
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,455,2.140946346666667,3.979875593454612e-4,0.4998360666666667,0.0011709437021290281,1.6411102800000004
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,459.4,2.0995261966666665,3.818288280972874e-4,0.48635873999999996,0.0010006059270383635,1.6131674566666665
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,463.8,2.0598319833333334,3.804103408051459e-4,0.47624326333333333,7.685242182965389e-4,1.58358872
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,468.7,2.0213459266666667,3.7847611721305647e-4,0.46646021000000004,9.306536433465527e-4,1.5548857166666665
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,474,1.9849503833333333,3.6303996288202244e-4,0.4599603566666666,8.83178031677837e-4,1.5249900266666667
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,479.2,1.95252775,3.70515497583078e-4,0.4575883766666667,7.151106663572792e-4,1.4949393733333334
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,484.1,1.9286295466666667,3.5379022656018255e-4,0.46252834666666676,7.131927013284431e-4,1.4661012
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,489.2,1.9155793966666668,3.5331107940006517e-4,0.4692574033333333,5.016327935957234e-4,1.4463219933333336
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,493.9,1.9053342266666666,3.5540129103343914e-4,0.4659579333333333,3.6657353273050985e-4,1.4393762933333334
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,498.9,1.8852003400000001,3.482533670778593e-4,0.4450824566666667,4.370791388710215e-4,1.4401178833333335
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,503.8,1.8451929566666667,3.56459540959489e-4,0.40929515000000005,2.818035986937339e-4,1.4358978066666666
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,508.7,1.7902097666666665,3.562065003074667e-4,0.3689661733333333,2.4023987049325544e-4,1.4212435933333332
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,514,1.72849715,3.4678701181609225e-4,0.33203636000000003,2.762802730595149e-4,1.39646079
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,519.7,1.6677801366666667,3.481597972102573e-4,0.3042599233333333,3.4117713277034817e-4,1.3635202133333335
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,524.8,1.6152701,3.394308819410913e-4,0.2857983233333333,3.426996886146809e-4,1.3294717766666668
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,529.9,1.57287941,3.366303664506869e-4,0.2753465666666666,2.658479877302135e-4,1.2975328433333335
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,534.6,1.5386045466666667,3.3371267712938805e-4,0.27041907333333337,1.6158808879333027e-4,1.2681854733333333
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,539.6,1.5103303866666666,3.266487311367948e-4,0.26679819000000005,1.8374919614426734e-4,1.2435321966666666
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,544.4,1.4838484166666668,3.264249091439504e-4,0.26261462333333335,1.8841444962234806e-4,1.2212337933333335
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,549.7,1.4576319333333334,3.23136279125376e-4,0.2558525766666667,2.454421143011101e-4,1.2017793566666666
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,554.6,1.4298124799999998,3.1790523141707897e-4,0.24731942666666668,1.1477637016751825e-4,1.182493053333333
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,560.1,1.4010403813999999,3.193492098507475e-4,0.23873075,1.2161140495388027e-4,1.1623096313999999
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,565.2,1.37236665,3.141540279924751e-4,0.2312799133333333,1.0937814427633393e-4,1.1410867366666668
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,569.8,1.34706239,3.1032098795686833e-4,0.22474073,1.2683025915331426e-4,1.12232166
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,574.2,1.32303441,3.112056080966306e-4,0.21726317666666667,1.0349983426146332e-4,1.1057712333333334
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,579,1.2977457128333334,3.0466206864119644e-4,0.20892569000000002,1.1569634867083073e-4,1.0888200228333333
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,583.4,1.2717167466666666,3.0349027139951225e-4,0.20166286666666666,1.474595837296133e-4,1.07005388
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,587.8,1.2472264601666667,3.038034458503487e-4,0.1959545166666667,1.0525347208093248e-4,1.0512719435
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,592.7,1.2270215733333332,3.0047080359085586e-4,0.19147070333333333,2.2308932840786776e-4,1.0355508699999998
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,597.4,1.20590225,2.995860050439081e-4,0.18872969666666667,1.454248378571058e-4,1.0171725533333333
SYN22-4,B,10,2022-08-17T14:48:15Z,2022-08-17,07:48:15,602.1,1.1865176366666665,2.9509845223923915e-4,0.18690336666666663,1.3695539211601527e-4,0.9996142699999999
