time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/08/25 10:21:33.169, 21020092, [1.89924235 1.86084269 1.82379029 1.79415346 1.76855378 1.73676858 1.71784861 1.69570636 1.6722462  1.6564911  1.63437601 1.59510654 1.55715966 1.52263238 1.48563269 1.45270156 1.41830722 1.387117   1.36608087 1.35225405 1.33912978 1.31781372 1.27887753 1.23099109 1.17629512 1.12246071 1.0776868  1.03849957 1.00657268 0.98263657 0.96079521 0.93930716 0.91582024 0.891373   0.87029196 0.84978607 0.83068132 0.81191405 0.78980331 0.77077082 0.7551808  0.7398166  0.72374025 0.70950071 0.69562837 0.67980443 0.66862175 0.65881265 0.64476113 0.63269863 0.62001117 0.60654015 0.59647342 0.58625569 0.57673322 0.57521573 0.57759359 0.58271665 0.58753375 0.58686702 0.58234254 0.56953908 0.54572566 0.52841911 0.51027942 0.491407   0.48064667 0.47358888 0.46725183 0.46680612 0.46760067 0.47075613 0.46979158 0.47659367 0.47582698 0.4792773  0.47909027 0.47700954 0.47313471 0.46683915 0.45872984], [0.55029917 0.55369869 0.55805874 0.56382144 0.55585387 0.56211456 0.57500305 0.57785167 0.57538421 0.57297044 0.555442   0.53984417 0.52405559 0.50883372 0.49805782 0.48983448 0.48013323 0.47547413 0.47913951 0.48121515 0.47538071 0.45530174 0.4201668  0.38413186 0.34975699 0.32360501 0.30405081 0.2934112  0.28617495 0.28027822 0.27560565 0.27038275 0.26323038 0.25649644 0.25022615 0.24488144 0.23965308 0.23323688 0.22716764 0.22208633 0.21985975 0.21773988 0.2169304  0.21628074 0.2161439  0.21542253 0.21443268 0.21435932 0.21206025 0.20994654 0.2072108  0.20501927 0.20529952 0.20893352 0.21571363 0.22564041 0.23706759 0.24637875 0.2480089  0.24295296 0.2312717  0.21464504 0.19655837 0.18278978 0.17167944 0.16591702 0.16397413 0.16405377 0.16656076 0.17245123 0.17542998 0.18292174 0.18921878 0.19554607 0.20373209 0.21037609 0.21413405 0.21679005 0.2163735  0.21222416 0.19751078], 25.16, 23.95, False
2022/08/25 10:21:33.419, 21020342, [1.89200253 1.85587926 1.81558603 1.77998876 1.76226835 1.73137    1.69995191 1.68814264 1.66452555 1.64511669 1.62088528 1.58685362 1.54835211 1.51375631 1.47335822 1.44472747 1.40769047 1.37665142 1.35788033 1.3421189  1.32983444 1.30826299 1.27035896 1.22178724 1.16841344 1.11429704 1.06932041 1.02977927 0.9986803  0.97448205 0.95302381 0.93080425 0.90834102 0.88324952 0.86210664 0.84274596 0.82282302 0.80353825 0.78266761 0.76271492 0.77038947 0.7551181  0.73996027 0.72593907 0.71178756 0.69592035 0.68470251 0.67412305 0.65979375 0.647192   0.63390697 0.62022332 0.61037899 0.60007011 0.59153067 0.58942669 0.59165609 0.59748008 0.60203894 0.59979027 0.59712374 0.58302671 0.55962026 0.54231173 0.52272524 0.50564674 0.49368074 0.4856193  0.4811622  0.48034874 0.48157726 0.48240273 0.48463281 0.48940941 0.49059042 0.49165609 0.49374124 0.49100174 0.4896945  0.48139636 0.47407978], [0.54885418 0.56331634 0.5487852  0.55591177 0.55770937 0.56211456 0.56882913 0.57261297 0.57332606 0.57118113 0.5538743  0.53600448 0.52148081 0.50576427 0.49614283 0.48810668 0.47856838 0.47475294 0.47653704 0.47942102 0.47378297 0.45228358 0.42061611 0.38161785 0.34894851 0.32177216 0.30275798 0.29141468 0.28477477 0.27903804 0.27416257 0.26927451 0.26176057 0.25416635 0.24854167 0.24358929 0.23813556 0.23183951 0.2256142  0.22080548 0.21890178 0.21742973 0.21609412 0.21572367 0.21541182 0.21422108 0.21363135 0.2133166  0.21134736 0.20949906 0.2072784  0.20477185 0.20421861 0.20778803 0.21545185 0.22473952 0.23625225 0.24536627 0.24809371 0.24210973 0.23100393 0.21468657 0.19676909 0.18183302 0.17150878 0.16482736 0.16410581 0.16308912 0.16573334 0.17022679 0.17583089 0.18202029 0.188719   0.19606303 0.20193342 0.20770624 0.21373777 0.21761743 0.21548074 0.21317893 0.19687467], 25.16, 23.95, False
2022/08/25 10:21:33.669, 21020592, [1.91076652 1.85353007 1.8389514  1.79415346 1.75737539 1.74216861 1.7150327  1.69475986 1.67527535 1.6554079  1.62901127 1.59550143 1.55715966 1.52104874 1.48563269 1.45091953 1.41596809 1.38793508 1.36669151 1.35100551 1.33735324 1.31635431 1.2797858  1.22945076 1.17543351 1.1227551  1.07579147 1.03809214 1.00549553 0.98229482 0.95987563 0.93840626 0.91441648 0.89057567 0.8682703  0.84930769 0.83021446 0.81037152 0.79043365 0.76976227 0.75517837 0.74056997 0.72429194 0.70986128 0.69616031 0.68015035 0.66897067 0.65863231 0.64492192 0.63234648 0.61965096 0.60634476 0.59681845 0.58660741 0.5780376  0.57482616 0.5785689  0.58270082 0.58815797 0.58708083 0.58210234 0.56977016 0.5464823  0.52867429 0.51027475 0.49201191 0.48062629 0.47291304 0.46694514 0.46769665 0.46900262 0.46947865 0.47151559 0.47530001 0.47540465 0.47820994 0.47730176 0.47727623 0.47352875 0.46727028 0.46069574], [0.5398553  0.54485891 0.5562229  0.56382144 0.55485121 0.56462004 0.56823864 0.57454393 0.57332606 0.56912092 0.55701032 0.53999789 0.52293717 0.50797178 0.49718245 0.48817534 0.51037679 0.48622438 0.47458332 0.47824719 0.47210557 0.45226043 0.41926833 0.38150994 0.34844176 0.32128004 0.30290331 0.29141468 0.28457378 0.27984116 0.27496759 0.2686718  0.26151204 0.25540682 0.24961084 0.24458657 0.2388005  0.23291912 0.22642939 0.22087653 0.21881826 0.2171196  0.21598156 0.21542595 0.21511903 0.21428873 0.21377585 0.21342003 0.21153035 0.20908964 0.20700788 0.20448109 0.20436665 0.20848138 0.21449894 0.22526024 0.23582964 0.24511676 0.24746352 0.24271475 0.2311378  0.21382657 0.19649506 0.18196401 0.17170975 0.16501549 0.16334379 0.1641782  0.16617497 0.17027258 0.17586211 0.18156369 0.18773287 0.19662236 0.2025574  0.20839966 0.21476461 0.21679005 0.2163735  0.21298817 0.19814105], 25.16, 23.95, False
2022/08/25 10:21:33.919, 21020843, [1.91977724 1.89945259 1.85292689 1.82882323 1.788556   1.77466269 1.73852953 1.71865039 1.70119337 1.68395905 1.65272006 1.62233811 1.58367843 1.54633349 1.50834232 1.47671964 1.43964181 1.41074825 1.38839206 1.37296474 1.35999481 1.33772255 1.30033533 1.25205678 1.19608641 1.14295507 1.09691856 1.05752247 1.02639782 1.00214261 0.97994242 0.957646   0.93422819 0.91067379 0.88876834 0.86754412 0.84946886 0.83026618 0.80791242 0.78935484 0.73789796 0.72213198 0.70685299 0.69331188 0.67900722 0.66287748 0.65208059 0.64251502 0.62857235 0.61618723 0.60321275 0.59062513 0.58048326 0.57032575 0.56143974 0.55917718 0.56203359 0.56698027 0.57288826 0.57024607 0.56693092 0.55394176 0.53036547 0.51243413 0.49449141 0.47631403 0.4653213  0.45703458 0.45264592 0.45199834 0.45214991 0.45530215 0.45611528 0.46109728 0.45997396 0.46292279 0.46127096 0.46332763 0.45835506 0.45178347 0.44343284], [0.55029917 0.5518703  0.5600054  0.55057206 0.55670636 0.57117205 0.57161756 0.57693271 0.58085202 0.57421258 0.55816587 0.54122658 0.52416889 0.51095994 0.50101385 0.48983448 0.4809064  0.47689828 0.47849574 0.48122431 0.47702601 0.45485576 0.42064593 0.38458067 0.35064703 0.32284498 0.30481563 0.2927293  0.28462404 0.28032899 0.27565628 0.26942595 0.26238287 0.25572846 0.25063066 0.24457792 0.23927365 0.2330591  0.22686823 0.22154641 0.21981803 0.21793516 0.21708205 0.21642963 0.2161822  0.21527718 0.21476109 0.21417623 0.21228365 0.2102131  0.20776879 0.20554219 0.20534402 0.2087828  0.21540594 0.22609692 0.23678965 0.24625984 0.24771015 0.24321019 0.23132937 0.21442628 0.19731711 0.18240959 0.17188039 0.16605171 0.16438181 0.16465546 0.16623074 0.17236005 0.17579965 0.18204364 0.18971863 0.19705428 0.20325494 0.21027158 0.21513045 0.21544573 0.2178095  0.21432499 0.1992093 ], 25.16, 23.95, False
2022/08/25 10:21:34.169, 21021092, [1.92102458 1.87999991 1.84591632 1.8046811  1.78335195 1.74971559 1.72438439 1.69967556 1.68669414 1.66489819 1.64037752 1.60304713 1.56427737 1.52877563 1.48945438 1.45890623 1.42191085 1.39202644 1.37164466 1.35329843 1.34174428 1.32052069 1.28002028 1.23436726 1.17847438 1.12412532 1.07844979 1.03954499 1.00767186 0.98335897 0.96145705 0.93902801 0.91637125 0.89110808 0.87026764 0.84906013 0.83021706 0.81146719 0.78938189 0.76996322 0.76745905 0.75208957 0.73737352 0.72412809 0.71054122 0.69609637 0.68540373 0.67622006 0.6625683  0.65100109 0.6389588  0.62691499 0.61754815 0.60753259 0.59895222 0.59721596 0.60087396 0.60702427 0.611726   0.61124881 0.60754847 0.59414264 0.57050855 0.55275735 0.5352133  0.51810303 0.50613648 0.500088   0.49287679 0.49326264 0.49653986 0.49570017 0.49791629 0.50371747 0.50335787 0.50679032 0.50516309 0.50648605 0.49966298 0.49169782 0.48431199], [0.57981569 0.57117415 0.57117493 0.56112514 0.57032146 0.57600551 0.5877827  0.58263621 0.58604678 0.57627465 0.5617182  0.54122561 0.52304966 0.510099   0.49816764 0.48986947 0.48094396 0.47619633 0.47849649 0.48240873 0.47484296 0.45481035 0.4216041  0.38495844 0.35175808 0.32436556 0.30577448 0.29304631 0.28587536 0.28165185 0.27758656 0.27043371 0.26323122 0.25644825 0.25053468 0.24508191 0.23970085 0.23373595 0.22729616 0.22225294 0.21949945 0.21762574 0.21674045 0.21598382 0.21607495 0.21527825 0.21486719 0.21421704 0.21222265 0.2099886  0.20739777 0.20515026 0.20544844 0.20863295 0.21545269 0.22600396 0.23657904 0.24550479 0.24811356 0.24271537 0.231023   0.21450615 0.19717032 0.18234472 0.17181424 0.16617367 0.16446153 0.1644176  0.16611995 0.17199766 0.17780578 0.18506851 0.19073323 0.19765716 0.20512932 0.21128043 0.21844868 0.22010217 0.21833579 0.21585474 0.20304544], 25.15, 23.95, False
2022/08/25 10:21:34.419, 21021342, [1.88480817 1.84389156 1.80870882 1.76711249 1.75113849 1.71848368 1.69627245 1.68100015 1.65595632 1.63649465 1.61048731 1.57594727 1.53922784 1.50641653 1.46429229 1.43457587 1.39907214 1.36947014 1.34808004 1.3326913  1.32056118 1.29934657 1.26133241 1.21326682 1.15848367 1.10496366 1.06047359 1.02076169 0.98942265 0.96558902 0.9434338  0.92227042 0.89917545 0.87487611 0.85366713 0.83212119 0.81405912 0.79583924 0.7738713  0.75508878 0.73770467 0.72288611 0.70704065 0.69277308 0.67865555 0.66305689 0.6519104  0.64252201 0.62839437 0.61636865 0.60267497 0.59080649 0.5803005  0.57086918 0.56163142 0.55936073 0.56221719 0.5675977  0.57246645 0.5715641  0.56622703 0.55465173 0.5303684  0.51297758 0.49561968 0.47601567 0.46567021 0.45879162 0.45156959 0.45250404 0.454356   0.45478963 0.45590685 0.46142673 0.46048565 0.46533417 0.46243943 0.46297578 0.46007365 0.45036844 0.44539527], [0.54886548 0.54302279 0.56185978 0.55652424 0.56645833 0.56539359 0.57601278 0.58025075 0.57744977 0.57297425 0.56015036 0.54414992 0.52763852 0.51214622 0.50008403 0.49078505 0.4825454  0.4790504  0.47913579 0.48239782 0.47642528 0.4562394  0.42289282 0.38616217 0.35248462 0.32396162 0.30529601 0.29384692 0.28612364 0.28164956 0.27672803 0.2711863  0.26417572 0.25694098 0.25132584 0.24592457 0.24003066 0.23436338 0.22793658 0.22261669 0.22025386 0.21820368 0.21681185 0.21672573 0.21632015 0.21552696 0.21548188 0.21497028 0.21285245 0.2107828  0.20811364 0.20568579 0.2060974  0.20912774 0.21611145 0.22652262 0.23739243 0.24644665 0.2487615  0.24410702 0.23240146 0.21556429 0.19815881 0.182946   0.17222013 0.16642614 0.16520774 0.16495474 0.16782399 0.17194941 0.1762302  0.18375263 0.19024345 0.19717959 0.20644868 0.21037374 0.21691826 0.21709758 0.21726441 0.21680546 0.20218241], 25.17, 23.95, False
2022/08/25 10:21:34.669, 21021592, [1.89495847 1.85953451 1.8307224  1.77998375 1.76098905 1.73353203 1.69994898 1.69154617 1.6660368  1.64511462 1.6218019  1.58567771 1.54495952 1.51498057 1.47200701 1.43996133 1.40427532 1.37568064 1.35354716 1.33962409 1.32607961 1.30559165 1.26663663 1.21871501 1.16435576 1.11049882 1.06525553 1.0260614  0.99478466 0.97135375 0.94826355 0.92686169 0.90578165 0.88272234 0.86389086 0.84591116 0.82883372 0.81058851 0.78875233 0.76976047 0.73731474 0.72250694 0.70630405 0.69312948 0.67918441 0.66357564 0.65313025 0.64355863 0.62942789 0.61686903 0.60440684 0.59202711 0.58188354 0.57230142 0.56364774 0.56161389 0.5653369  0.57000518 0.57537888 0.5743869  0.56991049 0.5575144  0.53490115 0.51696676 0.49870728 0.48143802 0.46987553 0.46336839 0.45726036 0.45711042 0.45873247 0.46199115 0.46126916 0.46754637 0.46696222 0.47015642 0.4695718  0.47016253 0.46561752 0.45675313 0.44948683], [0.54131767 0.55706775 0.56184108 0.55785036 0.56543702 0.56789361 0.57043231 0.5793214  0.57879122 0.57324301 0.56130274 0.5412261  0.52540073 0.51104102 0.50194368 0.48983463 0.4809437  0.47975387 0.47979289 0.48297374 0.47861009 0.45577082 0.42148521 0.38526484 0.35129263 0.32342662 0.30525011 0.2926805  0.2850739  0.281316   0.27604165 0.27023301 0.26308197 0.25657269 0.25034025 0.24518556 0.23965594 0.23287382 0.2272898  0.22203603 0.22038091 0.21809061 0.21727309 0.2163196  0.21655206 0.2156072  0.2152345  0.21460662 0.2127522  0.21045793 0.20795526 0.20577472 0.20598123 0.20912991 0.2159597  0.22630209 0.23692329 0.24604153 0.24869152 0.24350352 0.2314059  0.21574695 0.19807612 0.18234443 0.17225233 0.16694004 0.16521049 0.16490448 0.167607   0.17249724 0.17663322 0.18382361 0.19069182 0.19726734 0.2043569  0.21176437 0.21728655 0.21860139 0.21835275 0.21585395 0.20239019], 25.16, 23.95, False
2022/08/25 10:21:34.918, 21021843, [1.88773484 1.84287121 1.80683087 1.77416458 1.74497086 1.72814451 1.70098573 1.67929186 1.66238151 1.64458232 1.61797877 1.5812275  1.54666765 1.51037099 1.47176259 1.43797359 1.40769127 1.37715948 1.35517003 1.33962585 1.32910544 1.3079915  1.26967316 1.22116877 1.16583284 1.11387134 1.0688522  1.02908191 0.99901656 0.97380092 0.95336402 0.93108303 0.90863871 0.88434004 0.86311497 0.84180203 0.8244374  0.80530061 0.78413572 0.76473021 0.73886881 0.72364058 0.70722251 0.69331057 0.67918502 0.66357826 0.65225708 0.64234816 0.62804972 0.61550111 0.6028675  0.59010756 0.57995774 0.57014533 0.56071717 0.55842413 0.56204032 0.56638928 0.57161701 0.57069542 0.56578951 0.55370282 0.52912244 0.51272002 0.49478372 0.47541192 0.46435317 0.45739911 0.45031619 0.44992853 0.45255421 0.4522189  0.45406803 0.4602897  0.45832804 0.46212019 0.46213182 0.4616476  0.45862887 0.44880693 0.44297483], [0.55930088 0.5633193  0.55622663 0.55518026 0.57420479 0.57290205 0.5754146  0.58125445 0.58156658 0.57421353 0.56465231 0.54537716 0.52540124 0.51333208 0.50106963 0.49251425 0.48169783 0.47904447 0.48044303 0.48300868 0.47701041 0.45530162 0.42208293 0.38578465 0.35141451 0.32440932 0.30543846 0.29367833 0.28587448 0.28175205 0.27624316 0.2704824  0.26327955 0.25604956 0.25095445 0.24557471 0.24031543 0.23373449 0.22785498 0.22241691 0.22069953 0.21859533 0.21708169 0.21676543 0.21676751 0.21581929 0.21552263 0.21519462 0.21275141 0.21064118 0.20824178 0.20578923 0.20612847 0.2094305  0.2161586  0.22559319 0.23753801 0.24615983 0.24869095 0.24392452 0.23201911 0.21528604 0.19788578 0.1824093  0.17296442 0.16642771 0.16534087 0.16495594 0.16788074 0.17172444 0.17746556 0.1838113  0.19019088 0.19821494 0.20608091 0.21165843 0.2174179  0.22009984 0.2195951  0.21623533 0.20345183], 25.16, 23.95, False
2022/08/25 10:21:35.169, 21022092, [1.8805081  1.83189726 1.80050675 1.76558088 1.74126544 1.71847099 1.68962279 1.67025216 1.65380702 1.63377659 1.60634979 1.5722151  1.53856502 1.50209445 1.46208719 1.43101966 1.39458694 1.36621048 1.34685726 1.33064523 1.31701693 1.2977061  1.25867662 1.21100643 1.15665799 1.10283099 1.05705157 1.02035472 0.98760908 0.96426251 0.94177401 0.91926923 0.89833385 0.87270782 0.85088987 0.83211417 0.81152269 0.79386009 0.77261589 0.75227163 0.73906123 0.72344791 0.70776936 0.69366883 0.68024196 0.66427287 0.65329721 0.64390243 0.62942127 0.6180755  0.60510892 0.59270919 0.58241642 0.57283834 0.56362937 0.56276456 0.56493675 0.57141576 0.57559491 0.57416386 0.57013022 0.55775548 0.53361031 0.51775665 0.50012654 0.48174143 0.47117717 0.46338312 0.45885198 0.45833811 0.46119066 0.46114034 0.46208636 0.46852273 0.46768308 0.47039009 0.47197589 0.47051743 0.46613042 0.45874794 0.45358552], [0.56310152 0.5562956  0.55806247 0.56440749 0.5682968  0.57039971 0.57600945 0.58070789 0.58497519 0.57297139 0.5642343  0.5429194  0.52663372 0.51214563 0.5020557  0.49163231 0.48328167 0.47905818 0.48109593 0.48358309 0.47916355 0.45530162 0.42202363 0.38582017 0.35090844 0.32396244 0.30472084 0.29309448 0.28592464 0.28141663 0.27646096 0.26992889 0.2627069  0.25617441 0.25074384 0.24498506 0.23993598 0.2335998  0.22720571 0.22229461 0.22074121 0.21862994 0.21761034 0.21714005 0.21695223 0.21600343 0.21548329 0.2147887  0.21303662 0.21055873 0.2080558  0.20574589 0.20589142 0.20927977 0.21577525 0.22620771 0.23739344 0.24599107 0.24886637 0.24339332 0.23209545 0.21542567 0.19830735 0.18243571 0.17211762 0.16693899 0.16576157 0.16453069 0.16793635 0.17313175 0.17780456 0.18337782 0.18975857 0.19830025 0.20615481 0.21106929 0.21844668 0.21942775 0.22048846 0.21585237 0.20196961], 25.16, 23.95, False
