time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/08/25 08:40:32.519, 14959408, [3.64603638 3.60420941 3.56342553 3.49222164 3.4389222  3.40192031 3.36679712 3.3401186  3.31920981 3.27640387 3.23549016 3.17590019 3.11353628 3.04679161 2.97949782 2.92329825 2.85883621 2.80242012 2.75987283 2.7337241  2.71078483 2.67269627 2.60689183 2.51868703 2.4210061  2.32317388 2.23733492 2.16604508 2.10748715 2.05901991 2.01605513 1.97381549 1.92958553 1.88386509 1.84073443 1.80096779 1.76471641 1.72630443 1.68576156 1.64744386 1.60969193 1.57742052 1.54636064 1.51858124 1.49154528 1.46297671 1.43914484 1.41883418 1.3931567  1.37014046 1.34577951 1.3209569  1.29947732 1.27892785 1.26253516 1.2555827  1.25942808 1.26798501 1.27620649 1.27576727 1.26658149 1.24266054 1.20356322 1.16723554 1.13271578 1.09967506 1.0751384  1.05687963 1.04177909 1.03480764 1.02931225 1.02210476 1.01930323 1.01882108 1.01216006 1.00996465 1.00316749 1.00075709 0.99058028 0.97781598 0.96819553], [0.84389478 0.86593582 0.8721216  0.9086148  0.91012171 0.92410828 0.93617522 0.94874367 0.95253682 0.94127133 0.9155298  0.88439875 0.85626554 0.83279797 0.81023013 0.79248774 0.77489294 0.7697651  0.77328641 0.77648323 0.7670525  0.73053572 0.6723625  0.61020198 0.55168733 0.50501428 0.47376115 0.45638419 0.4456805  0.43808844 0.43088931 0.42210332 0.41091542 0.3995186  0.39116797 0.38170737 0.37218947 0.36136395 0.35133393 0.34233287 0.33565011 0.33241805 0.33028059 0.32882887 0.32909678 0.32864868 0.32879156 0.32909352 0.32679446 0.32417882 0.32088154 0.31770702 0.31830315 0.32410257 0.33703991 0.35582659 0.37684622 0.39388112 0.40038482 0.39258948 0.37206126 0.34350398 0.3129407  0.28757501 0.26894731 0.25777845 0.25234449 0.24950251 0.24984252 0.25378334 0.25760403 0.26195963 0.26690336 0.27440319 0.27634321 0.28229408 0.28675138 0.28445418 0.28275135 0.27932181 0.26058589], 25.39, 24.09, False
2022/08/25 08:40:32.769, 14959659, [3.65725587 3.59489365 3.5323351  3.48179313 3.43477467 3.40133217 3.36294299 3.33039318 3.30147049 3.27192899 3.22669365 3.17030078 3.10150067 3.03694354 2.97305852 2.91177238 2.84763345 2.79343914 2.75502789 2.72251855 2.70354831 2.6631139  2.59661123 2.51164567 2.41037968 2.31450934 2.23073587 2.15751512 2.09837487 2.05224821 2.00739775 1.96503768 1.92134829 1.87446926 1.83223828 1.79313012 1.7567583  1.71814185 1.67713699 1.63970787 1.59745145 1.56616135 1.53514901 1.50714872 1.48024302 1.45213387 1.42913421 1.40850987 1.38310488 1.3603733  1.33579558 1.31129102 1.28976878 1.26959372 1.25278595 1.24619516 1.25023917 1.25747    1.26652173 1.26721266 1.2580264  1.23400328 1.19353488 1.15865848 1.12272327 1.08981762 1.06582477 1.04716331 1.03304152 1.02650214 1.01977045 1.01305209 1.00876324 1.00997016 1.00410601 1.00260006 0.99516165 0.98898809 0.98042086 0.96876092 0.96080246], [0.8573487  0.85519482 0.88049718 0.90181636 0.90033435 0.93594823 0.9593184  0.94804576 0.95423443 0.93779178 0.91381409 0.88316851 0.85492696 0.8292092  0.81129464 0.79089914 0.77644018 0.76905767 0.77118797 0.777158   0.76768154 0.73052391 0.67188372 0.60975365 0.55168783 0.50541772 0.4748114  0.45649298 0.44568167 0.43901781 0.43156912 0.42248761 0.41116278 0.40029667 0.39125175 0.3817501  0.37403785 0.36208442 0.35141403 0.34286733 0.3380274  0.3343706  0.33127031 0.33060024 0.33035194 0.32992751 0.33031577 0.33023962 0.328336   0.32535622 0.32202842 0.31928284 0.31933082 0.32545976 0.3381458  0.35705052 0.37811404 0.39519537 0.40179838 0.39406695 0.37389937 0.34432266 0.31396965 0.28911827 0.26998409 0.2592726  0.25283536 0.25073345 0.25152942 0.25523035 0.25719647 0.26286655 0.26794843 0.27440535 0.2787191  0.28264794 0.28675403 0.28614077 0.28347133 0.27932495 0.262285  ], 25.38, 24.09, False
2022/08/25 08:40:33.019, 14959909, [3.60817673 3.58391777 3.52601771 3.4538009  3.42592247 3.37528257 3.34131641 3.31959881 3.28229668 3.25367447 3.21289687 3.15132204 3.08954501 3.02244161 2.96342628 2.8972798  2.83660961 2.78181692 2.7400841  2.71231057 2.69087285 2.65339977 2.58533276 2.50088778 2.40084713 2.30375586 2.22022376 2.14866045 2.08947424 2.04133943 1.99860684 1.95638455 1.91175167 1.86649723 1.8247433  1.78387769 1.74802723 1.71017273 1.66911037 1.63239699 1.60601597 1.57391513 1.54327854 1.51552953 1.4880604  1.45971757 1.43706283 1.41631156 1.39044926 1.36777641 1.34313311 1.3186211  1.29698471 1.2767683  1.25963636 1.25333866 1.25631085 1.26585773 1.27417682 1.27375474 1.2649387  1.24066598 1.20104481 1.16558439 1.13092787 1.09665512 1.07190732 1.05545612 1.03999587 1.03121812 1.02836966 1.02177081 1.01711758 1.01685735 1.0094862  1.00887317 1.00360369 0.99839486 0.98817255 0.97522676 0.96318086], [0.8491105  0.87671479 0.87211788 0.905096   0.90454812 0.92052777 0.93655418 0.94611835 0.95197866 0.93975494 0.91175036 0.88015904 0.85023536 0.82579671 0.8059736  0.78899847 0.77241594 0.76527164 0.76848183 0.77393578 0.76478875 0.72896801 0.6709263  0.60754469 0.54922415 0.50314338 0.47347741 0.45440706 0.44408104 0.43787134 0.42953493 0.42087702 0.40993328 0.39808996 0.38972357 0.38005668 0.37042494 0.36040625 0.34926613 0.34108329 0.33466439 0.33126574 0.32861706 0.32750182 0.32800903 0.32753347 0.32756742 0.32769595 0.32591457 0.32296664 0.31984715 0.3165898  0.3170854  0.32328666 0.33580693 0.3540287  0.37557973 0.39252412 0.39938384 0.39116149 0.37146628 0.34199635 0.31179949 0.28705829 0.26864309 0.25717871 0.25166146 0.24888837 0.2497011  0.25374565 0.29873591 0.26151168 0.26333771 0.26705027 0.27363217 0.27876515 0.28209637 0.28125882 0.28021891 0.27585361 0.25673214], 25.38, 24.09, False
2022/08/25 08:40:33.269, 14960158, [3.61673398 3.56539316 3.52145097 3.46589577 3.42346791 3.38232799 3.34554854 3.31420024 3.28229422 3.26353758 3.21786031 3.15466555 3.08949391 3.02696001 2.96107732 2.90223256 2.83918282 2.78231456 2.74491239 2.71520091 2.69279889 2.65485194 2.58903292 2.50046009 2.40458389 2.30855317 2.22145835 2.15031013 2.09202999 2.04394158 2.00028594 1.95843971 1.91405653 1.86979532 1.82654713 1.7863334  1.74977564 1.71249881 1.67194185 1.63435145 1.60404209 1.57281162 1.5411018  1.51384373 1.48668567 1.45815574 1.43568743 1.41424447 1.38958396 1.36620148 1.34185439 1.31736343 1.29531403 1.27566027 1.25889225 1.25224618 1.25558594 1.26349162 1.27256769 1.27271261 1.26306099 1.23977194 1.19900224 1.16472894 1.12989164 1.09484364 1.07236965 1.05483841 1.03927582 1.03094305 1.02662205 1.02032527 1.01707958 1.01615473 1.00999705 1.00757634 1.00199872 0.99839465 0.98750832 0.97581255 0.96468471], [0.84836079 0.87671183 0.8781978  0.90357508 0.91011807 0.92160062 0.94266929 0.9466673  0.94856846 0.93716549 0.91689026 0.88344709 0.8529098  0.83023222 0.80863897 0.79279999 0.77326808 0.76705095 0.77268167 0.77715736 0.76833557 0.73002144 0.67475375 0.61145593 0.55287767 0.50685899 0.47516065 0.45704414 0.44681739 0.43994495 0.43284394 0.42311033 0.41185842 0.40124818 0.39144158 0.38232773 0.37344258 0.36278907 0.35157267 0.34404078 0.33696608 0.33309283 0.33099212 0.33005489 0.32993319 0.32936278 0.32968475 0.32961311 0.32807787 0.32506143 0.32173165 0.31887236 0.31963467 0.32534451 0.33771023 0.35631366 0.37811385 0.3948879  0.4007963  0.3935422  0.37370031 0.34442953 0.31391197 0.28894829 0.26973974 0.25868702 0.25335501 0.25000657 0.25191446 0.25460187 0.25842334 0.26241171 0.26787722 0.27331727 0.27715066 0.28217816 0.28534601 0.28495833 0.2820343  0.27779521 0.25973846], 25.38, 24.09, False
2022/08/25 08:40:33.519, 14960408, [3.62793999 3.55987033 3.53237972 3.46971551 3.42839284 3.38180596 3.33941023 3.3213136  3.29825522 3.25504231 3.2141315  3.15801883 3.0884781  3.03063413 2.96257189 2.90302198 2.83990787 2.78596701 2.74386047 2.71633628 2.69368462 2.65615319 2.58875409 2.50224505 2.40726858 2.30760032 2.22396593 2.15216634 2.09230934 2.04503786 2.00132633 1.95904484 1.91683095 1.87032755 1.8280059  1.78852463 1.75146794 1.71388722 1.67294293 1.63585881 1.60255435 1.57038781 1.53985039 1.51174034 1.48434859 1.45624447 1.43353902 1.41232255 1.38750514 1.36377895 1.33977615 1.31506086 1.29298052 1.27272722 1.25566384 1.24997745 1.25281448 1.26068241 1.27093989 1.27007856 1.26036746 1.23717516 1.19603462 1.16191551 1.1266853  1.09243416 1.06896836 1.05117227 1.03535588 1.02818185 1.02312999 1.01753103 1.01403207 1.01241597 1.0077194  1.00280578 1.00010818 0.99233002 0.98443985 0.97193228 0.96268099], [0.8386807  0.87036996 0.88431307 0.89681481 0.9059118  0.91946091 0.93179367 0.94612585 0.94746935 0.93628337 0.91416964 0.87988516 0.85225519 0.82562601 0.8091659  0.7907944  0.77388246 0.7669285  0.77123206 0.77644577 0.76657328 0.73000857 0.67331851 0.60974107 0.55124118 0.50541555 0.47414255 0.45678436 0.44564141 0.43901475 0.43144564 0.4229668  0.41136445 0.40050983 0.39086598 0.38191184 0.37293188 0.36204069 0.35143123 0.3430516  0.33712819 0.334084   0.33133666 0.3303928  0.33041661 0.32984281 0.32994426 0.33005255 0.3285158  0.32553704 0.32183859 0.31890175 0.32032195 0.32561147 0.33846554 0.35672117 0.37832265 0.39501783 0.40170579 0.39439761 0.37394786 0.34515457 0.31494903 0.28900594 0.27125965 0.25932972 0.25397576 0.25087083 0.25200944 0.25419045 0.25755651 0.26241451 0.26787392 0.27450788 0.27862864 0.28299801 0.28505048 0.28579518 0.28403691 0.27911201 0.26035335], 25.39, 24.09, False
2022/08/25 08:40:33.769, 14960659, [3.63745382 3.60985518 3.5648907  3.5009644  3.45672    3.41942772 3.37340222 3.34011643 3.32745198 3.28210388 3.24061351 3.18151273 3.11542502 3.05211837 2.98594342 2.92448581 2.86386488 2.80693    2.7672886  2.73743749 2.71614169 2.6818061  2.61267844 2.52573797 2.42664025 2.32761163 2.24250179 2.17021573 2.11168996 2.06394911 2.0197362  1.97700039 1.93273671 1.88716488 1.84440836 1.80449709 1.76894095 1.73080748 1.68976303 1.65141624 1.6091051  1.57727433 1.54603351 1.51781826 1.49057913 1.4628001  1.43893283 1.41841339 1.39259663 1.36978774 1.34589701 1.32083959 1.2988682  1.27809238 1.26092368 1.2553579  1.25830119 1.26633749 1.27527673 1.27457187 1.265836   1.24201144 1.20104481 1.16665079 1.13158837 1.09846704 1.07368232 1.05497835 1.04105904 1.03219564 1.02688986 1.02193756 1.01753202 1.01589524 1.01227879 1.00849763 1.00462448 0.99901796 0.98925199 0.97639908 0.96744353], [0.83421845 0.87228265 0.87590038 0.88851171 0.9059027  0.91695155 0.93569557 0.94805026 0.95365007 1.00945742 0.92274956 0.87865443 0.85001741 0.82784222 0.8082356  0.79079513 0.7748932  0.76911742 0.77202829 0.7770482  0.76941771 0.73210387 0.67427579 0.61149043 0.55289841 0.50654003 0.47665749 0.45748092 0.44689277 0.4398662  0.43352139 0.42457898 0.41271708 0.40179259 0.39234122 0.38372883 0.37411714 0.36324097 0.35279286 0.34466683 0.33720405 0.33270192 0.33076641 0.32949252 0.33011747 0.3295118  0.32968428 0.32994316 0.32749234 0.32520802 0.32150708 0.31883275 0.31924911 0.32491137 0.33806817 0.35672297 0.3779441  0.39519448 0.4016153  0.39430372 0.37384783 0.34458195 0.31456267 0.28917681 0.27046995 0.25888676 0.25313185 0.25000617 0.25191409 0.25419263 0.25719525 0.26241923 0.26787667 0.27337    0.27799595 0.28147154 0.28563711 0.28613846 0.28294154 0.27779442 0.25950789], 25.38, 24.09, False
2022/08/25 08:40:34.019, 14960909, [3.6390804  3.57638721 3.53234626 3.49326992 3.44535203 3.39049755 3.36020049 3.33469657 3.30147541 3.26786186 3.22546997 3.16694375 3.10145802 3.03764184 2.97552647 2.90876515 2.85021569 2.79227671 2.75336012 2.72678672 2.70073803 2.66408738 2.59883966 2.50926246 2.41331888 2.31431852 2.22927705 2.1576685  2.09911006 2.05039107 2.00678597 1.96464509 1.92162876 1.87438747 1.83158754 1.79210545 1.75502766 1.71764632 1.67650876 1.63840787 1.60095662 1.56983414 1.53808316 1.51027456 1.4827963  1.45493141 1.43188133 1.41049948 1.38583962 1.36250457 1.33846758 1.3139256  1.29210216 1.27205011 1.2547573  1.2488838  1.25255024 1.26037626 1.26954393 1.27000345 1.26001542 1.23635703 1.19624834 1.16093178 1.12578121 1.09137487 1.06870446 1.05076135 1.03588353 1.0281801  1.02258938 1.01591772 1.01246711 1.01171028 1.00752104 1.00481486 0.99908756 0.9939341  0.9845638  0.97193094 0.96255416], [0.84761011 0.86150269 0.88429072 0.89373498 0.91147949 0.91945438 0.93349847 0.94542666 0.94801388 0.93779368 0.91073973 0.88194078 0.85135383 0.82784202 0.81582965 0.78984526 0.77481457 0.76693034 0.77202867 0.77464467 0.76773149 0.73103806 0.67331878 0.61061603 0.55126297 0.50613795 0.47560839 0.45675029 0.4459556  0.43960951 0.45163102 0.42188302 0.40944251 0.39970992 0.3903783  0.3817491  0.37238657 0.36129827 0.35119659 0.34292232 0.33963463 0.33557619 0.33286507 0.33235308 0.33200874 0.33172171 0.33217884 0.33230397 0.33020758 0.32763489 0.32432267 0.32073902 0.32127075 0.32716614 0.33957294 0.35851928 0.3802257  0.39677169 0.40339323 0.39563758 0.3753353  0.3462887  0.31635648 0.29089793 0.29624528 0.26208916 0.25178142 0.2496992  0.2506635  0.25352792 0.25724162 0.2610584  0.26634846 0.27233655 0.27727568 0.27935479 0.28563777 0.28411702 0.2820343  0.2758544  0.25911957], 25.38, 24.09, False
2022/08/25 08:40:34.269, 14961158, [3.64172723 3.58562972 3.54928499 3.48665881 3.43722923 3.40522631 3.36102329 3.34212244 3.30816089 3.2735497  3.22798809 3.17367808 3.10745269 3.04491233 2.97777827 2.9174007  2.85249934 2.79992729 2.75592059 2.73009008 2.7069231  2.66895669 2.6025515  2.51596843 2.41728818 2.32066885 2.23482355 2.16333523 2.10363787 2.05786905 2.01248708 1.96998393 1.92606692 1.88029065 1.83713654 1.79819243 1.76080787 1.7227513  1.68191955 1.64437951 1.61272416 1.58112955 1.54965317 1.52175514 1.49429777 1.46620679 1.44228611 1.42121545 1.39593023 1.37289942 1.34848668 1.32368352 1.30168864 1.28092891 1.2639665  1.25766107 1.26130961 1.26852884 1.27848488 1.27811047 1.26822283 1.24522381 1.2044939  1.169114   1.13427556 1.1007811  1.07639174 1.0597358  1.04284158 1.03599994 1.02957853 1.02388306 1.02107329 1.02008222 1.01330056 1.01310465 1.00622932 1.00174313 0.99166037 0.98358686 0.96957496], [0.81493567 0.83879391 0.86375332 0.87677186 0.90303885 0.91337635 0.92739516 0.94087289 0.9480123  0.93191758 0.91451967 0.87948179 0.84979909 0.82853158 0.81036481 0.79184945 0.7750516  0.76994848 0.77132882 0.77715768 0.76717777 0.73002156 0.67140466 0.60884405 0.55081736 0.50533339 0.47446137 0.45678643 0.44552964 0.43830715 0.43152871 0.42232593 0.41140805 0.40063611 0.39126476 0.38187456 0.37293517 0.36200423 0.35169027 0.34305531 0.33577863 0.33249052 0.32955364 0.32906806 0.32884515 0.32806325 0.32902    0.32869324 0.3270511  0.32432699 0.320697   0.31785792 0.31841646 0.32417732 0.33747573 0.35566114 0.37739624 0.39414415 0.40020474 0.39254261 0.37235739 0.34334354 0.31347834 0.28791439 0.26943554 0.25844206 0.25194467 0.25073305 0.25152905 0.25315776 0.25719606 0.26105043 0.26690501 0.27155479 0.2774466  0.27958861 0.28379448 0.2829428  0.28347082 0.27647339 0.25996915], 25.38, 24.09, False
2022/08/25 08:40:34.519, 14961408, [3.65885569 3.58391777 3.54009627 3.48284846 3.43723789 3.39701112 3.36061585 3.33640413 3.30299331 3.26650591 3.23555982 3.16695267 3.10549717 3.03866159 2.97552728 2.91242779 2.85021649 2.79526818 2.75336059 2.72558303 2.70567891 2.6674966  2.5988408  2.5133325  2.41578219 2.31701522 2.23285419 2.16052514 2.10141298 2.05384363 2.0098474  1.9680107  1.92347873 1.87706974 1.8355052  1.79566214 1.75853359 1.72125077 1.67887178 1.64242143 1.6147604  1.58239716 1.55142334 1.52264037 1.49542051 1.46748593 1.4445471  1.42272351 1.39756615 1.37476829 1.35036305 1.32515346 1.30317803 1.28303332 1.26578176 1.26007342 1.26319454 1.27096345 1.28041415 1.27919071 1.27017993 1.24661114 1.20580672 1.17162335 1.13654562 1.10209416 1.07956607 1.05987731 1.04399352 1.038124   1.03011784 1.02711007 1.0208299  1.02012336 1.01723952 1.01348199 1.0082726  1.0012501  0.99099673 0.98488454 0.97170753], [0.84389197 0.87795255 0.87967932 0.89680204 0.91011989 0.92518433 0.93655418 0.9532996  0.95423918 0.93583529 0.91245355 0.88495445 0.8535906  0.82903714 0.81049994 0.79089871 0.77721227 0.7705958  0.77328678 0.77715704 0.76941771 0.73311995 0.67571202 0.61236513 0.55372671 0.5084126  0.47620993 0.45876408 0.44880604 0.44146517 0.43396035 0.42540415 0.41361913 0.40267793 0.39317333 0.38463968 0.37513336 0.36431969 0.35334694 0.34548244 0.33789872 0.33385494 0.33187586 0.33109269 0.33105545 0.33055878 0.33098794 0.33079255 0.32903258 0.3263841  0.32295256 0.32070619 0.32070085 0.32646332 0.33906107 0.35807057 0.3795915  0.39607047 0.40289113 0.39506569 0.37469266 0.34572224 0.31597889 0.29038051 0.27168794 0.25959394 0.25482533 0.25221397 0.25157695 0.25493419 0.25844579 0.26287308 0.26736702 0.27274665 0.27808121 0.28288372 0.28655984 0.28613846 0.28294154 0.27855858 0.26143494], 25.38, 24.09, False
