time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/08/25 12:56:02.646, 30289611, [5.69176593 5.54803993 5.45408655 5.41146021 5.34602617 5.30545345 5.23818065 5.21145808 5.17642261 5.1349971  5.07997531 4.9769581  4.86667761 4.76773594 4.66844803 4.56756728 4.4738152  4.38849654 4.32946337 4.29395672 4.26053003 4.20785522 4.10149646 3.96046548 3.80536689 3.64976014 3.51752083 3.40746727 3.3182157  3.24769497 3.18153298 3.11650684 3.04760471 2.97618692 2.9065801  2.8462184  2.78637148 2.72547027 2.66111172 2.60164995 2.54393086 2.49325241 2.44516544 2.40168228 2.36001165 2.31944411 2.28409775 2.25252133 2.21580452 2.18140012 2.14459725 2.10741822 2.07335349 2.04225667 2.02047339 2.01569761 2.02726596 2.04900427 2.07047871 2.07584849 2.06209003 2.02147298 1.95620157 1.89171078 1.83160773 1.77472214 1.73595482 1.70148011 1.67765497 1.65905979 1.64480993 1.63216656 1.62245049 1.61536086 1.60448968 1.59614837 1.5842673  1.57482583 1.55980756 1.54545104 1.52736346], [1.19815958 1.21788099 1.24777939 1.2811874  1.32489826 1.35365605 1.38923432 1.40907885 1.41621998 1.40690423 1.36841259 1.3180234  1.27059955 1.23207325 1.20594075 1.17935862 1.15975712 1.1532574  1.1892492  1.1859061  1.16374552 1.10783796 1.01691665 0.91703938 0.82532078 0.75359458 0.70759904 0.68123025 0.66690995 0.65870507 0.64838482 0.63360837 0.6145119  0.59453267 0.57839873 0.56313123 0.546382   0.52756844 0.51031482 0.49660578 0.48802629 0.48154121 0.47785174 0.47727938 0.47882037 0.48201373 0.48322021 0.48346355 0.48215043 0.47932397 0.47510658 0.4713182  0.47332817 0.48416146 0.5078696  0.54240083 0.58166253 0.61391653 0.62744714 0.61571668 0.57980273 0.52930404 0.47550247 0.42973629 0.39687507 0.37473982 0.36087818 0.35350117 0.34974049 0.34967766 0.35190247 0.35384833 0.35535163 0.36023963 0.36362946 0.3645644  0.36693758 0.36751645 0.36500001 0.36010958 0.34165205], 25.32, 24.00, False
2022/08/25 12:56:02.896, 30289861, [5.65012063 5.54439614 5.43227963 5.38230137 5.3344444  5.29183336 5.22945935 5.20634403 5.17125446 5.12004774 5.05475206 4.96161482 4.85327885 4.75483464 4.64709966 4.55450513 4.46025577 4.37610144 4.31474317 4.28108699 4.2485247  4.19521801 4.08898707 3.94877302 3.79129065 3.63725649 3.50645759 3.39787549 3.30799264 3.23712271 3.17173192 3.10516407 3.03829533 2.96639492 2.89829258 2.83644971 2.77799083 2.71718385 2.65283837 2.59358703 2.5454592  2.49453059 2.44621642 2.40242593 2.3618991  2.32076506 2.28654278 2.25407951 2.21820892 2.18412322 2.14757935 2.11012744 2.07619707 2.04513925 2.02282532 2.01849532 2.02955516 2.05201387 2.07358214 2.0794533  2.06648262 2.0241054  1.95944467 1.89574769 1.83437073 1.78023326 1.73800191 1.70513067 1.67975202 1.66192485 1.64714695 1.63381748 1.62493538 1.61784867 1.60781757 1.59664761 1.58838663 1.57611718 1.5613208  1.54324885 1.52970656], [1.19817085 1.22676199 1.24980322 1.29003474 1.32672988 1.34864159 1.37555182 1.44461433 1.42047924 1.40249302 1.36264629 1.31388131 1.26838132 1.2330985  1.20711909 1.17915723 1.15898141 1.15410516 1.16339514 1.17693012 1.16703235 1.11118835 1.02005127 0.91940344 0.82660399 0.75518951 0.70799272 0.68192758 0.66860266 0.65906205 0.6498828  0.63418486 0.61557359 0.5957767  0.57943451 0.56377816 0.54682213 0.52850442 0.511269   0.49740861 0.48611375 0.47988144 0.4769356  0.47616389 0.47735305 0.47893023 0.48136183 0.4831207  0.48141575 0.47837337 0.47356625 0.4702609  0.47170735 0.48306293 0.50650825 0.54123518 0.58080502 0.61261884 0.62661946 0.61502007 0.57912587 0.5273103  0.47469299 0.42946585 0.39606517 0.37333616 0.36079363 0.35277264 0.34904727 0.34967593 0.35019695 0.35200322 0.35423721 0.35803649 0.36138024 0.36397229 0.36630396 0.36751336 0.36305048 0.36056013 0.34079995], 25.33, 24.01, False
2022/08/25 12:56:03.146, 30290110, [5.60752884 5.53291704 5.44156698 5.37393937 5.34848091 5.29971382 5.23137214 5.20804365 5.1609087  5.12909952 5.05996526 4.96511936 4.86152687 4.75759578 4.65862001 4.56024254 4.46412292 4.38129879 4.32134802 4.28510165 4.25400368 4.20139438 4.09347027 3.95601563 3.79739965 3.64211829 3.51125178 3.40164629 3.31280866 3.24105697 3.17506176 3.11065494 3.04248752 2.96997573 2.90094971 2.8404484  2.78176608 2.72212104 2.65724781 2.59749908 2.54656919 2.49540839 2.44781831 2.40408104 2.36325095 2.32331952 2.28820618 2.25571925 2.21921868 2.18547396 2.14964291 2.11115009 2.07767312 2.04611182 2.02461054 2.01985428 2.03240664 2.0534748  2.07465781 2.08008885 2.06654138 2.02608434 1.9595439  1.89817113 1.83605532 1.78076544 1.73908804 1.70594831 1.67975003 1.66383399 1.64885221 1.63658598 1.62570255 1.61957288 1.60781665 1.59933042 1.58898368 1.57615926 1.56337633 1.54922702 1.53054311], [1.20354472 1.22620565 1.26321114 1.29128672 1.32385829 1.3446472  1.38483145 1.40907885 1.41621998 1.40607405 1.36897256 1.31724355 1.26911228 1.23399903 1.2073653  1.18145726 1.16163726 1.15679372 1.16559768 1.17904912 1.16831421 1.11176906 1.02161976 0.91942737 0.82705313 0.75558583 0.709096   0.68299344 0.66893461 0.66101159 0.65079432 0.63388445 0.6160931  0.5959631  0.57911605 0.56442916 0.54747117 0.52863691 0.51164082 0.49758832 0.48703133 0.4808481  0.47755642 0.4766429  0.4780377  0.47989405 0.48195302 0.48336982 0.48236411 0.47950826 0.47452352 0.47100705 0.47246707 0.48409236 0.50710392 0.54222965 0.58151814 0.6135124  0.62755101 0.61514892 0.57971431 0.52865453 0.47532447 0.42968498 0.39712675 0.37452396 0.36151056 0.35381694 0.35028772 0.35075966 0.35190247 0.35198195 0.35576912 0.35965649 0.36343131 0.36502208 0.36583733 0.36789092 0.36356297 0.36110127 0.34206606], 25.32, 24.01, False
2022/08/25 12:56:03.396, 30290360, [5.58495337 5.5595643  5.46348326 5.395226   5.33689198 5.29399706 5.23433664 5.21227881 5.1889635  5.13682393 5.07073296 4.97103559 4.8677883  4.76313419 4.66021663 4.56538817 4.46993706 4.38410731 4.32754969 4.28739843 4.25922537 4.20139603 4.09688562 3.95894312 3.80311638 3.64492281 3.5130968  3.40268369 3.31534523 3.24226517 3.17737237 3.11229387 3.04368262 2.97036402 2.90451991 2.84013045 2.78145547 2.72181842 2.65653161 2.59781978 2.54923389 2.49874066 2.4510422  2.40785418 2.36585717 2.32508292 2.29021415 2.25797416 2.22229917 2.18751288 2.15061347 2.11353035 2.07948418 2.0476469  2.02575031 2.02176052 2.03401557 2.05493873 2.07596883 2.08213613 2.06815652 2.0266787  1.96088413 1.89790091 1.83713172 1.78202283 1.73934438 1.70835517 1.68096257 1.6645991  1.64925825 1.63648224 1.62507143 1.61784777 1.60538539 1.59933116 1.58839922 1.57745103 1.56549635 1.54851819 1.53531772], [1.19830445 1.22675608 1.24689447 1.29002963 1.31735855 1.34715958 1.37334878 1.40319084 1.41367943 1.40303412 1.36512533 1.3181477  1.26650516 1.23502441 1.2033902  1.17830943 1.15914707 1.15240798 1.16339588 1.17622511 1.16592315 1.10899766 1.01813174 0.91848108 0.8257459  0.75479099 0.70571874 0.68049746 0.66688917 0.65872686 0.64803994 0.63325286 0.61396545 0.59498879 0.57748219 0.56220267 0.54508684 0.5270802  0.50932578 0.49553938 0.48522933 0.4790235  0.47606837 0.47574448 0.47657145 0.47775639 0.48022122 0.48177488 0.48013401 0.47727245 0.47298445 0.46938382 0.4711985  0.48211739 0.50621217 0.54072254 0.58009405 0.61147472 0.62665468 0.61393916 0.57866776 0.52661756 0.47332204 0.4283636  0.39592105 0.37285204 0.35950815 0.35223755 0.34847765 0.34879999 0.35021114 0.35198112 0.3552812  0.35725832 0.35953139 0.36312022 0.36567422 0.36549691 0.36212439 0.35812535 0.34011047], 25.33, 24.01, False
2022/08/25 12:56:03.646, 30290611, [5.64011051 5.529249   5.44473781 5.37672198 5.34602617 5.28610685 5.22457519 5.18437494 5.17428067 5.11867919 5.05474579 4.96639937 4.85225263 4.74930562 4.64623627 4.55292831 4.46025258 4.37329877 4.31161264 4.27566956 4.24904558 4.19066572 4.08960617 3.94694111 3.79033094 3.634839   3.50313408 3.3941332  3.30606745 3.23346273 3.168602   3.10194854 3.03431121 2.96456509 2.8950521  2.83340814 2.77436049 2.71361841 2.64981554 2.58975954 2.53915928 2.48954715 2.44166432 2.39727809 2.35696258 2.31600972 2.28200241 2.24992764 2.21357838 2.180481   2.14296718 2.10585324 2.07176768 2.04102182 2.01849778 2.01367624 2.02610081 2.04779631 2.06974288 2.07543597 2.0609878  2.0205336  1.95440261 1.89095855 1.83042529 1.77532696 1.73307806 1.7011412  1.67503768 1.65619548 1.64418134 1.62982675 1.61878945 1.61401704 1.60065459 1.59289493 1.58308579 1.57291174 1.55914283 1.53955248 1.52109269], [1.20354472 1.23507484 1.26028736 1.28447282 1.3191717  1.35411747 1.382385   1.40815727 1.41196796 1.40980465 1.36897256 1.31556111 1.27096645 1.23737478 1.2073653  1.18250699 1.16152535 1.15665443 1.16530292 1.18056567 1.16895508 1.11215959 1.02131215 0.92039729 0.82837667 0.75798152 0.70979256 0.68362566 0.67023811 0.662132   0.65010672 0.63604181 0.61618525 0.59690732 0.58016969 0.56492272 0.54731266 0.53643004 0.51280825 0.49788054 0.48734247 0.4808778  0.47746984 0.47712025 0.47847888 0.48033164 0.48247597 0.48367671 0.48251685 0.47913968 0.47479885 0.47147378 0.47361093 0.48416146 0.50790388 0.54240083 0.58151814 0.61391653 0.62790251 0.61538743 0.58005227 0.52865453 0.47550247 0.43036471 0.39698162 0.3748483  0.36093013 0.3549071  0.35051284 0.35037952 0.35188927 0.35339137 0.35580385 0.36023963 0.36213134 0.36528609 0.36742368 0.36703098 0.36449008 0.35934469 0.34114707], 25.32, 24.01, False
2022/08/25 12:56:03.896, 30290861, [5.63020811 5.53292311 5.44774293 5.39013182 5.33934239 5.27607265 5.22945059 5.20552993 5.16607578 5.12910158 5.06704079 4.97455372 4.86050534 4.75671122 4.65285611 4.56320827 4.46484528 4.38369817 4.32284427 4.28566866 4.25687155 4.20166557 4.09608855 3.95711151 3.79957479 3.64614969 3.51420022 3.40336807 3.31598564 3.24528093 3.17845073 3.11352392 3.04564318 2.97382909 2.90632964 2.84357415 2.78576367 2.72560783 2.66001819 2.60060561 2.54057525 2.48944435 2.44167773 2.39801076 2.35696288 2.31689121 2.28182595 2.25018722 2.21375472 2.17918841 2.14332424 2.10552304 2.07213633 2.04124892 2.01830715 2.01433898 2.02622256 2.04808892 2.06969153 2.07412426 2.06142139 2.02023211 1.95440334 1.89123049 1.8309972  1.77442034 1.73442028 1.70051995 1.6755615  1.6571505  1.64274378 1.63121027 1.61910459 1.61449933 1.60058957 1.59346687 1.58250097 1.5716637  1.56198505 1.54246396 1.52502184], [1.17716497 1.21788394 1.24979203 1.28674166 1.31994696 1.33919036 1.37798324 1.40318934 1.41622157 1.40013692 1.36456682 1.3092868  1.26501874 1.23237345 1.20196692 1.17641268 1.1569383  1.15057324 1.16184976 1.17703459 1.16383088 1.10790233 1.01700157 0.91609387 0.8240368  0.75199472 0.70573095 0.67945023 0.66591772 0.65749647 0.64688494 0.63220154 0.61293067 0.5935001  0.57656728 0.56105935 0.54515095 0.5268542  0.50892469 0.49518486 0.48591324 0.47982306 0.47677465 0.47616517 0.47714091 0.4789029  0.48114966 0.48223558 0.48160014 0.47840596 0.47353528 0.47012851 0.47186707 0.48319125 0.50650951 0.54099726 0.57999344 0.61261973 0.62625392 0.61390245 0.57837818 0.527223   0.47387106 0.42860109 0.39500658 0.37312205 0.35982102 0.35241031 0.3480919  0.34809902 0.34976548 0.35013873 0.3538554  0.35732427 0.36028008 0.36121991 0.3652054  0.36359231 0.36047904 0.35704835 0.33995186], 25.32, 24.01, False
2022/08/25 12:56:04.146, 30291110, [5.62161857 5.55586864 5.5013759  5.42493847 5.36008929 5.30187752 5.26744888 5.2301406  5.18679383 5.15503895 5.08275678 4.99684868 4.88230126 4.79092723 4.68484399 4.58724351 4.49326889 4.40457454 4.34835267 4.30861338 4.27754709 4.22462508 4.11839693 3.97819717 3.82223698 3.6659325  3.53382543 3.42295281 3.33396082 3.26399468 3.19630515 3.1304713  3.06284468 2.98967955 2.92139382 2.85866613 2.79911013 2.73812522 2.67311211 2.61340023 2.55646382 2.50541063 2.45824904 2.4132995  2.37287728 2.33134794 2.29695068 2.26464114 2.22881693 2.19388894 2.15732767 2.11931957 2.08614056 2.05394408 2.0318732  2.02759879 2.03856012 2.06146645 2.08194905 2.08765929 2.07351902 2.03307472 1.96690813 1.90430741 1.84158325 1.78812117 1.744849   1.7131687  1.68709042 1.66938015 1.65533062 1.64186442 1.63122256 1.62350811 1.61364338 1.60251599 1.59374614 1.58324391 1.56894682 1.55214093 1.5338109 ], [1.18766901 1.22619974 1.24308629 1.29229341 1.31448696 1.34213325 1.37774479 1.40326893 1.41192454 1.3994478  1.36183622 1.31264669 1.26762506 1.23002315 1.20383105 1.1791581  1.15759803 1.15240921 1.16262404 1.17734627 1.165283   1.11009356 1.01913461 0.91663638 0.8257464  0.75399407 0.70683344 0.681214   0.66657986 0.65774301 0.6480907  0.63308337 0.61393918 0.59404713 0.57800297 0.56217339 0.54538924 0.52705009 0.5095765  0.49655551 0.48406585 0.4776692  0.47458291 0.47425782 0.47523594 0.47701048 0.47947948 0.48054994 0.4798914  0.4768783  0.47233884 0.46895257 0.47024965 0.48166903 0.5047514  0.53976656 0.5794944  0.6114759  0.62551748 0.61313453 0.57779189 0.52600921 0.47319381 0.428179   0.39480965 0.37285414 0.35898208 0.35146434 0.34774734 0.34772044 0.34726545 0.34873971 0.35166866 0.35519089 0.35927802 0.36135305 0.36362166 0.36254945 0.36027287 0.35560761 0.33885157], 25.32, 24.01, False
2022/08/25 12:56:04.396, 30291360, [5.60876034 5.59376078 5.47607611 5.40868453 5.34848525 5.29971804 5.25183546 5.21398495 5.18744099 5.14592312 5.08276148 4.99219821 4.8739694  4.77516882 4.67325592 4.57271923 4.48036422 4.3980196  4.33793653 4.29856035 4.26759052 4.21743115 4.10925619 3.97023913 3.81327326 3.65545427 3.52420683 3.4153871  3.32629409 3.25406251 3.18754801 3.12231068 3.05349884 2.98096312 2.91367946 2.85135185 2.79091681 2.73083126 2.66494034 2.60635917 2.55390632 2.50381861 2.45445231 2.41053355 2.36972812 2.32905329 2.29318718 2.26056352 2.22486725 2.19047426 2.15408474 2.11714712 2.08284867 2.0512446  2.02932593 2.02502878 2.03606612 2.05845197 2.07902104 2.08529344 2.07140868 2.03049902 1.96495125 1.90139759 1.84068539 1.7853047  1.74299279 1.71192118 1.68482888 1.6659372  1.65402582 1.63813308 1.62800996 1.62236385 1.60973764 1.60201616 1.5907652  1.57941064 1.5676174  1.55222014 1.53456458], [1.20895411 1.23064566 1.2535853  1.29230107 1.32203783 1.34612655 1.38262931 1.40714565 1.42044511 1.40165755 1.37009428 1.31601231 1.26835765 1.23767673 1.20736537 1.18081013 1.16196854 1.15679342 1.16583695 1.17936053 1.16775943 1.11189905 1.02074599 0.91992395 0.82835276 0.75638397 0.70979229 0.68365864 0.66955603 0.66121292 0.65015494 0.63523865 0.6168418  0.59669279 0.57977204 0.56433523 0.54740731 0.52873504 0.51241179 0.497943   0.48742089 0.4813453  0.47817557 0.47775639 0.47860659 0.48024449 0.48235787 0.48361651 0.48297469 0.4797198  0.47529231 0.47143994 0.47313495 0.48428814 0.5081663  0.54311913 0.58159504 0.61410149 0.6280953  0.61558868 0.58030152 0.5286101  0.47590639 0.43097386 0.39707307 0.37452344 0.36174836 0.35386419 0.34982073 0.3503209  0.35065747 0.35245378 0.35476027 0.3590729  0.3621307  0.36515348 0.36772986 0.3674046  0.36469817 0.36132753 0.3415596 ], 25.32, 24.01, False
2022/08/25 12:56:04.646, 30291611, [5.71056527 5.58272229 5.54613497 5.44643891 5.37356782 5.34524211 5.28423429 5.24209658 5.20762475 5.15824493 5.10288611 5.00524744 4.89692115 4.7955687  4.69797461 4.5938236  4.49521884 4.40981051 4.34458493 4.30660829 4.27518727 4.21432245 4.10383081 3.96186669 3.80359209 3.64979472 3.51714414 3.40714291 3.3185483  3.24648408 3.17957648 3.11410388 3.04640722 2.97317434 2.90539574 2.84421191 2.784789   2.72497421 2.65854504 2.59964439 2.5668872  2.51630492 2.46917945 2.42540007 2.38460937 2.34373323 2.30897356 2.27741417 2.24031108 2.20588737 2.16902176 2.13018433 2.09637766 2.06581603 2.04292785 2.03797242 2.04928277 2.07144623 2.09235403 2.0986057  2.08504277 2.04368384 1.9787818  1.91601989 1.85526441 1.80036929 1.75774732 1.72687762 1.69954052 1.68069182 1.67134971 1.65618709 1.6431033  1.63822152 1.6261597  1.61698248 1.60915939 1.59754456 1.58357312 1.56421325 1.55127207], [1.17707016 1.22955752 1.24687582 1.28900273 1.52169313 1.34065789 1.35290027 1.3866186  1.40351277 1.39283345 1.35743848 1.30928486 1.26132013 1.23134768 1.2003     1.17222148 1.15632916 1.15098856 1.15965128 1.17481578 1.16336203 1.10893358 1.01656425 0.9160943  0.82445526 0.75278935 0.70649808 0.67976661 0.66560859 0.65837021 0.64718168 0.63220336 0.61316313 0.59371569 0.57702685 0.5626377  0.54512102 0.52685615 0.50892673 0.49489523 0.48580547 0.47932712 0.47642315 0.47555906 0.47673008 0.47874958 0.48071699 0.48226749 0.48114364 0.47776456 0.47344822 0.46973058 0.47171031 0.48283517 0.50667683 0.54082756 0.58023999 0.61373218 0.6329263  0.61361186 0.57845997 0.52709628 0.47369451 0.42865366 0.39506162 0.37280081 0.35977119 0.35223953 0.34878483 0.34924063 0.34850943 0.35200613 0.35371972 0.35745731 0.3607351  0.36227035 0.36614678 0.36512726 0.36078447 0.3583556  0.33970206], 25.32, 24.01, False
