time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/08/25 03:53:43.963, 2083100, [ 0.15051506  0.14010675  0.12169316  0.10772584  0.0952528   0.08488323  0.07280856  0.06840869  0.06018546  0.04813456  0.04520196  0.03594879  0.03122658  0.02978327  0.02243254  0.01746059  0.01263647  0.0090205   0.00640196  0.00251202 -0.00062044 -0.00695484 -0.01648934 -0.02296974 -0.03294238 -0.04216657 -0.0482818  -0.05421509 -0.05957482 -0.06227101 -0.06320152 -0.06537774 -0.06656396 -0.06987263 -0.06992172 -0.0721139  -0.07258699 -0.07272496 -0.07449991 -0.07573331 -0.07651362 -0.07622765 -0.07745463 -0.07755281 -0.07906595 -0.08327954 -0.08312088 -0.08291713 -0.08625278 -0.08856647 -0.09061313 -0.09164028 -0.09114419 -0.09068189 -0.09338307 -0.09385138 -0.09347389 -0.09529157 -0.09666865 -0.10012411 -0.1005156  -0.09953321 -0.10672681 -0.10290818 -0.10200848 -0.10520258 -0.10052937 -0.09802603 -0.09323454 -0.0865445  -0.07819036 -0.07012869 -0.06194258 -0.05225593 -0.04824743 -0.04062276 -0.03448889 -0.03189114 -0.03254064 -0.03601842 -0.04040096], [0.26868814 0.25566579 0.25020064 0.21993778 0.21345063 0.21628314 0.20157894 0.1995791  0.19018351 0.18333221 0.18243888 0.18071433 0.17682698 0.17105143 0.1698006  0.16541803 0.16248138 0.16067966 0.15833955 0.15852374 0.15455058 0.14885872 0.14017459 0.1315058  0.12333489 0.11763373 0.11075303 0.10620232 0.10167204 0.09952544 0.09777647 0.09663075 0.09500929 0.09447491 0.09332701 0.09223145 0.0927709  0.09173486 0.09137746 0.09018543 0.09159775 0.09162173 0.0918378  0.09192007 0.09132889 0.08956362 0.08836077 0.08769632 0.08556051 0.08367992 0.08256772 0.08119905 0.08118628 0.08125533 0.08145722 0.08088599 0.08107692 0.07995948 0.0779496  0.07577624 0.07369461 0.07305037 0.07096657 0.06948085 0.07014016 0.07193181 0.0755351  0.0785169  0.08436966 0.09239195 0.09925656 0.10863578 0.11620602 0.12604665 0.13358035 0.1420934  0.14927457 0.15363337 0.15350373 0.14989702 0.13668132], 25.23, 24.23, False
2022/08/25 03:53:44.213, 2083350, [ 0.1549406   0.12884753  0.12524137  0.10478006  0.10029689  0.08487335  0.07282026  0.07016221  0.06019532  0.05109783  0.04395333  0.04023282  0.03198579  0.03065277  0.02146728  0.01915678  0.01272668  0.0090236   0.00686553  0.00409034 -0.00038338 -0.00575138 -0.01484002 -0.02346953 -0.03224792 -0.04183564 -0.04866023 -0.05398011 -0.05928957 -0.06205771 -0.06356707 -0.06475789 -0.06678911 -0.06960093 -0.07006499 -0.07142727 -0.07230488 -0.07222505 -0.07488363 -0.07564439 -0.07735413 -0.0765028  -0.07825317 -0.07818701 -0.07944626 -0.08354005 -0.08391961 -0.08264059 -0.08672252 -0.08871191 -0.09072657 -0.09212173 -0.09126144 -0.09111342 -0.09401677 -0.09381449 -0.09414224 -0.095847   -0.09615225 -0.10006604 -0.1005858  -0.09994398 -0.106245   -0.10239992 -0.10207963 -0.10499179 -0.10113772 -0.09720636 -0.09563885 -0.08579392 -0.07819201 -0.07147471 -0.06194104 -0.0545553  -0.04747904 -0.04039852 -0.03727014 -0.03189031 -0.03199467 -0.03469633 -0.03887432], [0.24110417 0.24247629 0.22388237 0.21760136 0.21345793 0.20060473 0.19713399 0.19052724 0.18278802 0.18487242 0.18112725 0.17819252 0.17454098 0.17101708 0.17166123 0.16624041 0.16322059 0.16129921 0.15944801 0.15846677 0.15549756 0.14885826 0.14053723 0.13229022 0.12437225 0.11656549 0.11107486 0.10620113 0.10276616 0.10102755 0.09855316 0.09693207 0.09621474 0.09457238 0.09414368 0.09344934 0.09303013 0.09301714 0.09160985 0.09045782 0.09137827 0.09171119 0.0915836  0.09167028 0.09076755 0.08932077 0.08826181 0.08694892 0.084907   0.08344504 0.08247228 0.08893533 0.08577703 0.08031925 0.08020331 0.08032771 0.07990625 0.07914155 0.07721034 0.07488774 0.0732129  0.07220242 0.0710304  0.06925796 0.06967121 0.07059652 0.09130132 0.07977276 0.08410502 0.08880052 0.09842235 0.10467045 0.11472356 0.12395926 0.13153296 0.14012154 0.14712288 0.15088046 0.1497194  0.14782176 0.13351311], 25.24, 24.23, False
2022/08/25 03:53:44.463, 2083600, [ 0.14528477  0.1318247   0.1184395   0.10772084  0.09273827  0.08263061  0.07280563  0.07182954  0.05731786  0.04961076  0.04412931  0.03594735  0.03122575  0.02814601  0.02155481  0.01852981  0.01077826  0.00969581  0.00710657  0.00251114 -0.00062118 -0.00660396 -0.01649049 -0.0234056  -0.03459165 -0.04216775 -0.04742183 -0.05486575 -0.06038201 -0.06179458 -0.06362956 -0.06489506 -0.06702276 -0.07014168 -0.06925459 -0.07225669 -0.07305499 -0.07227833 -0.07458373 -0.07635266 -0.07526419 -0.07443462 -0.07622901 -0.07586239 -0.07758032 -0.08177741 -0.08194441 -0.08112334 -0.0851478  -0.08692409 -0.08928369 -0.09069383 -0.08921158 -0.08936733 -0.09207841 -0.09314453 -0.09230121 -0.0936952  -0.09515453 -0.09891913 -0.09905107 -0.09858534 -0.10516048 -0.10110143 -0.10143076 -0.10349123 -0.09995742 -0.09644299 -0.09325946 -0.08465885 -0.07777717 -0.06921354 -0.06199502 -0.05265696 -0.04696169 -0.03824347 -0.03448908 -0.03101616 -0.03077678 -0.03326042 -0.03887532], [0.25807523 0.24036396 0.24107207 0.21563645 0.20985653 0.20666448 0.20157783 0.192234   0.18828933 0.18168619 0.18105894 0.1781901  0.17452935 0.17001536 0.16890507 0.16377277 0.16178423 0.1600595  0.15894768 0.15730771 0.15466639 0.14695621 0.14072008 0.13162927 0.12480237 0.11559972 0.11088095 0.10689296 0.10231641 0.1004152  0.09693554 0.0966312  0.09552851 0.09447539 0.09382708 0.092814   0.09260866 0.0921581  0.09100719 0.08982752 0.09200499 0.09225923 0.09237177 0.09205073 0.09161594 0.08970638 0.08821986 0.08755667 0.08546672 0.08391226 0.08256892 0.08100899 0.08113722 0.08120532 0.08110596 0.08119895 0.08043765 0.07930637 0.07749099 0.07530707 0.07413224 0.07292396 0.07096689 0.0702814  0.06898507 0.07128066 0.07499099 0.07828947 0.08482215 0.09136847 0.09723455 0.10823556 0.11522115 0.12497193 0.13289907 0.15311328 0.14891276 0.15006374 0.1498008  0.15049089 0.13548869], 25.23, 24.23, False
2022/08/25 03:53:44.713, 2083851, [ 0.15050697  0.14411876  0.12168757  0.10196896  0.10028625  0.08040777  0.07658887  0.07350845  0.05863171  0.05221408  0.0464549   0.03927244  0.03312014  0.03074089  0.02487952  0.01745993  0.01401949  0.00707495  0.00911649  0.00358671  0.0006792  -0.00682126 -0.01523948 -0.02274018 -0.03273155 -0.04158014 -0.0475493  -0.0546347  -0.05941787 -0.06131696 -0.06300446 -0.06494991 -0.06526173 -0.06900452 -0.06935241 -0.07172191 -0.07263327 -0.07222869 -0.07450055 -0.07527601 -0.07647629 -0.07607163 -0.0772677  -0.07740247 -0.07891769 -0.08327987 -0.08282699 -0.08229804 -0.08646395 -0.08794862 -0.09028477 -0.09174152 -0.09065268 -0.09137401 -0.09322463 -0.09320125 -0.09371437 -0.09417777 -0.09648955 -0.09952197 -0.09916528 -0.10011688 -0.10537813 -0.10267746 -0.10143076 -0.10287909 -0.10171235 -0.09668754 -0.09391566 -0.0854084  -0.07735938 -0.06972238 -0.06285987 -0.05110529 -0.04708629 -0.0391848  -0.03369044 -0.02975174 -0.03037593 -0.03193806 -0.03702403], [0.25488219 0.23827221 0.2329571  0.21037364 0.20985653 0.1996194  0.19935376 0.19467798 0.19207541 0.18147026 0.18375029 0.18071385 0.174519   0.17209533 0.16982345 0.16716636 0.1632219  0.16283224 0.160058   0.15962904 0.15578668 0.14984009 0.14102209 0.13319882 0.1247398  0.11663025 0.11172209 0.10711882 0.1034431  0.10149635 0.09926313 0.09766721 0.095698   0.09486784 0.09431748 0.09250854 0.09282559 0.09266763 0.09115936 0.09086789 0.09195778 0.09212291 0.09252023 0.09267714 0.09180246 0.08984861 0.08887396 0.08755667 0.08616028 0.08419166 0.08313141 0.08181685 0.08162487 0.0815     0.08170645 0.08196778 0.08112565 0.07980479 0.0780596  0.0757877  0.07489756 0.07337219 0.07186648 0.07042589 0.06999341 0.07132474 0.07506352 0.07888351 0.08488509 0.09275154 0.09921779 0.10915637 0.11572916 0.12601428 0.13351774 0.14140629 0.14764151 0.17708438 0.18837567 0.14593177 0.12863937], 25.23, 24.24, False
2022/08/25 03:53:44.963, 2084100, [ 0.15051506  0.1398468   0.12183061  0.10778791  0.09778989  0.08702562  0.07078772  0.07176581  0.0601072   0.0523034   0.04520196  0.03699468  0.03492135  0.03074193  0.0223411   0.01826292  0.01540407  0.00893669  0.00670129  0.00516242 -0.00091953 -0.00582701 -0.01570202 -0.02367784 -0.03162779 -0.04190524 -0.04754818 -0.05463373 -0.05947789 -0.06104742 -0.0626909  -0.06433286 -0.06554252 -0.0692209  -0.06970471 -0.07108474 -0.07309982 -0.07173085 -0.07415518 -0.07531534 -0.07610639 -0.0755168  -0.07626267 -0.07704857 -0.07820647 -0.08260878 -0.08194415 -0.08195364 -0.08558626 -0.08754205 -0.08957895 -0.09065994 -0.09004244 -0.09040482 -0.09262396 -0.09255025 -0.09324735 -0.09394269 -0.09559077 -0.09899931 -0.09861409 -0.0989981  -0.10494208 -0.10221428 -0.1015162  -0.10182003 -0.10081554 -0.09740578 -0.09323454 -0.0861944  -0.07569886 -0.06878092 -0.06280752 -0.04995344 -0.04644302 -0.03807731 -0.0342828  -0.02950833 -0.02915585 -0.03295837 -0.0382235 ], [0.28574573 0.25566579 0.24492011 0.22424117 0.21345063 0.20920444 0.20415377 0.19883798 0.18845677 0.18651436 0.18381795 0.17946997 0.176838   0.1700246  0.1698006  0.16706412 0.16400434 0.16201812 0.16071852 0.15896496 0.15511092 0.14931952 0.14053741 0.13189821 0.12431015 0.11731715 0.11172182 0.10674892 0.10347579 0.10096514 0.09939647 0.0974827  0.09609658 0.09538245 0.09403128 0.09333998 0.09310839 0.09291407 0.09206501 0.09094549 0.09220802 0.0920162  0.09251987 0.09196349 0.09171563 0.08984808 0.08882922 0.0880213  0.08546633 0.08433096 0.0829432  0.08143538 0.08157499 0.08164692 0.08160314 0.08103976 0.08170999 0.08001672 0.0783985  0.07582798 0.07456931 0.07271071 0.07096124 0.07086271 0.07046043 0.07210976 0.07533528 0.07970525 0.08528542 0.09233871 0.09885987 0.10861584 0.11621932 0.12497139 0.1335171  0.14131225 0.14879136 0.15074064 0.15277981 0.14954257 0.13602372], 25.23, 24.23, False
2022/08/25 03:53:45.213, 2084350, [ 0.15445369  0.13632482  0.12830176  0.1018961   0.09775354  0.08698307  0.07668008  0.06839999  0.06459631  0.0509937   0.04761349  0.04040722  0.03406516  0.03055107  0.02409145  0.01817102  0.01263327  0.00893359  0.0093575   0.00408329 -0.00038923 -0.00540598 -0.01517297 -0.02317787 -0.03163171 -0.04158367 -0.0479886  -0.0536317  -0.05942142 -0.06105164 -0.06275227 -0.06422723 -0.06639165 -0.06970987 -0.06945294 -0.07074215 -0.07253849 -0.07132984 -0.07385456 -0.07535856 -0.07506688 -0.07478501 -0.07629849 -0.0762306  -0.07776186 -0.08198972 -0.08189459 -0.0807984  -0.08493788 -0.08739657 -0.08958003 -0.09066103 -0.09011188 -0.08990433 -0.09246644 -0.09278504 -0.09239788 -0.09450157 -0.09527225 -0.09819713 -0.09925009 -0.0985448  -0.10442246 -0.10207203 -0.10147577 -0.10318712 -0.1005691  -0.09606895 -0.09435549 -0.08429701 -0.07737701 -0.07102023 -0.06183996 -0.05021854 -0.04760542 -0.03879804 -0.03407738 -0.03101678 -0.02983073 -0.03397955 -0.03560928], [0.27628692 0.25565396 0.23678283 0.22853895 0.20542779 0.21173735 0.19935043 0.19736741 0.19017716 0.18497415 0.18112415 0.17690967 0.17568229 0.17105064 0.16890483 0.16620735 0.16178501 0.16006042 0.16077265 0.15802841 0.15466671 0.14873971 0.14065935 0.13313762 0.12559911 0.11778847 0.11139993 0.10742516 0.10347696 0.10164487 0.09965782 0.09760553 0.09586878 0.09495095 0.09490914 0.09323059 0.09347994 0.09270593 0.09189909 0.09063839 0.09220957 0.09177497 0.09266979 0.09234352 0.09124417 0.08994875 0.08831836 0.08746879 0.08551682 0.08451838 0.08280381 0.08153125 0.08079922 0.08159823 0.08185784 0.08145461 0.08107172 0.07951943 0.07754163 0.07595497 0.0745048  0.07337322 0.07158589 0.06984518 0.07008117 0.07208176 0.07548249 0.07904347 0.08469735 0.09234045 0.1262162  0.12055207 0.11423738 0.12181252 0.12968379 0.1367828  0.14537528 0.14760528 0.14940089 0.14593413 0.13186949], 25.22, 24.24, False
2022/08/25 03:53:45.463, 2084600, [ 0.15490016  0.14010068  0.124933    0.10493492  0.10029732  0.08926738  0.0747218   0.0718954   0.0602612   0.05247568  0.04492541  0.0403186   0.03406767  0.03265751  0.02224881  0.0204907   0.01263567  0.01088064  0.00764935  0.00466226 -0.00092027 -0.00525896 -0.014452   -0.02310704 -0.03286506 -0.04047159 -0.04742183 -0.05398492 -0.05907612 -0.06152615 -0.06249377 -0.06416944 -0.06656491 -0.06959178 -0.06935241 -0.07137647 -0.0721145  -0.07142092 -0.07423897 -0.07477774 -0.0765141  -0.07607163 -0.07711446 -0.07740247 -0.07934308 -0.08277448 -0.08315336 -0.08233017 -0.08631773 -0.0882413  -0.0900707  -0.09189117 -0.09111013 -0.09133955 -0.09357693 -0.09365382 -0.0936057  -0.09546522 -0.0968488  -0.10049965 -0.10027709 -0.10003195 -0.10629233 -0.10337128 -0.10196605 -0.10454936 -0.10110216 -0.0982708  -0.09573989 -0.08580764 -0.07736735 -0.07152732 -0.06255737 -0.05291917 -0.04837205 -0.0411768  -0.03348418 -0.03213407 -0.03212471 -0.03224014 -0.03931258], [0.25595663 0.24456486 0.2382168  0.21231281 0.20489192 0.20313815 0.19420906 0.1929642  0.18828933 0.18157818 0.17967892 0.17815549 0.17339668 0.16900714 0.16612743 0.16288049 0.16104438 0.15872193 0.15960835 0.1574194  0.15366175 0.148057   0.13993384 0.13162927 0.12413124 0.11654036 0.11049428 0.10650799 0.10279917 0.10047918 0.09777692 0.096754   0.09633664 0.09404216 0.09411285 0.09273138 0.09282559 0.0928436  0.09154587 0.09044604 0.09195778 0.09201657 0.0921792  0.09248799 0.09147263 0.08970638 0.0885912  0.0877415  0.08574563 0.08395974 0.08275594 0.08157812 0.08157541 0.08135266 0.08165501 0.08140061 0.08149713 0.08018037 0.07777026 0.07577656 0.07488665 0.07323637 0.07151972 0.07042772 0.07015354 0.07200627 0.07595296 0.07961585 0.08521124 0.09269832 0.09925696 0.10775504 0.11671501 0.1250703  0.1348188  0.13953017 0.14839786 0.15006374 0.15189449 0.14972054 0.13331783], 25.23, 24.24, False
2022/08/25 03:53:45.713, 2084851, [ 0.15052315  0.13985288  0.12169875  0.10197896  0.09527296  0.08708104  0.07467672  0.06498778  0.05863663  0.04970299  0.04520352  0.03709     0.03331238  0.02891917  0.02234192  0.01835279  0.01069253  0.00961365  0.00765028  0.00135983 -0.000844   -0.00695402 -0.0168818  -0.02347213 -0.03438901 -0.04288273 -0.04834447 -0.05580708 -0.06025711 -0.06280665 -0.06453405 -0.06591527 -0.0683941  -0.07035712 -0.07049087 -0.07333849 -0.0735721  -0.07277378 -0.0757472  -0.07680905 -0.07746914 -0.07641956 -0.07726684 -0.07751958 -0.07916182 -0.08280601 -0.08294134 -0.08244428 -0.08646335 -0.08809452 -0.09010332 -0.09192429 -0.0902787  -0.09095861 -0.09345232 -0.0933278  -0.09358208 -0.0947714  -0.09702735 -0.09952063 -0.10027602 -0.10044395 -0.10563797 -0.10282071 -0.10294905 -0.10353144 -0.10163553 -0.09830261 -0.09359883 -0.08614495 -0.07778392 -0.07104362 -0.06301492 -0.05331891 -0.04747973 -0.04062238 -0.03487525 -0.03101575 -0.03266928 -0.03295815 -0.03963777], [0.25488783 0.23827812 0.22246588 0.22720253 0.20847819 0.20412617 0.20263358 0.37053061 0.20933622 0.17829331 0.17232913 0.17183286 0.17110275 0.16796237 0.16518586 0.16462965 0.161001   0.15867249 0.15762528 0.15681062 0.15254093 0.14833808 0.14011361 0.13195975 0.12443523 0.11628617 0.11101184 0.10711823 0.10331405 0.10096476 0.09875112 0.09784866 0.09702417 0.09518295 0.09452117 0.09333948 0.09332476 0.0929661  0.09182999 0.09093044 0.09175357 0.09216762 0.09203002 0.0915847  0.09128524 0.08900525 0.08784756 0.08741553 0.08542066 0.08554207 0.0831769  0.08110457 0.08065588 0.08140223 0.08165836 0.08104448 0.08065019 0.07941185 0.07765999 0.07535811 0.07414274 0.07284626 0.07076025 0.07006224 0.0694516  0.07092392 0.07451787 0.07785322 0.08371698 0.09126093 0.09723374 0.10737394 0.11523729 0.12386297 0.13289779 0.13993685 0.14676357 0.15020499 0.15438925 0.18034357 0.13015416], 25.23, 24.24, False
2022/08/25 03:53:45.963, 2085100, [ 0.16413726  0.13235328  0.12170993  0.10193112  0.09527373  0.08708949  0.07478438  0.06506092  0.0603492   0.04979516  0.0440437   0.03500193  0.03009012  0.02901495  0.02183274  0.01318678  0.0134611   0.00707805  0.0060231   0.00159398 -0.00412522 -0.00787299 -0.01752621 -0.02537243 -0.0350773  -0.04340266 -0.04963898 -0.05691642 -0.06187604 -0.06387771 -0.06498506 -0.06741886 -0.06925443 -0.07214373 -0.07228643 -0.07339109 -0.075029   -0.07434384 -0.07673796 -0.07755712 -0.07917127 -0.07912659 -0.07975118 -0.07986321 -0.08188679 -0.08568004 -0.08627203 -0.08541108 -0.08938597 -0.09134506 -0.09308951 -0.09451524 -0.09317453 -0.09360438 -0.09639733 -0.09664916 -0.09702623 -0.09830936 -0.09888483 -0.10341337 -0.10244549 -0.10254433 -0.10876849 -0.10549339 -0.1051183  -0.10670389 -0.1039607  -0.10143399 -0.09629493 -0.08916547 -0.0802605  -0.07287287 -0.06648148 -0.05513083 -0.05017491 -0.04167105 -0.03866121 -0.03023706 -0.03645214 -0.03571658 -0.04061323], [0.27399111 0.25567467 0.23155618 0.22326633 0.21415201 0.21124689 0.20673359 0.1949286  0.19035502 0.18816364 0.18519771 0.1794364  0.17680573 0.16899863 0.16885911 0.16462936 0.16095761 0.16134791 0.16010927 0.15730642 0.15455027 0.14937884 0.14144571 0.1334679  0.12443497 0.11703611 0.11146185 0.1074872  0.1031207  0.10075278 0.09862436 0.09778641 0.09615524 0.09538101 0.09414416 0.09333849 0.09286792 0.0926841  0.0920128  0.09083116 0.09256646 0.09216689 0.09355814 0.0931718  0.09208738 0.09021832 0.08901348 0.0877395  0.08574404 0.08470133 0.0833172  0.08224193 0.08186696 0.0821381  0.08195362 0.08191837 0.08101442 0.08050593 0.07873686 0.07613026 0.07500581 0.07349763 0.07178966 0.07093402 0.07077959 0.07215201 0.07615065 0.07970406 0.08475771 0.09341504 0.09965207 0.10783348 0.11868451 0.12496977 0.13475281 0.14277945 0.14903088 0.15184514 0.15173072 0.15179084 0.13476735], 25.24, 24.24, False
