exp,bottle,tp,datetime,date,time,wl,c,c_se,a,a_se,b
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,400,1.1284414525,4.77731100157158e-4,0.199838625,0.0034048455106241724,0.9286028275
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,404.6,1.1166405375,4.3130521201627616e-4,0.2113523475,0.002002258092425218,0.9052881899999999
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,408.7,1.103591758225,3.5690792169734784e-4,0.21370586999999996,0.003373663995463137,0.8898858882250001
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,412.5,1.0944504825,2.993245270308595e-4,0.2252941575,0.0020097116175580958,0.8691563250000001
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,416.9,1.08457794,2.979331644205015e-4,0.23257571,0.0019449101273655372,0.85200223
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,421.4,1.0763447700000002,2.670985836807826e-4,0.24744685,0.002249125216502396,0.8288979200000002
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,426.5,1.070308775,2.50755944977933e-4,0.257412415,0.0015778220278366518,0.81289636
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,430.9,1.0657211475,2.3207555914254007e-4,0.2680395875,0.001190170876081228,0.7976815599999999
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,435.5,1.0608217625,2.2500318782305378e-4,0.2722396775,0.0017720644508106287,0.788582085
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,439.8,1.0549905075000001,2.0399661311481772e-4,0.2737253525,0.001167921708054454,0.781265155
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,444.8,1.0442265671,1.9567046376802746e-4,0.267860095,0.0010836707969413002,0.7763664720999999
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,449.9,1.025358835,1.7301644579186817e-4,0.25854059749999997,0.0010690660114457318,0.7668182375000001
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,455,1.002678505,1.901079932938622e-4,0.24857690500000001,9.736972685187158e-4,0.7541016
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,459.4,0.9810270295750001,1.8820736364114784e-4,0.24173807750000004,9.97918474537843e-4,0.7392889520750001
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,463.8,0.961677652225,1.7966088821040686e-4,0.23650401000000004,9.066983036151484e-4,0.7251736422249999
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,468.7,0.9430550275,1.6931694768119895e-4,0.23292699,8.651681483437336e-4,0.7101280375000001
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,474,0.924780085,1.7470371208196385e-4,0.228309635,7.633408518275225e-4,0.69647045
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,479.2,0.9080491125000001,1.6498251879376892e-4,0.22674927749999996,6.674657952430172e-4,0.6812998350000001
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,484.1,0.8970479725,1.70159097847601e-4,0.22942495499999999,6.721082609244353e-4,0.6676230175
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,489.2,0.8910756675,1.5796270719007716e-4,0.23261786249999997,7.172041473696786e-4,0.6584578050000001
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,493.9,0.8864222975,1.6374309184894752e-4,0.23101515250000002,4.974166894238133e-4,0.655407145
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,498.9,0.87606512175,1.5702089506017597e-4,0.219882205,4.424860625709642e-4,0.65618291675
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,503.8,0.8556960775,1.6118624756292872e-4,0.20089413000000003,3.9547278872252464e-4,0.6548019475
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,508.7,0.827790604825,1.5816434966873206e-4,0.17954517750000001,3.706942206450464e-4,0.648245427325
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,514,0.7967041225,1.5594755774544854e-4,0.16073749,3.504974984800534e-4,0.6359666325
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,519.7,0.7659220075000001,1.5307571496260466e-4,0.1461861125,3.2229675739829503e-4,0.619735895
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,524.8,0.7397113474999999,1.5213309944835638e-4,0.1365756725,2.704131594729933e-4,0.6031356749999999
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,529.9,0.7186558000000001,1.4886875288686746e-4,0.13095627999999998,2.331377379990976e-4,0.5876995200000001
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,534.6,0.7018830795250001,1.4803882988970177e-4,0.1285470225,2.1236633944528906e-4,0.5733360570250001
SYN22-5,A,1,2022-08-24T16:21:45Z,2022-08-24,09:21:45,539.6,0.6879140525,1.4564363868567074e-4,0.126099335,2.1599200247896273e-4,0.5618147175
