time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/05/19 04:26:13.974, 45212588, [0.65377737 0.63841515 0.61482664 0.60217285 0.57967297 0.56583619 0.55579576 0.53849347 0.52511674 0.52186605 0.51384668 0.50589262 0.50108446 0.50193712 0.49513228 0.49452307 0.49076015 0.48745491 0.48616254 0.48243893 0.48093377 0.47699581 0.47877015 0.47743744 0.47553181 0.47516557 0.47234075 0.47112349 0.46858539 0.46673425 0.46769651 0.4651365  0.46408223 0.4623966  0.46123917 0.46014804 0.45867293 0.4576073  0.45571652 0.45312528 0.45167319 0.45041948 0.44822366 0.44698585 0.4438731  0.43829562 0.43688333 0.43624092 0.43158832 0.42823059 0.42436258 0.42100045 0.41937012 0.41508976 0.40828658 0.40459984 0.40132789 0.40058436 0.4013465  0.40085322 0.40503649 0.40844541 0.40466313 0.40852652 0.40697429 0.4041213  0.40497512 0.40455361 0.40745496 0.4123917  0.41713217 0.42339008 0.42687039 0.43666428 0.43701224 0.44335531 0.44790953 0.44973803 0.44698473 0.44665151 0.44298093], [0.38673575 0.35344556 0.34473308 0.33446937 0.32121092 0.31050668 0.29722071 0.28740028 0.27769    0.27163061 0.26170391 0.24776305 0.23787504 0.22839984 0.22186196 0.21343491 0.20788594 0.20148264 0.19793525 0.19381416 0.19056553 0.18572383 0.18210382 0.17698759 0.17262253 0.16867475 0.16392755 0.16171369 0.15766214 0.15428787 0.15091199 0.14886808 0.14630355 0.14425572 0.14231355 0.1406994  0.14001595 0.13949484 0.13818746 0.13658963 0.13659711 0.13625707 0.13639522 0.1366261  0.1370255  0.13549155 0.1350341  0.13409971 0.13212983 0.13064211 0.13020393 0.12791129 0.12858028 0.13188852 0.13650069 0.14178954 0.14643434 0.14871812 0.14641381 0.14193027 0.13610761 0.12822491 0.12141496 0.11555093 0.11278388 0.11237183 0.11338321 0.11654797 0.12026349 0.12525933 0.13227457 0.13780676 0.14279348 0.15070849 0.15773273 0.16198196 0.16842523 0.16971113 0.17200709 0.16628148 0.15339529], 25.01, 23.77, False
2022/05/19 04:26:14.224, 45212839, [0.65275794 0.63765573 0.60803295 0.60174584 0.57390058 0.56534834 0.54596429 0.53989972 0.53079452 0.51756321 0.50758975 0.50589262 0.50005526 0.49817242 0.49598743 0.49063739 0.48935933 0.4842386  0.48379006 0.48137436 0.47587437 0.47802885 0.47533059 0.47457463 0.47364669 0.47302115 0.46997172 0.46856093 0.46545203 0.46558417 0.46427428 0.46325636 0.46104939 0.45945927 0.45867647 0.45800147 0.45619928 0.45500124 0.45363981 0.44996707 0.44809233 0.44693743 0.44497199 0.44348879 0.44055682 0.43517802 0.43377691 0.43380473 0.42866256 0.42529042 0.42225362 0.41850684 0.41715578 0.41300274 0.40653913 0.40281141 0.39988505 0.39867935 0.39934101 0.39918967 0.40395533 0.40637852 0.40373616 0.40595368 0.40479439 0.40236155 0.40274806 0.40282275 0.40518717 0.40993411 0.41523983 0.42136117 0.42460986 0.4345946  0.43609806 0.44172808 0.44672459 0.44683843 0.44555498 0.44397409 0.43982819], [0.36443255 0.36584867 0.34969894 0.33548421 0.3185398  0.31412723 0.30249659 0.28822483 0.27987677 0.27163061 0.26161466 0.25378788 0.24004836 0.22938692 0.22534444 0.21656235 0.20926131 0.20204045 0.19842487 0.19357465 0.18993628 0.18644493 0.18245509 0.17763008 0.17286395 0.16856317 0.16454789 0.16136323 0.15782667 0.15460976 0.15168519 0.14933737 0.14641608 0.1443007  0.14249984 0.1406831  0.14085766 0.13932778 0.13885884 0.13701357 0.13724427 0.13673902 0.1370101  0.13648507 0.13662858 0.13622067 0.13477456 0.13464332 0.13271287 0.13100623 0.12875121 0.12827706 0.12867521 0.13174514 0.13679336 0.14214264 0.14689492 0.14909036 0.14729721 0.14210399 0.13610761 0.1287326  0.12228451 0.11717661 0.11317085 0.11349117 0.11477641 0.11706265 0.12144761 0.12635601 0.13353633 0.13825118 0.14522933 0.15178549 0.15786205 0.16569523 0.16842523 0.17036564 0.17200709 0.16996048 0.15398518], 25.01, 23.77, False
2022/05/19 04:26:14.474, 45213088, [0.65381794 0.63409069 0.6075085  0.59189202 0.5821051  0.56109832 0.54616088 0.5380945  0.52802111 0.51891203 0.51264335 0.50476464 0.50005945 0.49909101 0.49257835 0.49141808 0.48865631 0.48488016 0.48378039 0.48080635 0.47741327 0.47749933 0.47531832 0.47454087 0.47441328 0.47264702 0.47172472 0.46919574 0.46703497 0.46558947 0.4645423  0.46429549 0.46263994 0.46095179 0.45986665 0.45844191 0.45724878 0.45666118 0.45357573 0.45161774 0.45154067 0.44933626 0.44805527 0.44631687 0.44354401 0.43813371 0.43655753 0.43590436 0.43057871 0.427719   0.42419972 0.42084843 0.41935804 0.41529041 0.40830145 0.40460178 0.40170145 0.40076423 0.40154829 0.40189663 0.40661807 0.40869234 0.40566272 0.40905574 0.40725135 0.40471883 0.40497815 0.4048926  0.40779438 0.41167149 0.41839716 0.42373166 0.42743765 0.43618837 0.43975645 0.44202002 0.44965225 0.45043434 0.45012292 0.4458063  0.44418512], [0.36757724 0.36175885 0.34331478 0.33448221 0.32122008 0.30763755 0.29851987 0.28614196 0.27949531 0.26864091 0.25758285 0.25130361 0.23782282 0.22841218 0.22184193 0.2149976  0.20641323 0.202078   0.19739985 0.1931914  0.19066555 0.18588021 0.18129453 0.17677416 0.17208432 0.16889143 0.16440551 0.16130486 0.15738177 0.15457183 0.15171554 0.14914235 0.14630144 0.14409364 0.14280969 0.14102026 0.14051882 0.13954052 0.13867139 0.13678843 0.13730645 0.13713555 0.13711126 0.13664506 0.13708251 0.13540829 0.13544278 0.13464081 0.13288802 0.13122509 0.12942583 0.12859584 0.12932801 0.13240982 0.13640365 0.14229098 0.14699769 0.14919355 0.14746363 0.14262284 0.1362885  0.12955253 0.12214714 0.11661465 0.11369283 0.11299769 0.11423899 0.11735004 0.12138791 0.12670328 0.13265858 0.13824909 0.14616578 0.15228609 0.15899592 0.16550378 0.16891545 0.17303631 0.1735637  0.17087681 0.15666063], 25.02, 23.77, False
2022/05/19 04:26:14.724, 45213338, [0.66325349 0.63843343 0.61795995 0.59503035 0.57454477 0.56823057 0.55391287 0.54213803 0.52801617 0.51905039 0.51506224 0.50703253 0.49904984 0.50194026 0.49770076 0.49219383 0.49147033 0.49006978 0.48617561 0.48297419 0.47987034 0.47982177 0.47834124 0.47824748 0.47589645 0.47513052 0.47477544 0.47177775 0.46921166 0.46797096 0.46800363 0.46617439 0.46465349 0.46284359 0.46216014 0.46082471 0.45928475 0.45846418 0.45626081 0.45405215 0.45368937 0.45197539 0.45028435 0.44869858 0.44517487 0.44028226 0.43870656 0.43788598 0.43287847 0.42985873 0.42653641 0.42283091 0.42124731 0.41644763 0.41061725 0.40640378 0.40414178 0.40333039 0.4029414  0.40357497 0.40794746 0.40981171 0.40708722 0.41010741 0.4086192  0.40618945 0.40656687 0.40729566 0.40857018 0.41333462 0.41937162 0.42347513 0.42823478 0.43921502 0.44138281 0.44360909 0.44995447 0.45105346 0.45012238 0.44580584 0.44343727], [0.37556358 0.35764402 0.33550104 0.3263211  0.31514538 0.31466318 0.29722404 0.28559116 0.27628443 0.26877327 0.25886762 0.24781781 0.23896232 0.22646624 0.22096889 0.21341152 0.20791723 0.20215677 0.19860028 0.1942907  0.19114386 0.18517984 0.18124118 0.17709543 0.17291859 0.1688362  0.16465981 0.16130545 0.15710346 0.15445827 0.15174033 0.14863208 0.14646904 0.14425015 0.14279979 0.14139549 0.14037102 0.13990664 0.1386486  0.13739383 0.13715627 0.13736661 0.13664064 0.13736997 0.13722215 0.13625933 0.13562156 0.13432875 0.13222209 0.13145448 0.12988002 0.12850324 0.129378   0.13188722 0.13717968 0.14194277 0.14699837 0.1486125  0.14707725 0.14187164 0.13604637 0.12892176 0.12241415 0.11669398 0.11332889 0.11292993 0.11430747 0.11641872 0.12089749 0.12700528 0.13269398 0.13693275 0.14570905 0.15070686 0.15719472 0.16493136 0.16854346 0.17130179 0.1711458  0.16903804 0.15457408], 25.02, 23.77, False
2022/05/19 04:26:14.974, 45213588, [0.65906509 0.63845171 0.60751411 0.59546681 0.58178893 0.56062036 0.5480582  0.5436865  0.52174233 0.51912793 0.5125433  0.50363117 0.50209717 0.49816517 0.49343396 0.49064137 0.48722796 0.48487225 0.4855956  0.47915719 0.47789904 0.4765709  0.47665149 0.47419549 0.47331096 0.47224858 0.47140497 0.46889213 0.46483697 0.46497394 0.46484737 0.46383964 0.46130939 0.46024784 0.45824234 0.45780652 0.45597614 0.45544175 0.45202522 0.45133049 0.44594825 0.44465109 0.44332081 0.4414926  0.43824663 0.43272944 0.43149109 0.43118546 0.42589105 0.42302846 0.41945333 0.41547883 0.41463237 0.41042706 0.40373898 0.40027882 0.39726347 0.3960109  0.3968022  0.39671501 0.40109558 0.40362803 0.40058163 0.40366687 0.40177021 0.400007   0.39988994 0.40007986 0.40292365 0.40747932 0.41295056 0.41781543 0.42314867 0.43236777 0.43478023 0.43855194 0.44377742 0.44649294 0.44176373 0.44130075 0.43713196], [0.37242562 0.36386894 0.34891443 0.33651626 0.31515087 0.31466647 0.30173188 0.29004917 0.27988633 0.27123075 0.26134958 0.24903489 0.23679035 0.22935266 0.22273512 0.21506535 0.2080126  0.20290865 0.1980656  0.19491064 0.19013708 0.18533667 0.18226357 0.17714916 0.17319313 0.16900267 0.16451796 0.16182558 0.15777479 0.15600889 0.15171509 0.14926589 0.14685138 0.14456393 0.14261199 0.1417843  0.14102347 0.13997583 0.1390882  0.13739223 0.13780236 0.13736551 0.13743866 0.13797284 0.13757796 0.13657352 0.13571636 0.13495337 0.1329393  0.13123236 0.12997152 0.12900576 0.12956339 0.13298299 0.13766489 0.14278972 0.14751207 0.14972842 0.14774079 0.14279706 0.13659076 0.12911093 0.12221213 0.11718647 0.11460363 0.11376304 0.1151016  0.11805629 0.12164726 0.12705233 0.13360287 0.13826476 0.14568397 0.15339829 0.16013237 0.16492959 0.17185164 0.17579625 0.17340237 0.17346147 0.15870921], 25.03, 23.77, False
2022/05/19 04:26:15.224, 45213839, [0.64753259 0.63046149 0.61426834 0.59859003 0.5817628  0.56748224 0.5437084  0.5382201  0.52800875 0.51918688 0.5138979  0.50482675 0.50312162 0.50004037 0.49513917 0.49063769 0.49077375 0.48618646 0.48256776 0.48246546 0.47789464 0.47751248 0.47707666 0.47501613 0.47402752 0.47336223 0.4713369  0.46951639 0.4660743  0.46558417 0.46603635 0.46377335 0.46257543 0.46098644 0.45915459 0.4586946  0.45638995 0.45563776 0.45365663 0.45093995 0.45182288 0.45111625 0.44822366 0.44732128 0.44367465 0.4384363  0.43737404 0.43674218 0.43191354 0.42855603 0.42571423 0.42187057 0.42056896 0.41632615 0.40973541 0.40584829 0.40341133 0.40135234 0.40315357 0.40275562 0.40658604 0.41055543 0.40614338 0.40956772 0.40835274 0.40470441 0.40529542 0.40662168 0.40858933 0.41412898 0.4193124  0.42347394 0.42901583 0.43650413 0.43995888 0.44545148 0.44967593 0.45140077 0.45039582 0.44622824 0.44268907], [0.38840865 0.37631219 0.34043112 0.32735412 0.3231479  0.31338334 0.29683822 0.29031633 0.27827196 0.27319587 0.2601516  0.24908568 0.23567673 0.22646044 0.21921266 0.21265343 0.20651154 0.19949633 0.19686842 0.19123683 0.18960928 0.18484616 0.18140161 0.1767206  0.17267755 0.16817776 0.16466062 0.16053946 0.15676819 0.15428787 0.15146801 0.14857811 0.14674552 0.1446692  0.14290528 0.1414986  0.14067938 0.14012604 0.13885884 0.13737142 0.13687832 0.13705295 0.13664174 0.13630406 0.13656945 0.13576708 0.1350341  0.1345899  0.13252592 0.13099859 0.12973923 0.12786253 0.12904852 0.13226861 0.1370346  0.14228855 0.14668981 0.14855818 0.14663468 0.14198795 0.13610761 0.12885639 0.12268146 0.11668332 0.11360407 0.11324573 0.11444387 0.11661198 0.12240025 0.12530784 0.13188856 0.13783902 0.14377039 0.15175026 0.19636288 0.17266822 0.17038694 0.16971113 0.16926842 0.16960893 0.15378846], 25.01, 23.77, False
2022/05/19 04:26:15.474, 45214088, [0.64854519 0.64277483 0.60748045 0.60404705 0.5766263  0.56131862 0.55030205 0.54367341 0.52491729 0.52052669 0.51258465 0.50816406 0.50108446 0.49818594 0.4976983  0.49219094 0.48934497 0.48811833 0.48558104 0.48077493 0.47889702 0.47704788 0.4774732  0.47705259 0.47440838 0.47410286 0.47171909 0.46914919 0.46767257 0.46590289 0.465449   0.46375325 0.46310413 0.46094732 0.45942248 0.45816284 0.45811861 0.45645707 0.45374751 0.45184759 0.45074815 0.450433   0.44771203 0.44613589 0.44305764 0.43780504 0.43656776 0.43541325 0.4309261  0.42759209 0.42385731 0.42032241 0.41884883 0.4151029  0.40852902 0.40421243 0.40152734 0.40000848 0.40156026 0.40131456 0.40505125 0.40845955 0.40471806 0.40802352 0.40781452 0.4032498  0.40402194 0.40556197 0.40630047 0.4112542  0.41776336 0.42009045 0.42788493 0.43475329 0.43782498 0.4417658  0.44642267 0.4491186  0.44698473 0.44397409 0.44223348], [0.38040064 0.36808174 0.34745482 0.3324296  0.31975087 0.31338334 0.29774937 0.28740028 0.28308447 0.27292414 0.26152546 0.25262627 0.24004836 0.229381   0.22274467 0.21662933 0.21009202 0.20227482 0.19971319 0.19543796 0.19124456 0.18670615 0.18307281 0.17747093 0.17389663 0.1693896  0.16508341 0.16241452 0.15766214 0.15525347 0.15196758 0.14921333 0.14729588 0.14488198 0.14345581 0.1419744  0.14133324 0.1400043  0.13899831 0.13735035 0.13741596 0.1374095  0.1369289  0.13777315 0.13744179 0.13639871 0.13554134 0.13531067 0.13337954 0.13163394 0.13010521 0.12869163 0.12993922 0.13265215 0.13718498 0.14303926 0.14792428 0.14946558 0.14774066 0.14331934 0.13610866 0.1286698  0.12281724 0.11732255 0.11451513 0.11342239 0.11530685 0.1177693  0.12228473 0.12680222 0.1330467  0.13996479 0.14567948 0.15343701 0.16013622 0.16483901 0.1716042  0.17195863 0.17356626 0.17272196 0.15402538], 25.01, 23.76, False
2022/05/19 04:26:15.724, 45214338, [0.66534527 0.62609301 0.61113503 0.59311048 0.5796599  0.56082316 0.55370958 0.53290182 0.52800133 0.52052048 0.51141918 0.50595828 0.50215502 0.50287572 0.49343963 0.49219031 0.4900361  0.48746085 0.48496288 0.48075877 0.4783617  0.47701068 0.47790201 0.47536007 0.47550949 0.47442123 0.47201629 0.46947183 0.46725226 0.46673107 0.46623468 0.46511349 0.46280707 0.46172776 0.45884542 0.45883494 0.45762442 0.45662016 0.45393741 0.45182895 0.4509258  0.44966712 0.44785661 0.44595561 0.44318881 0.43813111 0.43655544 0.43505122 0.4305763  0.42720451 0.42419754 0.42048786 0.41918683 0.41508885 0.40866439 0.40439151 0.40169772 0.40118741 0.40194232 0.40102894 0.40591188 0.40842941 0.4046472  0.40878221 0.4072461  0.404708   0.40465621 0.4048965  0.40709592 0.41128991 0.41713047 0.42254179 0.42641997 0.43474997 0.43823088 0.44226944 0.44763046 0.45008498 0.44593885 0.44665083 0.44148528], [0.37870318 0.36384222 0.35321037 0.33954775 0.32120542 0.3110347  0.29966161 0.28849569 0.28307969 0.268365   0.26015044 0.25140846 0.23896079 0.22839924 0.22362695 0.21580319 0.20715109 0.2035472  0.19918035 0.19481808 0.19071665 0.1865498  0.18256185 0.17832962 0.17302935 0.16999395 0.16570452 0.16165773 0.15844953 0.15514036 0.15252497 0.14986335 0.14691359 0.14566544 0.14360252 0.14167115 0.14136431 0.14029735 0.13927775 0.1374843  0.1376983  0.1377876  0.13758553 0.13723149 0.1374033  0.13685391 0.13572059 0.13527095 0.13333894 0.13181339 0.1302432  0.12883119 0.12975385 0.13260333 0.1377202  0.14269143 0.1479253  0.14967878 0.14818507 0.14262614 0.13732034 0.12968076 0.12288872 0.11732345 0.11444794 0.11478885 0.11597351 0.11783442 0.12286344 0.12640573 0.13350306 0.13998195 0.14426077 0.15444531 0.15947223 0.16684429 0.17271314 0.17326964 0.17286856 0.17293905 0.15544418], 25.01, 23.76, False
2022/05/19 04:26:15.974, 45214588, [0.66217408 0.6304432  0.61792629 0.59730517 0.57420287 0.5629582  0.55767776 0.53835018 0.52630531 0.51769861 0.51141918 0.50815971 0.50309706 0.5018908  0.49427484 0.4921885  0.48934257 0.48617566 0.4849984  0.48081277 0.47942772 0.4774927  0.47615528 0.47537905 0.47478633 0.4741187  0.4713744  0.46981819 0.46602833 0.4667934  0.46570873 0.46401886 0.46335569 0.4607423  0.45963    0.45841706 0.45697836 0.45641969 0.45397103 0.45182895 0.44847855 0.44676195 0.44516601 0.44347609 0.44023671 0.43520018 0.43346094 0.43227747 0.42715152 0.42480198 0.42128091 0.41732982 0.41615297 0.41144712 0.40548212 0.40172951 0.39854337 0.39752703 0.39794642 0.39835615 0.40310693 0.40475548 0.40124486 0.40571849 0.40316091 0.4008832  0.40147459 0.40109122 0.40440977 0.4083075  0.41391928 0.42127639 0.42291415 0.43395656 0.43498085 0.44097015 0.44495919 0.44683781 0.44489405 0.44355097 0.43862548], [0.37870318 0.3700679  0.3488807  0.33954775 0.32120542 0.31753121 0.29683489 0.2924044  0.28347235 0.273193   0.26170275 0.2526796  0.23787427 0.22937449 0.22359748 0.21508927 0.21009281 0.20358601 0.19922436 0.1964899  0.19220102 0.18763647 0.18266844 0.17865093 0.17389701 0.16999395 0.16576077 0.16195136 0.15805632 0.15557643 0.15252497 0.15008436 0.14796018 0.14487946 0.143208   0.1424865  0.14156242 0.140589   0.13913831 0.13788724 0.13860417 0.13799754 0.13717658 0.13739375 0.13781965 0.13718685 0.13644658 0.13522973 0.13383846 0.13204202 0.13525503 0.12998159 0.13017635 0.13322711 0.13781916 0.14339366 0.14803381 0.15026335 0.14862872 0.14303214 0.13725999 0.13044357 0.12328562 0.11824301 0.11535926 0.11412113 0.11577174 0.11822151 0.12234361 0.12815315 0.13424083 0.13909316 0.14714088 0.15336772 0.15947223 0.16560274 0.17050949 0.17233083 0.17426692 0.17070711 0.15662792], 25.01, 23.76, False
