time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/05/19 06:37:12.246, 53070934, [1.0315231  1.00122499 0.98462826 0.95902405 0.94549061 0.92643095 0.91052242 0.89388811 0.87905536 0.8739269  0.87072249 0.86272366 0.85958209 0.85747447 0.85242995 0.84930778 0.84693797 0.84479849 0.83784573 0.8315713  0.82938134 0.82499908 0.82093845 0.82005574 0.81709964 0.81385072 0.80878656 0.80408618 0.79910358 0.79541341 0.79181686 0.78720037 0.78362313 0.77760928 0.77298979 0.76742527 0.76259894 0.7589359  0.75267981 0.74695754 0.7443464  0.73959714 0.73357239 0.72777898 0.72036662 0.71167807 0.70644979 0.70176188 0.69289574 0.68676469 0.67993668 0.67173272 0.66567862 0.65581229 0.64396285 0.63504452 0.63018838 0.62981334 0.63282268 0.63566188 0.64319581 0.64738998 0.64380744 0.64658048 0.64124151 0.63596331 0.63233099 0.62980312 0.6293034  0.63014747 0.63364539 0.63614309 0.63581891 0.64330559 0.64321441 0.64724143 0.64934486 0.64951092 0.64404337 0.64286053 0.6357389 ], [0.42353904 0.41579988 0.39778852 0.37928775 0.37123918 0.35836153 0.34668442 0.34159024 0.33587747 0.3252489  0.31468832 0.29955564 0.28609521 0.27357171 0.26748689 0.25500033 0.24666794 0.24168328 0.23489807 0.23101808 0.22671734 0.22194376 0.21588833 0.20969782 0.20386803 0.19839113 0.19340923 0.18883647 0.18423211 0.17985571 0.17574687 0.17185582 0.16831572 0.16529355 0.17652402 0.16204264 0.15949474 0.15773063 0.15610963 0.1545401  0.15495129 0.15450146 0.15425295 0.15459985 0.15482487 0.15438679 0.1544378  0.15366726 0.15154645 0.15003674 0.14813329 0.14724109 0.14893067 0.15357965 0.16216667 0.17125188 0.18032647 0.18406799 0.18221586 0.17512028 0.16478713 0.1535838  0.14175109 0.13341444 0.12773465 0.12567709 0.12638834 0.12850801 0.1311477  0.13556351 0.14107196 0.1463665  0.15255038 0.16004    0.16575042 0.17062809 0.17694567 0.17936262 0.17717224 0.17649251 0.16182136], 24.79, 23.61, False
2022/05/19 06:37:12.495, 53071183, [1.00738021 1.01442329 0.98372413 0.96941925 0.94549935 0.9273788  0.91394889 0.90384522 0.88630127 0.87970591 0.87193832 0.86617501 0.86118465 0.86170236 0.854393   0.85419616 0.85010184 0.84632179 0.84182738 0.83575124 0.83209303 0.82662377 0.82652048 0.82352997 0.82042767 0.81661957 0.8129013  0.8083275  0.80112665 0.79801264 0.79520815 0.79040607 0.78611297 0.78153911 0.77622249 0.77097644 0.76713676 0.76197267 0.75599215 0.74974947 0.74454145 0.73978653 0.73393943 0.72778114 0.7210752  0.71167899 0.70662538 0.70211146 0.69359157 0.68693754 0.68011249 0.67262394 0.66567412 0.65562425 0.64396349 0.63581544 0.6301864  0.63022692 0.63367138 0.63565553 0.64342851 0.64812357 0.6445798  0.64685501 0.64181701 0.63688939 0.63296757 0.63022606 0.62898869 0.62970847 0.63364652 0.63625556 0.63567318 0.6447425  0.64348225 0.64531947 0.65085552 0.64889152 0.64492683 0.64119655 0.63470862], [0.42030129 0.41168849 0.40131562 0.38862159 0.37046779 0.36248953 0.35659992 0.34735056 0.33931007 0.32572106 0.31565208 0.30058144 0.28829776 0.27450863 0.26660414 0.25666855 0.24671791 0.24164988 0.23551994 0.23159112 0.22724612 0.2215971  0.21629659 0.2097997  0.20382723 0.1992155  0.19435863 0.18894566 0.18310753 0.18028808 0.17557311 0.17230706 0.16787015 0.16492472 0.16241833 0.16042092 0.15905373 0.15855463 0.15645491 0.15516447 0.15486496 0.15416457 0.15414793 0.15437848 0.15518138 0.1542472  0.1542589  0.15398019 0.15158687 0.15043465 0.14844986 0.14718938 0.14888464 0.15429353 0.16211928 0.17109982 0.18022767 0.18406739 0.18194095 0.17454408 0.16478657 0.15333002 0.14175947 0.13313342 0.12750511 0.12599039 0.12638723 0.12815375 0.13077127 0.13591309 0.14107115 0.14593627 0.15206685 0.15949907 0.16635122 0.1705318  0.17473703 0.17805173 0.17857079 0.175002   0.1608269 ], 24.79, 23.62, False
2022/05/19 06:37:12.745, 53071433, [1.03729079 0.99527838 0.99086927 0.96047755 0.9479068  0.92784505 0.91584213 0.9018505  0.8860478  0.87815793 0.87089344 0.86535551 0.86243104 0.86376477 0.8561796  0.85186245 0.85016315 0.8470298  0.84252011 0.8363103  0.83166564 0.8291631  0.82510264 0.82441074 0.8199511  0.81584418 0.81217553 0.80798768 0.8018092  0.7976825  0.79428624 0.79040783 0.78528343 0.7810142  0.77622252 0.77073675 0.766003   0.76131525 0.7564093  0.74955133 0.74511773 0.74053559 0.73393995 0.72922124 0.72160886 0.71308117 0.70732581 0.70298463 0.69376428 0.68763538 0.68099034 0.67280096 0.66658542 0.65655021 0.64433719 0.6360035  0.63058235 0.62981376 0.63387937 0.63632497 0.64413061 0.6483671  0.64432169 0.64658929 0.64239053 0.63657646 0.63334306 0.62921585 0.62974607 0.63090685 0.63404791 0.6360546  0.6370119  0.64330604 0.64597167 0.64615618 0.65155238 0.64990847 0.64514269 0.64286076 0.63648725], [0.42838743 0.40514205 0.39127421 0.38555506 0.37046595 0.36362725 0.35370042 0.34401945 0.338147   0.32746659 0.31726272 0.29934847 0.28507431 0.2775235  0.26660406 0.25582022 0.24735359 0.2415846  0.23606541 0.23314118 0.22729215 0.22096011 0.21665514 0.21012743 0.20437931 0.19916246 0.19408847 0.18918694 0.18428722 0.18028847 0.1755499  0.17156516 0.16864374 0.16529307 0.16231661 0.16107403 0.15949427 0.15860246 0.15697016 0.15543489 0.15533988 0.15473094 0.15447689 0.15485925 0.15536049 0.15442591 0.15447752 0.15361136 0.15207784 0.15021469 0.14839909 0.14705764 0.1492586  0.15376938 0.16222051 0.17174444 0.1798666  0.18407623 0.1823832  0.17518268 0.16472772 0.15333036 0.14229281 0.13348046 0.12796298 0.12648356 0.12618824 0.12761089 0.13146588 0.13605633 0.14097013 0.14636608 0.1525412  0.16065226 0.16534515 0.1708178  0.17706684 0.17870723 0.17754789 0.17723597 0.16122453], 24.79, 23.61, False
2022/05/19 06:37:12.995, 53071684, [1.04416434 0.99771479 0.976575   0.96941925 0.9509063  0.92049003 0.91812493 0.90047963 0.89028967 0.87527311 0.87470362 0.86521491 0.86231284 0.86149612 0.85703013 0.85419616 0.85081517 0.84556073 0.84174024 0.83743086 0.83209303 0.82957014 0.82555443 0.82266619 0.81999684 0.81700022 0.81178455 0.8083275  0.80147151 0.79801264 0.7942948  0.79099257 0.78610691 0.78049063 0.77597411 0.77073999 0.76577586 0.76088621 0.75537255 0.74915341 0.74454256 0.73941207 0.73320592 0.72777898 0.72018906 0.71132822 0.70592473 0.70141283 0.69307014 0.68694174 0.67923268 0.6715603  0.66532096 0.65582258 0.64359211 0.63543587 0.62959913 0.62899726 0.6334629  0.63499571 0.64342851 0.64714713 0.64380654 0.64658573 0.64122874 0.63595266 0.63263043 0.62806514 0.62823082 0.63040751 0.63210955 0.63636725 0.63731522 0.64359212 0.64396429 0.64527417 0.64934524 0.64911415 0.64602558 0.64049202 0.63597184], [0.40253166 0.39887052 0.39479446 0.38754884 0.37314069 0.36305857 0.35618062 0.34249841 0.33405626 0.32540745 0.31415115 0.29927982 0.28597585 0.27357211 0.26660414 0.25662514 0.24740359 0.24029853 0.23501395 0.23220756 0.22676312 0.22154867 0.21624666 0.21012732 0.20361795 0.19916218 0.19315022 0.18848507 0.18327755 0.17979939 0.17529792 0.17180088 0.16826181 0.16566054 0.16231613 0.16054742 0.15863052 0.15831788 0.15659773 0.15453902 0.15475601 0.15405832 0.15373929 0.15459899 0.15472372 0.15446503 0.1542991  0.1540208  0.15220101 0.15039264 0.14849286 0.14742317 0.14892982 0.15429353 0.16216583 0.17145007 0.18058907 0.18460271 0.18293915 0.17523862 0.1649697  0.15339167 0.14229249 0.1338931  0.12764056 0.12536166 0.12598818 0.12757324 0.1305099  0.13610347 0.14071796 0.14639611 0.15206685 0.15946279 0.1653445  0.17215589 0.17522966 0.17885006 0.17668614 0.1766683  0.16264788], 24.79, 23.62, False
2022/05/19 06:37:13.245, 53071934, [1.01584424 1.01083029 0.98152944 0.96669428 0.94850322 0.92738732 0.91813082 0.89787499 0.88255874 0.87836845 0.86934688 0.86674754 0.86231452 0.86252928 0.85515693 0.85334597 0.84790099 0.84566713 0.84182832 0.83631297 0.83105877 0.82764131 0.82512761 0.82222724 0.81876626 0.8173832  0.81105233 0.80833741 0.80080219 0.79833394 0.79490584 0.79012175 0.78556099 0.78075491 0.77572759 0.77050375 0.76668249 0.76131917 0.75578453 0.74975304 0.74434496 0.74016159 0.73394093 0.72832301 0.72196209 0.71220551 0.70697627 0.70228641 0.69376436 0.6872884  0.68046183 0.6724472  0.66549426 0.6561811  0.64415629 0.63561682 0.63058376 0.62920448 0.63345298 0.63677366 0.64319797 0.64836902 0.64432268 0.64632167 0.64240677 0.635942   0.63267005 0.63090015 0.62854763 0.63140752 0.63316284 0.63594412 0.6371693  0.64292138 0.64447311 0.64556895 0.64876452 0.64928918 0.64580417 0.64145199 0.63648785], [0.42194703 0.41772961 0.39930917 0.38036228 0.36892487 0.36071404 0.35370377 0.34553665 0.33676668 0.32540936 0.31737252 0.29832436 0.28499567 0.27551331 0.26572061 0.25502934 0.24808911 0.24100654 0.23548039 0.23044302 0.22733774 0.22061358 0.21588815 0.20985052 0.2048901  0.19909582 0.19351647 0.1881126  0.18411615 0.17964314 0.17551719 0.17201603 0.16814472 0.16418826 0.1620207  0.16032002 0.15928074 0.15772867 0.1565913  0.15455864 0.15486417 0.1544349  0.15373856 0.1540941  0.15497994 0.15424613 0.1541202  0.15370587 0.15176334 0.14962613 0.14817437 0.14710034 0.14888379 0.15366973 0.16211844 0.17099536 0.18011093 0.18359094 0.18187948 0.17518173 0.16460861 0.15300173 0.14175882 0.13291874 0.12777515 0.12522441 0.1260537  0.12699201 0.13071337 0.13500399 0.14071714 0.14679426 0.15251366 0.15949798 0.1652774  0.16967188 0.17669945 0.17739535 0.1777604  0.17500041 0.16122272], 24.80, 23.62, False
2022/05/19 06:37:13.495, 53072183, [1.02003699 1.01081194 0.98683498 0.95975276 0.9479068  0.92262652 0.92229842 0.89710902 0.88779719 0.87836222 0.86917336 0.86660065 0.8633212  0.86004988 0.85805534 0.85264029 0.85093887 0.8470298  0.8405282  0.8363103  0.83056884 0.82812152 0.82609026 0.82356462 0.82001077 0.81539963 0.81178342 0.80867329 0.80179708 0.79800661 0.79581587 0.78924599 0.78610899 0.78075223 0.7752265  0.77120973 0.76509138 0.76088374 0.75516119 0.749354   0.74087499 0.73678754 0.73045619 0.72525924 0.71806081 0.70817362 0.70347341 0.69914284 0.69046369 0.684337   0.67696065 0.66908155 0.66261723 0.65287815 0.64116454 0.63256651 0.62704525 0.62635844 0.62987038 0.63213152 0.64017115 0.64421861 0.64020594 0.64248995 0.63831659 0.63220726 0.62892329 0.62514726 0.62427437 0.62651318 0.62799639 0.6320842  0.63343515 0.64023456 0.64072675 0.64247124 0.64621118 0.64544505 0.64118567 0.63789839 0.6339604 ], [0.40088093 0.38634796 0.38423196 0.36693828 0.3624365  0.35253597 0.34627238 0.3394703  0.32923829 0.31967993 0.31061169 0.29715858 0.28181145 0.27256809 0.26306698 0.25340403 0.24593137 0.23766169 0.23373033 0.22999961 0.22575128 0.22105712 0.21374678 0.20888929 0.20250242 0.19700778 0.19204993 0.18713691 0.18316331 0.17911121 0.17490551 0.1706206  0.16802979 0.16482082 0.1612226  0.15941915 0.15819104 0.15729391 0.15557419 0.15395539 0.15421565 0.15373999 0.15367543 0.15435529 0.15420551 0.1533771  0.15335245 0.15320147 0.15143884 0.14984775 0.14776407 0.14709499 0.14784879 0.15338256 0.16148374 0.17099645 0.17944723 0.18348139 0.18132416 0.17401871 0.16502909 0.15212016 0.14162203 0.13270557 0.12761544 0.12497967 0.12605537 0.12709356 0.1300774  0.13411376 0.14100395 0.14590613 0.15108583 0.15849244 0.16353887 0.16947956 0.17645254 0.17674276 0.17717172 0.17574733 0.15834586], 24.79, 23.62, False
2022/05/19 06:37:13.745, 53072433, [1.02578813 0.99762874 0.97748388 0.9617673  0.93710253 0.91741905 0.90484245 0.89450502 0.87831772 0.87312136 0.86277434 0.86244424 0.85217056 0.85448865 0.84766464 0.84561681 0.84223325 0.83782622 0.83464732 0.82960232 0.82177701 0.82149931 0.81757723 0.81562083 0.81125962 0.80798296 0.80543424 0.79982289 0.79367975 0.78894675 0.78780426 0.78195433 0.77810856 0.77290177 0.76777612 0.76365615 0.75718307 0.75330841 0.74771924 0.74178694 0.73606145 0.73098395 0.72477993 0.71968343 0.7125678  0.70362233 0.69805088 0.69391094 0.68560607 0.67860312 0.67170663 0.66394332 0.65793573 0.64810117 0.63592746 0.62817602 0.62252695 0.6220911  0.62564923 0.62794612 0.63551647 0.64031869 0.63609515 0.63866467 0.63368102 0.62814371 0.62490272 0.62108473 0.62103801 0.623002   0.62509244 0.62941026 0.62986198 0.63716736 0.63725332 0.63750112 0.64226536 0.64036848 0.6381166  0.63268886 0.62989408], [0.40738308 0.41361477 0.39427336 0.37823059 0.36357717 0.36192124 0.35370154 0.34341104 0.33471559 0.32382046 0.3142586  0.29818566 0.28593594 0.27450863 0.26748783 0.25583471 0.24745382 0.24036454 0.23493621 0.23097442 0.22588947 0.22075938 0.21522176 0.20833673 0.20407701 0.19821836 0.19252503 0.18824415 0.18422753 0.17905523 0.17565952 0.17190893 0.1677009  0.16534475 0.16197055 0.15974488 0.15854894 0.15772965 0.1561086  0.15491845 0.15438646 0.15384584 0.15345071 0.15407138 0.15438375 0.15369323 0.15370791 0.15298304 0.15147966 0.14909182 0.14758331 0.1468675  0.14836349 0.15300178 0.16090151 0.17104367 0.17955395 0.18390595 0.18121709 0.1740184  0.16381746 0.15231121 0.14141958 0.13277163 0.12697994 0.1258543  0.12578872 0.12734628 0.13126115 0.13525987 0.14065029 0.14592099 0.15155045 0.15791603 0.16514713 0.17062691 0.1744943  0.17674198 0.17722394 0.17517909 0.15980166], 24.79, 23.62, False
2022/05/19 06:37:13.995, 53072684, [1.0273385  1.00242852 0.98465078 0.94868597 0.94309482 0.92217219 0.90939897 0.89251984 0.88106033 0.8708464  0.86503659 0.86369036 0.85566728 0.85572374 0.84971026 0.84838651 0.84378255 0.84000141 0.83650789 0.83146515 0.82451465 0.82309659 0.81950689 0.81872063 0.81416691 0.81112844 0.80769474 0.80266516 0.79605567 0.79315091 0.79027805 0.78516112 0.78031503 0.7757806  0.77150461 0.76601375 0.76125667 0.75655426 0.75082016 0.7447741  0.73856493 0.73360406 0.72789296 0.72274109 0.71540282 0.70642337 0.70119978 0.69617701 0.68838196 0.68155662 0.67433357 0.66660329 0.66027638 0.65085956 0.63892387 0.63008228 0.62448555 0.62412363 0.62755124 0.62992245 0.63807883 0.64227003 0.63815185 0.64030705 0.63571966 0.62911419 0.62722211 0.62327107 0.62343517 0.62475794 0.62734959 0.63079351 0.63076204 0.6372656  0.63923016 0.6400084  0.64342785 0.64239883 0.64008833 0.63623699 0.63092174], [0.41061    0.39692899 0.39428089 0.3834239  0.37314437 0.35836593 0.34999569 0.3415963  0.33632489 0.38332397 0.33006645 0.29818664 0.28389541 0.27358928 0.26395461 0.25501455 0.24521966 0.23837005 0.23489657 0.23101679 0.22623391 0.22007325 0.2153798  0.20979949 0.20356535 0.1984968  0.19314968 0.18789276 0.18305145 0.17867668 0.17484908 0.17138168 0.16776313 0.16445155 0.16141949 0.15988202 0.1589064  0.15794677 0.15624506 0.15462688 0.15445179 0.15391012 0.1533699  0.15403113 0.15440468 0.15418697 0.15344854 0.15365048 0.15162729 0.14998284 0.1475393  0.14645651 0.14831744 0.15376808 0.16182373 0.17089163 0.17955327 0.18374391 0.18187948 0.17436821 0.16441977 0.15250193 0.14208969 0.1333318  0.12750428 0.1250462  0.12565431 0.12802651 0.13013348 0.13521132 0.14022858 0.14550608 0.15205717 0.15957057 0.1640077  0.17100644 0.17485712 0.17805018 0.17840776 0.17500041 0.16264667], 24.80, 23.62, False
2022/05/19 06:37:14.245, 53072934, [1.03000902 0.99889259 0.98281602 0.95976283 0.94908296 0.92738306 0.91584802 0.90384741 0.8840541  0.87661679 0.8693453  0.86603426 0.86243272 0.86170341 0.85618125 0.85249397 0.84861377 0.84763469 0.84113498 0.83508077 0.83163671 0.82756473 0.82564179 0.82353084 0.81916622 0.8146662  0.8121579  0.80728015 0.80079502 0.79832289 0.7942846  0.79040708 0.78473162 0.77996769 0.77547804 0.77003144 0.76509287 0.76110872 0.75454487 0.7489569  0.7433843  0.73884924 0.73284019 0.72760067 0.72001278 0.71115325 0.7057497  0.70176308 0.69307129 0.6864192  0.67924015 0.6717421  0.66514341 0.65508057 0.6430289  0.63466898 0.62940584 0.62900349 0.63282983 0.63522752 0.64296585 0.64739184 0.64329152 0.6454928  0.64123644 0.6350168  0.63130185 0.62873872 0.62814723 0.62990833 0.63090415 0.63529656 0.63448149 0.64244226 0.64324158 0.64473184 0.64841638 0.64685817 0.64470485 0.64238109 0.6339608 ], [0.40417507 0.39671348 0.39075134 0.37211228 0.36779493 0.35893186 0.3487491  0.33977619 0.33449723 0.32126946 0.3131873  0.30065148 0.28503511 0.27556488 0.26483587 0.25576132 0.24595623 0.23894641 0.23489695 0.22991267 0.22715414 0.22046803 0.21537985 0.20959536 0.20397229 0.19844369 0.19377525 0.18896677 0.18333273 0.17942125 0.1752424  0.17145615 0.16798594 0.16455762 0.16206617 0.16020886 0.1585324  0.15780513 0.15643417 0.15442578 0.15486456 0.15458273 0.15443616 0.15451981 0.15496306 0.15442484 0.15417801 0.1540203  0.15194099 0.14999348 0.14786551 0.1471008  0.14883904 0.15395868 0.16167681 0.17144971 0.17975885 0.18390565 0.1821083  0.17436853 0.16478629 0.1526937  0.14182351 0.13277133 0.12780113 0.12536113 0.12565486 0.12750958 0.13050953 0.13476594 0.14026287 0.14504646 0.15062778 0.15687224 0.16474168 0.16890428 0.17400086 0.17448999 0.17480252 0.17259017 0.15854261], 24.79, 23.62, False
