time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/05/19 03:03:38.208, 40256845, [1.50016457 1.48466412 1.46686547 1.44588312 1.43843635 1.41926496 1.41297108 1.39888946 1.38897337 1.38540453 1.38320049 1.38413642 1.38599912 1.38963913 1.39137498 1.39160195 1.40020693 1.39838092 1.40389317 1.39926235 1.40151473 1.40410245 1.40758989 1.40971491 1.41224057 1.41522174 1.41579433 1.4163985  1.4151415  1.41708098 1.41649784 1.41560312 1.41467792 1.41409577 1.41235071 1.40938088 1.40692429 1.40429227 1.39960872 1.39541833 1.39347029 1.39009059 1.38460495 1.37996945 1.37322407 1.36429599 1.35888339 1.35459544 1.34538367 1.33939177 1.33181581 1.32414337 1.31548799 1.30306025 1.28761018 1.27485022 1.26659479 1.2644391  1.26973206 1.27698829 1.28909699 1.29831797 1.29760566 1.30173263 1.29787613 1.29017306 1.28668297 1.28253247 1.2790047  1.28048186 1.28197713 1.28511488 1.28380107 1.28927619 1.28931931 1.28989861 1.29323859 1.29374371 1.28581152 1.2826868  1.27584726], [0.52232422 0.5161276  0.5052884  0.49564667 0.48002008 0.47791431 0.47109192 0.46641626 0.46160957 0.44415319 0.4355144  0.41538002 0.39717958 0.38235142 0.36847692 0.35500709 0.34312513 0.3334218  0.32967746 0.32253207 0.31703666 0.30978294 0.30093075 0.29138402 0.28158383 0.27359655 0.26607626 0.25867826 0.2519802  0.2459804  0.23988757 0.23433396 0.2292399  0.2237954  0.21974521 0.21688591 0.21548325 0.21421873 0.21232286 0.20972142 0.20936901 0.20793825 0.20813129 0.20851975 0.21022847 0.21076992 0.21098685 0.21113771 0.20970633 0.20762483 0.20483222 0.20391923 0.20747517 0.21658046 0.23049179 0.2464365  0.26245563 0.27005364 0.26735127 0.25582754 0.23876423 0.21882913 0.20080861 0.18690276 0.17747014 0.17214417 0.17075932 0.17194865 0.17352465 0.17848006 0.18287796 0.18871669 0.19313324 0.19977782 0.20408648 0.21115185 0.21391521 0.21679087 0.2145122  0.2132267  0.19762079], 25.10, 23.75, False
2022/05/19 03:03:38.458, 40257094, [1.51084014 1.47568542 1.46997952 1.44548847 1.44182187 1.42434659 1.41812572 1.40171801 1.38994284 1.39066423 1.38463291 1.38901468 1.39114051 1.39316906 1.39547648 1.39822398 1.40162519 1.40423095 1.40460054 1.40720661 1.40680091 1.40841676 1.41269643 1.41490551 1.4172246  1.42108523 1.42055546 1.42142077 1.4200061  1.42002498 1.42128924 1.42101038 1.41925091 1.41742521 1.41597684 1.41437464 1.41045261 1.40788951 1.4036756  1.39869874 1.39291809 1.38907837 1.38349382 1.37869799 1.37155445 1.3627082  1.35667839 1.35260172 1.34430147 1.33740575 1.32998943 1.32229572 1.31363838 1.30154842 1.28588391 1.27292358 1.26432031 1.26262808 1.26831388 1.27569291 1.28776827 1.29672423 1.29665008 1.29995862 1.29696672 1.2893397  1.28557097 1.28167336 1.2787793  1.279585   1.28140697 1.28300733 1.28475349 1.29023324 1.28793064 1.29033891 1.29265766 1.28954253 1.28710122 1.28127786 1.2743655 ], [0.53895626 0.52259487 0.51375386 0.49376981 0.48263089 0.47595673 0.47570027 0.46752732 0.45812502 0.44926248 0.43437951 0.41538002 0.39739223 0.38239533 0.36840987 0.3550123  0.34310936 0.33343963 0.32778767 0.32262405 0.31601532 0.30936901 0.30030369 0.29069876 0.28108695 0.27369055 0.26548884 0.25852645 0.25236662 0.24576078 0.23978501 0.23395535 0.22838766 0.22420417 0.21988971 0.21693143 0.21521259 0.21339907 0.21236632 0.20976364 0.20995175 0.20873114 0.20853746 0.20909988 0.21068943 0.21073227 0.2112278  0.21106051 0.20976585 0.20726852 0.20465215 0.20410204 0.2072886  0.21630334 0.23044783 0.2471219  0.26168122 0.26988884 0.26755004 0.25570152 0.23828014 0.21888758 0.2007473  0.18690276 0.17717394 0.17183006 0.17042686 0.17176877 0.17454337 0.17785997 0.18365959 0.18783903 0.19353875 0.19990302 0.20462235 0.21094813 0.21552885 0.21729399 0.21608084 0.21397082 0.20009567], 25.10, 23.76, False
2022/05/19 03:03:38.708, 40257344, [1.51310146 1.49004524 1.47140791 1.46032059 1.4374597  1.42139576 1.41743634 1.40675679 1.39095159 1.38973686 1.38826715 1.38728084 1.39242605 1.39620021 1.39395895 1.3990001  1.40340375 1.40651354 1.40609456 1.40901247 1.4054203  1.40996759 1.41414254 1.41592609 1.42011937 1.42207574 1.42163404 1.42376633 1.42119086 1.42153793 1.42220077 1.42163972 1.42146512 1.41926636 1.4168082  1.41492916 1.41193252 1.40796132 1.40419643 1.3991337  1.3952852  1.3911601  1.38586632 1.38081695 1.37402656 1.3639766  1.35873882 1.35442024 1.34517886 1.33904127 1.33119693 1.32304193 1.31463963 1.30232252 1.28579375 1.27353506 1.26455034 1.26300833 1.2685609  1.27565651 1.28718121 1.29692469 1.29629973 1.29953087 1.29684848 1.28906961 1.28509441 1.28115036 1.27772518 1.27982677 1.28009838 1.28217167 1.28335107 1.28769752 1.28830243 1.29098328 1.29112803 1.29073582 1.28584254 1.27781478 1.27138849], [0.51887678 0.50966782 0.5069266  0.4956441  0.48884964 0.47791322 0.47364102 0.46934029 0.46160798 0.44415224 0.43392991 0.41643587 0.39506181 0.38142602 0.37110086 0.35418802 0.34239832 0.33345776 0.32719143 0.32319699 0.31756485 0.30940765 0.30113637 0.29112784 0.28226055 0.27335265 0.2654891  0.25897622 0.25159398 0.24620046 0.23927574 0.2340446  0.22896525 0.22469631 0.22039683 0.21759987 0.21561907 0.21469318 0.21294046 0.21055996 0.20956366 0.20835466 0.20835375 0.20920646 0.21065267 0.21112632 0.21132966 0.21127667 0.20976625 0.20709075 0.2047917  0.20438404 0.20761912 0.21649374 0.23044825 0.24738577 0.26282026 0.27021874 0.26745095 0.2554705  0.23889524 0.21902394 0.20101391 0.18590933 0.17677645 0.17176543 0.17049101 0.17147592 0.17384671 0.17781653 0.18326916 0.18738444 0.19164604 0.19831056 0.2029437  0.21027356 0.21465819 0.21648937 0.21591131 0.21266897 0.19782953], 25.10, 23.76, False
2022/05/19 03:03:38.958, 40257594, [1.51306904 1.49361641 1.46540863 1.45757109 1.44421049 1.42758653 1.41690479 1.40790282 1.39688967 1.38931408 1.38704929 1.39042513 1.39141452 1.39459111 1.39824177 1.40017094 1.40322359 1.40764285 1.40669816 1.40745978 1.40921303 1.40958667 1.41478096 1.41643344 1.41963268 1.42047258 1.42228256 1.42278957 1.42170713 1.42235059 1.42375017 1.42202985 1.42086331 1.41970752 1.41759403 1.41548155 1.41105629 1.40915848 1.40405435 1.39976762 1.39392165 1.39049654 1.3855833  1.37975572 1.37322253 1.36370669 1.35829467 1.35286679 1.34476865 1.33766766 1.33101886 1.32208586 1.31363722 1.30111505 1.28557303 1.27221905 1.26514726 1.26253    1.26788328 1.27561811 1.28616364 1.29667814 1.29548183 1.29893741 1.29605397 1.28876676 1.28477466 1.28081159 1.2772528  1.27803224 1.281068   1.28091123 1.28169701 1.28834234 1.28491819 1.28891406 1.2888756  1.29011527 1.28389236 1.27851828 1.27288329], [0.535463   0.52668893 0.50878927 0.50293481 0.48975813 0.47725544 0.47569472 0.47189376 0.46027583 0.4492577  0.43694744 0.41643393 0.39830777 0.38239434 0.36938161 0.35661554 0.34460383 0.33406247 0.32905786 0.32316771 0.31802375 0.31027446 0.30063792 0.29181363 0.28226105 0.27325969 0.26712808 0.25982983 0.25236808 0.24662566 0.24024677 0.23491582 0.22951706 0.22484506 0.22024589 0.21774339 0.21557796 0.21435582 0.21266433 0.21028595 0.20979121 0.20914175 0.20926981 0.20992591 0.21107821 0.21143651 0.21161072 0.21179399 0.21004359 0.20768501 0.20534994 0.20470943 0.20767829 0.21664186 0.23070547 0.24780485 0.26298088 0.27033733 0.26774461 0.25629175 0.2396976  0.2195895  0.20122019 0.18705765 0.17760177 0.1728287  0.17103096 0.17253707 0.17449165 0.17821599 0.18402291 0.1882746  0.19262196 0.19990573 0.20537676 0.20980413 0.21514572 0.2169955  0.21801035 0.21323066 0.19844578], 25.09, 23.75, False
2022/05/19 03:03:39.208, 40257845, [1.49792416 1.48467021 1.46544225 1.44978867 1.43987731 1.42089105 1.41623606 1.40450572 1.38950255 1.38406679 1.38163374 1.38665391 1.38599996 1.39292065 1.39181926 1.39569587 1.40252128 1.40228833 1.40552839 1.4039432  1.40249022 1.40762182 1.40922849 1.41244149 1.41529624 1.416746   1.41875377 1.41894291 1.41684648 1.41731872 1.41907369 1.41793958 1.41758666 1.41532366 1.41218779 1.4104908  1.4067349  1.40483758 1.39960936 1.39515201 1.39162344 1.38738091 1.38263172 1.37754169 1.37068811 1.36088391 1.3552368  1.35095879 1.34246217 1.33559575 1.32890098 1.32006127 1.31170216 1.29911485 1.28341092 1.27059278 1.26201663 1.26065824 1.26623423 1.27336295 1.28550212 1.29401304 1.29499676 1.29749616 1.29348685 1.28766822 1.28295339 1.27790283 1.27573262 1.27517589 1.27782063 1.27882102 1.2786478  1.28519108 1.2845484  1.28454908 1.28778696 1.28534466 1.28257319 1.27503938 1.26919175], [0.52717259 0.51613057 0.49875985 0.49328619 0.48356016 0.47960461 0.47265968 0.46097682 0.45973014 0.44783358 0.43165936 0.41791617 0.39598021 0.37944429 0.368477   0.35499654 0.34093576 0.33271087 0.32659415 0.32198955 0.31594512 0.30880075 0.30051415 0.29104123 0.28189933 0.27330509 0.26580644 0.2594778  0.25260125 0.24555619 0.23983623 0.23443397 0.22878852 0.22395878 0.21964837 0.21693264 0.21520886 0.21369272 0.21198331 0.21003919 0.20936862 0.20880181 0.20905133 0.20898732 0.21051055 0.21087204 0.21129054 0.21133695 0.20990334 0.20758442 0.20510987 0.20474871 0.20747474 0.21620012 0.23025369 0.24742966 0.26220447 0.26984112 0.26735099 0.25531185 0.23895033 0.21896481 0.20101326 0.18606204 0.1771087  0.17282555 0.17123301 0.17135511 0.17384597 0.17777178 0.18402047 0.1886737  0.19357899 0.19877112 0.20455002 0.20990227 0.21478559 0.21744449 0.21538097 0.21434212 0.19823953], 25.10, 23.75, False
2022/05/19 03:03:39.458, 40258094, [1.50435667 1.4828675  1.45749753 1.45250307 1.42491412 1.42515184 1.4001076  1.39495119 1.38795623 1.38230889 1.38162902 1.38099186 1.3791204  1.38753334 1.38690953 1.39043108 1.39611488 1.39544385 1.39862723 1.398956   1.39795268 1.40186037 1.40550049 1.40665468 1.40999241 1.41217625 1.41312725 1.41426761 1.41171193 1.41283916 1.41469742 1.41282214 1.41301315 1.41041527 1.40860535 1.40633074 1.40290543 1.40004254 1.39589315 1.3909038  1.38754244 1.3834476  1.37893433 1.37340389 1.36672565 1.35714326 1.35132505 1.34761299 1.33861002 1.33223989 1.32460415 1.31661201 1.30804354 1.29563343 1.27908484 1.26729327 1.25870001 1.25681559 1.2621291  1.26899766 1.28128416 1.29118601 1.29033972 1.29379234 1.29165843 1.28215838 1.27922272 1.27581538 1.27219549 1.27297276 1.27497217 1.27504803 1.27819708 1.28125079 1.28089411 1.28302417 1.28343028 1.28415197 1.28068929 1.27158294 1.26842752], [0.52231856 0.50966485 0.49660027 0.49327849 0.48350022 0.4766062  0.47158071 0.46641325 0.46000286 0.44926057 0.43551362 0.416541   0.39612045 0.38239493 0.36840972 0.35499698 0.34312565 0.33342241 0.32716657 0.32319731 0.31714155 0.30982165 0.30063778 0.29104155 0.28185444 0.27402929 0.26548937 0.25952825 0.25260213 0.24652255 0.23968414 0.23429625 0.22866354 0.2240582  0.21974617 0.21717018 0.21580423 0.21413656 0.2120806  0.21000827 0.20890897 0.20888116 0.20820802 0.20938779 0.2106531  0.21069569 0.21122874 0.21137705 0.20941254 0.20730935 0.20479218 0.20401888 0.20714592 0.21639138 0.23055445 0.24723206 0.26215969 0.26974716 0.26750093 0.25570214 0.23870913 0.21900514 0.20060429 0.18606293 0.17694338 0.17214522 0.17109286 0.17141631 0.17454412 0.17746313 0.18287877 0.18828403 0.1926203  0.19990411 0.20340875 0.20980236 0.21491636 0.2161881  0.21557194 0.21248403 0.19761728], 25.09, 23.75, False
2022/05/19 03:03:39.708, 40258344, [1.49367533 1.48463978 1.4713911  1.44313176 1.43841895 1.42727841 1.41364325 1.4011349  1.38795129 1.39024132 1.381983   1.38664667 1.38654901 1.39434222 1.39310787 1.39704879 1.40126894 1.4034141  1.4041741  1.4056986  1.40426834 1.40606637 1.41041052 1.41303527 1.41585523 1.41803432 1.41874814 1.41776554 1.41808801 1.41888563 1.41942845 1.418617   1.41763063 1.41593284 1.41355531 1.41112141 1.40874219 1.40556076 1.40106546 1.39668888 1.38780055 1.38435956 1.37997817 1.37410259 1.36762259 1.35834757 1.35270379 1.34770321 1.33942616 1.33349358 1.32583888 1.31783183 1.30876496 1.29701511 1.28080786 1.26841172 1.26014131 1.25817943 1.26336401 1.27058372 1.28198569 1.29237444 1.29150168 1.2944342  1.29245762 1.28392531 1.28009323 1.27694929 1.27302223 1.2730026  1.27667886 1.27630411 1.27914676 1.2839223  1.2826515  1.28596784 1.28560737 1.28591624 1.28125062 1.27713034 1.26917499], [0.5292362  0.51376781 0.50338959 0.49445381 0.47827895 0.47660401 0.47000873 0.46789239 0.46160321 0.44782881 0.43437796 0.41664571 0.39724941 0.3825264  0.36942685 0.35661539 0.34313406 0.33470162 0.32778916 0.32355688 0.31749548 0.3097449  0.30093093 0.29104177 0.28217044 0.27393589 0.26629859 0.25842836 0.25317361 0.24620161 0.24009373 0.23457537 0.22886731 0.22353546 0.22030198 0.2177448  0.21589437 0.2135222  0.21219449 0.20999965 0.20987207 0.20884277 0.20879314 0.20949482 0.2104755  0.21125802 0.21125471 0.21179349 0.20972827 0.20750643 0.20511229 0.20442742 0.2077209  0.216685   0.23079296 0.24749631 0.26282127 0.26995999 0.26769464 0.25565012 0.2391576  0.21958916 0.20207984 0.18684058 0.17700903 0.17269799 0.17123577 0.17247676 0.17475948 0.17923352 0.184443   0.18957492 0.1931219  0.20045019 0.20598398 0.21115421 0.21601629 0.21664281 0.21869187 0.21620741 0.19968834], 25.09, 23.76, False
2022/05/19 03:03:39.958, 40258594, [1.49591941 1.49362249 1.46230018 1.44469577 1.43841895 1.42432965 1.40727888 1.4011349  1.39243979 1.38364456 1.37955949 1.38617502 1.38654901 1.3919879  1.39417896 1.39704879 1.39806564 1.4029168  1.4044571  1.4056986  1.40311861 1.40634027 1.4097687  1.41226197 1.41529134 1.4166636  1.41802403 1.41921822 1.41756811 1.41699446 1.41779572 1.41740901 1.41661242 1.41418312 1.41326386 1.4093383  1.40676885 1.40432538 1.39897969 1.39514812 1.38964601 1.38671752 1.38130358 1.37587835 1.36905009 1.35999587 1.35417526 1.34934516 1.34085586 1.33398935 1.32707453 1.31812687 1.31018919 1.29781884 1.28184456 1.26844174 1.26106233 1.25865554 1.26371114 1.27199442 1.28331275 1.29294808 1.2931774  1.29566818 1.29320003 1.28532688 1.28080766 1.27780739 1.27371627 1.27517443 1.27788459 1.27735658 1.28004594 1.28502015 1.28353072 1.28586446 1.28778602 1.28596335 1.28323229 1.27503825 1.26992272], [0.54243555 0.522583   0.52430693 0.50718592 0.49594895 0.48691557 0.45582029 0.4526127  0.45220691 0.44435369 0.43294298 0.41284403 0.39386197 0.38032582 0.3657626  0.35258545 0.3409205  0.33145307 0.3265707  0.32196041 0.31753033 0.3097449  0.30030387 0.29056944 0.28194523 0.27387953 0.26548991 0.25872908 0.2520319  0.24560917 0.23948075 0.23332729 0.22793851 0.22346969 0.2196425  0.21622004 0.21471624 0.21404774 0.21208162 0.2098502  0.20921696 0.20809635 0.20810067 0.20881455 0.21005174 0.21031353 0.21059502 0.21082421 0.20953088 0.20675764 0.20405684 0.203358   0.20652964 0.21580681 0.22970085 0.24641787 0.26161495 0.26946558 0.26693856 0.25521948 0.23809488 0.21830565 0.20019504 0.18591023 0.17667602 0.17176701 0.17022382 0.17013141 0.17384783 0.17715412 0.18128692 0.1869522  0.19214795 0.19881542 0.20401743 0.20777839 0.21404646 0.21518301 0.21523335 0.21453224 0.19616894], 25.09, 23.76, False
2022/05/19 03:03:40.208, 40258845, [1.51079962 1.47028226 1.46683745 1.45366293 1.43647141 1.42300296 1.40917034 1.40170712 1.39441899 1.38323092 1.38669008 1.38098752 1.38755662 1.39316384 1.39225824 1.39860123 1.39966645 1.40406868 1.40221636 1.40445069 1.40288892 1.40772127 1.41095556 1.41345721 1.4171379  1.41757618 1.41910903 1.41893712 1.41717196 1.41737157 1.41923482 1.4183271  1.41698327 1.41628442 1.41359703 1.41084327 1.40874145 1.40512358 1.4014824  1.39628552 1.39162055 1.38791619 1.38277954 1.37742515 1.37068626 1.36164452 1.35582236 1.35133734 1.34307347 1.33576957 1.32931149 1.3205686  1.31227812 1.29981978 1.28365818 1.27090489 1.26273572 1.2610365  1.26565604 1.27391236 1.28495212 1.29495585 1.29538844 1.29786695 1.29394203 1.28716252 1.28231489 1.27900158 1.27548405 1.27610188 1.2786211  1.27965277 1.28169701 1.28707518 1.2852895  1.28705251 1.28618803 1.28772863 1.28514973 1.27922257 1.26842692], [0.52923337 0.51846693 0.5036313  0.50106714 0.48534426 0.47959805 0.47618841 0.47077554 0.46104558 0.44905138 0.43596351 0.41886243 0.39830777 0.38340738 0.36843182 0.35741915 0.34383814 0.33413336 0.33027593 0.32419114 0.31700228 0.3106502  0.30192835 0.29224265 0.28302824 0.27494099 0.26681013 0.25947959 0.25298935 0.24662566 0.24040031 0.23491582 0.22934114 0.22458327 0.220897   0.21769622 0.21644248 0.21461193 0.21332478 0.21096479 0.20948394 0.20876489 0.20875552 0.20960144 0.21058    0.21147414 0.21147113 0.2116555  0.21022064 0.20827767 0.20516986 0.20456865 0.20963079 0.21722745 0.23074943 0.24791435 0.263413   0.27045476 0.2675238  0.25611307 0.2390271  0.2195311  0.20128147 0.18671412 0.17766655 0.17320786 0.17150525 0.17177076 0.17524226 0.17817215 0.18372085 0.18737532 0.1935823  0.20049256 0.204769   0.21105292 0.21527449 0.21795205 0.21695288 0.21416078 0.20010595], 25.09, 23.76, False
