time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/05/18 19:52:54.384, 14412929, [ 0.18838687  0.17003402  0.15277833  0.12874491  0.11625615  0.10150686  0.08447524  0.07794576  0.05956961  0.05202562  0.04281603  0.03449385  0.02369176  0.02416149  0.01080903  0.00804333  0.00305269 -0.00308562 -0.00656048 -0.01317011 -0.0161635  -0.01942448 -0.02262188 -0.02445746 -0.02880618 -0.03181353 -0.03366699 -0.03823984 -0.04121995 -0.04377263 -0.04442136 -0.04588549 -0.04874596 -0.05125102 -0.05103065 -0.05265092 -0.05264387 -0.0534687  -0.0557399  -0.0565556  -0.05803262 -0.05777917 -0.05811017 -0.05832245 -0.06010268 -0.06336116 -0.06339123 -0.06302829 -0.0661164  -0.06860878 -0.06992108 -0.07120119 -0.07049769 -0.07080482 -0.07376804 -0.07355799 -0.07362571 -0.0749511  -0.07564298 -0.07863444 -0.07913807 -0.07878867 -0.08405979 -0.08142606 -0.08047538 -0.08261704 -0.07969953 -0.07645057 -0.07316889 -0.06640415 -0.0584129  -0.05177247 -0.04576101 -0.03616381 -0.03102877 -0.02348666 -0.02000777 -0.01494769 -0.01230305 -0.01795014 -0.01958041], [0.29241786 0.27820063 0.25920527 0.24554632 0.22928083 0.21727725 0.209376   0.1966732  0.18626626 0.17941463 0.17524809 0.16448304 0.15609223 0.15227501 0.1479116  0.14271048 0.13896965 0.13234081 0.13069788 0.12743895 0.12444697 0.12154631 0.11806814 0.11543885 0.11412305 0.11167029 0.11095575 0.10793593 0.10443824 0.10452706 0.10192258 0.10062509 0.09943189 0.09904777 0.09807515 0.09739091 0.09676961 0.09648019 0.09528798 0.09448398 0.09513836 0.09515268 0.09497507 0.09449484 0.09457277 0.09241405 0.0911029  0.08974637 0.08827529 0.08663558 0.0852715  0.08452284 0.08434399 0.08401167 0.0842268  0.08353738 0.08346614 0.08246395 0.0813586  0.07972454 0.07860579 0.07762684 0.0761849  0.07566628 0.07519134 0.07694136 0.08105297 0.08436184 0.08951617 0.09635765 0.10208466 0.11022614 0.11779169 0.12553715 0.13384324 0.13812795 0.14502785 0.14777149 0.14828011 0.14520402 0.13014425], 25.15, 23.09, False
2022/05/18 19:52:54.634, 14413178, [ 0.1976703   0.17030601  0.15324352  0.13161023  0.11869418  0.10781993  0.0825417   0.07620888  0.06522885  0.0545259   0.04625841  0.03421945  0.02934328  0.02157308  0.01374014  0.01052452  0.00483924 -0.00145781 -0.00426733 -0.01124884 -0.01498764 -0.01567243 -0.02199928 -0.02139531 -0.02573021 -0.0302923  -0.03102948 -0.03577597 -0.03975561 -0.04069211 -0.04268106 -0.04439231 -0.04673814 -0.04882408 -0.04841367 -0.05026138 -0.05090527 -0.05122341 -0.05317486 -0.05412175 -0.05583133 -0.05556942 -0.05622754 -0.05663905 -0.05792256 -0.0619841  -0.06172557 -0.06090358 -0.06457236 -0.066571   -0.06850546 -0.06976708 -0.06913405 -0.06931105 -0.07152218 -0.0714508  -0.07247545 -0.07315243 -0.07440952 -0.07827582 -0.07728048 -0.07761263 -0.08337153 -0.07938262 -0.07934915 -0.08035702 -0.07822352 -0.07553717 -0.07154162 -0.06454387 -0.05678196 -0.04952555 -0.04431139 -0.03399215 -0.02850415 -0.02294602 -0.01803085 -0.01261122 -0.01373769 -0.01564678 -0.0171174 ], [0.26234929 0.25406486 0.23686432 0.22973346 0.21606677 0.20472352 0.19782294 0.18674359 0.18086152 0.17199484 0.16744362 0.15982211 0.15186559 0.14657048 0.14615135 0.13881014 0.13612575 0.13171791 0.12956511 0.12549898 0.12345102 0.11982321 0.11715463 0.11672355 0.11314702 0.1118741  0.10924891 0.10758659 0.10471316 0.10284204 0.10111687 0.10022094 0.09955445 0.0989928  0.09749162 0.09628332 0.09727623 0.09617703 0.09474434 0.09365157 0.09419942 0.09434197 0.09436618 0.09439735 0.09331219 0.09165107 0.09030027 0.08930174 0.08774141 0.0862344  0.08509246 0.08393142 0.08341571 0.08368094 0.0835063  0.08358849 0.0827994  0.08178874 0.08059147 0.0791022  0.07741694 0.07643732 0.07486401 0.07447227 0.07467067 0.07642619 0.07967071 0.08273091 0.0884392  0.09492172 0.10093779 0.10773593 0.11588338 0.122868   0.1313374  0.13746612 0.14123522 0.14382008 0.14316335 0.14229541 0.12461738], 25.15, 23.09, False
2022/05/18 19:52:54.884, 14413428, [ 0.20138329  0.16973215  0.15291262  0.13167137  0.12110465  0.10356765  0.08998966  0.07471384  0.06246389  0.05326834  0.0462537   0.03330048  0.02833663  0.02415732  0.01400694  0.01009848  0.00438297 -0.00072493 -0.00499485 -0.01140427 -0.01440062 -0.01820086 -0.02020861 -0.02359447 -0.02640283 -0.02959999 -0.03193284 -0.0355522  -0.0396432  -0.04121843 -0.04293302 -0.04434332 -0.04723767 -0.04835451 -0.05012061 -0.05050025 -0.05182575 -0.05205376 -0.05363234 -0.05444879 -0.05586874 -0.05504356 -0.0565286  -0.05691247 -0.05780851 -0.06163615 -0.06140782 -0.06110926 -0.06449146 -0.06596701 -0.06807193 -0.06944256 -0.06898526 -0.0686683  -0.07177816 -0.07155274 -0.07162025 -0.07291254 -0.07374264 -0.07768732 -0.0777488  -0.07659999 -0.08235312 -0.07892994 -0.07854458 -0.08087891 -0.07808543 -0.07392412 -0.0711425  -0.06344024 -0.05598269 -0.04904986 -0.04275579 -0.03342832 -0.0271169  -0.02191154 -0.01724702 -0.01237037 -0.01335045 -0.01594703 -0.01604777], [0.31888987 0.27818878 0.26317104 0.24830599 0.22992472 0.21634746 0.21002807 0.19780316 0.18656559 0.1778873  0.17017962 0.16343457 0.15716635 0.15228689 0.14788518 0.14179875 0.13819354 0.13488533 0.13115881 0.12813272 0.12433143 0.12056649 0.1188626  0.11642606 0.11400358 0.11284748 0.1097392  0.1081049  0.10526334 0.10350468 0.10228939 0.10051086 0.09949027 0.09882785 0.09796882 0.09707627 0.09752683 0.09616486 0.09524185 0.0937284  0.09431895 0.0944447  0.09442499 0.09471859 0.09376576 0.09206075 0.090885   0.09001669 0.0880568  0.08686089 0.08567817 0.08434209 0.08373926 0.08387197 0.0838415  0.08378806 0.08315733 0.08215097 0.08103346 0.07931392 0.07782843 0.07693554 0.07624962 0.07517418 0.07460131 0.07673072 0.08052983 0.08330509 0.08977206 0.09452563 0.10246879 0.10984112 0.11541632 0.12563436 0.13265302 0.13737844 0.14403598 0.14567644 0.14533366 0.14520718 0.12811413], 25.14, 23.10, False
2022/05/18 19:52:55.134, 14413679, [ 1.87454040e-01  1.73025580e-01  1.46538378e-01  1.28714854e-01  1.23446813e-01  9.51001791e-02  8.43691011e-02  7.61365287e-02  6.08197068e-02  5.30971063e-02  4.51318333e-02  3.44851697e-02  2.85206659e-02  2.49874391e-02  1.46712298e-02  8.54976510e-03  4.04025317e-03 -1.55992166e-04 -5.31555227e-03 -1.07725723e-02 -1.49913048e-02 -1.66370701e-02 -2.00349333e-02 -2.16889025e-02 -2.62621402e-02 -2.94786111e-02 -3.09745770e-02 -3.58993288e-02 -3.91568407e-02 -3.96884317e-02 -4.29351245e-02 -4.35339618e-02 -4.69661260e-02 -4.79323131e-02 -4.90224352e-02 -5.08851621e-02 -5.18167377e-02 -5.13097872e-02 -5.28411521e-02 -5.47271869e-02 -5.35948756e-02 -5.36160446e-02 -5.46453436e-02 -5.44602010e-02 -5.58879534e-02 -5.98267870e-02 -6.00294233e-02 -5.89225394e-02 -6.24249802e-02 -6.48822379e-02 -6.61268122e-02 -6.79251544e-02 -6.68272835e-02 -6.75122248e-02 -6.97864656e-02 -6.90584350e-02 -7.01065661e-02 -7.17300077e-02 -7.22958600e-02 -7.65156720e-02 -7.46842420e-02 -7.53030958e-02 -8.14096976e-02 -7.76086702e-02 -7.76600238e-02 -7.90991951e-02 -7.66093138e-02 -7.43514208e-02 -6.91581620e-02 -6.30725815e-02 -5.63722304e-02 -4.77013537e-02 -4.18072061e-02 -3.28639684e-02 -2.74920084e-02 -2.27831298e-02 -1.58833486e-02 -1.11346846e-02 -1.33509925e-02 -1.39424700e-02 -1.71184050e-02], [0.27871578 0.27409496 0.25350172 0.23366737 0.22531521 0.21588345 0.20461592 0.19327593 0.18564686 0.17484009 0.17006288 0.16221897 0.15397988 0.15037992 0.14444374 0.14198255 0.1360826  0.13249236 0.12956698 0.12624186 0.12257187 0.12043241 0.11858467 0.11653415 0.11395835 0.11128754 0.10900559 0.10701013 0.10532462 0.10354666 0.10173854 0.1020164  0.09982246 0.09936749 0.09824035 0.09726195 0.09705123 0.09634711 0.09574002 0.09407066 0.09490179 0.09473526 0.09491948 0.09485874 0.09408189 0.09237558 0.09075067 0.08939569 0.08783369 0.08654988 0.08495971 0.084343   0.08420752 0.08410743 0.08408512 0.08359029 0.08366703 0.08273262 0.08130289 0.07932465 0.07837552 0.07725397 0.07605593 0.07559596 0.07557383 0.0770154  0.0799361  0.08471694 0.08938465 0.0960139  0.1024696  0.10943635 0.11636756 0.12557207 0.1337251  0.13927712 0.1447661  0.14633174 0.14657669 0.14486885 0.13014785], 25.14, 23.10, False
2022/05/18 19:52:55.384, 14413929, [ 0.19302184  0.17002794  0.14997954  0.13161023  0.12351793  0.09937666  0.08627009  0.07782211  0.06388647  0.04935333  0.04634614  0.0344924   0.02934328  0.02323698  0.01374014  0.01078662  0.00421487 -0.00121066 -0.00402787 -0.01228653 -0.01395685 -0.01757588 -0.02155068 -0.02232878 -0.02639989 -0.03035424 -0.03229004 -0.03577597 -0.03991295 -0.04147681 -0.04262688 -0.04371285 -0.04750828 -0.04870873 -0.04861511 -0.05068979 -0.05131586 -0.05135805 -0.05409619 -0.0548093  -0.05630324 -0.05652165 -0.05742645 -0.05794325 -0.05897072 -0.06232398 -0.06267195 -0.06190968 -0.06540084 -0.06757453 -0.06955035 -0.07046834 -0.06996555 -0.06988909 -0.07261225 -0.07276082 -0.07293416 -0.07461155 -0.0751147  -0.07897318 -0.0790242  -0.07842403 -0.08359175 -0.08097249 -0.08055758 -0.08187741 -0.07973554 -0.07648167 -0.0728129  -0.06528005 -0.05881974 -0.0513235  -0.04515445 -0.03464524 -0.03153575 -0.02419269 -0.01707683 -0.0143298  -0.01493794 -0.01694849 -0.02032639], [0.28462535 0.26008443 0.25834842 0.23580788 0.21542744 0.21496704 0.20699747 0.19328345 0.18405768 0.17626911 0.17006482 0.16211149 0.15504566 0.14847524 0.14708411 0.14125345 0.13681463 0.13368723 0.12843229 0.1256122  0.12257135 0.11994192 0.1181278  0.1162954  0.11337229 0.11225851 0.10943316 0.10775432 0.10443854 0.10336355 0.10185517 0.10033618 0.09970701 0.09852537 0.09827032 0.09715394 0.09699747 0.09633112 0.09570507 0.09428342 0.09543693 0.09539965 0.09550073 0.09555316 0.09444965 0.09278103 0.0914247  0.09055186 0.08867644 0.08712745 0.08621601 0.08506911 0.08462244 0.08471936 0.08519099 0.08432728 0.08432652 0.08341439 0.08146462 0.08017689 0.07878497 0.07825474 0.07737984 0.07608787 0.07638871 0.07798424 0.08138568 0.08500148 0.0893225  0.0960627  0.10330738 0.10983987 0.11636909 0.12352739 0.1326511  0.13861176 0.14403398 0.1466019  0.14672902 0.14560819 0.1311615 ], 25.15, 23.10, False
2022/05/18 19:52:55.634, 14414178, [ 0.18835448  0.17718459  0.14344278  0.13431537  0.11629984  0.10145628  0.08617436  0.07775476  0.06238959  0.05184948  0.04504688  0.0311063   0.03034466  0.02156996  0.01449361  0.00846333  0.00429774 -0.00203063 -0.0047118  -0.01092348 -0.01344375 -0.01683141 -0.02110557 -0.02239733 -0.02692997 -0.02985506 -0.03199343 -0.03612404 -0.03970118 -0.04142384 -0.04193769 -0.04505068 -0.04701442 -0.049299   -0.04852492 -0.05064702 -0.0516854  -0.05183637 -0.05355324 -0.05424829 -0.05513161 -0.0551966  -0.05689323 -0.05626028 -0.05809932 -0.06120446 -0.06126384 -0.06044268 -0.06431752 -0.06579252 -0.06807193 -0.06968523 -0.06799051 -0.06885378 -0.07093317 -0.07097322 -0.07181914 -0.07264343 -0.07300036 -0.0775033  -0.07708829 -0.0760734  -0.0823945  -0.07843447 -0.07858523 -0.08065804 -0.07748754 -0.07529504 -0.07085204 -0.0638184  -0.05719014 -0.04857283 -0.04415323 -0.03238606 -0.02838013 -0.02207648 -0.01509828 -0.01223532 -0.01400927 -0.01364194 -0.01925761], [0.30204512 0.28015691 0.26317104 0.24949843 0.22992472 0.22241211 0.20559496 0.20165092 0.18580231 0.18073529 0.17402516 0.1633232  0.15821154 0.15322808 0.14705759 0.14274759 0.13819354 0.13368816 0.13069937 0.12773001 0.12392035 0.12123432 0.11937878 0.11697346 0.11383813 0.11258349 0.10943396 0.10770877 0.10599467 0.10406737 0.10204323 0.10068492 0.1001529  0.09899424 0.09818529 0.09789397 0.09687433 0.0965138  0.09554646 0.09488826 0.09530339 0.09606695 0.09558581 0.09523446 0.09476622 0.09327412 0.09173892 0.0907302  0.08867763 0.08761843 0.08666696 0.08529732 0.08508809 0.08500359 0.08519224 0.08418059 0.08422223 0.08368209 0.08152288 0.07982627 0.07927911 0.07825577 0.07724593 0.07629644 0.07579831 0.07829953 0.08126357 0.08480411 0.09052197 0.09720486 0.10434459 0.11070974 0.11874866 0.12560267 0.13425912 0.13954527 0.14587492 0.14712094 0.14812696 0.14635371 0.13078213], 25.14, 23.10, False
2022/05/18 19:52:55.884, 14414428, [ 1.97702689e-01  1.69221164e-01  1.56372707e-01  1.31478249e-01  1.16330264e-01  1.05709768e-01  8.24629869e-02  7.94446929e-02  6.38225414e-02  5.57859226e-02  4.62646941e-02  3.76052893e-02  2.63334393e-02  2.65710099e-02  1.62796068e-02  1.13883332e-02  5.55197133e-03 -1.49018845e-04 -3.05991166e-03 -9.72690552e-03 -1.35122925e-02 -1.51180828e-02 -1.87470617e-02 -2.25232007e-02 -2.55834243e-02 -3.00325288e-02 -3.04853585e-02 -3.40563613e-02 -3.85414854e-02 -3.93797103e-02 -4.11836711e-02 -4.34449241e-02 -4.42778310e-02 -4.79725655e-02 -4.79449649e-02 -4.91527543e-02 -5.01566626e-02 -4.96773757e-02 -5.23299096e-02 -5.39846140e-02 -5.47639748e-02 -5.42408474e-02 -5.56910327e-02 -5.51944020e-02 -5.67275514e-02 -6.10059867e-02 -6.05726149e-02 -6.00703604e-02 -6.36298482e-02 -6.47870837e-02 -6.71381809e-02 -6.91285133e-02 -6.73063852e-02 -6.77169500e-02 -7.03408330e-02 -7.00128410e-02 -7.07603001e-02 -7.19601218e-02 -7.26438807e-02 -7.67240520e-02 -7.67364600e-02 -7.52171759e-02 -8.17480695e-02 -7.78308899e-02 -7.80971188e-02 -8.01725175e-02 -7.66404028e-02 -7.49254623e-02 -7.05359981e-02 -6.27016743e-02 -5.63731773e-02 -4.85154175e-02 -4.18037384e-02 -3.23829183e-02 -2.71152826e-02 -2.08268102e-02 -1.58816621e-02 -1.02730748e-02 -1.45485958e-02 -1.43432875e-02 -1.56251805e-02], [0.30023122 0.27608557 0.26670138 0.25136923 0.23525312 0.22195343 0.20700191 0.1978137  0.18946847 0.18084174 0.17257009 0.16332659 0.15821332 0.15036858 0.14617815 0.1420179  0.13823579 0.1336363  0.12899717 0.12686676 0.12356675 0.12054992 0.11739326 0.11604559 0.11170524 0.110313   0.10790625 0.10665779 0.10394897 0.10264023 0.10086901 0.0995253  0.0987289  0.09785006 0.09763023 0.09665066 0.09643793 0.09624305 0.094918   0.09387908 0.09483904 0.09477523 0.09432267 0.09475696 0.09394098 0.09160722 0.09078871 0.08970218 0.08787339 0.08663436 0.08504548 0.08420248 0.08360037 0.08401037 0.08417992 0.08403474 0.08320766 0.08231363 0.08026408 0.07828722 0.07783645 0.07699828 0.07558867 0.07496151 0.07347228 0.07628224 0.07935208 0.08321476 0.08768795 0.09467592 0.10128101 0.10773426 0.11445826 0.12239461 0.13026404 0.13472619 0.1424588  0.14250958 0.14331546 0.14046702 0.12582028], 25.16, 23.09, False
2022/05/18 19:52:56.134, 14414679, [ 0.19765411  0.1694612   0.15276154  0.13703869  0.11626345  0.09933229  0.08806452  0.07781775  0.0623177   0.05719022  0.04048603  0.03732608  0.02670168  0.02314342  0.01391804  0.0099242   0.00287934 -0.00088879 -0.00471133 -0.01099896 -0.01447368 -0.01738187 -0.02027559 -0.02352753 -0.02646592 -0.02985388 -0.03289216 -0.03646827 -0.04018861 -0.04147892 -0.04323499 -0.04463012 -0.04661712 -0.04856559 -0.04922115 -0.05064629 -0.05209523 -0.05201163 -0.05392904 -0.05497319 -0.05693333 -0.05676026 -0.05742731 -0.05747051 -0.05908622 -0.06267353 -0.06305223 -0.06191025 -0.06586173 -0.06774947 -0.06948772 -0.0711195  -0.07003131 -0.07038054 -0.07317941 -0.07282888 -0.07293509 -0.07468357 -0.0747263  -0.07934239 -0.07867747 -0.07777639 -0.08333811 -0.08105602 -0.07951075 -0.08243761 -0.07801413 -0.07611714 -0.07319258 -0.06454446 -0.05761371 -0.05084783 -0.0452612  -0.03503521 -0.02787315 -0.02435795 -0.01823596 -0.01285302 -0.01389161 -0.01795081 -0.01893367], [0.28944188 0.28424776 0.26268902 0.24461856 0.23524216 0.22568617 0.20732191 0.19757703 0.18770723 0.18073624 0.17390712 0.16569616 0.15717164 0.15226174 0.14705767 0.14187205 0.13745993 0.13441032 0.13080636 0.12675586 0.12450525 0.1214709  0.11852497 0.11672376 0.11442319 0.1121988  0.10979937 0.10752653 0.10492766 0.10296368 0.1016694  0.10080047 0.09971656 0.09816991 0.09754672 0.0967592  0.0964191  0.0960783  0.09511373 0.09377458 0.09518443 0.09496561 0.09511797 0.09449612 0.09408059 0.09188248 0.09106206 0.08970519 0.08809965 0.08681473 0.08536303 0.08447809 0.08369455 0.08396468 0.08398528 0.08374144 0.0833091  0.08241757 0.08103317 0.07926343 0.07819582 0.07738318 0.07618587 0.07559222 0.07512202 0.07742867 0.08087672 0.08436303 0.08863376 0.09611455 0.10246838 0.10945422 0.11778443 0.12560213 0.13253076 0.13870258 0.14502985 0.14698307 0.14572219 0.14486648 0.12957521], 25.15, 23.10, False
2022/05/18 19:52:56.384, 14414929, [ 0.19302184  0.17691885  0.14656637  0.13161023  0.11867238  0.09299198  0.08622664  0.07794358  0.06105662  0.05193964  0.04402128  0.03641303  0.02369093  0.02240494  0.01391968  0.00718109  0.00296643 -0.00430946 -0.00559599 -0.0127671  -0.01557503 -0.01771816 -0.0213459  -0.0243922  -0.02679879 -0.03105706 -0.03408941 -0.0369194  -0.0413373  -0.04368117 -0.04387069 -0.0466977  -0.04817795 -0.05073131 -0.05013318 -0.0526066  -0.05274157 -0.05359381 -0.05502745 -0.05699566 -0.05819033 -0.05764284 -0.05874227 -0.05909087 -0.06007247 -0.06393676 -0.06417227 -0.06323346 -0.06675088 -0.06889561 -0.07053181 -0.07175579 -0.07137566 -0.07126306 -0.07385767 -0.07391105 -0.07372147 -0.07587259 -0.07659865 -0.07955463 -0.08061325 -0.07874891 -0.08483202 -0.08214899 -0.08104084 -0.08347552 -0.08026212 -0.07760822 -0.07517474 -0.06564808 -0.05964355 -0.05264458 -0.04631515 -0.03633979 -0.0314115  -0.02273459 -0.02137099 -0.0122347  -0.01482012 -0.01824931 -0.01883497], [0.26426335 0.26611307 0.23997072 0.2266928  0.22202266 0.21355451 0.19987369 0.19057878 0.18436108 0.17617107 0.1700069  0.16213894 0.15397277 0.15227482 0.14617783 0.14117982 0.13612575 0.13311383 0.12961896 0.12509723 0.12262953 0.11994192 0.11785003 0.11470183 0.11298191 0.11045692 0.10900426 0.10591376 0.10483463 0.10314415 0.10111687 0.09975838 0.09911863 0.09884228 0.09724281 0.09628332 0.09626384 0.0959776  0.09448786 0.0935724  0.09504893 0.09496487 0.09503321 0.09491319 0.09466906 0.09228952 0.09164446 0.09024085 0.08801236 0.0871715  0.08581154 0.08470398 0.08397171 0.08405697 0.08480405 0.08447942 0.08366534 0.08277844 0.08130147 0.07977508 0.07842718 0.07794486 0.07605019 0.07580508 0.0756423  0.07759965 0.08026553 0.08387696 0.09032659 0.0967554  0.10323268 0.10983987 0.11731494 0.12666971 0.13259028 0.13879106 0.14476278 0.14646486 0.14843587 0.1448649  0.13097087], 25.15, 23.10, False
