exp,bottle,tp,datetime,date,time,wl,c,c_se,a,a_se,b
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,400,1.078838221,4.523153281951145e-4,0.17789136374999998,0.001071691335159513,0.9009468572500001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,404.6,1.0720697824999998,4.053950996022537e-4,0.180686265,9.13329986798495e-4,0.8913835174999998
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,408.7,1.0651018374999999,3.4642932642049967e-4,0.18265762999999996,6.980327635317349e-4,0.8824442074999999
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,412.5,1.0602347025,3.2099086120908197e-4,0.18351776124999997,5.712800578629052e-4,0.8767169412500001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,416.9,1.0526037050000001,3.153317794995451e-4,0.18675764874999998,5.461566814291731e-4,0.8658460562500001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,421.4,1.04526192875,2.81353189449174e-4,0.18874214125,0.00041647252907794355,0.8565197875
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,426.5,1.0407575108,2.8912913293273996e-4,0.19000163625000002,3.4224980266458306e-4,0.85075587455
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,430.9,1.03575615,2.8342711727126984e-4,0.19309425250000004,3.2358931425606355e-4,0.8426618975000001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,435.5,1.0314116225,2.745991672053183e-4,0.193570355,4.049981115044927e-4,0.8378412675000001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,439.8,1.0315368625,2.57933229109311e-4,0.19198910500000002,2.206014892923085e-4,0.8395477575000001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,444.8,1.03355385875,2.660219802287886e-4,0.18711028749999997,2.0610285268547225e-4,0.84644357125
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,449.9,1.0356033525000001,2.6011007529593103e-4,0.1783582875,1.775134028161204e-4,0.8572450650000001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,455,1.035998245,2.584325740017007e-4,0.17112025250000001,1.6269250786655494e-4,0.8648779925000001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,459.4,1.0344120824999998,2.5557757840725183e-4,0.1653090625,1.4575309610254903e-4,0.8691030199999998
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,463.8,1.031598185,2.557004714912747e-4,0.16089949375000004,1.425440321716633e-4,0.87069869125
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,468.7,1.0290354775000001,2.542948861089374e-4,0.15529425500000002,1.1309699216476714e-4,0.8737412225000001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,474,1.025852375,2.537953771172214e-4,0.1508972,1.0434515551506763e-4,0.874955175
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,479.2,1.02093138,2.533662235404851e-4,0.14672495749999998,9.478090673082634e-5,0.8742064224999999
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,484.1,1.015099095,2.5376486104571305e-4,0.14431992375000005,9.058906964708577e-5,0.87077917125
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,489.2,1.0097947353499999,2.5294024450186537e-4,0.1425887525,8.445594148996154e-5,0.8672059828499998
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,493.9,1.0039692325,2.485200434260016e-4,0.14090622374999998,7.797942430747095e-5,0.8630630087500001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,498.9,0.99883816875,2.515966944804639e-4,0.13884253999999996,7.482059705385333e-5,0.85999562875
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,503.8,0.99505088,2.5129406645506085e-4,0.13599977000000002,7.069321960344983e-5,0.85905111
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,508.7,0.99094193,2.4982637874041406e-4,0.13247354249999999,7.340309973972938e-5,0.8584683875
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,514,0.9867911,2.513925347330506e-4,0.12900121,6.805553125210247e-5,0.85778989
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,519.7,0.98183495125,2.500673797978127e-4,0.12536732374999998,6.439742301689053e-5,0.8564676275
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,524.8,0.9763374628375,2.5040647701371873e-4,0.1220985225,6.399298029710045e-5,0.8542389403375
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,529.9,0.97075423,2.511759604691891e-4,0.11920806625,6.340790487791518e-5,0.85154616375
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,534.6,0.965353855,2.528260917707947e-4,0.11636450000000001,5.923668322547933e-5,0.8489893550000001
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,539.6,0.9599015825,2.5104795387717073e-4,0.11360017374999998,5.6003207854519816e-5,0.84630140875
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,544.4,0.9543499677125,2.529332001013225e-4,0.11058111000000001,5.9579031108095185e-5,0.8437688577125
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,549.7,0.9485803525000001,2.530909579083929e-4,0.10750367125000002,5.254046348337526e-5,0.84107668125
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,554.6,0.9426489687499999,2.5306334812436537e-4,0.10455717375000001,5.1848180651220276e-5,0.838091795
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,560.1,0.9360807325,2.538033523472163e-4,0.10189067,4.974406501108294e-5,0.8341900625
TP22-14,C,1,2022-05-18T16:58:00Z,2022-05-18,09:58:00,565.2,0.9288820375,2.520865630644584e-4,0.0996106775,4.980747044085281e-5,0.82927136
