time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/11/30 17:42:13.113, 7640608, [1.43038036 1.38744994 1.36947921 1.34514642 1.32662097 1.31096512 1.28766918 1.27445349 1.27056583 1.25763483 1.2420586  1.22117996 1.19386613 1.17148476 1.14620867 1.12497327 1.10887056 1.0921599  1.07785635 1.0566826  1.03140948 1.00475043 0.97448681 0.94675051 0.91857646 0.88935154 0.86378037 0.83811629 0.81354362 0.79335881 0.77327032 0.75572246 0.73623771 0.71970412 0.70326473 0.6901209  0.67843567 0.66847407 0.6571736  0.64571005 0.63618981 0.62786041 0.61719802 0.60824799 0.59832854 0.58554707 0.57791133 0.57117565 0.56020262 0.55244691 0.54599718 0.54073445 0.53819881 0.53271537 0.52521685 0.52458017 0.52796662 0.53292143 0.53818555 0.53449236 0.52610536 0.5121529  0.48703226 0.47548348 0.46107053 0.44825287 0.44345967 0.43722648 0.43599394 0.43801723 0.44026119 0.44310631 0.44542316 0.45196571 0.45325295 0.4569755  0.4576803  0.45917167 0.45410922 0.45180975 0.44504735], [0.41045491 0.41191483 0.42141407 0.42535714 0.41950171 0.42605574 0.43139853 0.43205395 0.4301639  0.42999092 0.422214   0.40661943 0.39069881 0.38230977 0.37518347 0.37173538 0.36660261 0.36192018 0.35300407 0.34164793 0.32464996 0.30715903 0.29156838 0.2778735  0.2651238  0.25346282 0.24366619 0.23361994 0.2261027  0.21910197 0.21436028 0.21046825 0.20655245 0.20338461 0.20192656 0.20074419 0.20050106 0.2018627  0.19935327 0.19864793 0.20107373 0.20007026 0.19983411 0.19920956 0.19907912 0.19723615 0.19687352 0.1968554  0.1973703  0.19835805 0.19974588 0.20136014 0.20215256 0.20402549 0.20885129 0.21657533 0.22551922 0.23157583 0.23031905 0.22156456 0.20683549 0.19171845 0.17743791 0.16810022 0.16242594 0.16001452 0.16196219 0.16348133 0.16760989 0.17116486 0.17789533 0.1833354  0.1893115  0.19750757 0.20320375 0.21052863 0.21432595 0.21572589 0.21617566 0.21223023 0.19863392], 25.09, 23.76, False
2022/11/30 17:42:13.362, 7640858, [1.43252267 1.4020197  1.3726938  1.34515143 1.33677332 1.31247055 1.29986135 1.28117271 1.27647236 1.26247875 1.24608371 1.22249626 1.20261834 1.17602739 1.15322894 1.12816415 1.1134252  1.09675661 1.08143977 1.06067335 1.03673693 1.0084252  0.97987958 0.95047254 0.92295115 0.89467503 0.86839637 0.8428358  0.81802833 0.79599737 0.77917098 0.75924037 0.74121    0.72413774 0.70846942 0.69410768 0.6831464  0.67232693 0.66021031 0.65021907 0.64056011 0.63114485 0.62168599 0.61267043 0.60250553 0.58983452 0.58167342 0.57527728 0.56443628 0.55652802 0.5499567  0.54488498 0.54224825 0.53648519 0.52942159 0.52795656 0.5318278  0.5379549  0.54237825 0.53750891 0.53115418 0.51498694 0.49025328 0.4786354  0.46500131 0.45245617 0.44605818 0.44110754 0.44058415 0.44135867 0.4438695  0.44679817 0.44841009 0.45487665 0.45613711 0.45961943 0.46212184 0.46050424 0.45767446 0.45451932 0.44747916], [0.41226967 0.42380917 0.41632377 0.41615371 0.42154528 0.42673271 0.42863434 0.43320769 0.43191336 0.431978   0.42221438 0.40821105 0.39313661 0.3834971  0.37710813 0.37261754 0.36817484 0.36262815 0.35298085 0.34161762 0.32566819 0.30856311 0.29240836 0.2778261  0.265074   0.25468418 0.24283623 0.23388149 0.22705808 0.22040681 0.21505305 0.21050107 0.20686427 0.20394843 0.20245101 0.20144202 0.20097292 0.20072721 0.20047069 0.19923672 0.20078337 0.20026762 0.19991409 0.19973842 0.19915748 0.19727555 0.19612842 0.19681399 0.19708256 0.19839977 0.20018055 0.20165339 0.20236104 0.20448141 0.20869572 0.21652728 0.22568313 0.23206811 0.23021208 0.22119569 0.20772366 0.19145515 0.17779642 0.16819035 0.16283634 0.16073478 0.16253077 0.16317725 0.16655336 0.17130036 0.1778636  0.18465963 0.18929738 0.19755    0.20335146 0.20944414 0.21573182 0.21535947 0.21637105 0.21222944 0.19735171], 25.10, 23.76, False
2022/11/30 17:42:13.613, 7641107, [1.4150857  1.40174891 1.37540976 1.3501599  1.33676027 1.30882152 1.30047973 1.28392894 1.27449597 1.26457815 1.24422533 1.22864093 1.1988629  1.17640618 1.14944538 1.12908992 1.11162331 1.09752079 1.08003854 1.06180739 1.0355636  1.00857105 0.97888074 0.9518217  0.92254181 0.89507805 0.86801072 0.84245943 0.81800974 0.7973116  0.77792463 0.75923737 0.7409292  0.72281897 0.70771122 0.69385343 0.68268326 0.67144197 0.66103245 0.64942406 0.6405648  0.63152329 0.6218697  0.613381   0.60232628 0.59017714 0.58218745 0.57544157 0.56459893 0.55667607 0.55027608 0.54576641 0.54295361 0.53721208 0.5301616  0.52890152 0.53220573 0.53855524 0.54277791 0.538376   0.53136548 0.51619243 0.49125058 0.47997097 0.46584077 0.45335833 0.44735041 0.4421586  0.44022189 0.44186088 0.44532806 0.44782738 0.44967659 0.45746137 0.45881344 0.45881226 0.46394181 0.46344228 0.45979117 0.45479995 0.44747856], [0.42126007 0.41677657 0.4124082  0.42535201 0.42334236 0.42347872 0.42536157 0.43479936 0.43219686 0.42998901 0.42344805 0.41038789 0.39298532 0.38449338 0.37803063 0.37260855 0.36739494 0.36193486 0.35440245 0.34281221 0.32514118 0.30864574 0.29254265 0.27919495 0.26588741 0.2547881  0.24394869 0.2351481  0.22795942 0.22126135 0.21570144 0.21167197 0.20802638 0.20561884 0.20324409 0.20229347 0.20240532 0.20199716 0.20182129 0.20043721 0.20022689 0.19928939 0.19887741 0.19913945 0.19808661 0.19661137 0.1962109  0.19603131 0.19650914 0.19745286 0.19912369 0.20081769 0.20185434 0.20341797 0.20883691 0.2160508  0.22491219 0.2308971  0.22927788 0.22053104 0.20701437 0.190653   0.1769498  0.16751828 0.16181128 0.16003144 0.16051632 0.16233048 0.16633382 0.17180672 0.17711759 0.1837738  0.18980374 0.19755162 0.20242699 0.20815098 0.2129208  0.215884   0.21709729 0.21338846 0.19563733], 25.09, 23.76, False
2022/11/30 17:42:13.862, 7641357, [1.42594086 1.40198927 1.36945679 1.35296182 1.32931893 1.31244937 1.2927791  1.2816818  1.27208588 1.26731281 1.2436006  1.22586122 1.19680414 1.1748863  1.15079445 1.12974218 1.11078058 1.09588667 1.08188248 1.05874571 1.03685349 1.00685335 0.97846182 0.95181996 0.92075857 0.89501291 0.8664797  0.84138183 0.81695924 0.79468481 0.77668213 0.75835566 0.73955088 0.72335591 0.70647329 0.69269084 0.68178546 0.67189507 0.65979171 0.64924016 0.63751732 0.62913125 0.61881147 0.61018971 0.59954378 0.5869135  0.57893892 0.57237028 0.56120043 0.55381067 0.547209   0.54195353 0.53907137 0.53380107 0.52631402 0.52552411 0.52873024 0.53476136 0.53882294 0.53446523 0.52680418 0.51213406 0.48727894 0.47546643 0.4613481  0.44915361 0.44216878 0.43861489 0.43594504 0.43682805 0.44060384 0.44370659 0.44554139 0.45244657 0.45346002 0.45587901 0.45795847 0.45881769 0.45344142 0.45095176 0.44261642], [0.40867132 0.42134468 0.42190338 0.42196421 0.42628096 0.43255543 0.42913739 0.43358507 0.43597873 0.43309269 0.42252817 0.40913084 0.39306005 0.38558543 0.37808323 0.37519868 0.36975188 0.3633519  0.35500008 0.34400647 0.32735874 0.31040999 0.29338289 0.28006022 0.26688447 0.25565726 0.24461952 0.23541081 0.22831545 0.22149091 0.2161832  0.21186994 0.20802723 0.20577782 0.20366677 0.20214313 0.20254743 0.20263733 0.20186841 0.20036103 0.20154714 0.20097757 0.2005676  0.1998116  0.19971052 0.19813038 0.19727184 0.19755748 0.19770062 0.19893567 0.20070411 0.20189042 0.20305158 0.20472745 0.2099238  0.21691135 0.22616073 0.2325282  0.23114866 0.22204708 0.20754682 0.1925086  0.17854656 0.16915621 0.16304297 0.16183702 0.16253353 0.16312716 0.16794473 0.17295373 0.17880079 0.18647096 0.19028222 0.19790253 0.20572719 0.21084766 0.21509866 0.21724264 0.21674553 0.21377601 0.19842093], 25.09, 23.76, False
2022/11/30 17:42:14.113, 7641608, [1.43251457 1.39830476 1.36811938 1.34514642 1.32909546 1.30733168 1.29666867 1.28013211 1.26576656 1.25800046 1.2457709  1.2189334  1.1961433  1.17129524 1.14534446 1.1251093  1.10803031 1.09196198 1.07514394 1.0559702  1.03205372 1.00352679 0.97345265 0.9458926  0.91690004 0.88977788 0.86304663 0.83809482 0.81248325 0.79140168 0.77295353 0.75308841 0.73485787 0.71708065 0.70178306 0.68824649 0.67619105 0.66567356 0.65428169 0.64434413 0.6339376  0.62433261 0.614674   0.60613397 0.59571838 0.58331689 0.57534091 0.56897413 0.55748071 0.54991019 0.54378909 0.53883815 0.53645266 0.53038694 0.52340319 0.52235553 0.52545412 0.53135096 0.53614568 0.53144651 0.52454884 0.50906797 0.48427871 0.47284886 0.45798359 0.44705667 0.43924795 0.43478502 0.43287483 0.43421675 0.43700064 0.44096154 0.44141371 0.44954642 0.44944369 0.45266119 0.45617231 0.45615712 0.45160501 0.44455128 0.4409432 ], [0.41947408 0.42626298 0.41801401 0.42075149 0.41950171 0.42415513 0.43037943 0.43160746 0.43337012 0.42999092 0.42066331 0.40924452 0.39428002 0.38672749 0.37710806 0.37430564 0.36896644 0.36261451 0.35435648 0.34272209 0.32683099 0.3094451  0.29236367 0.27832968 0.26693347 0.25417666 0.24433637 0.2350931  0.2280141  0.22120485 0.21542345 0.21084095 0.20799438 0.20484231 0.20356165 0.20164036 0.20192516 0.20144262 0.20089773 0.19989142 0.20122362 0.20046571 0.200526   0.19969933 0.19926608 0.19812824 0.19735094 0.19747373 0.19755536 0.19856179 0.20070218 0.20199152 0.20275076 0.20467984 0.20941002 0.21700526 0.22584771 0.2321873  0.23097114 0.22174886 0.20747212 0.19185714 0.17841542 0.16893064 0.16259723 0.16059856 0.16190764 0.1629998  0.16655374 0.17208041 0.17836293 0.18419914 0.19078471 0.19755054 0.2031296  0.21014495 0.215096   0.21687458 0.21637157 0.21357964 0.19949651], 25.09, 23.76, False
2022/11/30 17:42:14.363, 7641858, [1.42378783 1.40025751 1.37586659 1.34120937 1.32750302 1.30288025 1.29083583 1.28064017 1.26465813 1.25451941 1.24359902 1.22031193 1.19408256 1.17223487 1.14431537 1.12510599 1.10730161 1.09185919 1.07391121 1.05667818 1.03088029 1.00366899 0.97394395 0.94628531 0.91857156 0.8893253  0.86264439 0.83878132 0.81215445 0.79237947 0.77325645 0.75396137 0.735409   0.71813768 0.70252916 0.68895174 0.67708239 0.66653888 0.65510867 0.64493591 0.63754196 0.62784658 0.61810081 0.60967759 0.59832243 0.58640887 0.57825287 0.571357   0.56037087 0.55297639 0.5463532  0.54072515 0.53855029 0.53271386 0.52539831 0.52439881 0.52777892 0.53333554 0.53842198 0.53360452 0.52657538 0.51143578 0.48677021 0.47468038 0.46107887 0.44885028 0.44215725 0.43687317 0.4348856  0.43713126 0.43873999 0.44456108 0.44382193 0.45164372 0.45325179 0.45481618 0.45709289 0.45846447 0.45199371 0.44725282 0.44215635], [0.41945993 0.42379138 0.41578132 0.42534431 0.41949256 0.42672615 0.43088311 0.43396889 0.43422927 0.43309173 0.42236986 0.40787388 0.39420314 0.38548886 0.37900565 0.37347245 0.36818706 0.36335221 0.35568747 0.34336539 0.32732297 0.3083991  0.29347214 0.27955715 0.26621996 0.2553005  0.24495498 0.23572765 0.22807083 0.22097802 0.21574931 0.2120675  0.20797409 0.20583096 0.20345638 0.20239583 0.20269552 0.2025043  0.20178817 0.20057291 0.20122557 0.20144701 0.20109935 0.20022283 0.20019307 0.19826434 0.19760411 0.19768324 0.19798838 0.19936813 0.20128489 0.20243441 0.2034557  0.20519885 0.20976905 0.21785087 0.22688413 0.23257943 0.23114894 0.22206271 0.20849504 0.19239929 0.17877598 0.16879831 0.16393334 0.16235327 0.16274608 0.1642792  0.16788894 0.17203652 0.17914382 0.18466213 0.19081498 0.19859695 0.20446719 0.21105953 0.21523294 0.21823577 0.21745191 0.21493374 0.19735531], 25.08, 23.76, False
2022/11/30 17:42:14.613, 7642107, [1.4150857  1.39829259 1.37131458 1.34403439 1.32323532 1.3073232  1.28828298 1.27944463 1.26379939 1.25900032 1.24422006 1.21780675 1.19467185 1.16807987 1.14345344 1.12273573 1.10669446 1.09052885 1.07575806 1.05419176 1.02989036 1.00259447 0.97345035 0.94490567 0.9180659  0.88736036 0.8623105  0.83666705 0.8128248  0.79075315 0.77202675 0.75279375 0.73568777 0.71656082 0.70179119 0.68847314 0.67710465 0.66632039 0.65468848 0.64376154 0.63656864 0.62765812 0.61772715 0.609135   0.59849712 0.58588428 0.57789937 0.57152866 0.56000585 0.55296267 0.54600425 0.54108023 0.53855919 0.53271477 0.52539926 0.52477491 0.52736979 0.53373738 0.5379843  0.53359012 0.52704158 0.51142939 0.48677241 0.47493891 0.46135521 0.4482492  0.4424864  0.43687488 0.43594603 0.43670982 0.43874169 0.44301836 0.44451567 0.45164506 0.45181131 0.45426977 0.45767992 0.45748698 0.45160447 0.44796429 0.44291145], [0.41585831 0.404922   0.42531857 0.42658029 0.42809765 0.42347872 0.43037721 0.43205094 0.43162059 0.42977337 0.41895596 0.40776405 0.39283498 0.38553763 0.37810979 0.37082683 0.36661085 0.36189265 0.35366976 0.34155859 0.32732265 0.306512   0.29294035 0.27869163 0.265937   0.25427627 0.2440018  0.23488606 0.22694826 0.2206924  0.21580337 0.21036007 0.20702642 0.2041732  0.2026116  0.2015929  0.20173573 0.20163469 0.20078363 0.19986003 0.20082755 0.20078825 0.19987501 0.19891028 0.19897183 0.19694427 0.19583857 0.19667114 0.19689868 0.19788477 0.19955879 0.20150789 0.2024074  0.20411815 0.20885213 0.21668756 0.22578244 0.23179724 0.23026628 0.22150883 0.20747268 0.19145618 0.17849814 0.16915561 0.16280266 0.16130485 0.16218728 0.16330421 0.16722109 0.1724941  0.17873751 0.18466088 0.1903085  0.19811655 0.20320503 0.21154694 0.21600128 0.21823345 0.21602006 0.21319579 0.19842547], 25.09, 23.76, False
2022/11/30 17:42:14.863, 7642357, [1.4454762  1.38742559 1.37266578 1.3429242  1.32750737 1.31388828 1.28827712 1.27616557 1.2701198  1.25863036 1.24607584 1.22282305 1.19386279 1.17318054 1.14550203 1.12524273 1.10898308 1.09358892 1.07575712 1.05739179 1.03099954 1.00464925 0.97493938 0.94763683 0.91811507 0.89019963 0.8649214  0.8384528  0.81284363 0.79239419 0.77419301 0.75484107 0.73762159 0.71890714 0.70425883 0.69010589 0.67888042 0.66868506 0.65673513 0.64609218 0.63694751 0.62802562 0.61845137 0.60966881 0.59902239 0.5865755  0.57876746 0.57221731 0.56122009 0.55364813 0.54688191 0.54159136 0.53926407 0.53326161 0.52613093 0.52514911 0.52853687 0.53434526 0.53925441 0.53381403 0.52772538 0.51214225 0.4875198  0.47600987 0.46135389 0.44945399 0.44248175 0.43689638 0.43639972 0.43755391 0.44025893 0.44370659 0.44348844 0.45244657 0.45304409 0.45478371 0.46005404 0.45846468 0.45121404 0.45323032 0.44291105], [0.41044359 0.42625112 0.41969705 0.42872668 0.42039428 0.42213103 0.42535935 0.42885134 0.43132968 0.429556   0.42313128 0.40901917 0.39534642 0.38444508 0.3770816  0.37347231 0.36739175 0.36333809 0.35500008 0.34226088 0.32619611 0.30848135 0.29249803 0.27828287 0.26617026 0.25545139 0.24394923 0.23620689 0.22659331 0.22120639 0.21574886 0.21106088 0.20804963 0.20473876 0.20282764 0.20199368 0.20201895 0.20135889 0.2017762  0.1996374  0.20199804 0.20136396 0.20079314 0.2002224  0.19959239 0.19811728 0.19789497 0.19805325 0.19831673 0.19899547 0.20086536 0.20258084 0.20311103 0.20524428 0.20967542 0.21722982 0.2266704  0.23242633 0.23185425 0.22217505 0.20812417 0.19199722 0.1782219  0.16924682 0.16362523 0.16190529 0.16302413 0.16378664 0.16755519 0.17203608 0.17833329 0.18512257 0.18981847 0.19803156 0.20342888 0.21074207 0.21613641 0.21771337 0.21509992 0.21435448 0.19885181], 25.09, 23.76, False
2022/11/30 17:42:15.112, 7642608, [1.41506949 1.39655818 1.36488798 1.35074434 1.32322662 1.30950711 1.29534238 1.27788563 1.26705935 1.25762656 1.24205231 1.22334979 1.19636122 1.16958979 1.14620539 1.12431606 1.10814266 1.09282329 1.07584107 1.0554704  1.03211021 1.00318001 0.97543661 0.94677902 0.91854692 0.88977316 0.86376092 0.83739939 0.8145497  0.79206639 0.77419301 0.75484038 0.73595791 0.7194361  0.7030288  0.68964929 0.67798502 0.66805015 0.65613664 0.64551796 0.63637777 0.62728298 0.61774124 0.60877641 0.5984965  0.58571201 0.57825883 0.57152809 0.560358   0.55296942 0.54635347 0.54091443 0.53871866 0.53308985 0.52594784 0.52495359 0.52814221 0.53371326 0.53947013 0.53337174 0.52703246 0.51214225 0.48727894 0.47546643 0.46192006 0.44794277 0.44345779 0.4375747  0.43601542 0.43797632 0.44019843 0.44456148 0.44542162 0.4505156  0.45469373 0.45616892 0.45798704 0.46014968 0.45449893 0.44995849 0.44412557], [0.42308593 0.42134468 0.41969705 0.4195207  0.42628096 0.42740411 0.43190459 0.4304509  0.43597873 0.4284334  0.42081896 0.40776309 0.39534642 0.38454091 0.3790856  0.37348192 0.36817614 0.36262969 0.35440319 0.34281285 0.32841359 0.30848135 0.2934275  0.27914802 0.26670069 0.25555434 0.24400234 0.2351487  0.22760453 0.22165802 0.21559153 0.21192439 0.20728602 0.20494969 0.20298257 0.2023449  0.20202553 0.2018169  0.20164934 0.20064965 0.20147214 0.20093621 0.20102631 0.20015131 0.19948418 0.19805058 0.19741749 0.19753835 0.19798798 0.19893567 0.20070411 0.20224314 0.20320116 0.20518384 0.21003238 0.218105   0.22634184 0.23264714 0.23102559 0.22187807 0.20836169 0.19205935 0.17858088 0.16915621 0.16362523 0.16214795 0.16217625 0.1646979  0.16794473 0.17290775 0.17911221 0.18421235 0.19026853 0.19863952 0.20446655 0.21084766 0.21536592 0.21557249 0.21654999 0.21435448 0.19713948], 25.09, 23.76, False
