time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/12/01 08:48:25.117, 62012803, [ 0.1752159   0.14902088  0.12659366  0.11240561  0.09496223  0.07228771  0.05693812  0.04712986  0.03366283  0.02458259  0.01462615  0.00397606 -0.00225765 -0.00769481 -0.01694619 -0.02129748 -0.02680533 -0.03325655 -0.03666383 -0.04286136 -0.04644606 -0.05136663 -0.0539167  -0.05763108 -0.06158318 -0.06344025 -0.06751331 -0.0711866  -0.07433873 -0.07611092 -0.0767279  -0.0783674  -0.07971793 -0.08219564 -0.08306926 -0.08453575 -0.08501828 -0.08471215 -0.08633685 -0.08795804 -0.08836188 -0.0885124  -0.08884293 -0.08920269 -0.09069155 -0.09465    -0.09431505 -0.09286874 -0.0968623  -0.09884362 -0.10111979 -0.10198671 -0.09987685 -0.10045896 -0.10289803 -0.10300176 -0.103272   -0.10385063 -0.10519557 -0.10944043 -0.10865429 -0.11003597 -0.11631449 -0.11280122 -0.11362771 -0.1142256  -0.11300627 -0.1097701  -0.10570825 -0.09898998 -0.09084721 -0.08424372 -0.07939368 -0.06641381 -0.06446619 -0.05689179 -0.05067412 -0.0448108  -0.04936507 -0.0499121  -0.0532667 ], [0.27127196 0.26277792 0.23931351 0.22728547 0.20393139 0.1975354  0.18817861 0.17228204 0.16441238 0.15928221 0.14878786 0.14362817 0.13926472 0.1312822  0.12782231 0.12306387 0.12216512 0.11751128 0.1154126  0.11924052 0.10572639 0.10522437 0.10402218 0.101691   0.09968027 0.09728724 0.09575204 0.09472353 0.09241792 0.09182757 0.09012528 0.08936951 0.08885204 0.08868919 0.0879042  0.08734035 0.08727928 0.08733323 0.08663533 0.08606353 0.08717309 0.08730886 0.08722496 0.08717916 0.0864796  0.084771   0.08396749 0.08351746 0.08177295 0.08064838 0.07959629 0.07866539 0.07867659 0.07949624 0.08001283 0.0798642  0.07941031 0.0783751  0.07696663 0.07389651 0.07281085 0.07107122 0.0695749  0.06841967 0.06892851 0.07024466 0.07362644 0.07683532 0.08235954 0.08781621 0.09570388 0.10285023 0.10988905 0.11803469 0.12612592 0.13158618 0.13819122 0.13883056 0.14062875 0.13929426 0.12226309], 25.17, 23.76, False
2022/12/01 08:48:25.366, 62013052, [ 0.17564382  0.15671052  0.12295371  0.10932893  0.0850249   0.074442    0.05510634  0.04884853  0.0306819   0.0208463   0.01204555  0.0041755  -0.00493639 -0.0084424  -0.01858088 -0.02269156 -0.03015753 -0.03250234 -0.03886926 -0.04456997 -0.04765788 -0.05031175 -0.05437669 -0.0572738  -0.06111003 -0.06453497 -0.06697421 -0.07160313 -0.07486295 -0.07570367 -0.0762273  -0.07866249 -0.08060787 -0.08203447 -0.08321813 -0.08419777 -0.08414209 -0.0848007  -0.08612333 -0.08730539 -0.08942819 -0.08905839 -0.08981847 -0.09016051 -0.0916351  -0.0951982  -0.09510554 -0.09377055 -0.09779298 -0.09948691 -0.1015907  -0.10272544 -0.10103348 -0.10167292 -0.10375138 -0.10423161 -0.1040067  -0.10470632 -0.10602192 -0.11081774 -0.11033951 -0.11089569 -0.11670186 -0.11353109 -0.11435786 -0.11549072 -0.11364869 -0.11001026 -0.10743904 -0.1001267  -0.09044508 -0.08602696 -0.08035187 -0.06755059 -0.06612781 -0.05815025 -0.05225085 -0.04716503 -0.0496316  -0.04920049 -0.05648987], [0.28004788 0.25381301 0.23247683 0.22489204 0.21054655 0.1996236  0.18259891 0.17427056 0.16616628 0.15762021 0.15169935 0.14357928 0.13811594 0.13233071 0.1296967  0.12640191 0.12290645 0.11818085 0.11851087 0.11218866 0.10967405 0.10713048 0.10438076 0.10182149 0.09968053 0.0973701  0.09601117 0.09478968 0.09257876 0.09155187 0.09012618 0.09004288 0.08867068 0.08833413 0.08825852 0.0876489  0.08802282 0.08781136 0.08648278 0.08575339 0.08758301 0.08709652 0.08746384 0.08703367 0.0872304  0.08543159 0.08415509 0.08310189 0.08195931 0.08088223 0.08006913 0.07876055 0.07862766 0.07910013 0.07971246 0.07981175 0.07962491 0.07892478 0.076627   0.07450586 0.07355733 0.0714719  0.07012485 0.06907811 0.06854717 0.0704983  0.07266273 0.07711412 0.08184305 0.08833834 0.09570469 0.10236845 0.10839284 0.11800386 0.12563234 0.13021161 0.13667855 0.14033291 0.14047002 0.13757498 0.12378359], 25.16, 23.76, False
2022/12/01 08:48:25.617, 62013302, [ 0.17474851  0.15325952  0.13635969  0.10381928  0.09744524  0.07014782  0.05887344  0.04892085  0.03076734  0.02476629  0.01472052  0.00427514 -0.00421651 -0.00864435 -0.01618097 -0.02120452 -0.02816648 -0.03143508 -0.03569134 -0.04188994 -0.04734241 -0.05121684 -0.05353526 -0.05720425 -0.0611793  -0.06453615 -0.06697533 -0.07032335 -0.07412776 -0.07623309 -0.07628567 -0.07772934 -0.07960126 -0.08182144 -0.08251858 -0.08347619 -0.08469858 -0.08462396 -0.08561815 -0.08763328 -0.08772876 -0.08820534 -0.08869317 -0.08897252 -0.09057812 -0.09400663 -0.09388055 -0.09278908 -0.09643049 -0.09865382 -0.10035876 -0.10103425 -0.0998298  -0.10003329 -0.10281188 -0.10275262 -0.10228129 -0.10392651 -0.10452673 -0.1088469  -0.10897575 -0.10934077 -0.11610181 -0.11339054 -0.1125278  -0.11410219 -0.11308439 -0.11001083 -0.10570974 -0.09899086 -0.09125733 -0.08331794 -0.0784374  -0.06658439 -0.06383272 -0.05760219 -0.05146294 -0.046928   -0.04736338 -0.0487839  -0.05434184], [0.27340035 0.25164263 0.23683095 0.21509243 0.20026793 0.19296043 0.18225291 0.17673683 0.16440761 0.15927935 0.15152936 0.14481649 0.13811569 0.13233051 0.1288084  0.12640205 0.12063386 0.1182373  0.11541372 0.11267792 0.10842617 0.10634059 0.10434885 0.10129857 0.09944385 0.09797724 0.0956873  0.09380442 0.09228775 0.09140593 0.08992975 0.08912601 0.0886228  0.08782002 0.08790563 0.08706458 0.0868335  0.08761748 0.08690783 0.08552813 0.08712658 0.08746239 0.08747968 0.08694645 0.08699977 0.08534393 0.08392421 0.08342885 0.08172852 0.0806496  0.07964515 0.078761   0.07867786 0.07924836 0.07930827 0.07991845 0.07989432 0.07892508 0.07702759 0.07474734 0.07311871 0.07198988 0.0695051  0.06842057 0.06870805 0.07049883 0.07342795 0.07786896 0.08223392 0.08875237 0.09490987 0.10238956 0.10889585 0.11806824 0.12439439 0.13218385 0.13958834 0.13951275 0.13974425 0.13775073 0.12358832], 25.16, 23.76, False
2022/12/01 08:48:25.867, 62013552, [ 0.17081239  0.15297045  0.13649127  0.1094341   0.08996722  0.07222908  0.06269417  0.05056211  0.03483364  0.02466518  0.01565734  0.00294293 -0.00133555 -0.00695507 -0.01464762 -0.02209297 -0.02762788 -0.03094739 -0.03622265 -0.04319425 -0.0460033  -0.05088131 -0.0535387  -0.05648878 -0.06036873 -0.06408778 -0.06674016 -0.06962307 -0.07413132 -0.07500117 -0.07609475 -0.07808031 -0.07993543 -0.08203804 -0.08271724 -0.08371914 -0.08395979 -0.08409711 -0.08591454 -0.08669751 -0.08741288 -0.08767212 -0.08854339 -0.08869335 -0.08992896 -0.09432977 -0.09344601 -0.09246804 -0.09678457 -0.0981232  -0.10024701 -0.10121639 -0.09931047 -0.09984611 -0.10246476 -0.10220176 -0.10221033 -0.10358572 -0.10452832 -0.10866387 -0.10906068 -0.1085265  -0.11588911 -0.11197803 -0.11233005 -0.11418774 -0.11195601 -0.10977351 -0.10540054 -0.09827867 -0.0900389  -0.0837945  -0.07748111 -0.0674679  -0.06256478 -0.05563627 -0.05008801 -0.04755514 -0.04616373 -0.04961846 -0.05219306], [0.26249269 0.25163375 0.22709634 0.21947794 0.20096075 0.19184972 0.18747492 0.17227301 0.16393152 0.15615514 0.15164123 0.14236204 0.13811493 0.12924151 0.12693427 0.1246254  0.12142602 0.11896319 0.11407972 0.11096145 0.10879949 0.10634093 0.1041531  0.10142925 0.09974642 0.0972233  0.0949743  0.09367402 0.09183722 0.09168348 0.08876004 0.08900278 0.08850258 0.08813805 0.0877336  0.08681483 0.08770818 0.08731858 0.08646977 0.08606673 0.08701851 0.08740281 0.08756984 0.08718172 0.08666968 0.08473009 0.08411229 0.08333472 0.08144979 0.07999715 0.07945806 0.07857103 0.07858353 0.07885699 0.07936124 0.07971214 0.0795227  0.07870462 0.07691846 0.0743291  0.07343785 0.07213657 0.06957684 0.06842147 0.06762385 0.07006952 0.07315663 0.07727452 0.08340628 0.08745893 0.09570632 0.10331459 0.10840547 0.11921198 0.12482931 0.13099372 0.13743814 0.13855347 0.13870059 0.13715481 0.12101805], 25.15, 23.76, False
2022/12/01 08:48:26.117, 62013803, [ 0.17863098  0.15270623  0.12642552  0.10943911  0.09245526  0.07226656  0.06081075  0.05056428  0.03058653  0.02504653  0.01120192  0.00417116 -0.00298371 -0.0073994  -0.01598734 -0.02190216 -0.02826045 -0.03210369 -0.03560656 -0.04286577 -0.04681787 -0.05072833 -0.0520922  -0.05842389 -0.06091102 -0.06421827 -0.06710639 -0.07048825 -0.07468205 -0.0762352  -0.07547628 -0.07890358 -0.07960315 -0.08172136 -0.08312276 -0.08391183 -0.08382252 -0.0847158  -0.08638166 -0.08767496 -0.08816781 -0.08798017 -0.08899614 -0.08941891 -0.0907252  -0.0949738  -0.09434863 -0.09322424 -0.09724936 -0.09870038 -0.10097543 -0.10159179 -0.10006275 -0.10080222 -0.10289962 -0.1030037  -0.10343965 -0.10426933 -0.10563023 -0.10962878 -0.10951989 -0.10958851 -0.11648922 -0.11298882 -0.11301505 -0.11466755 -0.11300861 -0.10970598 -0.10566029 -0.09974438 -0.09045199 -0.08469724 -0.0789416  -0.0676364  -0.06434669 -0.05689366 -0.05087607 -0.04653932 -0.0496324  -0.05020809 -0.05509817], [0.266797   0.24704165 0.22566139 0.22287464 0.19956712 0.19037176 0.18294089 0.17450354 0.16409008 0.15595794 0.15029788 0.14229186 0.13811518 0.13231121 0.12693435 0.1247549  0.12058352 0.11745654 0.11468674 0.11267857 0.10873519 0.10732605 0.10353326 0.10208433 0.09918239 0.09819143 0.09562228 0.09472501 0.09322777 0.09135784 0.09026051 0.08942985 0.0886112  0.08811783 0.08755959 0.08759409 0.08807901 0.08730018 0.08699026 0.08612956 0.08686122 0.08665513 0.08688408 0.08703496 0.08671286 0.08529036 0.08420118 0.08310339 0.08144939 0.08041646 0.07969354 0.07900174 0.07887385 0.07890292 0.07936082 0.07976495 0.07925326 0.07814654 0.07702816 0.07455855 0.07306463 0.07141412 0.06936418 0.06820191 0.0685484  0.06951912 0.07357475 0.07704583 0.08327935 0.08803362 0.09530828 0.10192842 0.10840144 0.11865631 0.12563426 0.13080928 0.13679947 0.13869354 0.13958572 0.13697914 0.12292803], 25.16, 23.76, False
2022/12/01 08:48:26.366, 62014052, [ 0.18047291  0.15328383  0.12673965  0.11234582  0.09745337  0.07229194  0.0607715   0.04728245  0.03204616  0.02467963  0.01462772  0.00428092 -0.00308117 -0.00779407 -0.01348517 -0.02329047 -0.02970729 -0.03143198 -0.03727898 -0.04302423 -0.04652425 -0.05030927 -0.05422759 -0.05677138 -0.06117538 -0.06389093 -0.06636496 -0.07048247 -0.07372423 -0.07558156 -0.07653285 -0.07719424 -0.08022068 -0.0820318  -0.08225552 -0.0840535  -0.08418538 -0.08435649 -0.08663075 -0.08730306 -0.08765118 -0.08778706 -0.08854037 -0.08872376 -0.09046253 -0.09464968 -0.09402461 -0.09240171 -0.09675012 -0.09808893 -0.10032449 -0.10187245 -0.09964411 -0.100305   -0.10293249 -0.10209322 -0.10290466 -0.10320348 -0.10436984 -0.10985027 -0.10834715 -0.10884534 -0.11618643 -0.11215899 -0.11272487 -0.11430856 -0.11208203 -0.11007556 -0.10503594 -0.09898969 -0.09125255 -0.08334008 -0.0789887  -0.0658453  -0.06268408 -0.05743984 -0.05146219 -0.04677533 -0.05096612 -0.0489047  -0.04960511], [0.2592226  0.25138982 0.23145869 0.21170565 0.20829955 0.19087064 0.18294754 0.1727568  0.16012038 0.15732436 0.15164394 0.14491586 0.13582116 0.13031094 0.12785531 0.12471083 0.12231644 0.11751098 0.11492526 0.11212503 0.10879876 0.10594535 0.10330552 0.10057801 0.09950874 0.09700802 0.0955588  0.09410987 0.09183518 0.09133934 0.08966718 0.08918648 0.08809939 0.08779828 0.08787159 0.086924   0.08725761 0.08713849 0.08707441 0.08616211 0.08712502 0.08720195 0.08707552 0.08717873 0.08647916 0.08486917 0.08434034 0.08328615 0.08195812 0.08032114 0.07964323 0.07875919 0.07858057 0.07904812 0.07986628 0.07908739 0.07983781 0.07914524 0.07731674 0.07510214 0.07294243 0.07159792 0.06963972 0.06805352 0.06778138 0.0698133  0.07335288 0.07713275 0.08209552 0.08797721 0.09526615 0.10112682 0.10939281 0.11751118 0.12550604 0.13167765 0.14540751 0.13554774 0.1403088  0.13679959 0.12101385], 25.17, 23.76, False
2022/12/01 08:48:26.617, 62014302, [ 0.17996636  0.15297045  0.12641992  0.10949683  0.08998109  0.07655808  0.06263824  0.04696613  0.03798407  0.02182577  0.01441838  0.00631893 -0.00236502 -0.00695507 -0.01531809 -0.02139641 -0.02563523 -0.03085891 -0.03745418 -0.04148715 -0.04571376 -0.04865823 -0.0535387  -0.05634811 -0.05928499 -0.06389918 -0.06637283 -0.06968588 -0.07385533 -0.07538423 -0.07634616 -0.07707287 -0.08010788 -0.08171205 -0.08226179 -0.08328496 -0.08409954 -0.08374217 -0.08604276 -0.08751218 -0.0885234  -0.08844341 -0.08877717 -0.08913897 -0.09105055 -0.09505455 -0.09481643 -0.09333719 -0.09700834 -0.09913361 -0.10120071 -0.10185368 -0.10084965 -0.10145155 -0.10333503 -0.10348541 -0.10364168 -0.10457436 -0.10594651 -0.11022494 -0.10908896 -0.11089815 -0.11631887 -0.1128046  -0.11321533 -0.11471004 -0.11332981 -0.11004603 -0.1060471  -0.09938829 -0.09085059 -0.08469764 -0.07793506 -0.0680358  -0.06434692 -0.05673306 -0.05087626 -0.04716585 -0.04749884 -0.05050305 -0.05466091], [0.26249269 0.24920081 0.23246187 0.22148188 0.20026244 0.19135601 0.18520799 0.17872385 0.16424559 0.15927649 0.14878553 0.14226785 0.13926287 0.13337855 0.12877547 0.12549261 0.12058378 0.11745685 0.1161422  0.11193916 0.10842648 0.10627575 0.10366408 0.10169164 0.10011405 0.09797805 0.09575365 0.09373967 0.0920629  0.09127696 0.08986715 0.08882022 0.08856332 0.0880787  0.08826043 0.08739964 0.08752254 0.0872831  0.08663839 0.08574178 0.08686161 0.08731106 0.08703352 0.08728426 0.08704465 0.08543373 0.08411229 0.08328966 0.08182093 0.08046418 0.08002366 0.07871663 0.0783386  0.07930036 0.07941296 0.07981319 0.07962625 0.07859824 0.07656801 0.07420278 0.07319674 0.07147327 0.06978351 0.0682762  0.06800615 0.06999522 0.07308375 0.07727452 0.08262549 0.08859246 0.0957856  0.10373534 0.10939307 0.11806986 0.12495346 0.13140568 0.13807605 0.14033601 0.13854129 0.13757814 0.12121337], 25.15, 23.76, False
2022/12/01 08:48:26.866, 62014552, [ 0.16564315  0.15301301  0.13302497  0.10366351  0.09000225  0.07445469  0.06277054  0.04391374  0.03511012  0.02340351  0.01462772  0.00448292 -0.0021545  -0.00948612 -0.01608004 -0.02319521 -0.02807095 -0.03143198 -0.03763671 -0.04269681 -0.04689243 -0.05079943 -0.05422759 -0.05670102 -0.06212236 -0.06439972 -0.06800843 -0.07105979 -0.07550267 -0.07734497 -0.07622415 -0.07920868 -0.08083041 -0.08245961 -0.08347472 -0.08448764 -0.08488084 -0.08497921 -0.08688705 -0.08848801 -0.08899586 -0.08893868 -0.09027025 -0.08976351 -0.09142345 -0.09505228 -0.09454038 -0.09373748 -0.09726231 -0.09977489 -0.10105311 -0.10272462 -0.10099849 -0.10110769 -0.10348941 -0.10351803 -0.10356595 -0.10470508 -0.10562705 -0.11013924 -0.11037963 -0.1106473  -0.11786142 -0.11407343 -0.11373992 -0.11579173 -0.11357049 -0.10997506 -0.10741218 -0.09975605 -0.09207671 -0.08600234 -0.0789887  -0.06731939 -0.06688136 -0.05760069 -0.05107589 -0.04999083 -0.0493648  -0.05020674 -0.05390387], [0.27341165 0.25382189 0.2353899  0.22049686 0.20759454 0.19654165 0.18452299 0.17204729 0.16409961 0.15908257 0.15018807 0.14489148 0.14041094 0.13021376 0.12982678 0.12562067 0.12058196 0.11962999 0.11674689 0.11206234 0.10973782 0.10588013 0.1042181  0.10169089 0.09961475 0.09812429 0.09516534 0.09397863 0.09280371 0.09073743 0.08967213 0.08924449 0.08883924 0.08789722 0.08767242 0.08733985 0.08783574 0.08765079 0.08681855 0.08488978 0.08701579 0.08694302 0.08752276 0.08703239 0.08704163 0.0849574  0.08434034 0.08356201 0.08181816 0.08088101 0.07921989 0.07842507 0.07858057 0.07929732 0.0799135  0.07981067 0.07946516 0.07908777 0.07691647 0.0746312  0.07318352 0.0708756  0.06971049 0.06863864 0.06854594 0.07031842 0.0734986  0.07727173 0.08235917 0.08833704 0.09530584 0.10377349 0.10889364 0.11800224 0.12618756 0.13149356 0.13795227 0.14047182 0.14119463 0.13904637 0.12101385], 25.17, 23.76, False
2022/12/01 08:48:27.116, 62014803, [ 0.17130843  0.16044105  0.13287965  0.10665523  0.09745337  0.0722587   0.05900051  0.0487805   0.03655547  0.0221278   0.01690692  0.0031559  -0.00019867 -0.00759352 -0.01848029 -0.02268957 -0.02753002 -0.03085349 -0.03683509 -0.04115436 -0.04591932 -0.04981916 -0.05437324 -0.05770068 -0.06090515 -0.06350484 -0.06764107 -0.07089694 -0.07412302 -0.07584572 -0.07546997 -0.0786045  -0.08043263 -0.08107425 -0.08220654 -0.08390744 -0.08441619 -0.08453396 -0.08578535 -0.08783386 -0.08859575 -0.08824982 -0.08951509 -0.08850938 -0.09069124 -0.09473014 -0.09481461 -0.09333518 -0.09703859 -0.09869906 -0.10061595 -0.10198644 -0.10054708 -0.1008004  -0.10305435 -0.10284092 -0.10323532 -0.10481717 -0.10548852 -0.11003527 -0.10944682 -0.11007789 -0.11674347 -0.11343192 -0.11301112 -0.11505027 -0.11240271 -0.110281   -0.1067659  -0.09900304 -0.09247773 -0.08331636 -0.07903811 -0.06803266 -0.06319752 -0.05737403 -0.05245099 -0.04802787 -0.04776337 -0.05192547 -0.05175507], [0.26466848 0.23785343 0.22752362 0.22289001 0.21125922 0.19087064 0.18191288 0.17157552 0.16378583 0.15772279 0.15018807 0.14484276 0.13926432 0.12918376 0.12890671 0.12471083 0.12073447 0.11817993 0.11492526 0.11225035 0.10986594 0.10601055 0.10408747 0.10097065 0.09894492 0.09769708 0.09568623 0.09400009 0.09170404 0.0914044  0.08999189 0.08894165 0.08868184 0.08769936 0.08764033 0.08703663 0.0872028  0.08697932 0.08668601 0.08611256 0.0864974  0.08720195 0.08703097 0.08698857 0.08685415 0.08505612 0.08429567 0.08277392 0.08190936 0.08050778 0.07940843 0.07895051 0.07877571 0.07855401 0.07930659 0.08012439 0.07946516 0.0788175  0.07685636 0.07425229 0.07312888 0.0716073  0.06880722 0.0685646  0.06769496 0.07009554 0.07260688 0.07646756 0.08196875 0.0886969  0.09566382 0.10287044 0.1084016  0.11914403 0.12488689 0.13039352 0.13807139 0.13965072 0.14135452 0.13679959 0.12424694], 25.17, 23.76, False
