exp,bottle,tp,datetime,date,time,wl,c,c_se,a,a_se,b
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,400,1.36678846,5.794078690755334e-4,0.264207855,5.670987428669201e-4,1.102580605
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,404.6,1.35327622,5.093840772403033e-4,0.275647475,4.577413205033242e-4,1.077628745
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,408.7,1.338475565,4.2545985993564824e-4,0.28357826,3.9886334473312205e-4,1.054897305
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,412.5,1.3286476725,3.7949968045983837e-4,0.29116235,0.00034756781177628277,1.0374853225
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,416.9,1.320057065,3.377385099457038e-4,0.30055781000000004,2.568190156989359e-4,1.019499255
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,421.4,1.3088582975,3.462864506991133e-4,0.309118515,2.4052174028664286e-4,0.9997397825000001
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,426.5,1.3032166649999999,3.192319695031734e-4,0.31803107999999997,2.0533001085388803e-4,0.985185585
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,430.9,1.2989416150000002,3.0580376115944493e-4,0.326508625,1.6108564227402272e-4,0.9724329900000002
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,435.5,1.2943355175,2.840489776661873e-4,0.330948405,1.4910540090025878e-4,0.9633871125
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,439.8,1.2904481300000001,3.009838447269124e-4,0.3299485,1.4395343959795092e-4,0.9604996300000002
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,444.8,1.2799645100000001,2.649662722700744e-4,0.324715805,1.212768415693738e-4,0.955248705
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,449.9,1.2637316575,2.717437868615486e-4,0.31319649,1.1507435572560562e-4,0.9505351675
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,455,1.2416394625,2.5136764567038517e-4,0.30313324500000005,1.0104581986743416e-4,0.9385062175
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,459.4,1.219250685,2.5735767360851206e-4,0.29553651999999997,9.348383557789638e-5,0.923714165
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,463.8,1.1998489125,2.551758046840295e-4,0.289931155,9.338104019546755e-5,0.9099177575
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,468.7,1.18319547,2.5046688803560986e-4,0.286768105,8.440654442685351e-5,0.8964273650000001
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,474,1.168147475,2.4317718669555934e-4,0.28251432499999996,7.992634915886207e-5,0.8856331500000001
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,479.2,1.1550464175000001,2.409366506977181e-4,0.2780934,7.428709274709472e-5,0.8769530175000002
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,484.1,1.1408073375,2.4152195690201736e-4,0.27050288,7.426790875809327e-5,0.8703044575000001
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,489.2,1.124691325,2.4071818565735812e-4,0.259520075,6.975059721794972e-5,0.86517125
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,493.9,1.1024352949999998,2.3342361780272615e-4,0.2442069175,7.529944945881088e-5,0.8582283774999998
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,498.9,1.0754488925,2.3142599384212042e-4,0.22676494999999997,6.589593931971898e-5,0.8486839425000001
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,503.8,1.0473650475,2.2928398414798332e-4,0.21162996,6.269714366874976e-5,0.8357350875
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,508.7,1.02057222,2.2943353866218836e-4,0.19808825,6.23945051959106e-5,0.8224839700000001
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,514,0.9945019900000001,2.290166190773348e-4,0.185845145,6.247415794607672e-5,0.808656845
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,519.7,0.967992415,2.2639892730819895e-4,0.17470474749999998,5.584446211136589e-5,0.7932876675
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,524.8,0.9430862925,2.2571201514805155e-4,0.1649043375,5.661376665185088e-5,0.778181955
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,529.9,0.9197962125,2.2158548535595115e-4,0.15651310499999999,5.5316557912350166e-5,0.7632831075
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,534.6,0.8979024950000001,2.2078808754937278e-4,0.14961115,5.573159061027898e-5,0.748291345
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,539.6,0.8777355975,2.1983801168948305e-4,0.143610045,5.5797274741461584e-5,0.7341255525
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,544.4,0.8584433674999999,2.189691945310109e-4,0.13843994999999998,5.454817429926715e-5,0.7200034175
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,549.7,0.840528615,2.1880993879213047e-4,0.1341524,5.5413181661343384e-5,0.7063762149999999
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,554.6,0.8232103924999999,2.1554358644041547e-4,0.13054661,5.349062163738873e-5,0.6926637824999999
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,560.1,0.8075150499999999,2.1765368495969557e-4,0.12769046499999998,5.056455938713858e-5,0.679824585
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,565.2,0.7920272325000001,2.160564140962201e-4,0.125573035,4.957705862325778e-5,0.6664541975
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,569.8,0.7787357724999999,2.1269178798025653e-4,0.1245229525,4.898871846095301e-5,0.6542128199999999
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,574.2,0.7675735850000001,2.115345640072655e-4,0.12377933249999999,5.015195246358124e-5,0.6437942525000001
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,579,0.7567910675,2.0827857702201348e-4,0.1233246325,4.816558276888952e-5,0.633466435
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,583.4,0.7463160550000001,2.092034989964317e-4,0.12298887499999998,4.6799314378859524e-5,0.6233271800000001
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,587.8,0.7366764975,2.075029090782384e-4,0.1225590225,4.6999174225076954e-05,0.614117475
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,592.7,0.7282941475,2.0521973482201712e-4,0.1219315,4.5775165299169705e-5,0.6063626475
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,597.4,0.7187125274999999,2.0492885554044098e-4,0.12109710499999998,4.504714942048308e-5,0.5976154224999999
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,602.1,0.7095415549999999,2.012064874509981e-4,0.12021887,4.712880162353868e-5,0.589322685
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,607,0.700224965,1.9890267335653897e-4,0.1193629625,4.3483649391927185e-5,0.5808620025
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,612,0.6912448649999999,1.997741326103222e-4,0.1190456925,4.45011113048568e-5,0.5721991725
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,616.9,0.682519405,1.9793617222958133e-4,0.118876015,4.497903643890616e-5,0.56364339
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,621.9,0.673789155,1.976050890375123e-4,0.11911159249999999,4.427223122934605e-5,0.5546775625
OL22-2,B,1,2022-11-30T17:42:15Z,2022-11-30,09:42:15,626.5,0.6656542075,1.9623174536208846e-4,0.1198896175,4.416399497029351e-5,0.54576459
