exp,bottle,tp,datetime,date,time,wl,c,c_se,a,a_se,b
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,400,1.94538454,7.449642263527949e-4,0.3799282775,5.585008918841018e-4,1.5654562625000001
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,404.6,1.92442152,6.952367320486462e-4,0.39292034249999996,4.1244171826720406e-4,1.5315011775
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,408.7,1.9070415825,6.449902102257506e-4,0.40558517,3.5506655860779096e-4,1.5014564125
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,412.5,1.89085951875,6.294191359287734e-4,0.41746838500000005,2.825317889280904e-4,1.4733911337499999
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,416.9,1.8777631025000001,6.123541922610908e-4,0.43189195999999996,2.3261654600563865e-4,1.4458711425000002
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,421.4,1.8665929162500001,5.842124460634517e-4,0.4447268375,2.3213300477346798e-4,1.4218660787500002
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,426.5,1.8566832075000002,5.815380113056954e-4,0.45739551500000003,1.772316861047794e-4,1.3992876925000002
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,430.9,1.8482374075,5.526734068736887e-4,0.46944415250000004,1.5840422573960722e-4,1.3787932550000002
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,435.5,1.84471873125,5.673645777154933e-4,0.4765555225,1.2808067390123937e-4,1.36816320875
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,439.8,1.83777141,5.523430394484195e-4,0.47483599000000004,1.2167876109233976e-4,1.36293542
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,444.8,1.8237557,5.447809314070447e-4,0.4670854675,1.1855758860486981e-4,1.3566702325
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,449.9,1.79896750625,5.273174337246262e-4,0.45112986000000005,1.1289053028172699e-4,1.34783764625
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,455,1.76723642875,5.339768916728478e-4,0.4357879925,1.0387624128405481e-4,1.33144843625
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,459.4,1.7354283975,5.320017560877856e-4,0.42427117,9.535971116538425e-5,1.3111572275
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,463.8,1.70623066875,5.255118585485427e-4,0.41651971250000003,8.757464736917083e-5,1.28971095625
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,468.7,1.680725655,5.205297932716425e-4,0.4113768375,9.265682762632308e-5,1.2693488175
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,474,1.6597415825,5.183339850538839e-4,0.40626952250000004,8.420286607746413e-5,1.25347206
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,479.2,1.63982011125,5.133586520646326e-4,0.39969967500000003,7.844287608055952e-5,1.2401204362499998
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,484.1,1.6206517812499999,5.152856858236994e-4,0.389059665,7.874926278424215e-5,1.2315921162499999
OL22-2,C,1,2022-11-30T17:56:00Z,2022-11-30,09:56:00,489.2,1.5961230575,5.05626268408389e-4,0.3722319375,8.113978132317479e-5,1.22389112
