time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/12/08 19:14:57.935, 99656871, [0.95295431 0.91276463 0.89538841 0.86666218 0.84742518 0.82915346 0.82257691 0.8008431  0.80030709 0.78433788 0.77444048 0.76043184 0.73180009 0.71596663 0.69625236 0.68106618 0.66899532 0.65681877 0.64781607 0.6319384  0.61171426 0.58977695 0.56660278 0.54242647 0.52200429 0.49925995 0.47822737 0.45845608 0.43939858 0.42159674 0.40812525 0.39169652 0.37879666 0.36360586 0.35300119 0.34216376 0.33337963 0.32677985 0.31795013 0.3103223  0.30369841 0.29781579 0.29128796 0.28500888 0.27710882 0.26705631 0.26192189 0.25789003 0.24909115 0.24449677 0.24099679 0.23893908 0.23856008 0.2351678  0.23069877 0.23125511 0.23688757 0.24462151 0.249757   0.24774059 0.24242045 0.22738867 0.20624567 0.19441678 0.18353031 0.17253943 0.16681632 0.16466922 0.16440727 0.16608387 0.17226308 0.1742393  0.17917408 0.18786909 0.18789952 0.19247016 0.19594917 0.19638736 0.19453629 0.19051279 0.18568507], [0.40880002 0.41395398 0.40044274 0.40374545 0.39688199 0.39195344 0.39411054 0.39205036 0.3917936  0.38202689 0.37219716 0.35743158 0.34367037 0.32969822 0.32644567 0.32045598 0.31585573 0.31114901 0.30254472 0.29086054 0.27417578 0.2577726  0.24271735 0.23051647 0.21853177 0.20869372 0.19837512 0.19049231 0.18215815 0.17753521 0.17084663 0.16641255 0.16346505 0.16048455 0.1582318  0.15770163 0.15763182 0.15754795 0.15696209 0.15609669 0.15633703 0.1560967  0.15499557 0.15506513 0.15447649 0.15316753 0.15273094 0.1528193  0.15328766 0.15469603 0.15728394 0.15878518 0.15998529 0.16182205 0.16577053 0.17329274 0.18306996 0.18877582 0.18734444 0.17833629 0.16355193 0.14818382 0.1339279  0.12551613 0.11938849 0.1181312  0.11859206 0.12085728 0.12463674 0.13231731 0.13662175 0.14320861 0.14942642 0.1573328  0.16373582 0.17075395 0.1759185  0.18009185 0.17894711 0.17724606 0.15981578], 25.29, 23.93, False
2022/12/08 19:14:58.186, 99657120, [0.9529139  0.92139551 0.8977525  0.86663719 0.85349178 0.82913234 0.81434943 0.81091543 0.79918568 0.79232493 0.77833846 0.76179053 0.73656562 0.71897203 0.6982105  0.68522581 0.67130798 0.66233666 0.64846309 0.63487408 0.61544262 0.59222698 0.56839052 0.5462432  0.52358278 0.50147258 0.48030701 0.46111571 0.44063692 0.42491737 0.40955324 0.39439699 0.38078279 0.36633599 0.35426632 0.34503598 0.33573618 0.3276709  0.32024608 0.31237104 0.30546216 0.29954869 0.29296254 0.28628701 0.27851145 0.26824253 0.26386028 0.25932465 0.25081574 0.24624111 0.24187467 0.24007295 0.23957127 0.23672577 0.23192051 0.23184935 0.23817771 0.24574822 0.25109977 0.24987123 0.2433001  0.22870399 0.20796368 0.19540869 0.18455762 0.17371293 0.16837659 0.16634249 0.16440301 0.16768828 0.17357945 0.17520856 0.18042212 0.18957399 0.18838796 0.19495932 0.19822884 0.19604883 0.1972075  0.19123147 0.1845487 ], [0.42349877 0.42574773 0.40382721 0.40251128 0.39477022 0.39390624 0.39378128 0.39204285 0.39205722 0.38044826 0.37374833 0.35762005 0.34251085 0.33188005 0.32648744 0.32132845 0.31665472 0.30905235 0.30306283 0.28973828 0.27369346 0.25714881 0.24271757 0.22959513 0.21831369 0.20786931 0.19882603 0.19006063 0.18258127 0.17656598 0.17069906 0.16629912 0.16246559 0.16026404 0.15833565 0.15739836 0.15701271 0.15677709 0.15688902 0.15534077 0.15640912 0.15629783 0.1558697  0.15536645 0.15504387 0.15281489 0.15269086 0.15298108 0.15363247 0.15535982 0.15753052 0.15923514 0.15994042 0.16237433 0.16639069 0.17391926 0.18285689 0.18923149 0.18752139 0.17846258 0.164381   0.14831489 0.13484039 0.12486209 0.11955763 0.11824736 0.11963589 0.12109496 0.12629719 0.13122455 0.13783303 0.14360931 0.15092724 0.15849741 0.16367068 0.17025823 0.17770874 0.17896473 0.18018407 0.17725    0.1606789 ], 25.28, 23.94, False
2022/12/08 19:14:58.436, 99657370, [0.9573588  0.92631874 0.89863883 0.86732888 0.85046383 0.82692392 0.82291707 0.80339739 0.80274163 0.79215596 0.78099573 0.76191013 0.73865283 0.72000302 0.70182258 0.68438767 0.67363001 0.66233976 0.64972415 0.63486946 0.61544711 0.59321406 0.56977533 0.54664457 0.52392205 0.50296871 0.48173594 0.46045329 0.44054651 0.42484806 0.41036749 0.39464628 0.38129736 0.36623622 0.35495662 0.34515348 0.33612934 0.32869139 0.32119713 0.31198616 0.30597247 0.30075145 0.29344821 0.28656233 0.27919735 0.26894052 0.26348453 0.26008589 0.25163003 0.24620215 0.24269684 0.24072289 0.24004681 0.23704312 0.23205099 0.23279506 0.2384994  0.24652441 0.25153757 0.25005472 0.24325442 0.22942756 0.20713256 0.19538542 0.18422203 0.17463175 0.16807311 0.16601423 0.16622151 0.16568527 0.17361243 0.17650401 0.17809159 0.18847864 0.18977753 0.19191726 0.19848304 0.19789937 0.19653602 0.19230981 0.18722232], [0.41796101 0.4016376  0.40213852 0.39544307 0.39897762 0.39785104 0.39084155 0.38693564 0.39083322 0.38104234 0.37389089 0.35899162 0.34360907 0.33089066 0.32843897 0.32044851 0.31745121 0.31039512 0.30104369 0.29074758 0.2740459  0.25806287 0.24349959 0.22989755 0.21853048 0.20858156 0.19904479 0.19031707 0.18312046 0.1768949  0.17087898 0.16741747 0.16318184 0.16076385 0.15885616 0.15763593 0.15732151 0.15760895 0.15733486 0.15579023 0.15686398 0.15629637 0.15606286 0.15536474 0.15514789 0.15352233 0.15320916 0.15335232 0.15353103 0.15545768 0.1572944  0.15855641 0.16023668 0.16257189 0.16659214 0.17423489 0.18328503 0.1890612  0.18764025 0.17821922 0.16418843 0.14851331 0.13477149 0.12553048 0.12024597 0.11831676 0.1190768  0.12163134 0.12508888 0.13107261 0.13735709 0.14365613 0.15093384 0.15800824 0.16541255 0.17155058 0.17693929 0.18077446 0.17799723 0.17418397 0.16129601], 25.29, 23.93, False
2022/12/08 19:14:58.686, 99657621, [0.94703409 0.92631267 0.88388813 0.86732388 0.85655241 0.8269197  0.81829521 0.80715845 0.79919306 0.79233111 0.78128079 0.76293365 0.73656812 0.7187681  0.70176789 0.68190511 0.67213164 0.66029397 0.65161937 0.63486044 0.61651376 0.59371264 0.56793928 0.54622161 0.52477365 0.50105108 0.482106   0.46076335 0.44120348 0.42426651 0.41044162 0.39461994 0.38106669 0.36599369 0.35546505 0.344066   0.33605287 0.32913681 0.32027165 0.31292067 0.30727367 0.30109412 0.2939702  0.28742235 0.27950321 0.26940222 0.26466166 0.26092175 0.25210601 0.24685677 0.2431771  0.24120933 0.24105923 0.23773844 0.23290958 0.23312519 0.23906539 0.24725499 0.25251439 0.25087058 0.24439877 0.23009874 0.20786247 0.19610564 0.18595323 0.17425837 0.16834216 0.16667476 0.16694262 0.16768915 0.1748699  0.17666702 0.18025571 0.18908827 0.18754484 0.19364674 0.19729977 0.19819318 0.19620818 0.19230958 0.18683393], [0.41795819 0.41394806 0.40383841 0.39908105 0.39122386 0.39063485 0.3867503  0.39643533 0.38797618 0.38281483 0.37078371 0.35899113 0.34360882 0.33188064 0.32647362 0.31957843 0.31592575 0.30975845 0.30177946 0.29031808 0.2725105  0.25767733 0.24183414 0.22934488 0.21885859 0.2084501  0.19860551 0.18936894 0.18215873 0.17622126 0.17016232 0.16641346 0.16299347 0.15953833 0.1578665  0.15730372 0.15682143 0.15700661 0.15671502 0.15505382 0.15617735 0.15605398 0.15506428 0.15506598 0.154436   0.15285516 0.15268946 0.15254809 0.1533883  0.15484029 0.15700585 0.1586944  0.16008813 0.16157578 0.16597448 0.17407671 0.18308051 0.18882953 0.18781609 0.17852032 0.1638058  0.14798469 0.13455304 0.12486119 0.11965234 0.11820373 0.11907736 0.12200035 0.12514928 0.13065792 0.13746428 0.14317702 0.15044078 0.15635947 0.16492307 0.17085424 0.17668619 0.17744952 0.17766069 0.17455313 0.1608835 ], 25.29, 23.93, False
2022/12/08 19:14:58.936, 99657871, [0.95581397 0.91384332 0.89448797 0.87082778 0.85599488 0.82647752 0.82486658 0.80163801 0.80427814 0.78918969 0.77973221 0.75928295 0.7376931  0.71992746 0.69728026 0.68518444 0.67060122 0.6603528  0.64973483 0.63486418 0.61490914 0.59223313 0.56931372 0.54625355 0.52437275 0.50147022 0.48026436 0.46078064 0.44061077 0.42426124 0.40978764 0.394395   0.38024444 0.36598924 0.35446764 0.34447129 0.33521816 0.32809114 0.31960481 0.31216392 0.30577128 0.2999316  0.29279397 0.28643247 0.27820477 0.26897581 0.26334174 0.25928607 0.25099328 0.2458834  0.24203427 0.24023461 0.23985909 0.23672516 0.2313408  0.23244083 0.23838001 0.24530539 0.25194766 0.24925767 0.24303659 0.22895138 0.20668432 0.19538206 0.18402858 0.17312323 0.16866314 0.16568031 0.16476428 0.16804941 0.17310788 0.17661057 0.17717416 0.18786596 0.18890493 0.19322821 0.19704556 0.19949683 0.19286212 0.19230846 0.18223787], [0.41979459 0.41145609 0.40154541 0.39441439 0.38876957 0.38866846 0.38771966 0.3880157  0.38388661 0.38398931 0.37106172 0.35488124 0.34123105 0.33075434 0.32456421 0.32132531 0.31430438 0.30900568 0.30235986 0.28896818 0.27352011 0.25599515 0.24266692 0.22862041 0.21847799 0.20756955 0.19837699 0.19006122 0.1822821  0.17598513 0.17079079 0.16635788 0.16306157 0.15970774 0.15822766 0.15658822 0.15734163 0.15698898 0.15649663 0.15538879 0.15666069 0.15621167 0.15513409 0.15475242 0.1540199  0.15300383 0.15298204 0.15325426 0.15330372 0.15461086 0.15724246 0.15855912 0.15969831 0.16177727 0.16587934 0.17334498 0.18232552 0.18889387 0.1874664  0.17792026 0.16387491 0.14758683 0.13408115 0.12493244 0.11993903 0.1186186  0.11824882 0.12018938 0.12491094 0.13029508 0.136992   0.14361014 0.15044353 0.15793625 0.16318143 0.17105552 0.17694327 0.17677155 0.17727176 0.17341373 0.16023251], 25.28, 23.94, False
2022/12/08 19:14:59.186, 99658120, [0.96315309 0.91275249 0.89863325 0.86531199 0.84847651 0.83931874 0.81598774 0.80945123 0.79919306 0.79233111 0.77959728 0.76031566 0.73648137 0.71897515 0.69985704 0.68194449 0.6721025  0.66027308 0.64907403 0.63544391 0.61437928 0.59271747 0.56887283 0.5462337  0.52556581 0.50149349 0.4813435  0.46145178 0.44125095 0.42424195 0.41099013 0.39526256 0.38070852 0.36727936 0.35401432 0.34580494 0.33651888 0.32993145 0.32058013 0.31269198 0.3083126  0.30171951 0.29533156 0.2880444  0.28080055 0.27104185 0.26492551 0.26120321 0.25254363 0.2481666  0.24397811 0.24181717 0.2416994  0.23837104 0.23355442 0.23437866 0.23940701 0.2473778  0.25312322 0.25084735 0.24523371 0.23054667 0.2092981  0.1974513  0.18561527 0.17477959 0.16990512 0.1669937  0.1665786  0.1688602  0.17446084 0.17844677 0.17917331 0.19018551 0.18906944 0.19496044 0.19848285 0.19789916 0.19653575 0.19266635 0.18646058], [0.4106027  0.40681158 0.39986029 0.40008357 0.38911888 0.39063485 0.39001811 0.39076586 0.38974805 0.38104139 0.3706439  0.35899113 0.34245091 0.3319488  0.32648768 0.32219538 0.31659888 0.30966437 0.30171672 0.29012885 0.2747455  0.25594658 0.24256518 0.22984492 0.21825861 0.2077559  0.19792595 0.19057505 0.1821621  0.1762674  0.17087943 0.16668434 0.16294597 0.15981677 0.15853724 0.15718423 0.15756374 0.15747879 0.15681776 0.15574382 0.15670389 0.15594157 0.1553433  0.15472529 0.15405912 0.15289704 0.15245948 0.15250528 0.1529722  0.15469684 0.1569062  0.15860271 0.15989217 0.1611771  0.16587725 0.17386848 0.18221157 0.18838513 0.1867716  0.17821953 0.16329915 0.14739093 0.13400403 0.12456825 0.11958116 0.1176193  0.11880024 0.12163174 0.12463749 0.13112312 0.13698997 0.14276239 0.14996447 0.15680933 0.16366876 0.17095339 0.1754068  0.17676768 0.17710078 0.17473744 0.16084906], 25.29, 23.94, False
2022/12/08 19:14:59.435, 99658370, [0.95881053 0.91649041 0.89448797 0.87368186 0.84845483 0.8321966  0.82289953 0.80687475 0.79563779 0.79040187 0.78084316 0.76156021 0.7342205  0.71999678 0.70001326 0.68274223 0.67432968 0.65889904 0.64972135 0.63543129 0.61384219 0.59174146 0.56932971 0.54451707 0.52519486 0.50072472 0.48065581 0.46184621 0.4396357  0.42456373 0.40952602 0.39412437 0.37970798 0.36684322 0.35408726 0.34401084 0.33547645 0.3289101  0.31962849 0.31191203 0.3052629  0.29899229 0.29210396 0.28577387 0.27771854 0.26831648 0.26254134 0.2586477  0.25053658 0.24546713 0.24125398 0.23942366 0.23924038 0.23624049 0.2313834  0.23153969 0.23686259 0.24518297 0.25099291 0.24819075 0.24353755 0.2279063  0.20644946 0.19518438 0.18268466 0.17312323 0.16745966 0.16501937 0.16476778 0.16609391 0.17272945 0.17607039 0.17763175 0.18786596 0.18857835 0.19115448 0.19679237 0.19731045 0.19353478 0.19194819 0.18223787], [0.42531564 0.41890967 0.40325331 0.39906826 0.40254868 0.39390406 0.39279519 0.39039312 0.39028139 0.38773515 0.3693686  0.36016605 0.34372967 0.33198192 0.32455061 0.3204608  0.31668274 0.30968943 0.30114034 0.29024403 0.27347669 0.25705335 0.24276838 0.23000361 0.21880458 0.208339   0.19804233 0.18980367 0.1822821  0.17541682 0.17052301 0.16678246 0.16246643 0.15976348 0.15849998 0.1574525  0.15735892 0.15695883 0.15666911 0.15572112 0.15657038 0.15596888 0.15560775 0.15498508 0.15443815 0.15300383 0.15283692 0.15269442 0.15297418 0.15498576 0.15748664 0.15894342 0.15950233 0.16162577 0.16592796 0.17382057 0.1827551  0.18889387 0.18776196 0.17792026 0.16450522 0.14832135 0.13498427 0.12463951 0.11979673 0.11839137 0.11873299 0.12133151 0.12536272 0.13102514 0.136992   0.14324393 0.15046977 0.15733658 0.16513191 0.17075806 0.17617662 0.17805105 0.17962586 0.17610716 0.16064544], 25.28, 23.93, False
2022/12/08 19:14:59.686, 99658620, [0.95884285 0.92630661 0.88799566 0.86815498 0.83934322 0.82956361 0.81863307 0.8016467  0.80074189 0.78902195 0.77708708 0.75928872 0.73413776 0.71986234 0.69635513 0.68114263 0.6721017  0.65957684 0.64843748 0.63369287 0.61277603 0.59075344 0.56704545 0.54494249 0.52155948 0.49957632 0.47958699 0.45978519 0.43837241 0.42305572 0.40872052 0.39334201 0.37897162 0.36459514 0.35312385 0.34322188 0.33490693 0.32710113 0.31873028 0.31050233 0.3049332  0.29907603 0.29139644 0.28562918 0.27795441 0.2678373  0.26240123 0.25884648 0.25055721 0.24499202 0.24179644 0.23912112 0.23924131 0.23630503 0.23086952 0.23193605 0.23688617 0.24516271 0.25162602 0.24844417 0.24215634 0.22858022 0.20579984 0.19516111 0.18331422 0.17171148 0.16839545 0.1647149  0.16403995 0.16727816 0.17138217 0.17666663 0.17908932 0.18786775 0.18838842 0.193438   0.19654002 0.19604925 0.19388147 0.19015477 0.18338694], [0.42350441 0.41642963 0.41123637 0.40029692 0.40165816 0.39722019 0.38821246 0.39351166 0.38797459 0.37946408 0.37360818 0.35771656 0.34245065 0.33089026 0.32358927 0.31870664 0.31582868 0.31046591 0.30177983 0.28958594 0.27400275 0.2580631  0.2417325  0.22902829 0.21880408 0.20762478 0.19865314 0.18962677 0.18246218 0.17644627 0.17084797 0.16649148 0.16241706 0.16020737 0.1578049  0.15729106 0.15694257 0.15693682 0.15617671 0.15557815 0.15649866 0.15589848 0.15519126 0.15472571 0.15462485 0.15318955 0.15273234 0.15320948 0.15320229 0.15469725 0.15719569 0.15898745 0.15979061 0.16157621 0.16623532 0.17423561 0.18227291 0.18833229 0.1874097  0.17755217 0.16393567 0.14812015 0.13470451 0.12514044 0.11989108 0.11798978 0.11928779 0.12149931 0.12496952 0.13075858 0.1373223  0.14407189 0.14994766 0.15849633 0.16436494 0.17155175 0.17834716 0.17858053 0.17906425 0.17628862 0.16084966], 25.28, 23.94, False
2022/12/08 19:14:59.936, 99658871, [0.94852878 0.93008345 0.88800683 0.86950923 0.84438018 0.83667132 0.81829813 0.80688779 0.80074682 0.79059071 0.78002746 0.76179631 0.73743703 0.71699189 0.69903609 0.68594875 0.67207417 0.66027386 0.64910124 0.63486132 0.61331193 0.59223809 0.57070845 0.5445468  0.52354114 0.50303765 0.47921795 0.46043116 0.44030078 0.42461912 0.40958255 0.39358915 0.38055692 0.36607212 0.35373468 0.34471874 0.33594686 0.32784792 0.32005899 0.31198616 0.30561912 0.30027756 0.29244192 0.28606831 0.27889122 0.26844131 0.26300423 0.2594284  0.2511344  0.24574595 0.24217572 0.24041911 0.23952999 0.2368745  0.23228653 0.2320698  0.23854271 0.24551793 0.25171064 0.24982732 0.24301586 0.22920365 0.20723613 0.19491354 0.18398291 0.17402097 0.16776778 0.16633305 0.16404275 0.16768944 0.17358171 0.17655847 0.17934097 0.1889657  0.18890631 0.19343875 0.19510466 0.19697441 0.1975364  0.19015522 0.1860583 ], [0.43455978 0.41365237 0.41350217 0.4071808  0.39388727 0.39325117 0.39280183 0.39479354 0.39029091 0.38439152 0.37374987 0.35752651 0.34342615 0.33184678 0.32544345 0.31958248 0.31431703 0.3104653  0.30046567 0.28969909 0.27417588 0.25666733 0.24227572 0.22964744 0.21809605 0.20721137 0.19798321 0.19017651 0.18168092 0.17638602 0.17016187 0.16660627 0.16346547 0.15948197 0.15844267 0.15723691 0.15685537 0.15711666 0.15647221 0.15519774 0.15642774 0.15582882 0.15573212 0.15480791 0.15414143 0.15285463 0.15273141 0.15259039 0.15287198 0.15498333 0.15680609 0.15884024 0.16013468 0.16172686 0.16623449 0.17339254 0.18270184 0.18827856 0.18728915 0.17779368 0.16393511 0.14784926 0.13463624 0.12500039 0.12017485 0.11810227 0.11880258 0.1218672  0.12590394 0.13080781 0.13735709 0.14363997 0.14843968 0.15797062 0.16485393 0.17184849 0.17847303 0.17798108 0.18052016 0.17628704 0.16239619], 25.29, 23.93, False
