time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/12/08 05:53:16.075, 51554847, [2.70676295 2.67777614 2.61206077 2.59575174 2.56638806 2.53621474 2.52277743 2.51744954 2.50876717 2.51123565 2.48906848 2.45438504 2.4049989  2.35754038 2.31465738 2.28122457 2.25161177 2.23012277 2.20396347 2.17170351 2.12489834 2.06561658 2.00259796 1.94433834 1.8842056  1.82569366 1.76835519 1.71585155 1.66383063 1.61599373 1.57162046 1.53029647 1.48913911 1.45126427 1.41650014 1.38671911 1.36002119 1.33734064 1.31241086 1.29143201 1.27280592 1.25320296 1.23317028 1.21358607 1.19232267 1.16898306 1.15135341 1.13529891 1.116315   1.10344205 1.09396181 1.08776821 1.08346172 1.07356646 1.0613768  1.06171522 1.07606785 1.09951149 1.12102955 1.12230989 1.10740556 1.06996606 1.01612403 0.97868478 0.94261214 0.91260824 0.89413162 0.87830446 0.86725124 0.86209886 0.85778576 0.85537655 0.85009522 0.85152019 0.85002209 0.84536955 0.84641261 0.84037677 0.83365676 0.82918675 0.81372214], [0.72452507 0.74075862 0.73426188 0.74058388 0.76445291 0.7853931  0.79552135 0.81591652 0.82576534 0.82312418 0.79895624 0.77107556 0.74258234 0.71724909 0.70900128 0.69932116 0.69177623 0.68457783 0.66402029 0.63559512 0.59452867 0.55233789 0.51509586 0.48352061 0.45530902 0.43022347 0.4067692  0.38531358 0.36792301 0.35207562 0.33881267 0.32865224 0.32042942 0.31374654 0.3093186  0.30706399 0.30628019 0.30729828 0.3070488  0.30630453 0.30632198 0.30592035 0.30410655 0.30348491 0.30214301 0.3014838  0.30228711 0.3045215  0.30866707 0.31553301 0.32390765 0.33071337 0.33408716 0.33895334 0.35131574 0.37280558 0.39929031 0.41753849 0.41664036 0.39415775 0.35603365 0.31348332 0.27792349 0.25340968 0.23770292 0.22951162 0.22626064 0.22486583 0.22610057 0.22956438 0.2337874  0.23838155 0.24222129 0.25060449 0.25452236 0.2599115  0.26464289 0.26483187 0.26510391 0.26190771 0.24410443], 24.89, 23.73, False
2022/12/08 05:53:16.325, 51555096, [2.71120319 2.65131584 2.62492675 2.58749608 2.56138038 2.53806364 2.51809432 2.50953737 2.50761254 2.51087362 2.4908504  2.45593834 2.40500225 2.35445337 2.31517607 2.2816793  2.25048296 2.22771332 2.20428078 2.17170706 2.12490128 2.06441423 2.00260258 1.94298147 1.88186492 1.82427096 1.76802045 1.71357817 1.66177434 1.61551059 1.57023542 1.52833615 1.48813303 1.45010036 1.4147151  1.38442958 1.35818303 1.33536594 1.31144205 1.28957282 1.26988593 1.25056949 1.23036657 1.21052545 1.18965541 1.16595649 1.14795998 1.13212452 1.11354126 1.1004962  1.09175016 1.0851129  1.08079494 1.07067883 1.05863322 1.05955367 1.07385334 1.09711718 1.11857987 1.12053688 1.10495642 1.06695974 1.01458335 0.97505974 0.94041408 0.91050007 0.89084027 0.8767279  0.86307293 0.85895979 0.85488407 0.85293304 0.84881779 0.85105647 0.84709895 0.84592312 0.84126191 0.83974723 0.82897263 0.82468624 0.81582688], [0.71245286 0.72843312 0.71585784 0.74564787 0.76147852 0.78440392 0.79787738 0.81266292 0.82627612 0.8176233  0.80005167 0.77132124 0.73952417 0.71815978 0.70612975 0.69932057 0.69171211 0.68230064 0.6639895  0.6337728  0.59396107 0.55287557 0.51462446 0.48308655 0.45540244 0.42970341 0.40524372 0.38601662 0.36765377 0.3526661  0.3384852  0.32865041 0.31984366 0.31337312 0.30852437 0.30701659 0.30724233 0.30669178 0.30682645 0.30621124 0.30722906 0.30608027 0.30477259 0.30310195 0.30266941 0.30182018 0.30262261 0.30474326 0.30944524 0.31582935 0.32439528 0.33097698 0.33494232 0.33934935 0.35151673 0.37301208 0.39928896 0.41771597 0.417286   0.39454287 0.35612834 0.31385816 0.27825989 0.25322141 0.23802075 0.22983694 0.22682657 0.22461313 0.22633571 0.23022764 0.23381149 0.23882611 0.24172631 0.24887979 0.2534045  0.25908337 0.26321925 0.2641482  0.2639991  0.26113077 0.24559004], 24.90, 23.72, False
2022/12/08 05:53:16.575, 51555346, [2.71117066 2.64752318 2.62490426 2.57695083 2.55202804 2.53033918 2.52121032 2.51127193 2.50178907 2.50744532 2.48479041 2.45133622 2.40224641 2.35423154 2.31100249 2.2770198  2.24788042 2.22636159 2.20146629 2.16684798 2.12207471 2.06114252 2.00100953 1.93868812 1.8800491  1.82232516 1.76559683 1.71149859 1.66030128 1.61233166 1.56831668 1.52647423 1.48616577 1.44851445 1.41386107 1.38330037 1.35750337 1.33373489 1.31022554 1.28814629 1.27035992 1.25119417 1.23038989 1.21075565 1.18952075 1.16675659 1.14817928 1.13271858 1.11375563 1.10088809 1.09194696 1.08609544 1.08099779 1.07186907 1.05903593 1.05976838 1.07446081 1.09758088 1.11882035 1.12076146 1.10500964 1.06778517 1.01492102 0.97541571 0.94168615 0.91117764 0.89161258 0.87677814 0.86632017 0.85951957 0.85663002 0.85264418 0.85009522 0.8512874  0.84761511 0.8444748  0.84442749 0.83911593 0.83315693 0.8232519  0.81564873], [0.70372605 0.72233611 0.73603356 0.74890898 0.76147118 0.77882473 0.79552135 0.81528759 0.82526145 0.82038918 0.80177314 0.76726785 0.74123983 0.71724909 0.71276988 0.6985346  0.69196562 0.68243804 0.66340849 0.63500752 0.59396246 0.55177747 0.51411414 0.48387667 0.45524636 0.42966866 0.40555666 0.38580509 0.36738538 0.35252796 0.33885433 0.32881834 0.3204859  0.31295653 0.30882317 0.30699795 0.30669209 0.30726961 0.30670325 0.30593004 0.30611689 0.30570983 0.30445846 0.30313946 0.30195505 0.3012964  0.3019129  0.30429817 0.30866707 0.31564397 0.32401936 0.33036932 0.33459322 0.33939194 0.35123666 0.37288878 0.39886173 0.41731673 0.41664036 0.39459253 0.35623413 0.3132755  0.27786366 0.25311733 0.23783074 0.22997414 0.22711288 0.22393736 0.2268311  0.22865389 0.23376168 0.2379191  0.24166767 0.2490333  0.25404722 0.25860341 0.26293524 0.26347063 0.26346169 0.26056479 0.24627894], 24.89, 23.73, False
2022/12/08 05:53:16.825, 51555596, [2.71148165 2.67398701 2.61854764 2.58774152 2.55918866 2.53436871 2.52316561 2.51435079 2.50604263 2.5040223  2.4899496  2.45592672 2.40566624 2.35945052 2.31413898 2.28167399 2.25007844 2.22909045 2.20615319 2.17313168 2.12514149 2.066819   2.00213089 1.9440654  1.88408113 1.82607884 1.76786656 1.71604897 1.66314461 1.61606986 1.57168774 1.52993335 1.4890237  1.45099351 1.41560212 1.38482174 1.36005354 1.33587063 1.31246776 1.29073042 1.2710322  1.25211337 1.23147273 1.21218146 1.1909203  1.16739986 1.14993345 1.13388815 1.11511349 1.10188723 1.09315109 1.08654751 1.08260986 1.07230113 1.06031958 1.06043466 1.07517108 1.09811302 1.1193534  1.1215197  1.10586145 1.06830716 1.01523212 0.97598982 0.94194176 0.9112446  0.89229982 0.87711799 0.86638587 0.8595184  0.85674034 0.85422421 0.85036852 0.85223814 0.84813121 0.84536805 0.84225235 0.84065491 0.83181176 0.82666219 0.81506474], [0.69938195 0.72840932 0.7320601  0.74399678 0.76868961 0.7807964  0.79245528 0.81202434 0.81945484 0.82038534 0.80036338 0.77204959 0.74335846 0.71950095 0.7084892  0.70053105 0.6933034  0.6838508  0.6653323  0.63566888 0.59566852 0.5528656  0.51413398 0.48438843 0.45577532 0.43015298 0.40637933 0.38556047 0.36823719 0.35365033 0.33960224 0.32882016 0.32048759 0.31467215 0.31028435 0.30738807 0.30739827 0.30771766 0.3077652  0.3062662  0.3071155  0.30676621 0.30489702 0.30368903 0.30290594 0.30182448 0.30229206 0.30519444 0.30900148 0.3160926  0.32451089 0.33094129 0.33506077 0.33962806 0.3516404  0.37372164 0.39912345 0.41771836 0.41728828 0.39444857 0.35653159 0.31374866 0.27836099 0.25357854 0.23807733 0.23076636 0.226831   0.22486743 0.22672976 0.22911096 0.23422693 0.23883485 0.24218281 0.250083   0.25404979 0.25860578 0.26450194 0.2633067  0.26254893 0.26170591 0.24473677], 24.88, 23.73, False
2022/12/08 05:53:17.075, 51555847, [2.72033447 2.6513056  2.61206077 2.58491163 2.56136293 2.53176782 2.5192423  2.51087218 2.50450186 2.50328082 2.48870219 2.4532469  2.40291611 2.35636352 2.30822472 2.27667039 2.24934804 2.22529991 2.20053605 2.17028483 2.1199479  2.06086134 1.9999976  1.93895838 1.87949358 1.82154536 1.7657096  1.71058836 1.66030128 1.61135138 1.56893988 1.52510214 1.48420301 1.44671459 1.41177564 1.38197016 1.35619918 1.332301   1.30901198 1.28727024 1.27010868 1.25037572 1.23017803 1.21008511 1.18947411 1.16615552 1.14833737 1.13212336 1.11371807 1.10049531 1.09133576 1.084964   1.08133504 1.07062368 1.05859564 1.05949526 1.07356636 1.09625303 1.11785    1.11954615 1.10397286 1.06662644 1.01298975 0.9745092  0.93977426 0.90958129 0.89047264 0.87519977 0.86509316 0.85887124 0.85517837 0.8520691  0.8479949  0.85056791 0.84492509 0.84536955 0.84086061 0.83803119 0.83064137 0.82216406 0.81220065], [0.71033722 0.71609324 0.73822424 0.75069766 0.76445291 0.77981199 0.79708801 0.81328408 0.81846065 0.8223601  0.79723321 0.76726785 0.74105201 0.71859202 0.70742014 0.70027638 0.69257107 0.68321226 0.66206733 0.63440516 0.59453149 0.55182159 0.51407481 0.48260138 0.45487445 0.42925699 0.40497265 0.38564442 0.36810139 0.35139039 0.33908544 0.3283442  0.31975103 0.31342192 0.30879041 0.30713421 0.30610225 0.30642021 0.306745   0.3058794  0.30711394 0.30656595 0.30473774 0.30353245 0.30230455 0.30171358 0.30229017 0.30482004 0.30918587 0.31590394 0.32454755 0.33086082 0.33431717 0.33922854 0.3516799  0.37317981 0.39946664 0.41763101 0.41678077 0.39488215 0.35598131 0.31374728 0.27780383 0.25386968 0.23801179 0.22977493 0.22642006 0.22432257 0.22677969 0.23064366 0.23376168 0.23928495 0.24224164 0.24950657 0.25468748 0.25871783 0.26229662 0.26516663 0.26620737 0.25958595 0.24696642], 24.89, 23.72, False
2022/12/08 05:53:17.325, 51556096, [2.71149792 2.66641628 2.62146917 2.58234252 2.56637933 2.53803814 2.52357069 2.51126756 2.50178412 2.50605349 2.49120608 2.45169952 2.40670918 2.35673014 2.31223668 2.27746914 2.25121175 2.22841764 2.20396253 2.17257031 2.12203254 2.06490463 2.00156997 1.94237838 1.88212506 1.82348802 1.76752974 1.71428221 1.6617672  1.61542392 1.57039793 1.52790785 1.48762369 1.44941271 1.41399007 1.38466801 1.35794575 1.33507392 1.31098221 1.28997892 1.26968485 1.25095016 1.22956666 1.21052329 1.18909002 1.16561876 1.148158   1.13212278 1.11391426 1.10083401 1.09155063 1.08496345 1.0810149  1.07067701 1.0586313  1.05955134 1.07336232 1.09671753 1.11857667 1.11926499 1.10450398 1.06745293 1.01350969 0.97483822 0.94066848 0.91053085 0.89152644 0.87593529 0.8650246  0.85887065 0.8547683  0.85350574 0.85018698 0.84961518 0.84732967 0.84413156 0.84324491 0.83956999 0.8324844  0.82396823 0.81354365], [0.70372038 0.71769785 0.72413897 0.75069252 0.76616652 0.77425097 0.79630193 0.8159135  0.82576214 0.82235819 0.80036416 0.77053627 0.74123932 0.72055523 0.70815531 0.70140193 0.69422436 0.68467007 0.66477937 0.63566823 0.59509968 0.55234907 0.51550874 0.48479622 0.45577506 0.43127978 0.40712122 0.38692619 0.36939931 0.35312097 0.33996913 0.33059776 0.32137264 0.31434349 0.31013175 0.30874192 0.30778415 0.30793311 0.30747219 0.30768253 0.30728092 0.30608247 0.30493259 0.3035333  0.30271711 0.30227686 0.30266536 0.30523056 0.30862869 0.31609178 0.32443273 0.33105346 0.33486439 0.33986163 0.35172193 0.37355462 0.39985392 0.41789645 0.41701199 0.39483439 0.35598187 0.31384355 0.27824073 0.25380796 0.23874757 0.230566   0.22705172 0.22536902 0.22678044 0.23023027 0.23463834 0.23791444 0.24324869 0.25018315 0.25340836 0.25871902 0.26371851 0.26568134 0.26346271 0.26072597 0.24587934], 24.88, 23.73, False
2022/12/08 05:53:17.575, 51556346, [2.69730865 2.6588599  2.61531678 2.58491163 2.55490407 2.52003676 2.5121814  2.5081867  2.50605254 2.50605763 2.48818181 2.44828799 2.3998674  2.3501883  2.31048854 2.2729198  2.24668847 2.22154371 2.19959231 2.16515224 2.11945774 2.05759674 1.99712348 1.93836106 1.87809406 1.81830904 1.76366259 1.70902367 1.65772341 1.61021884 1.56525536 1.52366742 1.48313891 1.44620218 1.4100323  1.38020472 1.35486026 1.33118452 1.30731362 1.28605309 1.26598735 1.24703979 1.22631681 1.20637979 1.18543136 1.16219362 1.14490442 1.12871263 1.10998076 1.09678357 1.08820597 1.0821271  1.07731386 1.0675297  1.05606386 1.05648817 1.07047798 1.09413713 1.1154499  1.11723857 1.10134037 1.06419884 1.01150089 0.97176311 0.93731613 0.90845748 0.88832116 0.87425397 0.86214105 0.85697797 0.85309368 0.85106304 0.84625952 0.84984855 0.84440806 0.84268589 0.84126116 0.83649305 0.83031541 0.81947058 0.81237918], [0.72233026 0.7177038  0.73426188 0.75412086 0.76147118 0.7834075  0.79708801 0.81717659 0.82803613 0.82155647 0.79973554 0.77053724 0.7397104  0.72084567 0.70922427 0.70044573 0.69441472 0.68389524 0.66614877 0.63502192 0.59453149 0.55182159 0.51507631 0.4834947  0.45568098 0.42943637 0.40633875 0.38630618 0.36810139 0.35276073 0.33983157 0.3290791  0.31999598 0.31332817 0.31014387 0.30825736 0.30706651 0.30758627 0.30696533 0.30651707 0.30757368 0.30665261 0.30587883 0.30446174 0.30313733 0.30246945 0.30304184 0.30563963 0.30974232 0.31664906 0.32556145 0.33166219 0.33513391 0.33990158 0.35212325 0.37405281 0.39981122 0.41838892 0.4177987  0.39526863 0.35687923 0.31463475 0.27845822 0.25391276 0.23850175 0.23135512 0.22727249 0.22542658 0.22813827 0.23064366 0.2345606  0.23882779 0.24222129 0.24960764 0.25541054 0.25908573 0.26464289 0.26431854 0.26418889 0.26036002 0.24433289], 24.89, 23.73, False
2022/12/08 05:53:17.825, 51556596, [2.71148165 2.64374112 2.61529429 2.56646302 2.55488661 2.52992427 2.5196336  2.50469059 2.50177916 2.50604934 2.48566923 2.45169661 2.39882278 2.3529003  2.31187438 2.27836984 2.25047653 2.22806151 2.2017793  2.16799469 2.12309447 2.06227747 1.99934316 1.94064128 1.88159093 1.82400416 1.76593069 1.71230491 1.66158608 1.61314092 1.56946106 1.52676591 1.48560017 1.44851087 1.41334862 1.38309327 1.35783867 1.33354135 1.31025256 1.28837582 1.27095247 1.25140965 1.23065016 1.21166923 1.18987969 1.16735644 1.14875632 1.13291585 1.11452292 1.10129791 1.09235928 1.08594666 1.08201594 1.0714707  1.05987907 1.06019937 1.07468259 1.09806743 1.11906084 1.12055786 1.10556751 1.06775517 1.01442334 0.97626396 0.94072746 0.91158481 0.89189131 0.8764337  0.86602192 0.8602906  0.85528851 0.85307379 0.85055089 0.85079877 0.84813121 0.84502536 0.84324453 0.8392912  0.83131239 0.82577386 0.8164086 ], [0.71355481 0.72232421 0.7320601  0.76082679 0.7712255  0.78178673 0.80778684 0.80864281 0.8308088  0.82549353 0.80240296 0.7705353  0.74373555 0.71950095 0.71040491 0.70244355 0.69441577 0.68471653 0.66480956 0.63500881 0.5968069  0.55284381 0.51651005 0.48428513 0.45648818 0.43162052 0.40739444 0.38617982 0.36877362 0.35355738 0.34062155 0.33007692 0.32111882 0.31462232 0.31027132 0.30842051 0.30800713 0.30791945 0.3070625  0.30737974 0.30753636 0.30676621 0.30560088 0.30415367 0.303515   0.30265901 0.30326763 0.30579072 0.30996737 0.31650166 0.32492335 0.33131986 0.33548646 0.34006139 0.35240682 0.37405425 0.40011515 0.41839011 0.41798541 0.39546314 0.35718549 0.31431608 0.27883607 0.25437413 0.23936606 0.23076636 0.22802973 0.22542818 0.22837692 0.23019029 0.23427827 0.24020636 0.24273662 0.25065734 0.25533041 0.25991387 0.26435837 0.26618566 0.26602119 0.26113711 0.24605241], 24.88, 23.73, False
2022/12/08 05:53:18.075, 51556847, [2.69290579 2.66262461 2.6216509  2.58205958 2.56171789 2.53621474 2.51848605 2.50684639 2.50643933 2.51262237 2.48692887 2.45552286 2.40090839 2.36136813 2.31048854 2.28042449 2.25307885 2.22909357 2.20208861 2.17199716 2.12362901 2.06391546 2.00241011 1.94270836 1.88379473 1.82478862 1.7669352  1.71448504 1.66176958 1.61509937 1.57109452 1.52921922 1.48801778 1.44994883 1.4147115  1.38463069 1.35884309 1.33482016 1.31122631 1.28980244 1.27190663 1.25310003 1.23184808 1.21278074 1.19112502 1.16798073 1.15035474 1.13448477 1.11548959 1.10245956 1.09428713 1.08694923 1.08283233 1.07269955 1.06028439 1.06122537 1.07533488 1.09788193 1.11981592 1.12149598 1.10604656 1.06830963 1.01546903 0.97656845 0.9416257  0.91151779 0.8918932  0.87622606 0.86625248 0.85887124 0.85610861 0.85321861 0.8499129  0.85056791 0.84733014 0.84378995 0.84145167 0.83820757 0.82797486 0.82485742 0.81255759], [0.70920926 0.73000629 0.74438283 0.75233804 0.76743243 0.78179112 0.80243913 0.8185507  0.82299323 0.81958748 0.80177314 0.7713193  0.74373657 0.72189983 0.70955918 0.7014866  0.69600454 0.68457783 0.66483752 0.63691571 0.59794026 0.5533815  0.51700064 0.48441381 0.45732566 0.43124354 0.40778435 0.38692559 0.36948827 0.35389841 0.34024675 0.33012233 0.32151299 0.31471401 0.3108771  0.3085797  0.30815751 0.3082919  0.30822756 0.30713504 0.30803351 0.3074972  0.30619453 0.30477155 0.30400579 0.30333405 0.30349291 0.30642216 0.31018784 0.31717214 0.32556145 0.33196704 0.33564008 0.34033498 0.35256668 0.37455178 0.40028612 0.41874638 0.41825993 0.39570349 0.35713209 0.31473046 0.27911273 0.25443523 0.23892793 0.23135512 0.22727249 0.22647202 0.22824086 0.23101713 0.23458625 0.23974746 0.24429477 0.25013144 0.25404722 0.26002614 0.26528151 0.26601489 0.26491597 0.26231793 0.24845462], 24.89, 23.72, False
