exp,bottle,tp,datetime,date,time,wl,c,c_se,a,a_se,b
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,400,0.53291414875,2.3147137743309532e-4,0.11596171,3.545408853391844e-4,0.41695243875
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,404.6,0.5266710099999999,2.1476924188508988e-4,0.1206783975,2.66418282097976e-4,0.40599261249999996
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,408.7,0.52183962625,1.8317028767659036e-4,0.12755141375,2.4676340290207417e-4,0.3942882125
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,412.5,0.5211481475,1.589323755544374e-4,0.1321991375,1.941138662085997e-4,0.38894901000000004
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,416.9,0.5179861299999999,1.5501975087491035e-4,0.13746122,2.675410525426848e-4,0.38052490999999994
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,421.4,0.5167214275,1.4594806455231658e-4,0.14292192625,1.998796417755281e-4,0.37379950125000005
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,426.5,0.5157322325,1.426111912291086e-4,0.147856855,1.672669503887897e-4,0.3678753775
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,430.9,0.51689827,1.300134604061142e-4,0.151616105,1.537406606700097e-4,0.365282165
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,435.5,0.5194598287500001,1.279024319550401e-4,0.15536153875,1.2710930248867734e-4,0.36409829000000005
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,439.8,0.5188840225,1.2423815666826155e-4,0.1555008675,1.1164933063240047e-4,0.36338315499999996
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,444.8,0.51816485,1.1857400237142145e-4,0.15258327125,1.0569200467641273e-4,0.36558157874999997
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,449.9,0.51046112125,1.1370254042120494e-4,0.14642942875,9.577987803158715e-5,0.3640316925
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,455,0.5012017037500001,1.134495630555586e-4,0.14073149,9.422256032547248e-5,0.3604702137500001
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,459.4,0.49141515625,1.118173636536458e-4,0.13662307499999998,8.159846756155826e-5,0.35479208125
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,463.8,0.48324988875,1.0825807879490337e-4,0.13475927249999997,7.802757510281864e-5,0.34849061625000005
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,468.7,0.47769184,1.0655434770502201e-4,0.13306385,7.14992807411321e-5,0.34462799
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,474,0.47261069,1.0582671333272088e-4,0.13190852375,5.686627776463159e-5,0.34070216625
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,479.2,0.46825356124999995,1.0421640089360142e-4,0.13047294874999998,5.698055949957695e-5,0.33778061249999997
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,484.1,0.46379439125,1.0429362767354346e-4,0.125985545,4.92081580572311e-5,0.33780884624999996
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,489.2,0.457518005,1.0156172941193143e-4,0.120122735,4.2323251595655335e-5,0.33739527
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,493.9,0.44732374625,1.001664919914795e-4,0.11164723749999998,3.873869101961328e-5,0.33567650875
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,498.9,0.43478782125,1.0058996465816353e-4,0.10235925,3.7541400429100914e-5,0.33242857124999997
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,503.8,0.422024805,9.858847151744438e-5,0.09449530874999999,3.4580013276678006e-5,0.32752949625
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,508.7,0.40935462875,9.664065114351074e-5,0.08772736750000001,3.112308365230202e-5,0.32162726124999996
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,514,0.39773881875,9.691773900886777e-5,0.08173559125,2.8598415552364237e-5,0.3160032275
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,519.7,0.38581762500000005,9.559385954442292e-5,0.07603825749999998,2.8001241902640387e-5,0.30977936750000007
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,524.8,0.3743447675,9.469060863257315e-5,0.07106953999999999,2.6783186738162945e-5,0.3032752275
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,529.9,0.36391233874999995,9.357851284768105e-5,0.06671099,2.463683943883514e-5,0.2972013487499999
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,534.6,0.35396625,9.297327958015153e-5,0.0629295975,2.7357089589411304e-5,0.2910366525
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,539.6,0.34439745125,9.196206596820953e-5,0.05961321624999999,2.2578481478836425e-5,0.284784235
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,544.4,0.335529715,9.17487606601052e-5,0.0569046,2.2291568836144648e-5,0.278625115
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,549.7,0.32726716875,9.06454209462287e-5,0.05448438624999999,2.3497761504609626e-5,0.2727827825
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,554.6,0.31925840875,9.01264490549931e-5,0.05264935625,2.3725881071864346e-5,0.2666090525
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,560.1,0.3119063525,8.923366454017329e-5,0.05114971124999999,2.1239577981106922e-5,0.26075664125
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,565.2,0.30520597375,8.829119703251457e-5,0.05013759999999999,2.1224664704982322e-5,0.25506837375
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,569.8,0.29949319124999996,8.754228420977833e-5,0.049623860000000006,2.122616568739499e-5,0.24986933124999994
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,574.2,0.29455807875,8.76148865377622e-5,0.04939198874999999,2.1605719872263068e-5,0.24516609
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,579,0.28997987875,8.68177798753909e-5,0.04933225875000001,2.1718940113806313e-5,0.24064761999999995
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,583.4,0.285603115,8.617362709182719e-5,0.049335552500000004,2.1604965305824205e-5,0.23626756250000003
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,587.8,0.2817602025,8.511858529983007e-5,0.049296770000000004,2.1702690982163838e-5,0.2324634325
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,592.7,0.27829546125,8.504042530883982e-5,0.04923068124999999,2.054267469678666e-5,0.22906478
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,597.4,0.27435785,8.41920205883027e-5,0.04897539625000001,2.08559737140972e-5,0.22538245375
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,602.1,0.27058988,8.37313641765596e-5,0.04848223,1.9737524814135398e-5,0.22210765
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,607,0.26662178124999997,8.293502218640503e-5,0.048454786250000006,2.0377408456746773e-5,0.21816699499999997
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,612,0.2627790875,8.208095541356162e-5,0.04822725,1.8237948063234315e-5,0.2145518375
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,616.9,0.25902351749999997,8.241372772761498e-5,0.04826101499999999,1.8515867467931568e-5,0.21076250249999998
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,621.9,0.25544011624999996,8.267941392516012e-5,0.04865934875,1.755107416614917e-5,0.20678076749999996
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,626.5,0.25214749625,8.144728578124918e-5,0.04925864125,1.8382458632389663e-5,0.20288885499999998
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,631.2,0.24934110375000001,7.976686767915076e-5,0.05033604000000001,1.646891140357784e-5,0.19900506375
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,635.8,0.2472838,7.933292091334766e-5,0.05203071749999999,1.6612577519584245e-5,0.1952530825
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,640.8,0.24599759124999998,7.968271875786018e-5,0.053997931250000006,1.625176534193009e-5,0.19199965999999996
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,645.3,0.24538975625,7.847621847737774e-5,0.05554205500000001,1.5819391120398742e-5,0.18984770125
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,650.2,0.244360815,7.849836637347644e-5,0.05634192624999999,1.5856673984993343e-5,0.18801888875
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,654.9,0.24251037375,7.792829055329943e-5,0.057154757500000014,1.6341500500616746e-5,0.18535561625
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,659.3,0.24080859625,7.805023763036612e-5,0.059714610000000015,1.5152498092013572e-5,0.18109398625
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,663.9,0.24136070125,7.700910268058244e-5,0.06432284,1.5993804276030053e-5,0.17703786124999998
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,668.8,0.244566635,7.707280347177878e-5,0.06985585625000001,1.4974951078398441e-5,0.17471077875
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,673.2,0.24986935,7.654875444797167e-5,0.07396840749999997,1.4442558662689164e-5,0.17590094250000002
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,677.6,0.25431015375,7.592251270514784e-5,0.07425820375,1.4764035913600474e-5,0.18005195
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,681.9,0.2551907075,7.624442566073325e-5,0.06990832375000001,1.5559160860475288e-5,0.18528238375
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,686.1,0.2514704375,7.554239093647731e-5,0.06195530125000001,1.4796995969747891e-5,0.18951513624999997
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,690,0.24286050874999998,7.521357094359705e-5,0.05316014625,1.525809092915923e-5,0.1897003625
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,693.9,0.23286504000000002,7.493409366106896e-5,0.04582825124999999,1.6631501382569435e-5,0.18703678875000002
OL22-3,A,1,2022-12-07T17:15:30Z,2022-12-07,09:15:30,697.8,0.2240217025,7.374649692581633e-5,0.04071728250000001,1.789444801026104e-5,0.18330442
