time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/08/25 12:24:11.013, 28377960, [1.99747339 1.95927607 1.92780806 1.89337817 1.85898892 1.83930919 1.80990717 1.79248882 1.77617038 1.75231295 1.72688689 1.68828483 1.64562193 1.61455167 1.56859577 1.53345949 1.49699962 1.4662583  1.44428142 1.42903695 1.41668733 1.39600095 1.35469749 1.304714   1.24450875 1.18742429 1.13965144 1.09925453 1.06540104 1.04096084 1.01827035 0.99531105 0.97108937 0.94517303 0.92141704 0.90084972 0.8793649  0.8603131  0.83671577 0.81575458 0.79665006 0.77884794 0.76255686 0.7473607  0.7326644  0.71633026 0.70453463 0.69456485 0.68009484 0.66727663 0.65376427 0.63992363 0.62932924 0.61881802 0.60950133 0.60840495 0.61241288 0.61898661 0.62543074 0.62467307 0.62027582 0.60671194 0.58012278 0.56159876 0.54031424 0.52055105 0.50913169 0.49980089 0.49336634 0.49206471 0.49309306 0.49398511 0.4944354  0.49914605 0.49848066 0.5002742  0.50012003 0.50289967 0.49447086 0.48842123 0.48158106], [0.59406715 0.61101303 0.60889888 0.60095155 0.61918098 0.6230731  0.6283965  0.63127803 0.63113409 0.62607401 0.61160144 0.58532168 0.56577916 0.55023363 0.54196013 0.52554341 0.51530212 0.51004737 0.5131515  0.51447537 0.50878996 0.48474092 0.44838703 0.40911835 0.37019002 0.34150971 0.32192172 0.30842932 0.30078026 0.29638773 0.29098851 0.28433049 0.27688689 0.2692969  0.26253426 0.25682401 0.25046529 0.24395634 0.23732641 0.23173692 0.22940695 0.22740222 0.22577445 0.22515174 0.225008   0.22399091 0.22402944 0.22302806 0.22144262 0.21919238 0.21663462 0.21383326 0.2138249  0.21756761 0.22514739 0.23678327 0.25001722 0.25999847 0.26302159 0.25785695 0.24496925 0.22665461 0.20697571 0.18999255 0.17962013 0.17276163 0.17057106 0.17049702 0.1729576  0.17878277 0.182451   0.18867931 0.19629665 0.20469568 0.21147265 0.21797266 0.2235864  0.22556683 0.2256815  0.22334326 0.21073965], 25.09, 23.80, False
2022/08/25 12:24:11.263, 28378210, [2.02947071 1.97163476 1.94224759 1.90668431 1.87076352 1.84594947 1.8214733  1.80177018 1.78571194 1.76281898 1.7348307  1.69911302 1.65812761 1.62776272 1.58246984 1.54775185 1.51082212 1.48082786 1.45908155 1.44583105 1.43079822 1.41051027 1.37094496 1.31814557 1.26038266 1.20147555 1.15409316 1.11209986 1.07931303 1.05419344 1.03113997 1.00807447 0.98453964 0.95784722 0.93440218 0.9124441  0.89181075 0.87285341 0.84886098 0.82800871 0.81044825 0.79220699 0.77522065 0.75994924 0.74467154 0.72782393 0.71635174 0.70545032 0.69090628 0.67736704 0.66339903 0.64965312 0.63939449 0.62870591 0.61938371 0.61756637 0.62207211 0.62837579 0.63496476 0.6344204  0.62982946 0.61692533 0.59006284 0.57102412 0.5500067  0.52909855 0.5186497  0.50764924 0.50195174 0.50060778 0.49968305 0.49937047 0.49969754 0.50469743 0.50181826 0.50487647 0.50335648 0.50139245 0.49726277 0.48727537 0.48158085], [0.61626083 0.61101006 0.61080753 0.61170958 0.61811406 0.62640117 0.62839539 0.6361309  0.63796135 0.6281878  0.61114519 0.58918278 0.56689919 0.55162762 0.54102884 0.52825913 0.51767628 0.51437051 0.51316185 0.51626875 0.51041972 0.48519872 0.45019888 0.409019   0.37250764 0.3417835  0.32106471 0.30938355 0.30183983 0.2968113  0.29110967 0.28539863 0.27778961 0.26982446 0.26380344 0.25767264 0.25194285 0.24454517 0.23823019 0.23248218 0.23073019 0.22853154 0.2271052  0.22653436 0.22618339 0.22534202 0.22500569 0.22483235 0.22262727 0.22033888 0.21723007 0.21504335 0.21501328 0.21858128 0.22633699 0.23766123 0.25078859 0.26118513 0.26453414 0.2597758  0.24587437 0.22794035 0.2085815  0.19162151 0.18003054 0.17377549 0.17125561 0.17236861 0.17350904 0.17896713 0.18449174 0.19001729 0.19682695 0.20473982 0.21084776 0.21974199 0.22435196 0.22639723 0.22819125 0.22449562 0.20945663], 25.09, 23.79, False
2022/08/25 12:24:11.513, 28378460, [1.97832639 1.94575701 1.90711936 1.87013184 1.84373776 1.81736367 1.79548394 1.77494759 1.75330338 1.73346874 1.71183283 1.66978335 1.62864347 1.59322185 1.55080278 1.51672535 1.48171524 1.44959275 1.42634036 1.4118757  1.40047902 1.37891575 1.33580131 1.28436204 1.22544598 1.1695236  1.11979659 1.08046596 1.04605988 1.02122847 0.99894269 0.9755367  0.95077736 0.92599837 0.90272162 0.88050732 0.86089013 0.84070174 0.81846738 0.7980474  0.79881622 0.78341957 0.76683155 0.75246442 0.73803708 0.72145217 0.71017352 0.69965226 0.68479871 0.67214559 0.65814241 0.644696   0.63399422 0.62320031 0.61509743 0.61355879 0.61890869 0.62531271 0.63157794 0.63087159 0.62563928 0.61059131 0.58496712 0.56455774 0.54344548 0.52451044 0.51177795 0.50341762 0.49722244 0.49476176 0.49692297 0.49450337 0.49584361 0.5001359  0.49775381 0.49999308 0.50097194 0.4996825  0.49367076 0.48269564 0.47641313], [0.58882649 0.61543136 0.61651025 0.60373244 0.62382877 0.62306981 0.62776052 0.7206608  0.63625205 0.62062773 0.6079635  0.58655081 0.56552567 0.55032533 0.53896999 0.52728215 0.51687688 0.51217727 0.51249586 0.51567971 0.50988771 0.48523714 0.44841387 0.40866936 0.37142662 0.3420423  0.32149394 0.30884388 0.30073206 0.29662527 0.29162832 0.28488669 0.27722353 0.26979507 0.26340919 0.25711998 0.25136726 0.24382187 0.23715541 0.23244577 0.22968711 0.22779416 0.22665214 0.22541356 0.225303   0.22446833 0.22435982 0.22368343 0.22176991 0.21915265 0.21698463 0.21427206 0.21427161 0.21767512 0.22585705 0.23748409 0.25022966 0.26002091 0.26360236 0.25841052 0.24529777 0.2267367  0.20752504 0.19082187 0.17938312 0.17314166 0.17098011 0.17068352 0.17290349 0.17801111 0.183719   0.18909367 0.19731476 0.20461015 0.20974726 0.21845808 0.22484983 0.22588358 0.22657839 0.22545563 0.2075265 ], 25.09, 23.79, False
2022/08/25 12:24:11.763, 28378710, [2.01237099 1.96545368 1.92752821 1.89947246 1.87045572 1.83944788 1.81471707 1.79842333 1.77755997 1.75620779 1.73483227 1.69180815 1.65015501 1.61800594 1.5736725  1.53777312 1.50528787 1.47043497 1.44930692 1.43476219 1.42041265 1.39937016 1.35895864 1.30722042 1.24702605 1.18960021 1.14054961 1.10009327 1.06643638 1.04063929 1.01761375 0.99438287 0.96969171 0.94353584 0.91984153 0.89865034 0.87772464 0.85764348 0.83437728 0.81330572 0.78290299 0.76648194 0.74994042 0.73445687 0.72051529 0.70452022 0.69240089 0.6823094  0.66774424 0.65511773 0.6411796  0.62792313 0.61731102 0.60656475 0.59778597 0.596407   0.60022793 0.60758189 0.61379514 0.61384523 0.60889472 0.59458308 0.56919705 0.55004138 0.52950763 0.5110981  0.49729812 0.49021596 0.48208784 0.48098555 0.48322753 0.48248237 0.48429408 0.48860205 0.48905097 0.48974468 0.49229763 0.4878808  0.48570274 0.47970036 0.47060042], [0.60186082 0.62257674 0.61460094 0.60374014 0.6170526  0.62891089 0.63186382 0.63177071 0.63245847 0.62607401 0.60978202 0.58812378 0.56677274 0.55032593 0.54016299 0.52732475 0.51687609 0.51150489 0.5131515  0.51507297 0.50990951 0.48569467 0.44838703 0.40870223 0.37096237 0.34146663 0.32216688 0.30874727 0.30198653 0.29628839 0.29184702 0.28559475 0.27731359 0.27001778 0.26368713 0.25796656 0.25174665 0.24504266 0.2378     0.23277638 0.23032674 0.22821997 0.22657103 0.2263084  0.22607403 0.22501141 0.22471524 0.22421737 0.22248384 0.22005192 0.21727152 0.21499987 0.21476001 0.2181273  0.2266275  0.23754872 0.25093128 0.2605285  0.26423281 0.25896228 0.24623746 0.22731641 0.20775861 0.1912678  0.17985839 0.17314009 0.17140096 0.17170329 0.17290237 0.17832868 0.18415014 0.18912511 0.19831549 0.20521291 0.21139789 0.21936421 0.22331849 0.22738376 0.22639983 0.22373008 0.2090397 ], 25.09, 23.79, False
2022/08/25 12:24:12.013, 28378960, [2.0230277  1.99390912 1.94745372 1.90557451 1.88718298 1.85609915 1.83405721 1.81613492 1.79084408 1.76850753 1.74351534 1.70308409 1.66471809 1.62967247 1.58446267 1.5472036  1.51174458 1.48047527 1.45938775 1.44386328 1.42975229 1.40862624 1.36758013 1.31261463 1.25583258 1.19613274 1.14783949 1.10586196 1.0715435  1.04616683 1.02253876 0.99875121 0.97521197 0.94874575 0.92453273 0.90333486 0.88287029 0.86256207 0.84011573 0.81921697 0.81479113 0.79832566 0.78248758 0.76780358 0.75276297 0.7372168  0.72625478 0.71636777 0.70297847 0.69046971 0.67711505 0.66386054 0.65400724 0.64322198 0.63510042 0.63443514 0.63807963 0.64599565 0.65221054 0.65242231 0.64901333 0.63473839 0.60924    0.59049064 0.56975259 0.55084247 0.53846443 0.53013316 0.52567741 0.52300327 0.52567963 0.5256971  0.52732965 0.53168954 0.53078327 0.53311915 0.53563854 0.53356591 0.52733032 0.52063263 0.51272107], [0.59795133 0.59234007 0.60889139 0.61498974 0.61026909 0.62388988 0.62966198 0.63419562 0.63283921 0.62396008 0.61137265 0.58532071 0.56440595 0.55144207 0.53617579 0.52821601 0.51687662 0.51295112 0.51184194 0.5150612  0.50879017 0.48523703 0.44923969 0.40783705 0.37084598 0.3417407  0.32140187 0.30933603 0.3020361  0.29686132 0.29052109 0.28564479 0.27726562 0.26937656 0.26347664 0.25747287 0.25122785 0.2441835  0.23745224 0.23202726 0.22940773 0.22740296 0.22569773 0.22511447 0.22548742 0.22435232 0.22435935 0.223356   0.22158642 0.21947969 0.21656996 0.21412579 0.21441968 0.21738867 0.22565676 0.23700813 0.24959499 0.2602394  0.2633745  0.25896291 0.24516216 0.22659549 0.20697636 0.19082157 0.17877304 0.17249483 0.17125616 0.17128608 0.17279262 0.17732804 0.18291481 0.18822339 0.19579685 0.20292788 0.21194987 0.21925922 0.22372176 0.22624071 0.22711905 0.22334484 0.20795824], 25.09, 23.79, False
2022/08/25 12:24:12.263, 28379209, [2.01875896 1.95194335 1.94021657 1.89615113 1.87290296 1.84046263 1.81665913 1.79507995 1.77977175 1.75756533 1.73309729 1.69558366 1.65256517 1.61548942 1.57339779 1.53855828 1.50016194 1.47377946 1.44976671 1.43489698 1.42245425 1.40034387 1.36013671 1.30880023 1.24876724 1.1926485  1.1434005  1.10278519 1.06935529 1.04378902 1.02157688 0.99871623 0.97321764 0.94905826 0.92530509 0.90407467 0.88381525 0.86368176 0.84097918 0.82105726 0.80669944 0.79086573 0.77353704 0.75812337 0.74395582 0.72746848 0.71564608 0.70562646 0.69090753 0.67824448 0.66445244 0.65160971 0.64047556 0.62980733 0.62069167 0.619292   0.62344736 0.63000916 0.63645768 0.63619854 0.63170338 0.61692035 0.59236256 0.57210465 0.5522916  0.53214347 0.51963803 0.51159893 0.50620744 0.50464521 0.50594909 0.50509742 0.50768552 0.51283688 0.51033454 0.51462242 0.51364421 0.51349665 0.50939228 0.49962829 0.49797038], [0.60186082 0.61101303 0.61081127 0.61030828 0.60635694 0.62808877 0.6305937  0.63226393 0.63245847 0.62759175 0.60796466 0.58638215 0.56689945 0.55134986 0.53790918 0.52639114 0.51682472 0.5107446  0.51184742 0.5150771  0.50825817 0.48624771 0.44844044 0.40787011 0.37181244 0.34146663 0.32072759 0.30838143 0.30168493 0.29681091 0.29152777 0.28549648 0.27745378 0.26992089 0.26427374 0.2580727  0.2513247  0.2444541  0.23745122 0.2321494  0.2302492  0.22787273 0.22657367 0.22567595 0.22563342 0.22490408 0.22493829 0.22476699 0.22215771 0.21994957 0.21731345 0.21499987 0.21565111 0.21858084 0.22649095 0.23811723 0.25076754 0.2603097  0.26377769 0.2585938  0.24579571 0.22725664 0.20794688 0.19149123 0.17985839 0.17274998 0.17071685 0.17080581 0.17279188 0.17800981 0.18331587 0.19045209 0.19631097 0.2046521  0.21169708 0.21893974 0.22511633 0.22686868 0.22657685 0.22410771 0.2085898 ], 25.09, 23.79, False
2022/08/25 12:24:12.513, 28379459, [1.99321734 1.95562965 1.91948106 1.88176876 1.855187   1.83052096 1.80414395 1.79086128 1.77245481 1.74901515 1.72667439 1.69094852 1.64525751 1.61078299 1.56945614 1.53291024 1.49884237 1.46775759 1.44534557 1.43110699 1.41977408 1.39739193 1.35832851 1.3053673  1.24811657 1.19075434 1.14201284 1.10128479 1.06856965 1.04245445 1.02122953 0.99806301 0.9734823  0.94903717 0.92527104 0.90431619 0.88451619 0.86501425 0.84224774 0.82187318 0.82350965 0.80791401 0.79203094 0.7771641  0.76338561 0.7480553  0.73600916 0.72625473 0.71157389 0.69922334 0.68557448 0.6718699  0.66106515 0.65096916 0.64167062 0.64020298 0.64422803 0.65031032 0.65690575 0.6571111  0.65229988 0.63816816 0.61155201 0.59239105 0.57147956 0.55206352 0.53947125 0.53085131 0.52300337 0.52229032 0.5243302  0.5231797  0.52383508 0.52841122 0.52661416 0.5301227  0.52955129 0.52636698 0.52437037 0.51370935 0.50827725], [0.61756585 0.61372628 0.61273944 0.61828259 0.61027823 0.62476565 0.62776718 0.63613692 0.63207968 0.62426158 0.60955597 0.5863836  0.5667735  0.55255991 0.53897045 0.5263907  0.51767523 0.51217543 0.51184008 0.51687692 0.50714921 0.48624737 0.44982532 0.40828582 0.37181206 0.34191157 0.32149234 0.30879424 0.30203464 0.29734392 0.29152642 0.28513679 0.2807885  0.26944088 0.26288784 0.25696389 0.25127181 0.244498   0.23754146 0.2318585  0.23084754 0.22817904 0.2272559  0.22597029 0.22673618 0.22530143 0.22522685 0.22501355 0.22268863 0.22033725 0.21755844 0.21533323 0.21511594 0.21888193 0.22678061 0.23847967 0.25135308 0.2613042  0.26435679 0.25890723 0.24631506 0.22751607 0.20784357 0.19155533 0.17992369 0.17307158 0.17153001 0.1717706  0.17350755 0.17837245 0.18371656 0.19002642 0.19626636 0.20413324 0.21099459 0.21872594 0.22587951 0.22655148 0.22638799 0.22334089 0.2090209 ], 25.10, 23.79, False
2022/08/25 12:24:12.763, 28379710, [2.00173297 1.96292523 1.92664743 1.89171388 1.86172214 1.83930071 1.81182207 1.79166699 1.77837478 1.75248901 1.72666653 1.69094129 1.6483126  1.61045905 1.57058342 1.5332242  1.49915726 1.46674578 1.44473194 1.43196371 1.41761291 1.39620663 1.35560408 1.30320917 1.24497281 1.18770247 1.13928421 1.09848411 1.06491675 1.03962169 1.01789669 0.99434457 0.97024306 0.94433526 0.92060959 0.89963863 0.87911437 0.85942903 0.83713732 0.8157504  0.79311086 0.77636865 0.75977279 0.74517578 0.73033939 0.71421196 0.70312541 0.69280974 0.67834969 0.66553305 0.65201048 0.63850891 0.62788346 0.61771524 0.60856927 0.60764103 0.61163625 0.61836706 0.62500919 0.623559   0.62028006 0.60622749 0.57960938 0.56079056 0.54059766 0.51963231 0.5068318  0.49915721 0.49220001 0.49215479 0.49228401 0.49285234 0.4925014  0.49948525 0.49630214 0.4994625  0.50065632 0.50092881 0.49340664 0.48842078 0.48308385], [0.5927123  0.59945119 0.59940777 0.60562205 0.60846218 0.61560861 0.62619588 0.62885004 0.62618733 0.62003876 0.60637438 0.58829364 0.56415416 0.54930133 0.53704272 0.52367868 0.51527726 0.51003555 0.51183883 0.51388283 0.50880138 0.48426455 0.44841383 0.40742101 0.37107919 0.34115066 0.32091194 0.3084778  0.30047934 0.29576679 0.29045021 0.2840786  0.27627231 0.26867405 0.26277458 0.25596545 0.2499415  0.24323327 0.23629236 0.23090768 0.22928894 0.22670495 0.22547101 0.22507955 0.2247912  0.22403049 0.22348969 0.22310809 0.22152359 0.21876349 0.21556089 0.21360221 0.21401843 0.2172662  0.22499392 0.23657905 0.24936304 0.25951219 0.26297073 0.25719666 0.24433574 0.22585273 0.20615368 0.19056993 0.17883966 0.17172631 0.17000426 0.16935378 0.17146976 0.17623669 0.18331668 0.18865825 0.19478109 0.20301456 0.21044679 0.21717244 0.22358773 0.226398   0.22335033 0.2223871  0.20625936], 25.09, 23.80, False
2022/08/25 12:24:13.013, 28379960, [1.99747339 1.93219167 1.91429295 1.86411312 1.8375016  1.81727416 1.78781979 1.77154552 1.75043304 1.72960085 1.70593529 1.66825012 1.62450448 1.58822341 1.54914334 1.51031655 1.47648213 1.4475946  1.42330973 1.40966188 1.39740939 1.37500682 1.33509092 1.28180013 1.22371333 1.16654621 1.11854535 1.07824053 1.04491999 1.01918409 0.9982724  0.97400059 0.94989771 0.92461307 0.90067285 0.87977024 0.85924473 0.83914509 0.81614283 0.79561484 0.77761315 0.76078934 0.74346526 0.7288352  0.71498721 0.69818758 0.68748943 0.67706995 0.66271116 0.64957372 0.63647054 0.62262999 0.61211047 0.60182304 0.59314484 0.59163968 0.59551649 0.60208619 0.60913416 0.608328   0.60378456 0.58973578 0.56514205 0.54414567 0.52468271 0.50381485 0.49240465 0.48354268 0.47744208 0.47596965 0.47766563 0.47663747 0.47775158 0.48502107 0.48057844 0.48489423 0.48301512 0.48323878 0.47682163 0.47056272 0.46028862], [0.61626365 0.60928033 0.61652148 0.62251951 0.61631667 0.62558172 0.63406223 0.63419863 0.63378103 0.62577646 0.6100094  0.58795307 0.56689945 0.55367648 0.5408976  0.52902003 0.51932871 0.51293754 0.51512973 0.51685855 0.5104416  0.48771711 0.45113144 0.40911835 0.37328031 0.34366799 0.32274915 0.31143476 0.30274469 0.29824179 0.29260652 0.28645922 0.27941105 0.27123544 0.26521529 0.25811976 0.25189079 0.24545007 0.23844976 0.23235841 0.23064717 0.22806438 0.22744781 0.22600967 0.22632985 0.2254873  0.22504425 0.22519825 0.22297595 0.21997008 0.21718765 0.21548045 0.21560697 0.21873204 0.22715399 0.23821    0.25083593 0.26127761 0.26488629 0.25903833 0.24576006 0.2275171  0.20858118 0.1920031  0.17992493 0.17326244 0.17084768 0.17062057 0.17406003 0.177282   0.18411973 0.19047358 0.19628233 0.20404787 0.21209829 0.21866837 0.22421716 0.22872853 0.22747241 0.22449483 0.20860632], 25.09, 23.79, False
