time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/08/25 06:38:35.874, 7642788, [3.89687004 3.8735116  3.79422957 3.73864704 3.69592326 3.64903817 3.61205497 3.58014626 3.54608467 3.51045464 3.46909218 3.41333332 3.34196872 3.27631298 3.2081508  3.15040359 3.08358539 3.02627277 2.98104083 2.95192481 2.9269099  2.88734043 2.82047268 2.73410203 2.63227338 2.53387522 2.44581303 2.37118249 2.31027101 2.25980509 2.21456269 2.17086112 2.12275161 2.07713329 2.03295492 1.99132534 1.95297672 1.91394126 1.87092264 1.83342651 1.79590926 1.76270058 1.72982994 1.70065074 1.67179704 1.6419144  1.61788952 1.59481404 1.56879539 1.54414362 1.51860554 1.49244132 1.46942651 1.44780604 1.42969127 1.42231751 1.42413013 1.43091613 1.43957647 1.43776335 1.42872546 1.40491944 1.36331762 1.32908006 1.29299383 1.25718376 1.23352579 1.21605654 1.19865411 1.19099548 1.18438038 1.17943145 1.17414564 1.17316611 1.16674552 1.16410594 1.15732715 1.15085895 1.14289846 1.12900813 1.11876672], [0.84388071 0.8975963  0.91488413 0.92523696 0.96109919 0.97481461 1.00381158 1.01003046 1.01168815 0.99957795 0.97545785 0.94266667 0.91301201 0.88446831 0.85984439 0.84066323 0.82141716 0.81210095 0.81307117 0.8158019  0.80400364 0.76370895 0.70547202 0.63878125 0.58149285 0.53314212 0.50044043 0.48242306 0.47051959 0.46301189 0.45557364 0.44663661 0.43487362 0.42452261 0.41547619 0.40668622 0.3975706  0.38749244 0.37740222 0.36896559 0.36599295 0.36209953 0.35903162 0.35800853 0.35780272 0.35701061 0.35659689 0.35612879 0.35359281 0.35003946 0.34632185 0.34375285 0.34345403 0.34838951 0.36114082 0.37861144 0.40079503 0.41735288 0.42301951 0.41548549 0.39524462 0.36566337 0.33634081 0.31230587 0.29372366 0.2833056  0.27918464 0.2769059  0.27988944 0.2826481  0.2868655  0.2947697  0.30157724 0.30847399 0.3134916  0.31832518 0.32343024 0.32211714 0.31915179 0.31420703 0.29525866], 25.38, 24.03, False
2022/08/25 06:38:36.124, 7643037, [3.9259441  3.84740542 3.8075754  3.73992226 3.70194367 3.64597466 3.6139613  3.57790427 3.54566674 3.51180211 3.47053493 3.40998727 3.33882919 3.27918125 3.21156637 3.1466113  3.08156852 3.02626968 2.98327486 2.95340071 2.9282518  2.88844834 2.82137688 2.73582139 2.63318389 2.53409603 2.44640597 2.37258433 2.31243012 2.26074205 2.21517195 2.17073325 2.12430199 2.07765627 2.03295135 1.99181281 1.95396867 1.9140805  1.87237721 1.83263454 1.79186821 1.75893814 1.72593944 1.69726484 1.66785412 1.63808683 1.61403926 1.59116886 1.56523212 1.54068084 1.5148732  1.48912177 1.46624879 1.44416627 1.42610922 1.41884895 1.42099584 1.42858204 1.4364597  1.4350038  1.42502081 1.40190201 1.36037354 1.32576416 1.28915354 1.25522028 1.23101323 1.21232246 1.19587243 1.1884535  1.18142828 1.17530706 1.17232226 1.17085418 1.16415149 1.16000122 1.1552072  1.14978702 1.14157025 1.12964364 1.11583191], [0.82534903 0.87033159 0.89881319 0.92522675 0.94121652 0.9650762  0.99142325 0.99673982 1.00252849 0.99361438 0.96579656 0.93258369 0.90536122 0.87879703 0.85382811 0.83332689 0.8152212  0.80595754 0.80601425 0.80882375 0.79715862 0.75734842 0.69825736 0.63439508 0.57372962 0.5270723  0.49622431 0.47665966 0.46581284 0.45732438 0.44993259 0.44122918 0.43005881 0.41882709 0.41031868 0.40171152 0.39225225 0.38228427 0.37255347 0.36447136 0.36173041 0.3570903  0.35517737 0.35388454 0.35347805 0.35268576 0.35281384 0.35241501 0.3495411  0.34642077 0.34246004 0.33962018 0.33943712 0.34504215 0.35739919 0.37562042 0.39664208 0.41335015 0.41977096 0.41152186 0.39175662 0.36229345 0.33508997 0.30851255 0.28944595 0.27924415 0.27510454 0.27386987 0.27543512 0.27929241 0.283964   0.29248447 0.29784847 0.30520269 0.30964862 0.31572688 0.32030239 0.31943386 0.31823881 0.31225276 0.29321675], 25.37, 24.04, False
2022/08/25 06:38:36.375, 7643287, [3.90203228 3.8536665  3.79107434 3.72316565 3.68143365 3.64687612 3.60369679 3.57175761 3.53579111 3.50879695 3.46252404 3.40747387 3.3345274  3.26776874 3.20731798 3.14130823 3.07611175 3.01888665 2.9737303  2.94421557 2.92183701 2.88183521 2.81400453 2.72609447 2.6267509  2.52839986 2.4413052  2.36713174 2.30728711 2.25651376 2.2116358  2.16808132 2.12158733 2.07478402 2.03064911 1.98987863 1.95221043 1.91277903 1.87045225 1.83205228 1.80768234 1.77497702 1.74144209 1.71216855 1.68317621 1.6533237  1.62932085 1.60646813 1.57968598 1.5552396  1.52944493 1.50313672 1.48066837 1.45862813 1.44049138 1.43332267 1.43507486 1.44258936 1.45097284 1.44961665 1.44051016 1.41506622 1.37592578 1.34099205 1.30423429 1.27069955 1.24663717 1.22678094 1.21232799 1.20359566 1.19766738 1.19135348 1.18604632 1.18580173 1.18031348 1.17656888 1.17219329 1.16549417 1.15409116 1.14317962 1.13160636], [0.85807569 0.88358409 0.89794692 0.92346151 0.9511803  0.96758243 0.99671234 0.99988021 1.0128008  0.99513285 0.9650506  0.93322119 0.90735915 0.87721556 0.854318   0.83490355 0.81599172 0.8041345  0.80514834 0.81002262 0.79753501 0.75779832 0.69873057 0.6331044  0.57336118 0.52674696 0.49455995 0.47547171 0.46466607 0.45751164 0.44976628 0.44041138 0.42918922 0.41809524 0.40902302 0.40095961 0.3914625  0.38116681 0.37177454 0.363664   0.35941509 0.35606979 0.35291301 0.3522226  0.35165978 0.35081265 0.35116803 0.35096592 0.34864886 0.34483141 0.34104727 0.33815437 0.33809794 0.34340232 0.35576462 0.37426717 0.39553678 0.41233644 0.4185337  0.41118134 0.3904105  0.36136096 0.33187648 0.30742061 0.28925405 0.27869322 0.27441862 0.27232319 0.27450972 0.27888159 0.28321982 0.28974064 0.29690096 0.30427953 0.30946497 0.31535527 0.31936451 0.31974823 0.31549246 0.31148495 0.29406149], 25.38, 24.04, False
2022/08/25 06:38:36.624, 7643537, [3.88581434 3.82405509 3.78156017 3.72592172 3.66940864 3.64686347 3.59917081 3.56220692 3.52551415 3.50141097 3.45574236 3.39103277 3.32826282 3.26110899 3.19538414 3.13517576 3.06592953 3.01018765 2.96703994 2.93662667 2.91468045 2.87536272 2.80651072 2.71852256 2.61885843 2.52072248 2.43176649 2.35905215 2.29768462 2.24744023 2.20208195 2.15801271 2.11205331 2.06428361 2.0199717  1.97907849 1.94080865 1.9023254  1.85896514 1.82108373 1.78483616 1.75188894 1.71890704 1.6897059  1.66107967 1.63164751 1.60719367 1.58455033 1.55911165 1.53463017 1.50915622 1.48296886 1.46090126 1.43832286 1.42089623 1.4130132  1.41546077 1.42267946 1.43123096 1.42959022 1.42112702 1.39622748 1.35496575 1.32028666 1.28463541 1.25022624 1.22582774 1.2069857  1.19273601 1.18312563 1.17655802 1.17308162 1.16524762 1.16546994 1.15970304 1.15795593 1.15086315 1.14524656 1.13407781 1.12505037 1.11229261], [0.83420155 0.87916752 0.90638924 0.92850117 0.9526243  0.96646664 0.99542024 1.00132533 1.0071057  0.99361628 0.97198485 0.9362662  0.90918585 0.87963116 0.85676256 0.83586333 0.81625528 0.8056861  0.8059604  0.81070688 0.7965174  0.75941921 0.70017903 0.63438586 0.57536984 0.52862756 0.49628536 0.47702415 0.4661985  0.45762087 0.4511291  0.44277487 0.43030453 0.41987484 0.4109151  0.40187811 0.39323613 0.38277412 0.37322709 0.36496203 0.36070206 0.35680341 0.35458305 0.35308081 0.35302308 0.35208362 0.3520315  0.35200428 0.34916882 0.34586574 0.34171649 0.3395841  0.33920919 0.3448855  0.35672109 0.37537359 0.39643031 0.41294999 0.41931592 0.41185297 0.3909591  0.36276406 0.33313421 0.3081107  0.29054317 0.27934011 0.275387   0.27330498 0.27484972 0.27962875 0.2848673  0.29111276 0.2979289  0.30439643 0.31083833 0.31714919 0.31967119 0.32010408 0.31712568 0.39136626 0.28029037], 25.37, 24.04, False
2022/08/25 06:38:36.874, 7643788, [3.87819041 3.83136165 3.76135844 3.71892983 3.67318578 3.62605297 3.58433185 3.55658718 3.52741767 3.49539388 3.44366379 3.38617258 3.31976001 3.251636   3.18947238 3.12690363 3.05697332 3.00594066 2.96036168 2.93063627 2.90509377 2.86597723 2.79838103 2.71138686 2.60942125 2.51223259 2.42480213 2.35045959 2.29157464 2.23979486 2.19515938 2.15156667 2.10359264 2.05794273 2.0147366  1.97271671 1.93515905 1.89559189 1.85347602 1.81520089 1.77916024 1.74568507 1.71340172 1.68450945 1.65611826 1.62659242 1.60256238 1.57982028 1.55416561 1.52945056 1.50403453 1.4786063  1.45563483 1.43405733 1.41622268 1.40901063 1.4111728  1.41914844 1.42648563 1.4260279  1.41629574 1.39179178 1.35146553 1.31524739 1.28120657 1.24620383 1.22236505 1.20427431 1.18836715 1.17906958 1.17411453 1.16754659 1.16183047 1.1636446  1.15729947 1.15236254 1.1473255  1.14000079 1.13283007 1.12165883 1.11161432], [0.82014012 0.86716905 0.88951225 0.92018198 0.94407242 0.95925185 0.98345982 0.99529708 1.00077976 0.98568276 0.95923891 0.92772113 0.89995241 0.87480004 0.85231424 0.83214072 0.81187192 0.80258563 0.80379333 0.80681698 0.79360693 0.75521472 0.69681227 0.63176022 0.57129789 0.52564668 0.49306407 0.47331696 0.46271357 0.45557891 0.44817476 0.43946958 0.42866761 0.41720092 0.40896435 0.39989447 0.39063685 0.38074811 0.37133176 0.36233969 0.35905024 0.35559021 0.35282522 0.35138844 0.35117437 0.35054811 0.35017066 0.35019266 0.34776627 0.34431768 0.34034327 0.33763242 0.33783328 0.34278114 0.35508919 0.37340878 0.39443803 0.41145879 0.41739348 0.40941945 0.38961495 0.3605334  0.33111245 0.30707913 0.28809814 0.27825256 0.27391187 0.27217773 0.27412564 0.27902637 0.28276929 0.29019952 0.29647111 0.30233086 0.30891727 0.31359201 0.32232532 0.3182317  0.31712619 0.30986729 0.29454216], 25.37, 24.04, False
2022/08/25 06:38:37.124, 7644037, [3.88585468 3.83026416 3.7910855  3.71341577 3.67787753 3.62910227 3.59851205 3.56221777 3.53085561 3.49569983 3.45697548 3.39215371 3.32404758 3.26397215 3.19285036 3.12988903 3.06377505 3.01141945 2.96603666 2.93403143 2.91137078 2.87292457 2.80371948 2.71809208 2.61674197 2.51791768 2.43101297 2.35642521 2.29570665 2.24589124 2.20001548 2.15607191 2.10984506 2.06257062 2.01858756 1.97730703 1.94027845 1.90029998 1.85835481 1.81965798 1.782742   1.74932776 1.7174936  1.68837548 1.65990511 1.63049417 1.60609186 1.58328089 1.55724359 1.5333358  1.50785732 1.48180352 1.45902466 1.43765061 1.41918813 1.41161563 1.41454097 1.42189174 1.42924924 1.42851144 1.41819811 1.39455666 1.35337355 1.31909745 1.28241213 1.24943396 1.22354612 1.20605617 1.19021941 1.18211277 1.17569476 1.17119037 1.16501765 1.16345404 1.15782617 1.15659234 1.14885762 1.14284602 1.13415882 1.12158611 1.10943545], [0.82536874 0.87918228 0.90406591 0.93208642 0.94130185 0.96869883 0.99143098 1.00133283 1.00195556 0.99466328 0.96715865 0.93444858 0.90536299 0.87721595 0.85461125 0.83428545 0.85262698 0.79806949 0.80243462 0.80681505 0.79584719 0.756818   0.69776883 0.63174098 0.57293686 0.5267724  0.49484862 0.47463815 0.46462909 0.45684092 0.4488482  0.44089623 0.4290698  0.41801446 0.40934012 0.40087921 0.39165844 0.38164916 0.37169735 0.36396835 0.36036963 0.35616002 0.35338259 0.35242979 0.35204647 0.35129601 0.35154663 0.35086057 0.34894284 0.34523703 0.34164022 0.33849219 0.33851642 0.34414453 0.3567997  0.3739801  0.39511395 0.41242117 0.41840003 0.41056404 0.39021076 0.36193329 0.33187584 0.30707357 0.28882916 0.27909766 0.27395967 0.27299409 0.2740767  0.27936082 0.28319871 0.29522583 0.29798055 0.3027868  0.30900359 0.31572277 0.31997278 0.32059496 0.31497085 0.31160364 0.29429938], 25.38, 24.04, False
2022/08/25 06:38:37.374, 7644287, [3.90113078 3.82770701 3.7745911  3.72314569 3.67185005 3.63860884 3.59657561 3.56050299 3.53235515 3.50276462 3.45185111 3.39701577 3.32709951 3.26017085 3.19624105 3.13061842 3.0685736  3.01264313 2.9676503  2.93696809 2.91322686 2.87707057 2.80729075 2.72022727 2.61976736 2.52011437 2.43378711 2.35870186 2.29883675 2.24790825 2.20367493 2.1585481  2.11277237 2.06646493 2.02277387 1.98044902 1.94394205 1.90413503 1.86219658 1.82297829 1.78587425 1.75353515 1.72037461 1.69118821 1.6622559  1.63333107 1.6088701  1.58586432 1.5604133  1.53549383 1.51006187 1.48402194 1.46101316 1.44030694 1.42142968 1.41460764 1.41622194 1.42313573 1.4314068  1.43129899 1.42008702 1.39657323 1.3557373  1.32034065 1.28469278 1.25046317 1.2265397  1.20715229 1.1918605  1.18286968 1.17873129 1.17099876 1.16638263 1.16450773 1.16210882 1.15713524 1.14933046 1.14515759 1.13598902 1.12300044 1.11304366], [0.82976708 0.88874767 0.89793202 0.92018198 0.94546688 0.97817881 0.99232435 0.99867043 1.00481644 0.99408664 0.96926615 0.93626572 0.90695158 0.88000623 0.85690972 0.83705192 0.81711547 0.81754564 0.806067   0.8107072  0.79940054 0.75892161 0.70066028 0.63525579 0.57454036 0.5285504  0.49622404 0.47665937 0.46619879 0.45829138 0.45077233 0.44265854 0.43051208 0.41944385 0.41083593 0.40208587 0.39307911 0.38273576 0.37287123 0.36460501 0.3611623  0.35696419 0.35514335 0.35338909 0.35329309 0.35265155 0.3525954  0.35223161 0.35030728 0.34664049 0.34234833 0.33969642 0.33966849 0.34500173 0.35735845 0.3771775  0.39613308 0.41295556 0.4187675  0.41137729 0.39155709 0.36239873 0.33291076 0.30822416 0.28974997 0.2795664  0.27476242 0.27428605 0.27582034 0.27936342 0.28441572 0.29111506 0.29690315 0.30623534 0.31111039 0.31560336 0.32373855 0.32162513 0.3211822  0.31225197 0.2962378 ], 25.37, 24.04, False
2022/08/25 06:38:37.624, 7644537, [3.90543535 3.82406721 3.77460783 3.71197009 3.6694173  3.62521226 3.58757535 3.55217636 3.52020102 3.48639442 3.44632541 3.3861769  3.3176578  3.25731959 3.18522907 3.12079269 3.0625708  3.00292759 2.95886055 2.92883238 2.90799652 2.86646617 2.79994362 2.71338585 2.61229762 2.51344769 2.42648864 2.35309008 2.29290409 2.24225858 2.1979414  2.15417063 2.10790678 2.06273103 2.01756042 1.97633933 1.93935974 1.89898905 1.85717314 1.81945307 1.79086099 1.75899435 1.72604564 1.69672498 1.66830743 1.63853264 1.61487972 1.5919173  1.56566794 1.54101853 1.515821   1.48995898 1.46739471 1.44559307 1.42751957 1.42071998 1.42300584 1.4300395  1.43793737 1.43744557 1.42720226 1.40294637 1.3628517  1.32658306 1.29253269 1.25711903 1.23345142 1.21504238 1.19808693 1.18985082 1.18493962 1.17857948 1.17391223 1.17210667 1.16605086 1.16314889 1.15838717 1.15388629 1.14223495 1.13106022 1.11937687], [0.824557   0.86592106 0.89184098 0.92701868 0.93844637 0.95315391 0.98127316 0.99867493 1.00423587 0.99069414 0.96097205 0.93351684 0.90377364 0.87879781 0.85446443 0.83467595 0.81702688 0.80497759 0.80525462 0.80869858 0.79645874 0.75835967 0.69921153 0.63397352 0.5737666  0.52749904 0.49449834 0.47573428 0.46494351 0.45706349 0.44916817 0.44085854 0.42931756 0.41848031 0.40916255 0.40092041 0.39146297 0.38150246 0.37159697 0.36410405 0.36007631 0.35568001 0.35341741 0.35188203 0.35211417 0.35099715 0.35103119 0.35056584 0.34831909 0.34516327 0.34097307 0.3375158  0.33805889 0.34348285 0.35580542 0.37385822 0.39393151 0.41123945 0.41771386 0.40975045 0.38986315 0.36120692 0.33144131 0.30621409 0.28883039 0.27819095 0.27385211 0.27119629 0.27344685 0.27776351 0.30382916 0.28700211 0.28972478 0.3004932  0.30699459 0.31275665 0.31825765 0.31840582 0.31438211 0.31072172 0.29345327], 25.38, 24.04, False
2022/08/25 06:38:37.874, 7644788, [3.88918877 3.82771913 3.77776306 3.71339581 3.67185871 3.6334191  3.58499445 3.55047314 3.52400232 3.49704822 3.44877332 3.38630887 3.32724416 3.25731856 3.19284709 3.12606825 3.06177132 3.00773368 2.9644195  2.93459244 2.91148247 2.86987541 2.80260828 2.71666235 2.61557668 2.51631641 2.4287613  2.35589522 2.29554133 2.24541823 2.19983908 2.15623671 2.10945412 2.06329408 2.01808261 1.97698225 1.93981656 1.90080658 1.85780317 1.82050065 1.78772113 1.75480523 1.72258077 1.69321374 1.66433679 1.63480138 1.61077051 1.58845149 1.56223357 1.5376948  1.51288183 1.48704146 1.46388964 1.44255524 1.42462593 1.41674798 1.41935172 1.42725073 1.43516423 1.43392223 1.42341291 1.40047356 1.35862384 1.32457303 1.28784053 1.25358483 1.23054705 1.21096637 1.19530737 1.18642289 1.1822378  1.17450268 1.17048807 1.16931617 1.16296664 1.16219169 1.15685095 1.14862972 1.13973546 1.12632064 1.11944717], [0.8394229  0.87793779 0.89793947 0.9234564  0.94268408 0.96036003 0.98833657 1.00132683 1.00481961 0.99210294 0.96790708 0.93076624 0.90806925 0.87879762 0.85646838 0.83693717 0.81702714 0.80652918 0.80671841 0.81010627 0.79937069 0.75893738 0.70065466 0.63572165 0.57536972 0.52895181 0.49663629 0.47695558 0.46647562 0.45762049 0.45056854 0.44164642 0.43051124 0.41972169 0.41073546 0.40167037 0.39256604 0.38285132 0.3727301  0.36458148 0.35888428 0.35568038 0.35369761 0.35221108 0.35235087 0.35141465 0.35133046 0.35148986 0.34920382 0.34557258 0.34101    0.33890615 0.33878456 0.34441775 0.3565211  0.37459552 0.3950321  0.41247016 0.41867276 0.41070603 0.39011214 0.36172333 0.33253046 0.30701639 0.28956441 0.27857426 0.27385266 0.27325073 0.27460379 0.27888246 0.28359161 0.29019921 0.29698326 0.30502774 0.31092814 0.3164368  0.32123547 0.32162358 0.3191523  0.31387416 0.29695597], 25.37, 24.04, False
