time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/08/25 21:08:43.780, 59850824, [5.97319737 5.89819109 5.80640035 5.75349668 5.66634494 5.63020504 5.57125247 5.52392741 5.49228356 5.45221595 5.3806298  5.28034539 5.17085602 5.05494872 4.95106832 4.84198396 4.74044248 4.66381097 4.59679263 4.56109802 4.53437598 4.47348205 4.35690658 4.20439068 4.03220963 3.86833448 3.72779375 3.60950912 3.51531584 3.43760709 3.3688158  3.29692717 3.22426113 3.14744651 3.07576444 3.00984428 2.94747844 2.88259578 2.81470473 2.75132037 2.69053283 2.63673086 2.58632966 2.54029054 2.49659529 2.45414789 2.41866538 2.38486089 2.34775479 2.31144251 2.27368379 2.23384179 2.19800527 2.16502009 2.14220838 2.138218   2.15260654 2.17736335 2.20052464 2.20703159 2.19049772 2.14573835 2.07397597 2.00564753 1.9408177  1.88071217 1.83807189 1.80222407 1.77308479 1.75579241 1.73863623 1.72502009 1.71276796 1.70600284 1.692687   1.6829698  1.67201086 1.66085385 1.64552157 1.62935521 1.61156861], [1.28397106 1.274877   1.3186492  1.37238467 1.41162037 1.4491503  1.47417463 1.51421628 1.52445227 1.51327644 1.4704169  1.41544406 1.36602949 1.32776348 1.30084258 1.27341042 1.2513772  1.24371653 1.25525365 1.27078511 1.25756093 1.21344484 1.08994793 0.97691151 0.8779862  0.80103641 0.75037456 0.72165027 0.70533665 0.6954485  0.6824877  0.66645758 0.64580916 0.62500258 0.60743997 0.59037474 0.57316723 0.55390722 0.53583032 0.52135606 0.51291868 0.50661091 0.50311844 0.50241576 0.50357654 0.50593881 0.50886717 0.51026363 0.50891584 0.50596781 0.50080551 0.49717215 0.49869099 0.5097555  0.53511902 0.57246774 0.61479599 0.64865624 0.66263515 0.64969814 0.60997773 0.55439625 0.49653624 0.44905557 0.41322479 0.38966625 0.37539786 0.36790372 0.36492104 0.3639966  0.36482698 0.36764597 0.37011459 0.3731421  0.37703483 0.37979634 0.38388369 0.38397127 0.38139595 0.37852081 0.36254498], 24.79, 23.74, False
2022/08/25 21:08:44.030, 59851073, [6.00632489 5.87802543 5.82753702 5.75627232 5.68373999 5.63444823 5.59160924 5.52864335 5.51630354 5.45221387 5.38495488 5.29176707 5.17216606 5.06389956 4.95906271 4.84899469 4.75426923 4.66633547 4.60289952 4.57086933 4.53997356 4.47840833 4.36520465 4.21226757 4.04106547 3.87771997 3.73210422 3.61780416 3.52375421 3.44456716 3.37474242 3.3038396  3.23037789 3.15466785 3.08162014 3.01545469 2.95378498 2.88772845 2.82162891 2.75816001 2.70607743 2.65267419 2.60145451 2.55491803 2.51157592 2.46910759 2.43278023 2.39874697 2.36120194 2.32610446 2.28738577 2.24724195 2.21153772 2.17827245 2.1548281  2.15124472 2.16451128 2.18884764 2.2120747  2.21845629 2.20282854 2.15659641 2.08596721 2.01913669 1.95201105 1.89365928 1.84864431 1.81372481 1.78526161 1.76733864 1.75023922 1.73523658 1.72399794 1.71507096 1.70254562 1.69280773 1.68051426 1.67211282 1.65766092 1.64005631 1.62294359], [1.295286   1.32192976 1.34228209 1.37658514 1.41743769 1.44821713 1.48473225 1.50898191 1.52798856 1.51402819 1.47958155 1.41940509 1.37061903 1.33218446 1.30260521 1.2755669  1.25290633 1.24664909 1.25870738 1.27295994 1.25973658 1.19676585 1.09368454 0.98329809 0.8832686  0.80508842 0.75336346 0.72410078 0.70801612 0.69762945 0.68547211 0.66864352 0.64808584 0.62710433 0.60946309 0.59271743 0.57582869 0.55620099 0.53782041 0.52347535 0.51225902 0.50630544 0.50243698 0.50180179 0.50313083 0.50559771 0.50805887 0.51029303 0.50931295 0.50525984 0.50080599 0.49666942 0.49849822 0.50975594 0.53485156 0.57267359 0.61437245 0.64925043 0.66299279 0.64980432 0.60993924 0.55439659 0.49708636 0.44895532 0.41291961 0.39009655 0.37563932 0.36785748 0.36484323 0.36399704 0.36437015 0.36720723 0.36910289 0.37438335 0.3788956  0.3799318  0.38451673 0.38329802 0.38110211 0.37875338 0.3604358 ], 24.78, 23.74, False
2022/08/25 21:08:44.280, 59851323, [6.00631674 5.91474203 5.8647332  5.75904602 5.69615    5.64957182 5.58993505 5.55956825 5.52650001 5.47685759 5.41660039 5.30433832 5.19000087 5.08074313 4.97224475 4.86775139 4.77240446 4.68005476 4.62036078 4.58584946 4.55593219 4.4937872  4.38026507 4.22769734 4.05694409 3.89226892 3.74731706 3.63013919 3.53627184 3.4572746  3.38719841 3.31629856 3.24201046 3.16533016 3.09363776 3.02598394 2.96399045 2.89844101 2.82975923 2.7669341  2.70698212 2.65408349 2.60241331 2.55632076 2.51213529 2.46946049 2.43332385 2.39946142 2.36199557 2.32610424 2.28791345 2.24803624 2.21180491 2.17898073 2.15601097 2.15180688 2.16529355 2.18894204 2.21228974 2.21877181 2.20226034 2.15672901 2.08522298 2.01742892 1.95229605 1.89309979 1.84790344 1.81205843 1.78579907 1.76380945 1.74959312 1.73424356 1.72129947 1.71507051 1.70301664 1.69116813 1.68289484 1.66745083 1.65262962 1.63994426 1.62131638], [1.29487943 1.31337063 1.35297665 1.37988154 1.42319124 1.45392362 1.48473114 1.51505943 1.52707461 1.51252252 1.4757496  1.42411048 1.37133734 1.33251915 1.30260513 1.27834777 1.25427313 1.24791555 1.2584309  1.27453186 1.26140625 1.19573237 1.09544601 0.98362423 0.88284217 0.80630358 0.75450867 0.72445505 0.70939009 0.69820584 0.68628133 0.66920252 0.6493947  0.6280884  0.60986847 0.59381014 0.57635967 0.55636709 0.53844442 0.5238038  0.51412685 0.50781143 0.50434729 0.50388877 0.50473774 0.5075087  0.51003169 0.5113485  0.51085448 0.50717286 0.50257664 0.49861792 0.49974436 0.51142048 0.53652394 0.57405683 0.61581125 0.65062588 0.66471936 0.65102681 0.61095729 0.55566428 0.49799821 0.44967257 0.41434318 0.391235   0.37729016 0.36871723 0.36596577 0.36437972 0.36605726 0.36810476 0.37109119 0.37490233 0.37955032 0.38138377 0.38338828 0.3857033  0.38139698 0.37752452 0.36298878], 24.78, 23.73, False
2022/08/25 21:08:44.530, 59851573, [5.98179028 5.90185242 5.82012249 5.74185184 5.69125378 5.63445249 5.59906792 5.53678916 5.51478713 5.47550236 5.39673553 5.29288538 5.17990579 5.06484079 4.96436155 4.85680561 4.75779609 4.67565809 4.60963116 4.57281109 4.5475067  4.48578604 4.3698341  4.21832286 4.04711594 3.88152437 3.73830096 3.62109523 3.52882929 3.4480639  3.37889809 3.30855292 3.23322532 3.15919362 3.08553036 3.01904257 2.95733795 2.8918899  2.82359133 2.76194543 2.70830359 2.65462083 2.60370499 2.55710724 2.51353544 2.47085166 2.43433094 2.40098453 2.3629736  2.32707104 2.28879171 2.24838582 2.21279195 2.17962754 2.15639351 2.1525656  2.16585473 2.19026674 2.21410042 2.21967314 2.20352231 2.15912884 2.08682539 2.01975947 1.95298933 1.8932293  1.84892513 1.81468542 1.78598296 1.7655741  1.75088541 1.73608634 1.72378075 1.71595568 1.70498367 1.69335632 1.68055501 1.67203879 1.65557137 1.6375946  1.62294379], [1.2783464  1.31747591 1.34536512 1.38382959 1.41355636 1.45233134 1.48957871 1.51286881 1.52890351 1.51327644 1.47499522 1.41717604 1.36868354 1.32809677 1.30084258 1.27341042 1.25349538 1.24791493 1.25697967 1.27356362 1.25811738 1.19469828 1.0936845  0.98172731 0.88062647 0.80306121 0.7522563  0.72268493 0.70771453 0.69667748 0.68395752 0.66848288 0.64735225 0.62593005 0.6086244  0.59193255 0.57440914 0.55511514 0.53710463 0.52243051 0.5123419  0.50605167 0.50243661 0.50185176 0.50378941 0.50609567 0.50834204 0.51044734 0.50909945 0.50578312 0.50086836 0.49698278 0.4986243  0.50998568 0.5352187  0.57202407 0.61476384 0.64912701 0.66397092 0.64974148 0.60993896 0.55435347 0.49708603 0.44871606 0.41353035 0.39020163 0.37627368 0.36749296 0.36453399 0.36435102 0.36440551 0.36766492 0.37011459 0.37476507 0.37834266 0.38052183 0.38258941 0.38310631 0.3802509  0.37828914 0.35966117], 24.79, 23.74, False
2022/08/25 21:08:44.780, 59851823, [5.9573531  5.92772774 5.82646726 5.76239795 5.68620047 5.64524148 5.58609773 5.53679135 5.51630851 5.47414458 5.39796618 5.28907549 5.18224754 5.07193322 4.9642923  4.8583637  4.75988077 4.67192753 4.60687714 4.57742648 4.54593686 4.48865656 4.37239883 4.21997802 4.04940521 3.88417842 3.73954853 3.6243429  3.53153327 3.45028311 3.38215626 3.31073558 3.23682593 3.16137542 3.08712383 3.02149472 2.95947864 2.89390421 2.82597392 2.76381199 2.71320018 2.65931763 2.60902143 2.56159466 2.51868043 2.47567664 2.43876755 2.40467308 2.3674116  2.33085574 2.29274832 2.25226547 2.21725844 2.18388253 2.16043489 2.15613871 2.1697501  2.19460321 2.21766323 2.22341611 2.20757382 2.16236063 2.09132083 2.02325671 1.95693434 1.89796956 1.85417267 1.81932033 1.79064547 1.77007587 1.75492533 1.74035038 1.72929892 1.71957397 1.70695144 1.70048047 1.68598739 1.67538272 1.65908672 1.64453824 1.62782899], [1.29001116 1.31337957 1.33847827 1.38471719 1.41744136 1.45485371 1.48957982 1.52115225 1.53325146 1.51936106 1.47759574 1.42708396 1.37255731 1.33524826 1.30988251 1.27965444 1.25832545 1.25013811 1.26188691 1.27610357 1.26348237 1.1995347  1.09913544 0.98767247 0.88682242 0.8087388  0.75752246 0.72799554 0.71202116 0.70141805 0.68869154 0.67225098 0.65174968 0.6308478  0.61238327 0.59667925 0.57890535 0.55908447 0.54130369 0.52702872 0.51579685 0.50895315 0.50537983 0.50485087 0.5070301  0.50847651 0.51136465 0.51276976 0.51177825 0.50840663 0.50363072 0.49940143 0.50108908 0.51256093 0.53772659 0.57523363 0.61713342 0.65152972 0.66556333 0.65184086 0.61226334 0.55701642 0.49963978 0.45110596 0.41550394 0.39204745 0.37871114 0.36908018 0.36662184 0.36629018 0.36692296 0.36953519 0.37116308 0.37607389 0.37965028 0.38170222 0.3849818  0.38570097 0.38254123 0.37975017 0.36324577], 24.79, 23.73, False
2022/08/25 21:08:45.030, 59852072, [5.96592865 5.88169622 5.81694914 5.73906923 5.70879908 5.63662581 5.56385191 5.53205996 5.49228356 5.45933681 5.38928781 5.29019058 5.16750454 5.0558889  4.95463265 4.84665686 4.7466714  4.66261359 4.59969628 4.56376322 4.53962083 4.47554931 4.36012731 4.20750312 4.03758399 3.87268282 3.72893876 3.61204647 3.52003878 3.44012976 3.37028576 3.30111204 3.2252869  3.15105624 3.0771023  3.01103537 2.94921844 2.88408139 2.81603124 2.75364219 2.70329208 2.64955137 2.59939058 2.55269999 2.5091603  2.46699345 2.43033392 2.39713273 2.3591658  2.32381787 2.28527495 2.2462798  2.20948228 2.17646002 2.15381321 2.14964377 2.16384052 2.1877323  2.21229081 2.21790162 2.20155343 2.15587967 2.08585422 2.01770139 1.95107866 1.89236816 1.84804443 1.81304759 1.78562255 1.76595642 1.74959426 1.73552002 1.72321038 1.71515119 1.70404038 1.69116753 1.68535999 1.66877203 1.6597514  1.6375946  1.62294379], [1.28397106 1.31337659 1.3392148  1.37418462 1.41355636 1.45392582 1.48825915 1.51506246 1.52799016 1.51402915 1.47773401 1.41841232 1.37174398 1.33321307 1.30205342 1.27511255 1.25446098 1.24736161 1.25922466 1.27295962 1.26074809 1.19624897 1.09475273 0.98317318 0.88326847 0.80589647 0.75374735 0.72446754 0.70836764 0.69760951 0.68579193 0.66871445 0.64837285 0.62762318 0.60943379 0.59315378 0.57597472 0.55659312 0.53810092 0.52380272 0.51473248 0.50814535 0.50439876 0.50386047 0.50536863 0.50735072 0.51024368 0.51196697 0.51076534 0.5076048  0.50304143 0.49915267 0.50012993 0.51213897 0.53705797 0.57399093 0.61635013 0.6508126  0.66507638 0.65130033 0.61201356 0.55553544 0.49872827 0.45077863 0.41474435 0.39123395 0.37720058 0.36935165 0.36557796 0.3655258  0.36567007 0.36858099 0.37004131 0.375556   0.37944718 0.38052183 0.38435031 0.38570175 0.3802509  0.38005308 0.36298757], 24.79, 23.73, False
2022/08/25 21:08:45.280, 59852322, [6.01064242 5.89454476 5.81379017 5.77075005 5.69372012 5.64090217 5.58802716 5.53850258 5.51892084 5.48045602 5.39551083 5.29670472 5.17888647 5.06988283 4.95813968 4.85915158 4.75771729 4.67259249 4.60626557 4.57297541 4.54505915 4.48194669 4.36776883 4.2195523  4.0455107  3.87990409 3.73637665 3.61890425 3.52511079 3.44839906 3.37769262 3.30715854 3.23243693 3.1577104  3.08424787 3.01778922 2.95671538 2.89077567 2.82289275 2.75987959 2.70368504 2.64981666 2.5995765  2.55298767 2.50997491 2.46771928 2.43068814 2.39748643 2.35951879 2.32417164 2.28509738 2.24565438 2.20966718 2.17691934 2.15334849 2.14994972 2.16317088 2.18784668 2.21136045 2.21746802 2.20122366 2.15590214 2.08499937 2.01665557 1.95108064 1.89193964 1.84804585 1.8124002  1.7840106  1.76439886 1.74878616 1.73594809 1.72208889 1.71386682 1.70054046 1.69280924 1.68231086 1.66745187 1.65187308 1.63759528 1.61969104], [1.29489364 1.32605935 1.36230478 1.38802403 1.43286228 1.45074279 1.49179139 1.51616588 1.53680565 1.52011887 1.48095321 1.4253492  1.37521511 1.33627733 1.3078358  1.27965415 1.25813562 1.25085032 1.26174708 1.27658545 1.26459497 1.20033363 1.09860049 0.98706272 0.88589761 0.80832968 0.75676806 0.72728641 0.71138297 0.70109973 0.68785908 0.67150599 0.65049091 0.63035474 0.61200548 0.59517778 0.57772138 0.55819311 0.539996   0.52604281 0.51518969 0.50872783 0.50507973 0.5048774  0.50581381 0.50779198 0.51068232 0.51261385 0.51141026 0.50775795 0.50313256 0.49936816 0.50060841 0.5124304  0.53842798 0.57491957 0.61677299 0.65118638 0.66546603 0.65167166 0.61172397 0.55649354 0.49913628 0.45101675 0.41545089 0.3915564  0.37738918 0.36925738 0.366234   0.36585151 0.36735554 0.36950527 0.37221129 0.37627772 0.37999739 0.38237735 0.3843483  0.38675661 0.3837665  0.38028277 0.36383619], 24.79, 23.74, False
2022/08/25 21:08:45.530, 59852572, [6.00631674 5.90740931 5.85086837 5.75626728 5.69124503 5.65603085 5.60098649 5.55480638 5.51630106 5.47055688 5.40107784 5.30433832 5.18663245 5.07475062 4.96787166 4.86461519 4.76613651 4.68246616 4.61300006 4.58050311 4.55102699 4.4925033  4.3760802  4.22395478 4.05276635 3.88721504 3.74340431 3.62686392 3.53254283 3.45282203 3.38334198 3.31437521 3.23888148 3.16319468 3.09000133 3.02400666 2.96230761 2.89672992 2.8284265  2.76539969 2.69845548 2.64566444 2.59474991 2.54897527 2.50532297 2.46270674 2.42634107 2.3927376  2.35526817 2.31898367 2.2807839  2.24150332 2.20565867 2.17258705 2.14952686 2.1456232  2.15968194 2.18400754 2.20788707 2.21449326 2.19717629 2.15289787 2.08128098 2.01289047 1.9477091  1.88836631 1.84358375 1.80958944 1.78239531 1.76028367 1.74636706 1.73168851 1.71860382 1.71161594 1.70006859 1.68952553 1.67746876 1.66745083 1.64987688 1.63830318 1.61881701], [1.30055673 1.30483274 1.35678074 1.38229277 1.42319124 1.45804521 1.49797132 1.51092356 1.53324666 1.51630708 1.47485297 1.42584622 1.37521383 1.33524766 1.30624205 1.27795239 1.2558048  1.25013904 1.25964125 1.27465317 1.2628243  1.19878372 1.09710299 0.98661233 0.88548593 0.80711707 0.75639976 0.72694656 0.70965843 0.70014916 0.68722072 0.67090226 0.64991819 0.62874375 0.61171914 0.59533974 0.57739564 0.55771093 0.53981193 0.52541674 0.51539378 0.50839492 0.50527294 0.50463677 0.50634471 0.50832119 0.51050014 0.51240384 0.51101558 0.50806876 0.50347689 0.49959215 0.500544   0.51259571 0.53736019 0.57468334 0.61653067 0.65131128 0.66520647 0.65194733 0.61226418 0.55727853 0.49968763 0.45149636 0.41519959 0.39188304 0.37734106 0.3697166  0.36592677 0.36667396 0.36605726 0.36950737 0.37064019 0.377386   0.37899803 0.3831066  0.38451739 0.38483797 0.38326265 0.38051891 0.3640982 ], 24.78, 23.74, False
2022/08/25 21:08:45.780, 59852823, [5.98179843 5.90742765 5.85405358 5.74185688 5.6886507  5.61946266 5.59353959 5.53679135 5.51630851 5.47056311 5.39673711 5.30052042 5.18020308 5.06970996 4.96436237 4.85601973 4.76060221 4.67006316 4.60733517 4.57604819 4.54541319 4.48578687 4.37099317 4.21893703 4.04658068 3.88037221 3.74028026 3.62287077 3.52747304 3.44965731 3.3803736  3.31102741 3.2358373  3.1596737  3.08706849 3.0211977  2.95924867 2.89375205 2.82569429 2.76340586 2.71202372 2.65744258 2.60695326 2.56062677 2.51699881 2.47440144 2.43803181 2.40440354 2.36643262 2.33032737 2.29249713 2.25218107 2.21699068 2.18352759 2.1601372  2.15661558 2.16927881 2.19397959 2.2187409  2.22275462 2.20885088 2.1622474  2.09080477 2.02422456 1.95652765 1.89749337 1.8538525  1.81833084 1.79064547 1.77007587 1.7556499  1.74077734 1.7285102  1.71909207 1.70785721 1.6988339  1.68653012 1.67608215 1.66051249 1.64229727 1.62695265], [1.30014766 1.33432914 1.34536888 1.39044374 1.41549791 1.45989149 1.48515749 1.52419987 1.53233564 1.52239941 1.47958233 1.42435044 1.37480703 1.33627693 1.30475287 1.27494236 1.25620378 1.250531   1.2598803  1.27513498 1.2619623  1.19847138 1.09646182 0.98461946 0.88459    0.80630153 0.75526864 0.72623739 0.70974096 0.69957133 0.68724101 0.67041318 0.64918315 0.6291532  0.61122462 0.59455285 0.57692391 0.55727357 0.5393424  0.52454936 0.51452996 0.50792037 0.50448189 0.50329604 0.50486693 0.50737806 0.50968959 0.51134699 0.51017782 0.50732598 0.50241995 0.49804844 0.49961649 0.51145268 0.53658901 0.5735045  0.61559827 0.65025036 0.66403414 0.65037948 0.61203389 0.55540214 0.49835918 0.45016173 0.41408042 0.39041956 0.37749205 0.36871603 0.36565564 0.36546992 0.36523626 0.36810351 0.37116308 0.37541907 0.37934471 0.38124686 0.3849818  0.38550955 0.38419427 0.37675578 0.36324577], 24.79, 23.73, False
