time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/08/25 00:06:49.845, 34789803, [ 0.13684739  0.11742858  0.10701954  0.09881066  0.08331742  0.08173932  0.07094818  0.06239121  0.05413843  0.04927881  0.04216166  0.03715339  0.03272075  0.03122903  0.02346586  0.01713537  0.01205596  0.01000021  0.00726728  0.00540969 -0.00056251 -0.00640971 -0.01638863 -0.02593344 -0.03677741 -0.04597156 -0.05412677 -0.06011776 -0.06588973 -0.06844457 -0.06909172 -0.07166677 -0.0727756  -0.07493489 -0.07608861 -0.07726754 -0.07764357 -0.07776568 -0.0793461  -0.08116149 -0.08195958 -0.08107745 -0.08250659 -0.08197824 -0.0839757  -0.0876931  -0.0871374  -0.08619721 -0.08996155 -0.09231441 -0.09363248 -0.09577111 -0.09381168 -0.09466635 -0.09660123 -0.09648563 -0.09648458 -0.09797229 -0.09818275 -0.10275382 -0.10200128 -0.10194012 -0.10811848 -0.10510009 -0.10422481 -0.10653238 -0.10289625 -0.10095073 -0.09530321 -0.08819944 -0.08085736 -0.07270237 -0.06509201 -0.05371748 -0.04951214 -0.04372387 -0.03752644 -0.03165585 -0.0358034  -0.03650684 -0.03892101], [0.20948855 0.22009681 0.22804674 0.22837838 0.22552968 0.22706869 0.21667829 0.21884754 0.21543034 0.20924236 0.20589682 0.20222368 0.19450922 0.19182686 0.18543864 0.17867589 0.17523447 0.17085962 0.16852779 0.16463217 0.15999576 0.15255416 0.14247757 0.13122241 0.12243865 0.11375397 0.10680901 0.10081146 0.12276747 0.1307759  0.10025743 0.09572456 0.09392044 0.092789   0.09256486 0.09204085 0.09260248 0.09229674 0.09154297 0.09150993 0.09351234 0.09323026 0.09345411 0.09309234 0.09159472 0.08954789 0.08867437 0.08713209 0.0852414  0.08336165 0.0821721  0.08009383 0.07993092 0.08048246 0.08042204 0.0804317  0.08018857 0.07932687 0.07755677 0.07613533 0.07471538 0.07392455 0.07240356 0.07147971 0.07199215 0.07432043 0.07813541 0.08261728 0.09062682 0.09602939 0.1064562  0.1313531  0.12521318 0.13597426 0.14492185 0.15072202 0.15755714 0.15867693 0.15875077 0.15533231 0.13865163], 25.53, 24.42, False
2022/08/25 00:06:50.095, 34790052, [ 0.14548153  0.12158091  0.11032698  0.10441073  0.08578001  0.08169779  0.07256766  0.06569083  0.06010242  0.05046952  0.04188108  0.04119101  0.03280985  0.03104099  0.0248355   0.01924688  0.0139782   0.01343168  0.00887609  0.00574959  0.00306367 -0.00508169 -0.01430461 -0.02362443 -0.03588843 -0.04332885 -0.0529106  -0.0594369  -0.06345653 -0.06647091 -0.06724447 -0.06876458 -0.07164541 -0.07321715 -0.0736981  -0.07571454 -0.07601518 -0.07611888 -0.07755826 -0.07870129 -0.0797761  -0.07975533 -0.08016309 -0.08055219 -0.08173726 -0.08565508 -0.0854538  -0.08462962 -0.08878693 -0.08971928 -0.09205557 -0.09369495 -0.09248594 -0.09300325 -0.09490505 -0.09444593 -0.09436139 -0.09559103 -0.0967586  -0.10079034 -0.09984846 -0.09989146 -0.10574419 -0.10290637 -0.10366529 -0.10382624 -0.10208338 -0.09849082 -0.09354271 -0.08781633 -0.07879791 -0.07000299 -0.06413147 -0.05371832 -0.04811286 -0.03999345 -0.03594221 -0.02967679 -0.03083713 -0.03549548 -0.03816452], [0.22605164 0.23100298 0.23700184 0.23032029 0.23620224 0.22957116 0.22725438 0.22566739 0.21954874 0.21099578 0.21043649 0.20222366 0.19566092 0.24005154 0.19364063 0.18436205 0.17731928 0.17285113 0.17018424 0.16616748 0.16198805 0.15232017 0.14373677 0.13193835 0.12231473 0.1139679  0.10661848 0.10202002 0.09789876 0.09689824 0.09370882 0.09373383 0.0926663  0.09181527 0.09221725 0.09154691 0.09165582 0.09201924 0.09166027 0.09067457 0.09459782 0.09393881 0.09408786 0.09349939 0.09183693 0.09005873 0.08877186 0.08685515 0.08505946 0.08368544 0.08147481 0.08033417 0.08031753 0.07989463 0.08072075 0.08140043 0.08024384 0.07959497 0.07833951 0.07661306 0.07520469 0.07449648 0.07274369 0.07292614 0.07331287 0.07582311 0.07983177 0.08425354 0.09160176 0.09878262 0.10732356 0.11684743 0.12424094 0.13694334 0.14505265 0.15249383 0.15906522 0.16059973 0.1587531  0.15663234 0.14080764], 25.52, 24.42, False
2022/08/25 00:06:50.345, 34790302, [ 0.1415624   0.12135151  0.10367865  0.1071625   0.08578346  0.08175909  0.06889378  0.06417575  0.06018288  0.04790205  0.044363    0.03921667  0.0348724   0.03094999  0.02414982  0.01924783  0.01269586  0.01234234  0.00841982  0.00575027  0.00223073 -0.00655525 -0.01469337 -0.02484723 -0.0353467  -0.04468315 -0.05290946 -0.0589585  -0.06444369 -0.06732555 -0.06769198 -0.06977532 -0.07215039 -0.07407653 -0.0748161  -0.07605553 -0.07736336 -0.07709688 -0.07887674 -0.0798918  -0.08030028 -0.08076842 -0.08070196 -0.08120004 -0.0830616  -0.08667439 -0.08658735 -0.08543841 -0.08959182 -0.09123461 -0.09347232 -0.09499642 -0.09327575 -0.09355206 -0.09606045 -0.09584124 -0.09572662 -0.0972859  -0.09794291 -0.10163925 -0.10141487 -0.10157333 -0.10721222 -0.10468535 -0.10402453 -0.10600851 -0.10336971 -0.09941352 -0.09527966 -0.0881754  -0.08003329 -0.07318186 -0.06463759 -0.05406446 -0.04912108 -0.04246194 -0.03773125 -0.03315264 -0.03231796 -0.03722121 -0.04140528], [0.23435904 0.2505006  0.23461975 0.23589379 0.23334482 0.22856252 0.22908793 0.3120259  0.23031943 0.21754806 0.21157097 0.20357937 0.1990351  0.19488013 0.18733884 0.18197197 0.17662395 0.17232529 0.16782393 0.18103289 0.16292774 0.15271764 0.14319704 0.13316475 0.12188946 0.11424483 0.10693788 0.10225811 0.09911007 0.09662572 0.09429118 0.09409414 0.09289316 0.09255689 0.0921034  0.09187585 0.09209735 0.09226357 0.09167562 0.09073724 0.09362105 0.09288474 0.09354216 0.09328038 0.09210729 0.08996068 0.08839473 0.0868548  0.08538055 0.0833165  0.08147452 0.08037922 0.07997699 0.07989436 0.08072047 0.0806848  0.07950643 0.07953792 0.07766601 0.076022   0.07477024 0.07347115 0.0719251  0.07111994 0.0721519  0.07482159 0.0779375  0.08432128 0.0901175  0.09715374 0.10685208 0.11547494 0.1232502  0.13535544 0.14381981 0.14907181 0.15680505 0.1593509  0.1569906  0.15415789 0.13726708], 25.53, 24.42, False
2022/08/25 00:06:50.595, 34790552, [ 1.37202482e-01  1.21327483e-01  1.07106073e-01  1.01534492e-01  8.82491156e-02  7.51653051e-02  7.27656918e-02  6.24432086e-02  5.41231314e-02  4.66105553e-02  4.07283535e-02  3.69593828e-02  3.19646583e-02  2.91427905e-02  2.07675104e-02  1.79235717e-02  1.15835213e-02  1.00783081e-02  6.72578608e-03  3.84782943e-03 -4.04089813e-05 -6.69162178e-03 -1.65746882e-02 -2.78205707e-02 -3.74656527e-02 -4.63643275e-02 -5.47421657e-02 -6.04137536e-02 -6.71264347e-02 -6.87152342e-02 -6.97153482e-02 -7.12138620e-02 -7.35647261e-02 -7.60646501e-02 -7.69095450e-02 -7.79016437e-02 -7.86231708e-02 -7.87474417e-02 -8.00318129e-02 -8.17819809e-02 -8.14085932e-02 -8.13062735e-02 -8.21372114e-02 -8.21949884e-02 -8.37152975e-02 -8.72900097e-02 -8.69760815e-02 -8.60530558e-02 -8.98502370e-02 -9.18479775e-02 -9.35534894e-02 -9.51453570e-02 -9.33594661e-02 -9.42391085e-02 -9.62881118e-02 -9.61647355e-02 -9.58938651e-02 -9.71758237e-02 -9.80838527e-02 -1.02092869e-01 -1.02519834e-01 -1.01737440e-01 -1.07904584e-01 -1.04098083e-01 -1.04227196e-01 -1.05485077e-01 -1.03219652e-01 -1.01018961e-01 -9.56675860e-02 -8.74205703e-02 -8.12620120e-02 -7.13662748e-02 -6.66129019e-02 -5.33209845e-02 -4.89980899e-02 -4.42753384e-02 -3.75284131e-02 -3.31530587e-02 -3.20485009e-02 -3.75210737e-02 -4.10834497e-02], [0.25415977 0.25934647 0.25020892 0.24737277 0.24118372 0.23759069 0.23273984 0.23224387 0.22313807 0.21590823 0.21172283 0.20362162 0.19906971 0.19591389 0.1882148  0.18357527 0.17882848 0.17223353 0.17088875 0.1673176  0.16198855 0.15289419 0.1432575  0.13289826 0.12274006 0.11396795 0.10668205 0.10221194 0.09952531 0.09532899 0.09319576 0.09337387 0.09245094 0.0911723  0.0914072  0.09113674 0.09150552 0.09079924 0.0908789  0.08992186 0.09294071 0.09278007 0.09310139 0.09199571 0.09107041 0.08929976 0.08787904 0.08597764 0.08427896 0.08234761 0.08022037 0.0791102  0.07868473 0.07877637 0.07947883 0.07957045 0.0789884  0.07819344 0.07604327 0.07450009 0.07367522 0.0723125  0.07124756 0.07003407 0.07006444 0.08165827 0.08714593 0.08359568 0.08920844 0.09608471 0.10452496 0.11201087 0.12031401 0.1336684  0.13889613 0.14515859 0.15141844 0.15162213 0.15275284 0.20692519 0.15931957], 25.52, 24.42, False
2022/08/25 00:06:50.845, 34790803, [ 1.32503387e-01  1.29739935e-01  1.03805880e-01  1.04422668e-01  8.57884483e-02  7.73774713e-02  7.46710429e-02  6.23877854e-02  5.57472796e-02  4.79920998e-02  4.17936381e-02  3.58395006e-02  3.07514994e-02  2.90550403e-02  2.48380996e-02  1.69575115e-02  1.34240722e-02  9.24780804e-03  7.80347818e-03  4.26827482e-03 -1.10077937e-04 -6.97408630e-03 -1.51513384e-02 -2.60023788e-02 -3.67784432e-02 -4.53919386e-02 -5.48649718e-02 -6.01812269e-02 -6.68450417e-02 -6.81801415e-02 -6.92637895e-02 -7.10798863e-02 -7.33349309e-02 -7.53656710e-02 -7.67508872e-02 -7.68323691e-02 -7.89428133e-02 -7.86099244e-02 -7.95173837e-02 -8.05488857e-02 -8.18092433e-02 -8.19717910e-02 -8.29281961e-02 -8.25755357e-02 -8.40273162e-02 -8.80981403e-02 -8.81081905e-02 -8.67472197e-02 -9.12173248e-02 -9.28619808e-02 -9.47566134e-02 -9.60008060e-02 -9.49381614e-02 -9.47523855e-02 -9.71964574e-02 -9.65416774e-02 -9.66149955e-02 -9.82419769e-02 -9.85394670e-02 -1.02980408e-01 -1.01960368e-01 -1.02187768e-01 -1.09025861e-01 -1.04511892e-01 -1.04957554e-01 -1.06836767e-01 -1.03823689e-01 -1.01192915e-01 -9.62921793e-02 -8.89309829e-02 -7.96261663e-02 -7.22985807e-02 -6.70666492e-02 -5.38044013e-02 -4.97587644e-02 -4.31747660e-02 -3.85231684e-02 -3.31525043e-02 -3.55339804e-02 -3.89468001e-02 -3.92445788e-02], [0.25102576 0.25050183 0.26064637 0.24966379 0.2483505  0.23862058 0.24007307 0.23443998 0.224844   0.2176697  0.21308684 0.20612472 0.31316451 0.21638239 0.19457139 0.18678498 0.18033673 0.17356071 0.17013315 0.16775612 0.16298369 0.15329103 0.14355663 0.13271523 0.12225234 0.1142448  0.1073208  0.102624   0.09990682 0.09702498 0.09448522 0.09463755 0.09414804 0.09288759 0.09224903 0.0917937  0.09238776 0.09196644 0.09199255 0.09036717 0.09335766 0.09308001 0.09305638 0.09238532 0.09131074 0.08981931 0.08811393 0.08653214 0.08469216 0.08317764 0.08091638 0.08009669 0.07978755 0.07984813 0.08037123 0.08043197 0.07998389 0.07905131 0.07834902 0.07572083 0.07483506 0.0734035  0.07260841 0.07198572 0.07261583 0.07489448 0.07889212 0.08438901 0.09056539 0.09822418 0.10775502 0.11503599 0.12374193 0.13694215 0.14349749 0.15112373 0.15981774 0.15963778 0.15698982 0.15492257 0.13890786], 25.53, 24.42, False
2022/08/25 00:06:51.095, 34791052, [ 0.14155444  0.12110655  0.1069978   0.09863     0.08825296  0.07517399  0.07267063  0.05900326  0.05574116  0.0518415   0.04082433  0.03808903  0.02906629  0.02838274  0.02355212  0.01563489  0.01077127  0.01016286  0.00619063  0.00343162 -0.00094512 -0.00809207 -0.01657282 -0.02745563 -0.03862114 -0.0463621  -0.05534944 -0.06070179 -0.0667248  -0.06977479 -0.06928984 -0.07227797 -0.07480106 -0.07526582 -0.07711203 -0.07853039 -0.07839023 -0.0795463  -0.0799891  -0.08194517 -0.08240135 -0.0819252  -0.08225405 -0.08231066 -0.08379775 -0.08769411 -0.08749402 -0.08648889 -0.09067068 -0.09234774 -0.09464385 -0.09537453 -0.0943     -0.09451293 -0.09641021 -0.0969703  -0.09699828 -0.09751852 -0.09915188 -0.10256919 -0.10282743 -0.10173653 -0.10833557 -0.10501498 -0.10566153 -0.10631289 -0.10386223 -0.10125973 -0.09701737 -0.08931596 -0.08126147 -0.07406513 -0.06554829 -0.05486068 -0.05054196 -0.04213459 -0.03890863 -0.03189729 -0.03580451 -0.03549548 -0.04032551], [0.21253614 0.22486818 0.22148792 0.23359764 0.23690869 0.22656025 0.23017882 0.22979047 0.21954874 0.21730534 0.21013255 0.20103564 0.20015392 0.19182049 0.1882326  0.18194144 0.17446117 0.1703355  0.16667049 0.16452488 0.1590578  0.15055424 0.14121973 0.13005771 0.11983707 0.11165247 0.1052127  0.10033595 0.09774002 0.09396794 0.09293853 0.09283    0.09159005 0.09101533 0.09146319 0.09127295 0.09116027 0.09161832 0.09154405 0.09014449 0.09283206 0.09262901 0.09276255 0.09264393 0.09158191 0.08976557 0.08760624 0.08611591 0.08450628 0.08248552 0.08082432 0.07953021 0.07954996 0.079164   0.079925   0.07987494 0.07961583 0.07828961 0.07705245 0.0753801  0.07465115 0.0727568  0.0752694  0.07104855 0.07168803 0.07439467 0.07745191 0.08409478 0.08933152 0.09679736 0.10527432 0.11418009 0.12276375 0.13425259 0.1406774  0.14876468 0.15442609 0.15541391 0.15435024 0.15174381 0.13537133], 25.52, 24.42, False
2022/08/25 00:06:51.345, 34791302, [ 0.13210613  0.12553564  0.10712781  0.10166508  0.08826408  0.07737313  0.07277727  0.06245347  0.05566517  0.05064553  0.044363    0.03912443  0.03300018  0.03018688  0.02337304  0.0187192   0.01423649  0.00999836  0.00788273  0.0042676   0.00177703 -0.00683173 -0.01469337 -0.02464421 -0.03677948 -0.04500585 -0.05406543 -0.06059746 -0.0648431  -0.06779741 -0.06901209 -0.07049309 -0.07333576 -0.07450657 -0.07583726 -0.07736345 -0.07750417 -0.07736691 -0.07934735 -0.0798918  -0.08101304 -0.08111414 -0.08201816 -0.0817133  -0.08302967 -0.087289   -0.08691086 -0.08622974 -0.0898816  -0.09202487 -0.09417134 -0.09499642 -0.0935781  -0.09427248 -0.09609506 -0.09619893 -0.09565457 -0.0978758  -0.09808255 -0.10223726 -0.10117765 -0.1017783  -0.10764404 -0.1053738  -0.10378038 -0.10596712 -0.10301023 -0.09941352 -0.095955   -0.08781596 -0.08002962 -0.07224876 -0.06559916 -0.0538913  -0.04938906 -0.0422981  -0.0367346  -0.03189715 -0.03419633 -0.03650762 -0.04000223], [0.24268371 0.24191968 0.24359727 0.24539457 0.23334482 0.23157117 0.23824455 0.23172177 0.22313902 0.21263305 0.20733317 0.20353713 0.22529904 0.22254586 0.1918651  0.18354472 0.17739787 0.17095235 0.16772192 0.16452447 0.15999626 0.15083354 0.14283741 0.13173298 0.12195165 0.11403087 0.10712839 0.10147971 0.09837745 0.09505614 0.09454161 0.09391663 0.09267702 0.09251691 0.09233031 0.09171232 0.09170928 0.09234951 0.09176043 0.09061111 0.09331117 0.09277925 0.0927185  0.09215494 0.09116889 0.08935313 0.08815825 0.08666555 0.08459922 0.08216236 0.08096347 0.07976948 0.07921313 0.07979831 0.08017147 0.07997462 0.07982714 0.07888943 0.07699281 0.07514135 0.07441213 0.07379916 0.07240908 0.0709746  0.07152862 0.0734669  0.07827977 0.08336719 0.0890067  0.09704887 0.10645743 0.11374133 0.12178374 0.13421815 0.14129237 0.1498501  0.15529931 0.15584224 0.15451068 0.15003632 0.13471795], 25.53, 24.42, False
2022/08/25 00:06:51.595, 34791552, [ 0.14196289  0.12158892  0.11058549  0.10149618  0.08578499  0.08389572  0.07272591  0.0623152   0.0555069   0.05055875  0.04427219  0.03809071  0.03187538  0.03009447  0.02501665  0.01774982  0.01397894  0.00932974  0.00949422  0.00525598  0.00019465 -0.00620694 -0.01377573 -0.02534557 -0.03507132 -0.04429599 -0.05321439 -0.05931119 -0.06505955 -0.06711912 -0.06707278 -0.0703085  -0.07220309 -0.07402584 -0.07461183 -0.07590822 -0.07690026 -0.07714024 -0.07866464 -0.0798918  -0.08076963 -0.0809234  -0.08205219 -0.0817133  -0.08302967 -0.087289   -0.08720228 -0.08605227 -0.09009088 -0.09152465 -0.09376517 -0.09539364 -0.09372927 -0.0940495  -0.09612968 -0.09596736 -0.09602292 -0.0972859  -0.09829927 -0.10268965 -0.10223956 -0.10157333 -0.10742814 -0.10428291 -0.10435448 -0.10627097 -0.10329413 -0.1006441  -0.09496635 -0.08853474 -0.07961528 -0.07219867 -0.06519529 -0.05340683 -0.05015028 -0.04301143 -0.03711898 -0.03339337 -0.03459527 -0.03376885 -0.04075973], [0.23222619 0.24841847 0.24500937 0.25037337 0.23835584 0.23509135 0.23787473 0.2297908  0.22143363 0.21415079 0.21036077 0.20353713 0.19796665 0.19182375 0.18542018 0.1818801  0.17515525 0.16891621 0.16787491 0.16496352 0.15938525 0.15049513 0.14181791 0.13044591 0.12110131 0.11328813 0.10566033 0.10104974 0.09860029 0.09526457 0.0940343  0.09343132 0.09198438 0.09212762 0.09216013 0.09149127 0.09183862 0.09201888 0.09182641 0.09025582 0.09273825 0.09247824 0.0927185  0.09199498 0.09106964 0.08925545 0.0876498  0.08648223 0.08464415 0.08239248 0.0811497  0.08000378 0.07988614 0.07989849 0.08027367 0.07987467 0.07987502 0.07965156 0.07761657 0.07536875 0.07490047 0.07300823 0.07254378 0.0716257  0.07238401 0.07464457 0.07874905 0.08373074 0.08926877 0.09751071 0.10566824 0.11376056 0.12326075 0.13476976 0.14252371 0.14975586 0.15580948 0.15541337 0.15539105 0.15209618 0.13452086], 25.53, 24.42, False
2022/08/25 00:06:51.845, 34791803, [ 0.1459415   0.11769414  0.10704851  0.1044525   0.08581491  0.07736832  0.07857007  0.05895661  0.05859156  0.05203092  0.04207851  0.03885748  0.03572574  0.03104962  0.02388723  0.02083925  0.01406927  0.01176177  0.00834512  0.00575434  0.0023107  -0.00654871 -0.0134495  -0.02490812 -0.03547311 -0.04474095 -0.05259762 -0.05837081 -0.0639436  -0.06684731 -0.06681481 -0.06905115 -0.07174499 -0.07294558 -0.07470432 -0.07575632 -0.07582404 -0.07633603 -0.07759525 -0.07951474 -0.07993204 -0.07987141 -0.08042969 -0.08088075 -0.08184989 -0.08591205 -0.08592071 -0.0852418  -0.08868855 -0.09047544 -0.09267248 -0.09410516 -0.09297186 -0.0931555  -0.09549793 -0.09535547 -0.09472731 -0.09617758 -0.09679404 -0.10123983 -0.10121593 -0.10050339 -0.10729666 -0.10317573 -0.10353336 -0.10503809 -0.10300808 -0.09876247 -0.09493931 -0.0874665  -0.07921425 -0.07176802 -0.06554576 -0.05257368 -0.05002637 -0.04158236 -0.03673223 -0.03189632 -0.03392399 -0.03519353 -0.04108084], [0.31513087 0.28978816 0.27489897 0.27516802 0.26125534 0.25375109 0.25551284 0.23856954 0.22879996 0.21579011 0.20446169 0.20480923 0.19905174 0.18977921 0.18454453 0.18033882 0.1708326  0.16564846 0.16541333 0.16337294 0.15806102 0.15003773 0.14002099 0.12991392 0.12067538 0.11233171 0.10578744 0.10184491 0.09751613 0.09505474 0.09485956 0.09385429 0.09323734 0.09278755 0.0925307  0.09192888 0.09273048 0.09276652 0.09199076 0.09173198 0.09211711 0.09237113 0.09183324 0.09155997 0.0907839  0.08832065 0.087455   0.08578538 0.08381197 0.0817439  0.08031135 0.07915548 0.0785421  0.07852751 0.07967634 0.07916313 0.078877   0.07807758 0.07649706 0.07467416 0.07391114 0.07262918 0.07172406 0.07061048 0.07061176 0.07289133 0.07705186 0.08293217 0.08900306 0.09638406 0.10416344 0.11114879 0.12277514 0.13197536 0.13931535 0.14720439 0.15240723 0.14970341 0.14834877 0.14591735 0.12974362], 25.54, 24.42, False
