exp,bottle,tp,datetime,date,time,wl,c,c_se,a,a_se,b
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,400,3.2885462475,9.063485281196893e-4,0.584742655,0.00365451730153726,2.7038035925
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,404.6,3.2573480825,8.235315813850501e-4,0.6009825125,0.0031578958052630654,2.65636557
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,408.7,3.223710596075,7.676464503293912e-4,0.6151828,0.003410885298896388,2.608527796075
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,412.5,3.1944121575,6.550421570902734e-4,0.6391687125000001,0.0026149582058068773,2.555243445
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,416.9,3.17074908,6.322363078598733e-4,0.66735677,0.005380833317593378,2.50339231
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,421.4,3.1476078199999997,6.199288226461283e-4,0.69222896,0.0030479812396710273,2.4553788599999997
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,426.5,3.128240725,5.829853218066174e-4,0.718381495,0.0014997235202795127,2.40985923
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,430.9,3.1141249325,5.927094830722716e-4,0.7441966524999999,0.0018860894371054522,2.3699282800000003
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,435.5,3.1014451575,5.803320640279248e-4,0.7568038025,0.0013011907569180582,2.3446413550000003
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,439.8,3.0845338025,5.590978879801779e-4,0.7545073375,0.0011136112585451126,2.3300264650000004
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,444.8,3.0518649057,5.476409924749553e-4,0.736394255,0.0010994505100392446,2.3154706507
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,449.9,2.9969286850000003,5.456410084096644e-4,0.7087407925,9.275983113711144e-4,2.2881878925000003
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,455,2.9330488449999996,5.495518553059006e-4,0.683384035,9.411223643904159e-4,2.2496648099999996
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,459.4,2.871108986525,5.30032061534669e-4,0.6661382425,8.221224181314613e-4,2.204970744025
SYN22-5,C,1,2022-08-24T16:55:15Z,2022-08-24,09:55:15,463.8,2.8146657140749998,5.326049040169035e-4,0.65278032,7.697552770259145e-4,2.161885394075
