time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/05/19 08:21:56.406, 59355109, [0.63942857 0.61555527 0.5942851  0.56411232 0.54894566 0.5292812  0.5181574  0.50120887 0.48438513 0.4749472  0.46671549 0.45892004 0.45319759 0.44694674 0.44001172 0.43435934 0.42682867 0.42189672 0.4171571  0.41032332 0.40466757 0.39946574 0.39631323 0.39447416 0.38778689 0.3838877  0.37916915 0.37416081 0.36783242 0.36451277 0.36022548 0.35718755 0.35183217 0.34788289 0.34388917 0.34071864 0.33576254 0.33278213 0.32770755 0.324078   0.31909055 0.31594235 0.31138759 0.3081882  0.30351855 0.2962735  0.29328556 0.29068146 0.28408513 0.27932687 0.27415826 0.26897156 0.26550099 0.26000502 0.25256145 0.24837501 0.24583221 0.24520207 0.24720483 0.24627585 0.25022992 0.2529352  0.24726059 0.24957755 0.24659017 0.24187675 0.24247372 0.24120021 0.24279462 0.24692893 0.25211759 0.25714753 0.26095193 0.26793211 0.27162316 0.27455065 0.28095451 0.28249391 0.27722842 0.277815   0.26894012], [0.37116679 0.35198464 0.33972515 0.32166257 0.3093695  0.32436755 0.29159514 0.26659217 0.26132512 0.25082761 0.24168912 0.23115694 0.21860362 0.2099593  0.20517732 0.19830418 0.19138093 0.18498048 0.18227366 0.17670903 0.17444016 0.16912413 0.16552379 0.1612512  0.15690981 0.15257188 0.14910894 0.14649836 0.14290866 0.13987963 0.13662841 0.13486117 0.13233918 0.13009984 0.1283761  0.12706652 0.12684095 0.12550252 0.12468387 0.12283792 0.12330284 0.1229966  0.12299912 0.12302988 0.12313433 0.1215011  0.12096756 0.11980268 0.11819032 0.11674081 0.11475946 0.11397153 0.11428192 0.11713605 0.12111351 0.12517    0.13037464 0.13196544 0.13056025 0.12539216 0.12002249 0.11417989 0.10852803 0.10251243 0.10023855 0.09965385 0.10127729 0.10437188 0.1099237  0.11417606 0.12102103 0.126872   0.13460865 0.14285794 0.14919794 0.15357251 0.16193429 0.16218988 0.16202799 0.15984539 0.14487529], 25.36, 24.05, False
2022/05/19 08:21:56.656, 59355359, [0.63840537 0.6119286  0.59426836 0.566838   0.55104896 0.52882407 0.51385537 0.5028855  0.481298   0.47488517 0.46417515 0.45668772 0.45014819 0.44601198 0.43832907 0.43130179 0.42616036 0.4219509  0.41421349 0.40931639 0.40266881 0.39814693 0.39376418 0.39167314 0.38591751 0.38353096 0.37755213 0.37195833 0.366366   0.36186335 0.35997371 0.35621849 0.35036918 0.34579011 0.34210038 0.3389409  0.33413405 0.33105182 0.32621628 0.3226859  0.31893615 0.3157529  0.31177063 0.30804214 0.30302134 0.29627253 0.29296881 0.29019036 0.28373488 0.278994   0.27417612 0.26877221 0.26531746 0.26000412 0.25279014 0.24880249 0.24603049 0.2448311  0.24701142 0.24647418 0.25050881 0.25244511 0.24798055 0.24935001 0.24713503 0.24189212 0.24122507 0.24152957 0.24314567 0.24652867 0.25171392 0.25805752 0.26158679 0.26731919 0.27281389 0.27553252 0.28095395 0.28218512 0.27791176 0.27781433 0.27043569], [0.3614378  0.34988136 0.3368493  0.31553402 0.30061872 0.28980683 0.27864138 0.26946894 0.26330299 0.25056997 0.24193588 0.23236779 0.21749801 0.21190021 0.20340679 0.19747212 0.18987257 0.18506514 0.18098113 0.17770853 0.17491778 0.1692912  0.16592754 0.16125152 0.1570914  0.15355957 0.14924635 0.14649924 0.14245596 0.1408798  0.13651468 0.13463745 0.13272698 0.13057224 0.12827182 0.12728692 0.12633545 0.12571989 0.12424052 0.12239005 0.12235587 0.1219726  0.12238582 0.1222868  0.12198736 0.12117192 0.12051739 0.11983579 0.11787911 0.11570852 0.11426385 0.11305508 0.11381528 0.1162791  0.1208709  0.12532081 0.12970723 0.13100951 0.13000876 0.12603394 0.1196608  0.11367439 0.10786116 0.10293857 0.0999239  0.09997007 0.10187667 0.10459689 0.10891469 0.11452618 0.12137194 0.12815633 0.13413628 0.14292776 0.15046398 0.15463019 0.1613216  0.1624731  0.16288853 0.16203447 0.13161346], 25.35, 24.05, False
2022/05/19 08:21:56.906, 59355610, [0.6342007  0.61480762 0.5911526  0.566843   0.55376792 0.52477003 0.51418906 0.50288767 0.48429671 0.47074947 0.46417672 0.45662593 0.45216821 0.44601432 0.4374852  0.43359108 0.42543164 0.42193285 0.41605401 0.407077   0.4031623  0.3995694  0.39381897 0.39043188 0.38557321 0.38206425 0.37682841 0.37135169 0.36639611 0.36221225 0.35886857 0.3554612  0.34891071 0.34532083 0.34195583 0.33681837 0.33354995 0.33071104 0.32607658 0.32176838 0.31754847 0.31492949 0.31059772 0.30742821 0.30172635 0.2954827  0.29153014 0.28975272 0.28298625 0.27859642 0.27251814 0.26831082 0.26470441 0.25952475 0.25209216 0.24772088 0.24509544 0.24464666 0.24624475 0.24582774 0.25008706 0.25202638 0.24723602 0.24806928 0.24577878 0.24305913 0.24220306 0.24153014 0.24243047 0.24650915 0.25163707 0.25702026 0.25950918 0.26827704 0.27127382 0.27444697 0.28180187 0.2797096  0.28058004 0.27743769 0.2697498 ], [0.36316914 0.36632832 0.33685303 0.3277379  0.30205337 0.28980792 0.27901435 0.27129152 0.26472428 0.25225863 0.24185357 0.23367911 0.21968698 0.21190206 0.20604834 0.19835635 0.19211817 0.18582471 0.18236749 0.17838271 0.17417254 0.16956225 0.1662761  0.1611553  0.15709127 0.15344501 0.14978628 0.14655702 0.14263082 0.1402029  0.13712806 0.13375612 0.13222981 0.13104273 0.12858842 0.12706751 0.1265865  0.1257938  0.12438152 0.12288472 0.1231089  0.12314379 0.12328648 0.12258706 0.12254085 0.12132384 0.12106386 0.12011672 0.11832612 0.11642781 0.11485247 0.11433868 0.11418989 0.11680355 0.1213565  0.12611853 0.13037531 0.13148757 0.12978618 0.12585832 0.12038559 0.11449643 0.10812751 0.10301492 0.10023937 0.1002145  0.10253391 0.10456752 0.10992444 0.11627026 0.12109332 0.12940531 0.13462273 0.14228705 0.14992654 0.15557419 0.16255019 0.1634088  0.16225321 0.16185941 0.14794358], 25.35, 24.05, False
2022/05/19 08:21:57.156, 59355860, [0.63940436 0.61914231 0.59426836 0.56643831 0.54833617 0.53185592 0.50989696 0.50637178 0.48595971 0.47488517 0.47035102 0.45887231 0.45422359 0.44880301 0.43915884 0.43588125 0.42825332 0.42388223 0.41657155 0.4097605  0.40513323 0.39994609 0.39588541 0.39359808 0.38861367 0.38317777 0.37788611 0.37392525 0.36764002 0.36331752 0.36052693 0.35590199 0.35141442 0.34623389 0.34321661 0.33849066 0.33535369 0.3316357  0.32637954 0.32284292 0.31895676 0.31590225 0.31156944 0.30856323 0.30351763 0.29641341 0.29291684 0.29083822 0.28424115 0.27950143 0.27465123 0.26929131 0.2660095  0.2603371  0.25291971 0.24878212 0.2465458  0.24542876 0.24724764 0.24707521 0.25116537 0.25266629 0.24770136 0.24881136 0.2471148  0.24305848 0.24155499 0.24152957 0.243151   0.24616889 0.25263427 0.25763359 0.26168005 0.26976605 0.27213089 0.27705895 0.2801064  0.2831133  0.27991878 0.27819135 0.27274249], [0.35692702 0.33542757 0.32483484 0.31653303 0.29722745 0.29032437 0.27731994 0.26893708 0.25773293 0.24964548 0.23911064 0.23130056 0.21957749 0.2099587  0.2025647  0.19596429 0.18990787 0.18506514 0.17987449 0.17785875 0.17401561 0.16945394 0.16460639 0.16098838 0.15726087 0.15278722 0.14978655 0.14649924 0.14207431 0.13929397 0.13626529 0.13457199 0.13245089 0.12999313 0.12818056 0.12686167 0.126409   0.12530874 0.12412577 0.12243582 0.12310929 0.12310177 0.12314353 0.12313142 0.12285862 0.1221751  0.12061273 0.1199398  0.11806437 0.11656352 0.11485295 0.11346871 0.11456418 0.1167082  0.12130883 0.12601845 0.13017026 0.1323915  0.13039447 0.12556851 0.11984205 0.11386409 0.10792727 0.10336385 0.09987382 0.09979483 0.10186829 0.10523946 0.1089736  0.115125   0.12056529 0.1276769  0.13414272 0.14235562 0.14945382 0.15414853 0.15973545 0.16195827 0.162571   0.16168599 0.14399915], 25.35, 24.05, False
2022/05/19 08:21:57.406, 59356109, [0.63424912 0.61050794 0.59064944 0.56567562 0.54866455 0.52737878 0.51214313 0.50278011 0.4797345  0.47612915 0.4641505  0.45553189 0.45318241 0.44508827 0.43832957 0.43359503 0.42684767 0.42325003 0.41664062 0.40878588 0.40272472 0.39863541 0.39467402 0.39125603 0.38632541 0.3820713  0.37792234 0.37164686 0.36573725 0.36314786 0.35917941 0.35541249 0.35042982 0.34579633 0.34312888 0.33722174 0.33505134 0.33073925 0.32628942 0.32215367 0.31737787 0.3145564  0.31027028 0.30658499 0.30190481 0.29501062 0.29184757 0.28942187 0.28267432 0.27791518 0.27287388 0.26799195 0.26421641 0.25917389 0.25194456 0.24793754 0.24509822 0.24469224 0.24667596 0.24672523 0.25011338 0.25203005 0.2472635  0.24861129 0.24657251 0.24191403 0.24186402 0.24153354 0.24278601 0.24653071 0.25127715 0.25757304 0.26095347 0.26963605 0.2709412  0.27662077 0.27979264 0.28187462 0.27923551 0.27852056 0.26928418], [0.35832872 0.35401937 0.3383062  0.32162296 0.30330795 0.29136912 0.27902099 0.27103363 0.25990966 0.24952501 0.24185588 0.2312072  0.21853994 0.2099589  0.20343585 0.19760161 0.18987074 0.18447038 0.17987189 0.17733229 0.17401487 0.16863152 0.16512005 0.16066891 0.15714702 0.15317152 0.14984229 0.14591101 0.14268743 0.14005283 0.13704849 0.13415659 0.13200664 0.13056889 0.12858556 0.12719977 0.1263051  0.12567013 0.12454039 0.12247786 0.12291185 0.12284868 0.1222597  0.12244373 0.12249791 0.12127981 0.12025318 0.11974868 0.11796897 0.11588982 0.11471335 0.1132824  0.11381346 0.11684822 0.12115993 0.12546804 0.129243   0.13175166 0.13028242 0.125798   0.11965641 0.11322903 0.1075239  0.10266444 0.09948575 0.09958204 0.10060897 0.10328043 0.10885317 0.11457263 0.11982753 0.12722888 0.13269751 0.14070438 0.14865866 0.15308812 0.16034539 0.16101682 0.16186734 0.16202897 0.145895  ], 25.37, 24.05, False
2022/05/19 08:21:57.656, 59356359, [0.63618406 0.61627407 0.58802324 0.57271774 0.54350526 0.53636284 0.51831624 0.50312698 0.4844613  0.47499691 0.46917516 0.46004073 0.45421407 0.44787245 0.4391689  0.43510327 0.42825332 0.42453834 0.41661543 0.40922348 0.40513323 0.40045508 0.39686669 0.39243745 0.38663618 0.38382916 0.37925061 0.37294176 0.36730709 0.36363685 0.36049897 0.35697704 0.3508918  0.34675704 0.34376647 0.33854165 0.33583448 0.33187791 0.32679758 0.32282072 0.31826265 0.31573357 0.31144053 0.30755553 0.30282793 0.29613166 0.29281084 0.29040018 0.28398057 0.27887356 0.27435316 0.26861193 0.26501079 0.25944539 0.25295972 0.24824109 0.24618829 0.24522237 0.24679738 0.24729858 0.25074305 0.25244511 0.24823664 0.2488549  0.24683124 0.24335868 0.24093144 0.24218648 0.243151   0.24654849 0.2533994  0.2570831  0.26113713 0.26963292 0.27178188 0.27629566 0.2801064  0.28249689 0.27923363 0.27602802 0.27124633], [0.34857664 0.34159559 0.3368493  0.31446517 0.29257851 0.28848896 0.27694873 0.27102313 0.25612489 0.24926439 0.24177054 0.23018365 0.21860286 0.20995989 0.2043061  0.19674424 0.18990787 0.18502327 0.17934491 0.17785875 0.17311388 0.16896166 0.16552393 0.16007219 0.15674063 0.15355957 0.14941932 0.14579681 0.14263111 0.13941055 0.13620773 0.13433772 0.13189931 0.13068031 0.12873301 0.125876   0.12630839 0.125188   0.12449678 0.12263767 0.12336669 0.12276644 0.12295905 0.12276881 0.12289897 0.12199681 0.12052994 0.11966856 0.11828415 0.11656352 0.11480877 0.11388024 0.11419031 0.11718461 0.12111476 0.12596913 0.13001591 0.13217892 0.12995209 0.12562697 0.12014337 0.11405379 0.10725949 0.10329587 0.09971588 0.09941047 0.10140703 0.10379557 0.10934953 0.11442716 0.12025153 0.12808759 0.13414915 0.14127977 0.14885335 0.15299993 0.16255086 0.1613028  0.16139545 0.16186019 0.14297626], 25.35, 24.05, False
2022/05/19 08:21:57.906, 59356610, [0.63840537 0.60180751 0.59738727 0.56330228 0.55045032 0.52904618 0.51575156 0.50637178 0.481298   0.47890999 0.47035102 0.45554256 0.45421407 0.44972946 0.4391689  0.43357953 0.42820662 0.42318875 0.41659349 0.41088079 0.40673712 0.3994896  0.39588541 0.39201423 0.38812969 0.38382916 0.37958471 0.37389668 0.36724937 0.36389934 0.36108021 0.35674233 0.35158144 0.34769772 0.34368901 0.34005378 0.33598836 0.3316119  0.32772844 0.32396284 0.31928327 0.31676504 0.31241288 0.30869104 0.30433367 0.29723805 0.29356618 0.29115347 0.28420567 0.2799724  0.27445552 0.26923398 0.26651872 0.26083663 0.25308931 0.24908854 0.24656672 0.24538572 0.24718104 0.24712124 0.25022832 0.25359695 0.24702541 0.24984518 0.24798552 0.24219237 0.24279012 0.24119851 0.24314567 0.24810646 0.25123456 0.25763359 0.26149356 0.2687552  0.271448   0.27531238 0.2801064  0.2840417  0.27989441 0.2752753  0.27349037], [0.37260074 0.34988136 0.33121297 0.32060014 0.3027696  0.28745596 0.27901324 0.26893708 0.25971233 0.25120767 0.2403995  0.2288272  0.21964299 0.21093182 0.20433422 0.19604347 0.18983725 0.18502327 0.18160471 0.17728441 0.17396324 0.16923693 0.16438538 0.16173737 0.15697837 0.15398922 0.14992335 0.14714353 0.14261767 0.13964767 0.13676408 0.13458116 0.13250626 0.13030197 0.12841596 0.12718377 0.12669148 0.12598708 0.12440245 0.12317061 0.12330401 0.12314416 0.12291788 0.12272828 0.12263942 0.1220935  0.12128381 0.12043027 0.11851184 0.11679096 0.11503708 0.11434134 0.11484648 0.11709009 0.12140674 0.12602026 0.13022253 0.13212605 0.13050454 0.12660797 0.12050596 0.11436967 0.10766279 0.10357651 0.09994316 0.09927099 0.10140703 0.10472678 0.10891469 0.11452618 0.12017987 0.12724907 0.13366859 0.14023796 0.14752622 0.15309223 0.15912078 0.16088201 0.16202952 0.15818372 0.14346695], 25.35, 24.06, False
2022/05/19 08:21:58.156, 59356860, [0.63419263 0.60758785 0.59426836 0.5660392  0.55134885 0.53185592 0.52004573 0.5028855  0.48296233 0.47633987 0.46913798 0.45887231 0.45013971 0.4469406  0.44002382 0.43512446 0.42614443 0.42320738 0.41719941 0.41032069 0.40464023 0.40131588 0.39636289 0.39365246 0.38821269 0.38456326 0.37885994 0.37450489 0.36858115 0.36389934 0.36080356 0.3569498  0.3518024  0.34819448 0.34416141 0.34050402 0.33621639 0.33258525 0.32849606 0.32396284 0.31963042 0.31659634 0.31228387 0.30888768 0.30433367 0.29657148 0.29358348 0.29131111 0.28438034 0.2799724  0.27480961 0.2697722  0.26602913 0.26067012 0.25327891 0.24856781 0.24614642 0.24559212 0.2476091  0.24769932 0.2516338  0.25337574 0.24844664 0.24935001 0.24735791 0.24307572 0.24153084 0.24285407 0.24387741 0.24734737 0.2530363  0.25714635 0.26123034 0.27085673 0.271448   0.27705895 0.28122041 0.28125715 0.28158367 0.27640463 0.27355446], [0.37115834 0.36021471 0.33332041 0.31959699 0.3032952  0.28980683 0.27975822 0.27102313 0.25971233 0.25082476 0.24177054 0.23367862 0.21964299 0.21190187 0.20604827 0.19674424 0.19141674 0.18561627 0.18179129 0.17670999 0.17396324 0.16961656 0.1653585  0.16152978 0.15679716 0.15388859 0.14947696 0.14655732 0.14386149 0.13999727 0.1371285  0.13504056 0.13250598 0.1305182  0.12862735 0.12791831 0.12653667 0.12579429 0.12428769 0.12346393 0.12330401 0.12314416 0.12316337 0.12333199 0.12309528 0.121956   0.12120107 0.12060768 0.11851184 0.11625537 0.11557834 0.11420343 0.11437847 0.11761378 0.12121265 0.12626866 0.13053    0.13255129 0.13039447 0.12614664 0.12104989 0.11462296 0.10832608 0.10400186 0.09971588 0.10003975 0.10260269 0.10472678 0.10948998 0.11452618 0.12056529 0.12896067 0.13364308 0.1421856  0.14986361 0.15481526 0.15912078 0.1621922  0.16101226 0.16019539 0.14404953], 25.35, 24.05, False
2022/05/19 08:21:58.406, 59357109, [0.62997544 0.62348778 0.6010486  0.56056349 0.55889333 0.52904618 0.52021423 0.50456794 0.48745756 0.47902443 0.46796138 0.458894   0.45420455 0.45252459 0.44001897 0.43664878 0.42964923 0.4251211  0.42012061 0.41251508 0.4056263  0.40273806 0.39676072 0.39478637 0.38973386 0.38526997 0.38089325 0.37485182 0.36907461 0.36567358 0.36188243 0.35820562 0.35367233 0.34863862 0.34532953 0.34040246 0.33743652 0.33404307 0.32889128 0.32463576 0.32210223 0.31843331 0.31406414 0.31098014 0.30540288 0.29850287 0.29498857 0.29290514 0.28645635 0.28156084 0.27655222 0.2711962  0.26817065 0.26214937 0.25535452 0.25069172 0.24797616 0.2476478  0.24890795 0.24907932 0.25285509 0.25512294 0.24956616 0.25104012 0.24920177 0.24533993 0.2443076  0.24417389 0.24533064 0.24898575 0.25520216 0.25909567 0.26321579 0.27194744 0.27349701 0.27902763 0.28407886 0.2843503  0.28158367 0.27965095 0.27124633], [0.33750951 0.32923082 0.31847809 0.30129016 0.28974734 0.27600284 0.27074878 0.26138888 0.2545162  0.24496255 0.23782135 0.2288272  0.21531165 0.20509666 0.20514933 0.19518449 0.18776749 0.18244292 0.17881556 0.17503668 0.17152521 0.16666308 0.16368864 0.15980935 0.15493055 0.15185763 0.14837519 0.14468279 0.14145915 0.13838456 0.13545962 0.13323172 0.13085115 0.1295221  0.12819504 0.12582436 0.12536826 0.12492078 0.12352536 0.12212365 0.1229586  0.1229553  0.12343017 0.12299064 0.12281827 0.12169605 0.1211597  0.1199398  0.11851184 0.11616327 0.11508126 0.1136066  0.11447133 0.11709009 0.12126075 0.12582116 0.13032461 0.13212583 0.12956526 0.12551005 0.12020459 0.11664714 0.11114043 0.10294722 0.09957716 0.09902604 0.10127036 0.10401932 0.10879684 0.11522389 0.12112946 0.13667193 0.13557798 0.14023796 0.14825298 0.15290766 0.16058786 0.16116248 0.16272974 0.15835716 0.14443837], 25.35, 24.05, False
