time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/05/18 16:38:51.044, 2769529, [1.00193836 0.97361528 0.94380989 0.92099175 0.90707164 0.87975389 0.86620454 0.84778771 0.83294403 0.82208495 0.81479308 0.80861105 0.79768779 0.79058013 0.78124923 0.77042343 0.76458997 0.75571029 0.74604714 0.73603282 0.72935788 0.72151868 0.71682256 0.70998592 0.70277969 0.69651037 0.6884652  0.68183342 0.6727924  0.66799324 0.66109862 0.65548354 0.64799804 0.64085075 0.63520294 0.62839101 0.62319575 0.61744802 0.6099174  0.60429212 0.59822039 0.59336327 0.58686389 0.58240738 0.57541739 0.56691767 0.56215092 0.55821909 0.55060778 0.54467376 0.53856112 0.53064916 0.52584939 0.51776798 0.50930934 0.50540363 0.50362785 0.506615   0.51134881 0.51342815 0.51896193 0.52100053 0.51460228 0.51560792 0.51020494 0.5036014  0.50199579 0.49822626 0.49894925 0.50140994 0.50521393 0.5092991  0.51103967 0.51795178 0.52203928 0.5244799  0.52968002 0.52801013 0.52661142 0.52333596 0.51865786], [0.35991736 0.36981631 0.35795982 0.35170218 0.34102385 0.33497337 0.32755945 0.32310051 0.31148861 0.30487059 0.29768026 0.28361039 0.27108545 0.26439681 0.25521105 0.24826237 0.24087709 0.2347252  0.23013313 0.22702945 0.22354799 0.21886085 0.21447193 0.20983466 0.20422581 0.20042404 0.19679751 0.19290456 0.18830636 0.18610112 0.18097148 0.17858959 0.17527635 0.17228697 0.17002535 0.16809745 0.16721909 0.16609395 0.16417874 0.16311402 0.16373385 0.1629876  0.16300557 0.16301578 0.16301703 0.16185748 0.160906   0.16056658 0.15807582 0.15660154 0.15456119 0.15360386 0.15417839 0.15804795 0.16363922 0.17069283 0.17665567 0.17906439 0.17716603 0.17155873 0.16370497 0.1554343  0.14678008 0.13982672 0.13553805 0.1342582  0.13603227 0.1377072  0.14054469 0.14571419 0.15230983 0.15781034 0.16291205 0.17065559 0.17619333 0.18117195 0.18828514 0.18792547 0.18862835 0.18476658 0.17002709], 25.01, 22.20, False
2022/05/18 16:38:51.294, 2769780, [0.99893534 0.97700942 0.94999381 0.92300524 0.90815342 0.87886403 0.86430823 0.84777899 0.83270762 0.82056008 0.81508557 0.80641106 0.79698072 0.79360282 0.77955426 0.77534897 0.76383126 0.75708697 0.74917401 0.73772403 0.73040287 0.72395448 0.71637797 0.71211612 0.70478384 0.69802822 0.69025771 0.68285655 0.67540267 0.66891037 0.66406985 0.65773473 0.6514647  0.64439181 0.63834357 0.63131577 0.62666415 0.62121102 0.61431167 0.60873204 0.60450894 0.59982775 0.59391341 0.58913774 0.58206904 0.57400449 0.56888411 0.56596195 0.55778625 0.55236873 0.54596145 0.53849232 0.53367351 0.52553504 0.51741675 0.51332256 0.5117689  0.51427381 0.51949734 0.52151845 0.5275222  0.52971629 0.52378624 0.52378357 0.51861523 0.51323918 0.5098168  0.5078069  0.50706203 0.50999778 0.51465329 0.51904295 0.52007399 0.52834972 0.53096458 0.53393457 0.53868219 0.53946618 0.53726565 0.53437527 0.53016243], [0.41573944 0.41746835 0.38624145 0.38021979 0.36638557 0.35517834 0.34678792 0.33751988 0.32594226 0.31558823 0.30864248 0.29326047 0.2809111  0.27027982 0.26135196 0.2545819  0.24736983 0.24128587 0.23609853 0.22967083 0.22743887 0.22283196 0.21741755 0.2130549  0.20826755 0.20384372 0.20002288 0.19601868 0.19099398 0.18758831 0.18319788 0.18003624 0.17681908 0.17485181 0.17131619 0.17022414 0.16956067 0.16777038 0.16624304 0.16437155 0.16349929 0.16355304 0.16339985 0.16333959 0.1630417  0.16227457 0.161183   0.16092198 0.15883829 0.15705325 0.15487991 0.15420429 0.15427661 0.15852727 0.16442227 0.17105204 0.17727094 0.17975988 0.17761474 0.17253973 0.1646193  0.15594053 0.14704717 0.14104574 0.13613102 0.13493165 0.13603742 0.13818601 0.14256989 0.14725785 0.15198966 0.15865744 0.16434198 0.17004242 0.1773336  0.18298886 0.18902425 0.19061582 0.19056025 0.18863875 0.17373528], 25.00, 22.20, False
2022/05/18 16:38:51.544, 2770029, [1.00041067 0.98776084 0.94775996 0.93393195 0.90629808 0.88743734 0.86382767 0.85700064 0.8361401  0.82662782 0.81779862 0.81019757 0.80240982 0.79772753 0.78512272 0.77879066 0.76921465 0.76195678 0.75233285 0.74352698 0.73524718 0.72793551 0.72099281 0.71767435 0.70962045 0.70260177 0.6960125  0.6876466  0.67997369 0.6745489  0.66761714 0.66250916 0.65489944 0.64839468 0.64312994 0.63542994 0.63057393 0.62429082 0.61785323 0.61272421 0.60822282 0.60343623 0.59726669 0.59172247 0.58547969 0.57686861 0.5720837  0.56847384 0.56062697 0.55504178 0.54831171 0.54157676 0.53590136 0.52835643 0.51976454 0.51571682 0.51483303 0.51643326 0.52110867 0.52474495 0.52931879 0.53184289 0.52603928 0.52536957 0.52142667 0.51475043 0.51083098 0.50921813 0.5082824  0.51174613 0.51512202 0.51956113 0.52122867 0.53077954 0.53023794 0.53528662 0.53900391 0.53896687 0.53792419 0.53367224 0.5281895 ], [0.41573661 0.40280953 0.38771789 0.38233115 0.36296348 0.35461698 0.34186978 0.33751837 0.32477248 0.31416303 0.30694391 0.29455147 0.2798178  0.26934531 0.26222955 0.25300941 0.24663769 0.23862932 0.23544065 0.23138434 0.22677517 0.220922   0.21787383 0.21290347 0.20801779 0.20384399 0.19923914 0.19526628 0.19088487 0.18715829 0.18239131 0.17964112 0.17638806 0.17339226 0.17131286 0.16955309 0.16839126 0.1664972  0.1655019  0.16408339 0.16425742 0.16402045 0.16383264 0.16386748 0.16371568 0.16282843 0.16183152 0.16142807 0.15965385 0.15751498 0.15542872 0.15443856 0.15517028 0.15924773 0.16486376 0.17106095 0.17774666 0.18035257 0.1786172  0.17324472 0.16553301 0.15639138 0.14832268 0.141474   0.13629298 0.13616366 0.13756616 0.13841435 0.14315156 0.14756241 0.15308616 0.15908762 0.1658007  0.17278129 0.17847196 0.18509564 0.18988542 0.19286876 0.19121795 0.18994533 0.17373588], 25.00, 22.20, False
2022/05/18 16:38:51.794, 2770279, [0.98908734 0.96283339 0.94068065 0.92300524 0.8979996  0.87930022 0.85864918 0.84749721 0.82905075 0.81806933 0.81116524 0.80409308 0.79577532 0.78965185 0.7777925  0.77279925 0.76010051 0.75367455 0.74664836 0.73433431 0.7272591  0.72198404 0.71363323 0.70871855 0.70237081 0.69536736 0.68882003 0.68045744 0.67279701 0.66672862 0.66168182 0.65548644 0.64741572 0.64182983 0.63594323 0.62928785 0.62382619 0.61848575 0.61129851 0.6056299  0.60062047 0.5954942  0.58932868 0.584801   0.57796826 0.57029922 0.56501927 0.56124162 0.55360241 0.54784249 0.54139592 0.53422274 0.52878262 0.52146739 0.51310256 0.50794974 0.50721952 0.50933225 0.51395756 0.51681508 0.52210399 0.52452118 0.51831292 0.51824004 0.51356118 0.50751336 0.50302115 0.50216465 0.50277978 0.50319867 0.50862527 0.5124027  0.51475195 0.52280125 0.52348815 0.52744567 0.53327801 0.53355048 0.52939795 0.52633276 0.52254018], [0.40771537 0.40496834 0.39121967 0.36901213 0.35727362 0.35349973 0.34187089 0.33751988 0.32477407 0.31243739 0.304179   0.28959018 0.27770779 0.26733684 0.25783856 0.25069818 0.245223   0.238056   0.23381383 0.22927181 0.22512767 0.2205289  0.21665396 0.21154632 0.2066567  0.20262393 0.19841055 0.19443499 0.18992774 0.18652462 0.18219437 0.17916941 0.17637528 0.1737524  0.1712191  0.16942361 0.16821187 0.16704175 0.16542916 0.16374381 0.16224486 0.16191753 0.16214244 0.16194863 0.16224477 0.16148401 0.16039758 0.15947718 0.1577108  0.15592256 0.15346674 0.15272967 0.15347326 0.1572842  0.16333906 0.16999585 0.17603469 0.17906558 0.17661945 0.17172878 0.16419499 0.15613158 0.14770646 0.14061781 0.13665524 0.13506627 0.13610322 0.13777114 0.14150186 0.14721136 0.15231146 0.15907337 0.1633968  0.1716624  0.17793623 0.18155345 0.18841146 0.19126926 0.19088872 0.18956179 0.17415788], 25.00, 22.20, False
2022/05/18 16:38:52.044, 2770529, [1.00192213 0.96284558 0.94379867 0.91688941 0.90281312 0.87119252 0.86019213 0.84582688 0.8309962  0.81637709 0.8137321  0.80397345 0.79567707 0.78847736 0.77857075 0.77363122 0.76236734 0.75570874 0.74601813 0.73716842 0.72829216 0.7219857  0.71499905 0.70957363 0.70278062 0.69537307 0.68917634 0.68217074 0.67377966 0.66861063 0.66288404 0.65631773 0.65011441 0.64284811 0.63688393 0.63066292 0.62513295 0.61992619 0.61372458 0.60794903 0.60433201 0.59910041 0.59356142 0.5875623  0.5813868  0.572981   0.56821611 0.56460453 0.55660828 0.5506805  0.54392045 0.53696328 0.5317451  0.52412574 0.51561209 0.51090459 0.5102643  0.51230439 0.51746112 0.51981767 0.52480929 0.52734807 0.52105011 0.5216788  0.51693669 0.50992896 0.50756374 0.50396226 0.50474284 0.50702233 0.51090208 0.51612482 0.51661156 0.52605234 0.52660854 0.53068923 0.53507897 0.53329995 0.5308696  0.52977802 0.52403256], [0.43184171 0.41529895 0.39919998 0.37824259 0.36562413 0.35984525 0.35212733 0.33993076 0.32775663 0.3171665  0.30853825 0.29564252 0.28091161 0.27131006 0.26310649 0.2553535  0.24873473 0.24246717 0.23594361 0.23235466 0.22725582 0.22278366 0.21945133 0.2144631  0.21013755 0.20550052 0.2004325  0.19639191 0.19267547 0.18806474 0.18434324 0.18087139 0.17760136 0.17475181 0.17210735 0.17063884 0.16918823 0.16831113 0.16659476 0.16443963 0.16468615 0.16406005 0.16364787 0.16350516 0.16345877 0.1630044  0.16204731 0.1612901  0.15934011 0.15719977 0.15583856 0.15439352 0.15549665 0.15910241 0.16452212 0.17130569 0.17763904 0.17992012 0.17889009 0.17295062 0.16571489 0.15664987 0.1481198  0.1416871  0.13743496 0.13629655 0.13703539 0.13876568 0.14352512 0.14901021 0.15298728 0.16123586 0.16532643 0.17440095 0.17981125 0.18442402 0.19123306 0.19192103 0.19364018 0.1895602  0.17599107], 25.01, 22.20, False
2022/05/18 16:38:52.294, 2770780, [1.0019059  0.96396088 0.94378745 0.91483919 0.8985438  0.88443172 0.86242277 0.8455417  0.82905075 0.81806933 0.8125214  0.80409308 0.79788534 0.78771908 0.78216181 0.77125126 0.76232068 0.75309324 0.74670471 0.73551638 0.72832335 0.72200795 0.71457366 0.71084674 0.70357714 0.69574872 0.68953232 0.68217186 0.67409036 0.66796745 0.66287574 0.65631573 0.65037836 0.64310668 0.63809564 0.6304247  0.62533964 0.61991552 0.61309905 0.6067796  0.60358866 0.59783723 0.5925082  0.58704722 0.58070871 0.57196803 0.56702323 0.56393126 0.55611219 0.54983588 0.5437663  0.53644235 0.53155405 0.52375394 0.51560299 0.51109709 0.50910414 0.51249182 0.51725552 0.51872962 0.52503365 0.52688898 0.52053789 0.52087217 0.51524123 0.50992992 0.50786176 0.50389288 0.50480144 0.50659678 0.51056811 0.51612403 0.51661079 0.52574725 0.52682689 0.52960805 0.53539969 0.53428512 0.53315521 0.5302237  0.52403216], [0.39171534 0.39056134 0.36580027 0.36597377 0.35272202 0.34883772 0.33245696 0.33120575 0.31934052 0.31386113 0.30182594 0.29210323 0.27654071 0.26833298 0.26047447 0.25140637 0.24590489 0.23859589 0.23602147 0.23019906 0.22585919 0.22092189 0.21823097 0.21295388 0.20826755 0.20379102 0.19934583 0.19532018 0.19099398 0.18705643 0.18375402 0.17998294 0.17698865 0.1743849  0.17215872 0.16978978 0.16883125 0.16811134 0.16619781 0.16412678 0.16269937 0.16206477 0.1616959  0.16180708 0.16174931 0.160714   0.16008266 0.15934078 0.15806416 0.15578646 0.15369812 0.15272967 0.15328702 0.15718589 0.16275903 0.16939244 0.17505226 0.17772822 0.17600501 0.17033774 0.16334085 0.15416662 0.14623982 0.13890658 0.13393993 0.13271592 0.13417466 0.13603012 0.1392723  0.14471119 0.14956972 0.15520677 0.16099432 0.16738118 0.17318453 0.17916678 0.18387198 0.18516995 0.18485749 0.1825403  0.16532663], 25.00, 22.20, False
2022/05/18 16:38:52.544, 2771029, [1.01179055 0.97587364 0.94912483 0.92711022 0.90815777 0.88700418 0.86690248 0.84973859 0.83591723 0.82547973 0.82278023 0.81007608 0.80442104 0.79570891 0.78413646 0.77885    0.77063671 0.76061399 0.75305349 0.74352874 0.73416544 0.72888567 0.72139734 0.71511792 0.70921957 0.70183876 0.69565477 0.68696817 0.67966516 0.67329946 0.66793405 0.66108454 0.65569255 0.64891716 0.64190042 0.63589586 0.63060279 0.62515315 0.61788957 0.61216746 0.60673763 0.60165271 0.5956845  0.58998881 0.58378213 0.57535519 0.57093247 0.56661689 0.55911975 0.55371594 0.54681382 0.53918404 0.53417881 0.52643025 0.51816447 0.51368409 0.51236643 0.51487409 0.51928455 0.52216963 0.52750688 0.52972396 0.52328909 0.52431702 0.51946219 0.51264375 0.51079514 0.50743722 0.50786631 0.51080181 0.51418462 0.51923525 0.52186729 0.52835017 0.53096482 0.53393429 0.53720168 0.53847983 0.53406634 0.5343755  0.52893583], [0.41413229 0.40520764 0.39919624 0.37929561 0.3682757  0.35517943 0.34268857 0.33812135 0.32637343 0.31828316 0.30885309 0.2946198  0.28098808 0.27032766 0.26310642 0.25302423 0.24658689 0.24186003 0.23540127 0.23129818 0.22677496 0.22317721 0.2186377  0.21398495 0.20943084 0.20445365 0.19986233 0.19563927 0.19149964 0.18689154 0.18348208 0.18068942 0.1773798  0.17422996 0.17230588 0.17068861 0.16923685 0.16801735 0.16659528 0.16542595 0.16445047 0.16393832 0.16393654 0.16411096 0.163103   0.16247218 0.16214557 0.16121013 0.15912299 0.15698068 0.15552222 0.15398538 0.15502802 0.15901169 0.16447621 0.17120258 0.17697634 0.17965757 0.17861663 0.17266384 0.16559139 0.15702533 0.14832203 0.14097968 0.1372067  0.13566997 0.13683545 0.1389941  0.14272004 0.14707138 0.15302024 0.15951659 0.16532698 0.17177543 0.17807076 0.18365778 0.18988409 0.18981593 0.19019019 0.189561   0.17373467], 25.00, 22.21, False
2022/05/18 16:38:52.794, 2771279, [1.01180678 0.97474633 0.94690867 0.92642891 0.90871718 0.88657154 0.86914862 0.85810941 0.83294155 0.82948988 0.82157692 0.80763623 0.8053246  0.79562513 0.78590094 0.7779611  0.7713951  0.76257553 0.75230566 0.74353051 0.73521561 0.72840676 0.72189539 0.71725653 0.70962079 0.70298382 0.69601487 0.68834125 0.67998254 0.67424511 0.66942298 0.66280103 0.65597529 0.64916347 0.64385212 0.63658048 0.63144851 0.62618841 0.61906957 0.61372167 0.60784559 0.60288314 0.59691526 0.59137697 0.58513918 0.57670668 0.57209063 0.568475   0.56064115 0.55453995 0.54797478 0.54123587 0.53575295 0.52801093 0.51904317 0.51478552 0.51408136 0.51623773 0.52113651 0.52367745 0.52911094 0.53113616 0.52554411 0.52591281 0.52058757 0.51414924 0.51112209 0.50881494 0.50822412 0.51127478 0.51545651 0.51914008 0.52110095 0.52947925 0.53052627 0.53474714 0.53745997 0.53909824 0.53751717 0.53207644 0.5277098 ], [0.40609775 0.40497725 0.37485007 0.37006519 0.3587942  0.35406182 0.33941798 0.33301655 0.3255182  0.31356159 0.30151926 0.28959164 0.27974277 0.26831819 0.26047644 0.25143681 0.24448968 0.23869431 0.23369611 0.23024101 0.22560774 0.22194891 0.21706039 0.21187248 0.20756052 0.20333837 0.19903324 0.1950242  0.18976254 0.18614782 0.1828913  0.17963929 0.17698739 0.17380604 0.17166035 0.16960044 0.16814842 0.16697673 0.16559909 0.16376734 0.16414657 0.16347051 0.16321508 0.16300205 0.16349711 0.16227296 0.16131915 0.16074378 0.15914963 0.15714652 0.15487846 0.15361192 0.15469265 0.15876837 0.16408064 0.17079662 0.17660694 0.17975899 0.17762069 0.17225171 0.16504278 0.15619891 0.1477157  0.14089663 0.13674858 0.13486275 0.13590123 0.13876528 0.14294342 0.14730303 0.15305198 0.15951575 0.16435035 0.17119627 0.17907212 0.18241456 0.19024755 0.19075923 0.19072292 0.18863637 0.17250523], 25.01, 22.21, False
2022/05/18 16:38:53.044, 2771529, [1.00196271 0.96287605 0.95090923 0.9257587  0.90578366 0.87932991 0.86279473 0.85505875 0.8324986  0.82093721 0.81615397 0.8039807  0.79899664 0.79277116 0.78223786 0.77291737 0.76681384 0.75509569 0.74920586 0.73893591 0.72884432 0.72394809 0.71549695 0.71297599 0.70359292 0.69879738 0.69098464 0.68286332 0.67573798 0.66924622 0.6643864  0.65774847 0.65065087 0.64361709 0.63834986 0.63181305 0.6266787  0.62055467 0.61412602 0.60816243 0.60396322 0.59892943 0.59339915 0.5875805  0.58105221 0.57248228 0.5680488  0.56444399 0.55646238 0.55035402 0.54409824 0.53715141 0.5312249  0.52394167 0.51490029 0.51035248 0.50949672 0.51191252 0.51745502 0.52006133 0.52482005 0.52711499 0.52182631 0.52141743 0.51722076 0.51052855 0.50657993 0.50532424 0.50397223 0.5070238  0.51130569 0.51499498 0.51763879 0.52557734 0.52610276 0.53042147 0.5350799  0.53552285 0.53193634 0.53048183 0.52451295], [0.39972718 0.39467002 0.38424678 0.36399182 0.36032121 0.34940148 0.33737273 0.33151282 0.32392935 0.31544293 0.30598019 0.29094905 0.27981984 0.26632791 0.25871002 0.25140536 0.24592832 0.23808704 0.23303582 0.23133901 0.22537771 0.22190028 0.21665365 0.21338091 0.20756001 0.20356315 0.19934395 0.19531809 0.18981615 0.18726486 0.18294384 0.18008635 0.17731231 0.17380412 0.17136328 0.16964777 0.16851822 0.16740938 0.1659139  0.16405393 0.16433883 0.1640989  0.16368557 0.16350301 0.1639521  0.16282414 0.16190738 0.16124735 0.15916144 0.1567059  0.15524513 0.15407005 0.15502547 0.15862262 0.16432666 0.17120042 0.17717051 0.17981663 0.17806042 0.1719012  0.16474105 0.15600645 0.14738472 0.14117512 0.13642377 0.13542052 0.13649705 0.13766518 0.14213649 0.1472548  0.15195417 0.15908427 0.16339293 0.17054085 0.17846682 0.18298472 0.18742335 0.18981127 0.19141864 0.18714677 0.17250283], 25.02, 22.20, False
