time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/05/19 12:54:36.802, 75715504, [1.24713679 1.209034   1.19188366 1.15550602 1.13739937 1.11031839 1.08707758 1.07230975 1.05284571 1.04797932 1.03826808 1.03372382 1.02984488 1.02103906 1.0096896  1.00565117 0.99341628 0.98655748 0.97353784 0.96065409 0.95245715 0.94321431 0.93785912 0.93094809 0.92128149 0.91254345 0.90390765 0.89316128 0.88315485 0.8741332  0.86720007 0.85709121 0.84740497 0.837762   0.82801791 0.81698293 0.80837307 0.79922256 0.78863479 0.77957629 0.76282771 0.75532515 0.745477   0.73584733 0.72544368 0.7126044  0.70400605 0.6968455  0.6858965  0.67657041 0.66651133 0.65493877 0.64352973 0.63091575 0.61678468 0.60859987 0.60790994 0.61389602 0.6249756  0.6343637  0.64488471 0.65067725 0.64498922 0.6426932  0.63541452 0.62356049 0.61764633 0.61266806 0.60839456 0.61026792 0.61288324 0.61472225 0.61709791 0.62313197 0.62392862 0.62705272 0.62816336 0.62773803 0.62029642 0.61686238 0.61024496], [0.4804903  0.44096408 0.43919045 0.43327379 0.42544545 0.40860287 0.4046717  0.39611683 0.39112537 0.37870972 0.36556584 0.34779367 0.33014773 0.31769368 0.30483093 0.29372893 0.28403943 0.27388074 0.26851436 0.26339191 0.25848977 0.25298162 0.26593795 0.23807465 0.23213829 0.22563329 0.2198361  0.21413522 0.20804618 0.20349107 0.19696723 0.19275946 0.18651662 0.18289437 0.17975198 0.17654304 0.17545805 0.1740868  0.17230863 0.17017677 0.1696583  0.16940048 0.16881591 0.1715094  0.17031289 0.1699063  0.16986389 0.1694012  0.16753449 0.16542018 0.16263966 0.1619433  0.16411332 0.17166574 0.18414042 0.1982326  0.21097311 0.21794161 0.21532808 0.20631456 0.19244287 0.17585773 0.1606806  0.14893118 0.14035991 0.13669829 0.13682801 0.13775907 0.14314933 0.14840055 0.15563866 0.1625022  0.17022629 0.1781872  0.18523834 0.19039935 0.19676496 0.19794239 0.19551885 0.19310604 0.17576081], 26.14, 24.37, False
2022/05/19 12:54:37.052, 75715755, [1.23866436 1.21407822 1.18761172 1.15185286 1.13181513 1.10698058 1.08278061 1.06942504 1.05068736 1.03532217 1.03537277 1.02923282 1.02159034 1.01551426 1.00468007 0.99798982 0.98795483 0.97869912 0.96821975 0.9550388  0.94622408 0.93724947 0.9291321  0.92337676 0.91491662 0.90569395 0.89781533 0.88665006 0.87555123 0.86718551 0.85905277 0.85084655 0.84038177 0.83057633 0.82120518 0.81049926 0.80034803 0.79242418 0.78130364 0.77252361 0.76379948 0.75532475 0.74584759 0.73566448 0.72508979 0.71277988 0.70435618 0.69737023 0.68624497 0.67743888 0.66668116 0.65546342 0.64461137 0.63109464 0.61676851 0.60955496 0.60810532 0.61429405 0.62624264 0.63502128 0.64628531 0.65190083 0.64602415 0.64515323 0.63658349 0.62545356 0.61934757 0.61477106 0.60963064 0.61202118 0.61393011 0.61867943 0.61873696 0.62533134 0.62695227 0.62875944 0.63036016 0.63055213 0.62467685 0.61828312 0.61024439], [0.44418223 0.43491751 0.43877041 0.42907365 0.41842854 0.40799417 0.39665425 0.39429094 0.38765235 0.37475368 0.36297951 0.34311939 0.32897837 0.31474324 0.30393643 0.29292061 0.28119824 0.27241339 0.26660529 0.26224097 0.25706724 0.25248851 0.2458887  0.23898564 0.23275516 0.22519492 0.21899506 0.21307917 0.20742514 0.20219819 0.19655217 0.19106474 0.18696602 0.18184792 0.17855078 0.1760163  0.17467557 0.1739938  0.17199208 0.16988727 0.16926851 0.16927875 0.16881656 0.16929084 0.17035216 0.16994615 0.16960669 0.16936171 0.16735763 0.16478877 0.16227879 0.16176047 0.1643012  0.1717662  0.18388976 0.19823313 0.21082969 0.21718974 0.21571951 0.20620496 0.1920737  0.17611192 0.16035048 0.14759207 0.14022624 0.13665394 0.13662737 0.13850983 0.14203865 0.14861427 0.15447228 0.1625305  0.16881391 0.17706263 0.18544656 0.19040052 0.19466812 0.21062355 0.19275439 0.1897598  0.17368027], 26.14, 24.38, False
2022/05/19 12:54:37.302, 75716004, [1.23814597 1.21628175 1.17600054 1.15276562 1.12553569 1.10211194 1.08373199 1.06358259 1.04253641 1.03559593 1.03370688 1.02592061 1.02293873 1.01379914 1.00395488 0.99778152 0.98625757 0.97812004 0.96620611 0.95391722 0.94622723 0.93785511 0.93010728 0.92289771 0.91449247 0.90488983 0.89707374 0.88520152 0.87627188 0.86719921 0.85998992 0.85083529 0.83982734 0.83084896 0.82120024 0.80978869 0.8012661  0.7922069  0.78193322 0.77252537 0.76477415 0.7562699  0.74621701 0.73675173 0.72651476 0.71330881 0.70505921 0.69824614 0.68659023 0.67743594 0.66738246 0.65600063 0.64515839 0.63127509 0.61752965 0.60935753 0.60888682 0.61490872 0.62602626 0.63568896 0.64628915 0.65214685 0.6457686  0.64460281 0.63572566 0.62514301 0.61964896 0.6133968  0.6107484  0.61196415 0.61344744 0.61676147 0.61902652 0.62514179 0.62695262 0.62654681 0.63059926 0.62750955 0.6242443  0.6185165  0.609737  ], [0.45238744 0.44734997 0.44075614 0.43244537 0.41820583 0.41096496 0.40629344 0.39063896 0.39063272 0.37798683 0.36285538 0.34545722 0.32775785 0.31471573 0.30395133 0.2913105  0.30350192 0.27111207 0.26670768 0.26343031 0.25738525 0.2534749  0.24722103 0.23893703 0.2320882  0.22664078 0.2194156  0.21359071 0.20651959 0.20246665 0.19732855 0.19236191 0.1870694  0.18300296 0.17879823 0.17634514 0.17503586 0.17364857 0.1723819  0.17040508 0.16996364 0.16946717 0.1691853  0.1696145  0.17077265 0.17000621 0.16974421 0.16936068 0.16731561 0.1647046  0.16283038 0.16181207 0.16444276 0.17210127 0.18355695 0.19843173 0.2109249  0.21751548 0.21609668 0.20619232 0.19244258 0.17585747 0.16068033 0.14815336 0.13953557 0.13669796 0.1364248  0.13757068 0.14273338 0.14720329 0.15440538 0.16209638 0.16829477 0.17709966 0.1845625  0.19039876 0.19528217 0.19633414 0.19551808 0.1917942  0.17452625], 26.15, 24.38, False
2022/05/19 12:54:37.552, 75716254, [1.2307632  1.20112392 1.17285262 1.15096518 1.1248059  1.09878536 1.07515835 1.06279117 1.04307016 1.03075346 1.0281559  1.02331903 1.01704858 1.01229271 0.99992745 0.99257427 0.98366511 0.97282632 0.96290975 0.94999657 0.94061462 0.93153568 0.92573146 0.91742934 0.90976944 0.90078917 0.89026288 0.88119477 0.8703837  0.86188406 0.85492611 0.84580183 0.8367052  0.82551349 0.8156511  0.80594789 0.79553944 0.78695057 0.77670462 0.76769903 0.76088385 0.75249416 0.74271231 0.73367353 0.72277313 0.71067056 0.70207591 0.69474836 0.68363717 0.67466111 0.66423807 0.65263626 0.641743   0.62835703 0.61380317 0.60669678 0.60555319 0.61185698 0.62413992 0.63215188 0.64395263 0.64871842 0.64293048 0.64159766 0.63366986 0.62203348 0.61661807 0.6108475  0.6086725  0.60839881 0.61103042 0.6138723  0.61650306 0.62227221 0.62372451 0.62487696 0.62747534 0.62594004 0.6198636  0.61450351 0.60847916], [0.46884831 0.44734754 0.4458644  0.42488551 0.42523019 0.41096194 0.4007983  0.39462445 0.38716272 0.3760144  0.36260464 0.34403838 0.32887425 0.31569031 0.3039123  0.29134869 0.28042092 0.27311958 0.26795792 0.26243528 0.25755537 0.25213027 0.24653643 0.23931991 0.23147209 0.22558203 0.21841418 0.21304673 0.20719525 0.2022522  0.19712907 0.19175341 0.18639713 0.18205354 0.17840088 0.17568607 0.17436223 0.17344576 0.17118762 0.16977256 0.16942105 0.1693862  0.16933121 0.16947226 0.1704148  0.17004606 0.16982451 0.16918364 0.16806795 0.16506286 0.16245923 0.16140209 0.16472006 0.17176592 0.18379777 0.19808013 0.21073349 0.21697654 0.21538035 0.20643683 0.19261712 0.17649766 0.16061732 0.14836937 0.14061876 0.13690114 0.13689445 0.1389261  0.14186901 0.14856714 0.15521758 0.16251635 0.16880264 0.17764428 0.18477038 0.19030125 0.197255   0.19699132 0.19655315 0.19385289 0.17677669], 26.14, 24.37, False
2022/05/19 12:54:37.802, 75716504, [1.24479531 1.21630555 1.17177803 1.14825031 1.12797402 1.09549519 1.07803597 1.06359275 1.04372749 1.02997178 1.02816613 1.0257323  1.01588095 1.01244179 1.00188416 0.99257897 0.98375738 0.97488087 0.96285052 0.95056145 0.94000909 0.93258669 0.92337469 0.91879358 0.91015244 0.90081593 0.89174026 0.88157743 0.87141483 0.86287066 0.85309689 0.84552355 0.83615285 0.82552457 0.81565738 0.80451668 0.79622946 0.78717297 0.77712707 0.76709794 0.75894228 0.75079884 0.74032008 0.73114556 0.720641   0.70821291 0.70014852 0.69230263 0.68155194 0.67222742 0.66178274 0.65086939 0.63976122 0.6270857  0.61194516 0.60499087 0.60359571 0.60982136 0.62203058 0.62971989 0.64115005 0.64700796 0.64035574 0.63941441 0.63078576 0.61986444 0.61461885 0.60793946 0.60528647 0.60758217 0.60869674 0.61173877 0.61353375 0.61997554 0.62172177 0.62208668 0.6259692  0.62244347 0.6181091  0.6137993  0.60446827], [0.45238752 0.45187206 0.43878111 0.42489819 0.4182141  0.41157737 0.40422481 0.3949596  0.38877622 0.37475532 0.36569329 0.34654154 0.33126517 0.3147424  0.30572497 0.29372147 0.28254199 0.27439273 0.2690024  0.26289223 0.26052763 0.2543712  0.24758667 0.23965403 0.23301302 0.22615114 0.21994056 0.21343057 0.20816754 0.20300431 0.19711239 0.1930764  0.18751706 0.18253282 0.17949826 0.17686375 0.17485416 0.17394483 0.17231853 0.17043031 0.16969961 0.16898017 0.16899949 0.16951001 0.17031186 0.17650291 0.17021918 0.1694972  0.16735513 0.16519854 0.16241515 0.16199462 0.16439708 0.17210968 0.18409347 0.19803213 0.21104785 0.21799039 0.21566634 0.2063687  0.19231482 0.17656804 0.16055246 0.14815245 0.14015734 0.1367645  0.136625   0.13944446 0.14305172 0.14830517 0.154371   0.16209439 0.16881029 0.1775636  0.18469869 0.19059447 0.19515518 0.1966277  0.19584809 0.19328465 0.17594328], 26.15, 24.38, False
2022/05/19 12:54:38.052, 75716755, [1.23441355 1.20832686 1.1612115  1.14368132 1.11680165 1.096043   1.07086465 1.05225838 1.03823503 1.02591446 1.02216096 1.01404394 1.01067949 1.00384833 0.99054676 0.98737081 0.97580478 0.96644879 0.95552764 0.94153768 0.93387839 0.92586226 0.91796451 0.91196846 0.9025432  0.8935974  0.88491343 0.8753814  0.86483724 0.85593595 0.84773227 0.83837323 0.82885918 0.81860555 0.80909949 0.79876936 0.78982063 0.78039017 0.77023187 0.76147367 0.75233876 0.74476575 0.73424135 0.72554184 0.71495141 0.70241856 0.69401255 0.68741519 0.67616929 0.6671969  0.65706681 0.64575195 0.63491734 0.62140237 0.60785421 0.60004325 0.59908579 0.60516414 0.61695683 0.62641598 0.63625362 0.64260328 0.63623017 0.63420912 0.62729164 0.61608007 0.60990893 0.60541701 0.60153931 0.60363854 0.60523602 0.60789558 0.61070501 0.61720993 0.61649647 0.61958341 0.62260753 0.62142984 0.61767432 0.60814123 0.60395945], [0.48049019 0.46655929 0.44901013 0.43438739 0.42811808 0.41210048 0.40124369 0.39678387 0.38926495 0.37619121 0.36414628 0.34654149 0.32780998 0.31571805 0.30483224 0.29454455 0.28261878 0.27382581 0.26795857 0.26343231 0.25755611 0.25257923 0.24680887 0.23946524 0.23173056 0.22568465 0.21888865 0.21288722 0.20618271 0.20182321 0.196876   0.19111828 0.18677916 0.18231788 0.17900393 0.18104943 0.17373744 0.17300896 0.17135291 0.16986173 0.17009192 0.16898235 0.16852667 0.16951193 0.17021226 0.17008621 0.16994495 0.16922486 0.16753616 0.16461055 0.16268343 0.16162129 0.16411459 0.17210264 0.18418737 0.19823366 0.21067241 0.21766582 0.21588938 0.2067125  0.19268692 0.1765591  0.16094872 0.14837027 0.14065812 0.13683462 0.13642994 0.13834432 0.14288774 0.14901432 0.15486266 0.16292368 0.17071422 0.17865513 0.18712953 0.19155161 0.19812372 0.19860064 0.19568807 0.19347282 0.17885943], 26.14, 24.38, False
2022/05/19 12:54:38.302, 75717004, [1.24294223 1.20116358 1.17177803 1.14825031 1.12240709 1.10095222 1.07422531 1.05943258 1.04340627 1.02862611 1.02771603 1.01943314 1.014705   1.01136782 0.99688863 0.99081023 0.9815219  0.97202199 0.96077363 0.94826056 0.93948944 0.93105696 0.92424578 0.91652947 0.90809247 0.8992457  0.89021674 0.88082344 0.86935088 0.86056734 0.8530637  0.84344463 0.83447871 0.82392567 0.813895   0.80355923 0.79417004 0.78586027 0.77482656 0.76569281 0.75836038 0.74966763 0.73995221 0.73078315 0.72010822 0.70751035 0.69909578 0.69212794 0.68103078 0.67188026 0.66160785 0.65033608 0.63994446 0.62634673 0.61175102 0.60518945 0.6036042  0.60982917 0.62160163 0.62994376 0.64138485 0.64700792 0.64087117 0.63995433 0.63135414 0.62079964 0.61493741 0.60835614 0.60791731 0.60752452 0.60958257 0.61227235 0.61457832 0.61997554 0.62447227 0.62263057 0.6259692  0.62469868 0.62009504 0.61167635 0.60521783], [0.45880763 0.44772484 0.43763705 0.42908886 0.42277102 0.40739836 0.40125268 0.39396007 0.38877622 0.37763095 0.36248146 0.34662564 0.33115983 0.31669124 0.30393446 0.2937286  0.28328116 0.27379734 0.26788853 0.26450308 0.25893517 0.25338416 0.24758667 0.240851   0.23337146 0.22643587 0.22067937 0.21473246 0.20822146 0.20359689 0.19745863 0.19336777 0.18780932 0.18400976 0.17999929 0.17695473 0.17570934 0.17455484 0.17302107 0.17099335 0.1708375  0.17054655 0.17030713 0.17039237 0.17139661 0.17119935 0.1707934  0.17042    0.16827301 0.16602187 0.16360536 0.16214328 0.16525227 0.17259093 0.18483626 0.19914809 0.21172701 0.21854395 0.21651396 0.20748608 0.19299639 0.17650736 0.16176086 0.14894852 0.14084729 0.13732715 0.13756302 0.13944446 0.14363588 0.14887026 0.15521453 0.16206733 0.17025638 0.1781459  0.18591173 0.19107081 0.19614747 0.19728403 0.19621672 0.19235668 0.17780582], 26.15, 24.38, False
2022/05/19 12:54:38.552, 75717254, [1.23262148 1.21341541 1.16549409 1.15277153 1.12410181 1.0999686  1.08373581 1.05942581 1.04372143 1.03210714 1.02671982 1.02443006 1.01823043 1.01243935 1.00090633 0.99523166 0.98545356 0.97487904 0.96284875 0.95077888 0.9395328  0.93475473 0.92576779 0.91879133 0.91147956 0.90200209 0.89288101 0.88230041 0.87210499 0.86355041 0.85496252 0.84668929 0.83644191 0.82632092 0.81616213 0.80643161 0.79714355 0.78804704 0.77712445 0.76850692 0.7595242  0.7515523  0.74124051 0.73258859 0.72135259 0.70944177 0.70049697 0.69387529 0.6827677  0.67379351 0.66318412 0.65193265 0.64119763 0.62799209 0.61342814 0.60593688 0.60497055 0.61083933 0.62286752 0.63127173 0.64231737 0.64798562 0.64189936 0.64023434 0.63223113 0.62202412 0.61594608 0.61009447 0.60755777 0.60889585 0.61014522 0.61387304 0.61486485 0.62131368 0.6242005  0.62567545 0.6272379  0.62610359 0.62162122 0.61568374 0.60647373], [0.46884839 0.45148556 0.44744358 0.43973669 0.42441286 0.41751789 0.40629457 0.40043714 0.38926683 0.38068328 0.36698522 0.34654153 0.33126534 0.31674669 0.30485471 0.29453709 0.28330023 0.27577691 0.26917273 0.26385065 0.2595087  0.2548202  0.24795322 0.24113761 0.23392945 0.22697665 0.22073161 0.21448701 0.2084517  0.20418993 0.19823615 0.19230867 0.18784646 0.18322061 0.17974955 0.17710357 0.17585469 0.1743366  0.17257417 0.17099414 0.17046414 0.17010159 0.16968699 0.17050958 0.17165374 0.17082076 0.17047703 0.17004811 0.16795917 0.16539036 0.16314895 0.16251075 0.16515506 0.17244618 0.18572834 0.19899585 0.21152173 0.21887095 0.21700948 0.20719949 0.19342477 0.17656855 0.16110019 0.14906181 0.14061788 0.13739527 0.13682722 0.13909123 0.14331686 0.14856548 0.15515081 0.16254132 0.16880083 0.17768139 0.18530626 0.19174589 0.19688982 0.1991054  0.19638452 0.19403243 0.17616506], 26.15, 24.37, False
2022/05/19 12:54:38.802, 75717504, [1.24474802 1.21263968 1.17597901 1.15185286 1.12866676 1.1030706  1.07991643 1.06227575 1.04338809 1.03613467 1.0295966  1.02591561 1.0172107  1.01379547 1.00370434 0.99356259 0.98545062 0.97510291 0.96613925 0.95077619 0.9412246  0.93422716 0.92437375 0.92057043 0.91223069 0.90161577 0.8932751  0.88336933 0.87208892 0.86451771 0.85556171 0.84757651 0.8375517  0.82710504 0.81691316 0.80738499 0.79782789 0.7889205  0.77816837 0.7693086  0.76127147 0.75249383 0.74345001 0.73403593 0.72331033 0.71067046 0.70295246 0.69562213 0.68398078 0.67500053 0.66475788 0.65351733 0.64300053 0.62926788 0.61472506 0.60785027 0.60574468 0.61246199 0.62434419 0.63280651 0.64418433 0.65067581 0.64370486 0.64295448 0.63424418 0.62389344 0.61762752 0.61126449 0.60919145 0.60977089 0.61247987 0.61589875 0.61724119 0.6228417  0.62396218 0.62654568 0.62908904 0.62999362 0.61986324 0.61662894 0.60949483], [0.47710422 0.44734632 0.45098098 0.43214703 0.42357751 0.41331962 0.40881453 0.39678453 0.39063178 0.37583664 0.36569123 0.34913108 0.33004319 0.31569045 0.30481531 0.29373622 0.28256182 0.27512664 0.26910568 0.26392973 0.25959397 0.25352058 0.2468555  0.24056501 0.23244679 0.22625376 0.22025651 0.21383663 0.20833025 0.20273651 0.1975831  0.19246857 0.19363347 0.18236863 0.17925181 0.17720374 0.17531405 0.1744469  0.17250193 0.17040626 0.17038054 0.17021045 0.16983357 0.17051054 0.17111724 0.17092229 0.17065702 0.17068005 0.16822004 0.16592805 0.16360711 0.16255554 0.16515633 0.17316446 0.18497536 0.19919631 0.21198213 0.21816913 0.21717975 0.20702328 0.19348388 0.17682328 0.16196603 0.14895033 0.14091615 0.13726163 0.13736385 0.1394475  0.14352705 0.14931911 0.15515325 0.16296267 0.17023833 0.17923655 0.18577682 0.19184716 0.19750731 0.20086395 0.19655392 0.19439963 0.17677745], 26.14, 24.38, False
