time, acs_timestamp, c, a, T_int, T_ext, flag_outside_calibration_range
yyyy/mm/dd HH:MM:SS.fff, ms, 1/m	lambda=400.5 404.8 408.9 412.6 416.9 421.7 426.5 431.1 435.7 440.0 444.9 450.0 454.8 459.4 464.0 468.5 473.8 479.0 484.1 489.0 493.5 498.6 503.5 508.5 513.7 519.4 524.2 529.2 533.9 538.9 544.0 549.0 554.1 559.3 564.5 569.3 573.6 578.1 582.5 586.9 591.2 595.5 600.3 605.0 609.8 614.7 619.7 624.5 629.2 633.7 638.5 643.1 647.9 652.6 657.0 661.6 666.4 670.8 675.4 679.8 683.8 687.9 692.0 695.5 699.6 703.4 707.1 710.7 714.4 717.7 721.1 724.3 727.5 730.5 733.4 736.4 739.2 742.1 744.8 747.6 749.8, 1/m	lambda=400.0 404.6 408.7 412.5 416.9 421.4 426.5 430.9 435.5 439.8 444.8 449.9 455.0 459.4 463.8 468.7 474.0 479.2 484.1 489.2 493.9 498.9 503.8 508.7 514.0 519.7 524.8 529.9 534.6 539.6 544.4 549.7 554.6 560.1 565.2 569.8 574.2 579.0 583.4 587.8 592.7 597.4 602.1 607.0 612.0 616.9 621.9 626.5 631.2 635.8 640.8 645.3 650.2 654.9 659.3 663.9 668.8 673.2 677.6 681.9 686.1 690.0 693.9 697.8 701.8 705.5 709.1 712.8 716.6 719.8 723.2 726.5 729.4 732.3 735.3 738.3 741.3 744.2 746.7 749.4 751.9, deg_C, deg_C, bool
2022/05/18 17:54:20.743, 7299295, [ 0.17389329  0.15061055  0.13612092  0.11191493  0.09443814  0.0824855   0.06793278  0.05692634  0.04141749  0.03326437  0.02308185  0.01331193  0.00670475  0.00367696 -0.00625825 -0.01239915 -0.01856796 -0.02144836 -0.02905359 -0.03315769 -0.03620133 -0.03954197 -0.04366721 -0.0458579  -0.04958992 -0.05199605 -0.05598826 -0.0586427  -0.06225883 -0.06410185 -0.06635062 -0.06749841 -0.07009467 -0.0722641  -0.0727511  -0.07460494 -0.07491426 -0.07524189 -0.07783395 -0.07814328 -0.07969896 -0.0794746  -0.0803933  -0.08058835 -0.08255879 -0.0856341  -0.08587903 -0.08536905 -0.08880491 -0.09107953 -0.09235632 -0.09378303 -0.09334436 -0.0938128  -0.09592475 -0.09645352 -0.09636796 -0.09782683 -0.09844998 -0.10267036 -0.10177516 -0.10233423 -0.10682723 -0.10431795 -0.10349109 -0.10586253 -0.10338108 -0.10035858 -0.09677259 -0.08908899 -0.08273198 -0.07599593 -0.07024012 -0.05895908 -0.05580862 -0.0491403  -0.04287452 -0.03902425 -0.04048708 -0.04051975 -0.04292772], [0.30615714 0.28827814 0.2644399  0.2543507  0.23320627 0.2200564  0.20459927 0.19393002 0.18767861 0.18061936 0.17273714 0.16444473 0.15502713 0.15036382 0.14537606 0.13965251 0.13617541 0.13125125 0.12725306 0.12578835 0.12263163 0.12006285 0.11666027 0.11469389 0.11217382 0.11023717 0.10760553 0.10604122 0.10282692 0.10068549 0.09915013 0.09820852 0.09694864 0.09677003 0.0956317  0.09487007 0.09427413 0.09399013 0.09291498 0.09148782 0.09256796 0.09239312 0.09237338 0.09262207 0.09210285 0.08961143 0.08876344 0.08729436 0.08596655 0.08441314 0.08339581 0.08216949 0.08162108 0.08228289 0.08178903 0.08143099 0.08124517 0.08017751 0.07859206 0.07701056 0.07635987 0.07488813 0.07401407 0.07356432 0.07308931 0.07459564 0.07884029 0.08249782 0.0863786  0.09340423 0.09972358 0.1073585  0.11493211 0.1224076  0.13021894 0.13615341 0.14101837 0.14383559 0.14348196 0.14156764 0.12488841], 25.11, 23.09, False
2022/05/18 17:54:20.993, 7299545, [ 0.16890536  0.14295474  0.13009598  0.10916432  0.09928782  0.07828686  0.06223951  0.05868111  0.04143231  0.03087813  0.02429664  0.01141733  0.00570588  0.00256903 -0.00869497 -0.01248647 -0.01874077 -0.02291939 -0.02636951 -0.03378837 -0.03619694 -0.03905701 -0.04328226 -0.04549984 -0.04905031 -0.05198897 -0.05502485 -0.05904286 -0.0626424  -0.0642107  -0.06584969 -0.06741802 -0.06974809 -0.07183741 -0.07208797 -0.07370019 -0.07499847 -0.07545482 -0.07703879 -0.07837816 -0.08003686 -0.07920253 -0.08039071 -0.08050388 -0.08194769 -0.08540899 -0.08579731 -0.08511303 -0.0888031  -0.09036583 -0.09224322 -0.09384713 -0.09293084 -0.09338938 -0.09539049 -0.09616865 -0.09587498 -0.09786092 -0.09838533 -0.10226108 -0.10274589 -0.10128104 -0.10712056 -0.10399064 -0.10300677 -0.10555964 -0.10265157 -0.09978195 -0.09748249 -0.08875821 -0.08192436 -0.07552267 -0.06879391 -0.0600792  -0.05481865 -0.04757539 -0.04287339 -0.03878731 -0.03798015 -0.04122095 -0.04272029], [0.25357788 0.24392497 0.23771827 0.22181581 0.20552936 0.20840917 0.19338382 0.18761106 0.17894116 0.1701721  0.16732409 0.1609468  0.15080256 0.14655367 0.14367078 0.13582864 0.13406346 0.12985321 0.12617282 0.12407201 0.12063955 0.11779101 0.11552956 0.11383717 0.11119777 0.10902214 0.10790888 0.10464096 0.10264258 0.10126483 0.09842455 0.09762569 0.09711651 0.09633914 0.09521737 0.09465566 0.09416827 0.09376975 0.09259196 0.09139105 0.09189691 0.09171037 0.09119554 0.09168666 0.09042904 0.08865682 0.08781453 0.08701751 0.08520666 0.08347429 0.08249514 0.08144118 0.08115782 0.08110132 0.08096735 0.08015102 0.08033762 0.0794929  0.07778494 0.07626591 0.07480228 0.07357494 0.07295317 0.07152971 0.07144062 0.07410715 0.0763356  0.08033846 0.08442962 0.0909802  0.0975415  0.10430791 0.11064646 0.11920264 0.12616596 0.13059127 0.13775981 0.13843982 0.13821285 0.13649723 0.12018885], 25.12, 23.09, False
2022/05/18 17:54:21.243, 7299796, [ 0.17345149  0.15033943  0.13301254  0.10634549  0.09925303  0.08245025  0.06410331  0.05364382  0.04116741  0.03601749  0.02307871  0.01021239  0.00589512  0.00440699 -0.00954693 -0.01162716 -0.02069779 -0.02218758 -0.0280153  -0.03260263 -0.03715692 -0.04035688 -0.04411792 -0.04515391 -0.05012274 -0.05181055 -0.05563007 -0.05927384 -0.06325479 -0.06468144 -0.06544401 -0.06831006 -0.07014803 -0.07231542 -0.07289583 -0.07475084 -0.07550766 -0.07581047 -0.07779468 -0.07854571 -0.08012324 -0.07955758 -0.08032754 -0.08076766 -0.08223913 -0.08601498 -0.08622858 -0.08536963 -0.08926403 -0.09079504 -0.0928857  -0.0941737  -0.09286571 -0.09362797 -0.09630299 -0.09594407 -0.09653227 -0.09806977 -0.09874002 -0.10222683 -0.10243532 -0.10168917 -0.10755112 -0.10520884 -0.10377474 -0.10646179 -0.10317701 -0.10035972 -0.09710583 -0.08985799 -0.08313688 -0.07510347 -0.06984279 -0.06120528 -0.05443438 -0.04827971 -0.04365394 -0.03964247 -0.03917054 -0.04420894 -0.04516463], [0.30797787 0.28405188 0.26793965 0.25248809 0.23520559 0.21958924 0.21140017 0.20139282 0.18942712 0.18528946 0.18334981 0.16684438 0.1550311  0.15419062 0.14790981 0.14125665 0.13764194 0.13322012 0.12951945 0.12676231 0.12409639 0.12092421 0.1170572  0.11562028 0.1128197  0.10973258 0.10791102 0.10482591 0.1033155  0.10132842 0.09927778 0.09925006 0.09706309 0.09645413 0.09627041 0.09476536 0.09457519 0.09409096 0.0930607  0.0917974  0.09255476 0.09195949 0.09194901 0.09192697 0.09155603 0.08969605 0.08813902 0.08769173 0.08543342 0.08459048 0.08326206 0.08153261 0.08171677 0.081432   0.0815017  0.08148735 0.08094184 0.07959721 0.07855419 0.07602676 0.07600293 0.0750845  0.07348291 0.07321335 0.07263993 0.07421189 0.0778612  0.08128704 0.08712918 0.0930591  0.09895979 0.1068574  0.11398358 0.12193727 0.12902868 0.13474152 0.1432045  0.14370071 0.14503416 0.14156922 0.12590471], 25.10, 23.09, False
2022/05/18 17:54:21.493, 7300045, [ 0.17765398  0.14266668  0.13020079  0.11463324  0.09443093  0.08038741  0.06599551  0.05539193  0.04274305  0.03077526  0.02530531  0.0123118   0.00499131  0.00173522 -0.00804238 -0.01326406 -0.01936616 -0.02144836 -0.02784859 -0.03427159 -0.03583844 -0.04009544 -0.04411562 -0.04564102 -0.04925713 -0.05243836 -0.05545438 -0.05933283 -0.06259    -0.06473697 -0.06560866 -0.06737069 -0.07014613 -0.07257386 -0.07284638 -0.07417778 -0.07555053 -0.07550162 -0.07712371 -0.07846106 -0.07907364 -0.07913542 -0.08009541 -0.08018091 -0.08162925 -0.08541094 -0.08565581 -0.08479768 -0.08866259 -0.09001829 -0.09195709 -0.09355726 -0.0926351  -0.09286854 -0.09530562 -0.09550212 -0.09624002 -0.09735646 -0.09860167 -0.10171656 -0.10208991 -0.10108312 -0.10721032 -0.10399402 -0.10357539 -0.1048294  -0.10289667 -0.10008815 -0.09646446 -0.08839408 -0.08152389 -0.07510268 -0.06879623 -0.05848218 -0.0555678  -0.0470367  -0.04365356 -0.04025997 -0.03982849 -0.04262778 -0.04229319], [0.28456882 0.28207966 0.25344561 0.23453887 0.23255233 0.21028046 0.20254851 0.1909962  0.18273024 0.17615199 0.16726478 0.16099814 0.15397186 0.14754638 0.14361628 0.13888761 0.13419937 0.13052817 0.12663257 0.12315829 0.12116723 0.11699067 0.11586669 0.11334987 0.1107932  0.10863935 0.10736119 0.10482532 0.1022173  0.10028564 0.09805467 0.09815039 0.09629535 0.09581925 0.09430199 0.09460578 0.09464708 0.0934053  0.09291498 0.09154852 0.09250898 0.09220498 0.09194828 0.091704   0.09097926 0.0896532  0.0884931  0.08737988 0.08525582 0.08418972 0.08281186 0.08157792 0.08143474 0.0814795  0.08155024 0.08123735 0.08058441 0.08002055 0.07832354 0.07660898 0.07600237 0.0747008  0.07381579 0.07286354 0.07270979 0.07483834 0.07831532 0.08093352 0.08700748 0.09375027 0.09945444 0.10818805 0.11397848 0.1213712  0.12962312 0.13549132 0.14101837 0.14331831 0.14232134 0.14413727 0.12507749], 25.11, 23.09, False
2022/05/18 17:54:21.743, 7300295, [ 0.17307544  0.15396177  0.12670902  0.11187262  0.09446997  0.08244886  0.06611258  0.05365689  0.04134571  0.03451777  0.02280551  0.01212451  0.00861784  0.00183526 -0.00710001 -0.01153209 -0.01945191 -0.0209632  -0.02740995 -0.03331215 -0.03539641 -0.04001871 -0.04215018 -0.0447958  -0.04892039 -0.05173987 -0.05479124 -0.05853723 -0.06182964 -0.06427043 -0.06505418 -0.06713232 -0.06915187 -0.07172752 -0.07193717 -0.07388585 -0.07440796 -0.0744969  -0.07670523 -0.07813524 -0.07902594 -0.07852511 -0.07964679 -0.08027574 -0.08122577 -0.08498062 -0.08557458 -0.08436795 -0.0879497  -0.09025574 -0.09205318 -0.09297307 -0.09248561 -0.09256375 -0.09496076 -0.09556966 -0.09558451 -0.09722236 -0.09764752 -0.10153102 -0.10166191 -0.10087903 -0.10622981 -0.10372353 -0.10365709 -0.10486742 -0.10226173 -0.09914519 -0.09579779 -0.08875879 -0.08152163 -0.07552346 -0.06879468 -0.05895729 -0.05392637 -0.04881848 -0.04287377 -0.03708014 -0.04048601 -0.04180745 -0.04303803], [0.26612388 0.2680155  0.24601669 0.23150614 0.21539819 0.21120126 0.20190564 0.19325936 0.17923704 0.17757904 0.16988496 0.16204888 0.1539645  0.14942479 0.14364361 0.13976322 0.13484185 0.13067747 0.12746821 0.12475759 0.12175206 0.11814841 0.11604593 0.11395694 0.11131843 0.10946752 0.10699461 0.10529531 0.10261223 0.10046583 0.09871621 0.09768638 0.09734446 0.0961899  0.09545771 0.0944991  0.09419947 0.09353557 0.09342579 0.09188773 0.09180764 0.09205872 0.09184726 0.09174376 0.09204671 0.08987052 0.08849122 0.08698148 0.08574132 0.08436601 0.08348407 0.08221387 0.08152791 0.08166746 0.08144981 0.08148518 0.0808406  0.07990936 0.07887847 0.07631632 0.0758122  0.07552227 0.07414796 0.07335265 0.07338342 0.07619182 0.07824346 0.08163734 0.08756223 0.09305648 0.09903288 0.10731813 0.11349954 0.12133791 0.12890431 0.13332581 0.13906147 0.14067355 0.14231929 0.14048281 0.12413056], 25.12, 23.08, False
2022/05/18 17:54:21.993, 7300545, [ 0.17895488  0.15420569  0.13020639  0.10926037  0.09686584  0.08246296  0.06416568  0.05699763  0.04117482  0.03184135  0.0239133   0.01331338  0.00761169  0.00164035 -0.00719616 -0.00966905 -0.01750331 -0.02349052 -0.02524954 -0.03235866 -0.03598998 -0.03784096 -0.04246156 -0.04528722 -0.04799055 -0.05193425 -0.05485691 -0.05813418 -0.06210493 -0.0640136  -0.06566321 -0.06648536 -0.06903559 -0.07088725 -0.07218769 -0.0736514  -0.07468139 -0.07462621 -0.07637228 -0.07757529 -0.07953334 -0.07856156 -0.08016159 -0.08009819 -0.08166023 -0.08550484 -0.08508322 -0.08416325 -0.08817219 -0.08993946 -0.09163666 -0.09341122 -0.09227079 -0.09271645 -0.0953053  -0.09553628 -0.09555048 -0.09742915 -0.09881431 -0.10175547 -0.1016228  -0.10128412 -0.1065297  -0.10349947 -0.10252959 -0.10560361 -0.10293335 -0.09981708 -0.09715271 -0.08838158 -0.08151984 -0.07420883 -0.06879584 -0.05744337 -0.05455427 -0.04789798 -0.04267447 -0.0368446  -0.04048682 -0.04122208 -0.04346721], [0.29236133 0.28419738 0.26928919 0.25435326 0.23455635 0.21866437 0.20730304 0.19732402 0.19118436 0.18224354 0.17151413 0.16450151 0.1582181  0.15129161 0.14708263 0.1412194  0.13681959 0.13177377 0.12973369 0.12635934 0.122221   0.1190235  0.11711676 0.11494273 0.11148333 0.11031925 0.10754467 0.10534175 0.10264404 0.10120621 0.09921685 0.09803364 0.09694822 0.09634154 0.09582574 0.09478983 0.09429493 0.09400739 0.09270624 0.09210435 0.09274756 0.09239276 0.09237302 0.0921626  0.09143088 0.09027991 0.08845029 0.08764748 0.08556571 0.08441273 0.08308079 0.0825341  0.08171214 0.08171337 0.08207679 0.08153227 0.08144958 0.08012223 0.07832325 0.07706012 0.07587606 0.07507513 0.07374785 0.07272442 0.07324336 0.07522252 0.07857724 0.08192481 0.08675316 0.09300656 0.09952944 0.10728066 0.11446283 0.12246959 0.1302183  0.13522347 0.1407877  0.14397129 0.14332723 0.14156685 0.12729755], 25.11, 23.09, False
2022/05/18 17:54:22.243, 7300796, [ 0.16886485  0.15394352  0.12979179  0.10636052  0.09446416  0.08246296  0.06227934  0.05692851  0.0426643   0.02819846  0.02540036  0.01240972  0.00499214  0.00265952 -0.00710247 -0.01248978 -0.01803537 -0.02331952 -0.02620653 -0.03459025 -0.03686824 -0.0394678  -0.04269916 -0.04515131 -0.0505187  -0.05313096 -0.05443418 -0.05864174 -0.06325123 -0.06415839 -0.06599102 -0.06760405 -0.07009372 -0.07200302 -0.07274062 -0.07488696 -0.07514038 -0.07506624 -0.0773363  -0.07878297 -0.07926636 -0.07977825 -0.08079073 -0.08044149 -0.08262113 -0.08590244 -0.08579862 -0.08459181 -0.08883618 -0.09047746 -0.09288488 -0.0940929  -0.09274995 -0.0938125  -0.09580368 -0.09559123 -0.09692857 -0.09718705 -0.09866257 -0.10315425 -0.10127837 -0.10160428 -0.10784672 -0.10372522 -0.10421092 -0.10598401 -0.10282192 -0.10136333 -0.09613164 -0.09057617 -0.08313519 -0.07510228 -0.07078738 -0.06064273 -0.05455427 -0.05038182 -0.04345366 -0.04111309 -0.04022227 -0.04321312 -0.04516403], [0.29718352 0.28815704 0.26311119 0.24641675 0.23255416 0.21540692 0.2093538  0.19664308 0.18737399 0.1779708  0.1687181  0.1644171  0.15609189 0.14847148 0.14625575 0.13812272 0.13406477 0.13062823 0.12757755 0.12418717 0.12186888 0.11699055 0.11598627 0.11322089 0.11022355 0.10867844 0.10638566 0.10471883 0.1008454  0.0990438  0.09792047 0.09682175 0.09537703 0.09473427 0.09393536 0.09339383 0.09349784 0.09315207 0.09243454 0.09107134 0.09116804 0.09124916 0.09123951 0.09118837 0.09087023 0.08870131 0.08781688 0.0864896  0.08467485 0.08343091 0.08245242 0.08117082 0.08037068 0.08039307 0.08073072 0.08025455 0.08008178 0.07870971 0.07669346 0.07552477 0.07439377 0.07351135 0.07222958 0.07124939 0.07092184 0.07241151 0.07640814 0.07892976 0.08467418 0.08944475 0.09635967 0.10350117 0.11016568 0.11917452 0.12491883 0.12936064 0.13496952 0.13765466 0.13705835 0.13501447 0.11899015], 25.11, 23.09, False
2022/05/18 17:54:22.493, 7301045, [ 0.17304303  0.14574437  0.13640715  0.11450492  0.09443814  0.07826145  0.06604821  0.05699545  0.04282421  0.03459882  0.02419342  0.01559993  0.00599469  0.00173522 -0.00691601 -0.01153473 -0.01874558 -0.02283861 -0.02680936 -0.03267977 -0.03692674 -0.03961533 -0.04321886 -0.04522013 -0.04865737 -0.05268973 -0.05575252 -0.0586427  -0.06286166 -0.06447702 -0.06580039 -0.06773273 -0.06992424 -0.0728341  -0.07258898 -0.07408565 -0.07573305 -0.07524189 -0.07716955 -0.07854416 -0.07896308 -0.07986071 -0.0803933  -0.08105993 -0.08185565 -0.08612588 -0.08605354 -0.08516345 -0.08920025 -0.09076262 -0.09246778 -0.09461037 -0.09253467 -0.09322285 -0.09626831 -0.09594329 -0.09669472 -0.09814211 -0.09844998 -0.10240831 -0.10185662 -0.10140332 -0.10810254 -0.10372578 -0.10416939 -0.10542735 -0.10282239 -0.10163418 -0.09508696 -0.08946701 -0.08313244 -0.07510268 -0.06944405 -0.0604745  -0.05354146 -0.05000122 -0.04287452 -0.03708097 -0.03917    -0.03882142 -0.04441859], [0.30680765 0.2779834  0.25827361 0.24153406 0.23586496 0.21912705 0.20762895 0.1948353  0.18623286 0.17959336 0.17267832 0.16328716 0.15609639 0.15035069 0.14529609 0.13968962 0.13686417 0.13177408 0.12849375 0.12561864 0.12257345 0.11908305 0.11705711 0.11488314 0.1134497  0.11031952 0.10784993 0.10604122 0.10291879 0.1012066  0.09946324 0.0983815  0.09738423 0.0963811  0.09532873 0.09518626 0.09424388 0.09389027 0.09334675 0.09165602 0.09234606 0.09224833 0.09180659 0.09188465 0.09106186 0.08929779 0.08791013 0.08737988 0.08543263 0.08423386 0.0825869  0.08171426 0.08162444 0.08157246 0.08130741 0.08138982 0.0807364  0.07965163 0.07799753 0.07619675 0.07576061 0.07444822 0.07361292 0.07307169 0.07272284 0.0745246  0.0773353  0.08130677 0.08643913 0.0929045  0.09937899 0.10691477 0.11445932 0.12184262 0.12956276 0.13540221 0.14113343 0.14252818 0.14348196 0.1428852  0.12361377], 25.11, 23.09, False
2022/05/18 17:54:22.743, 7301295, [ 0.17432793  0.15087606  0.13316995  0.11191994  0.0968485   0.07394779  0.06966649  0.05685934  0.0383599   0.0306868   0.02308342  0.01550576  0.00469756  0.00339155 -0.00541256 -0.01317196 -0.01927645 -0.02227058 -0.02765991 -0.03227977 -0.03635294 -0.03920777 -0.04246156 -0.046414   -0.04878824 -0.05243718 -0.05383778 -0.05778913 -0.0625293  -0.063696   -0.06549643 -0.06765739 -0.06908699 -0.07125926 -0.07234026 -0.07332273 -0.07450413 -0.0749761  -0.07704201 -0.07833805 -0.07887997 -0.07966121 -0.08012828 -0.08050567 -0.08212502 -0.08555361 -0.08583007 -0.08497162 -0.08866228 -0.09036694 -0.09189205 -0.09380137 -0.09241935 -0.09298635 -0.09599249 -0.09566032 -0.09636749 -0.09780372 -0.09860114 -0.10234363 -0.10127837 -0.10115963 -0.10720959 -0.10300549 -0.10457768 -0.10495069 -0.10257966 -0.10069309 -0.09579929 -0.08872295 -0.0823276  -0.07336423 -0.07028959 -0.05870487 -0.05380638 -0.05022188 -0.04209513 -0.03755282 -0.04088108 -0.03952363 -0.04548067], [0.27679711 0.26002813 0.24381079 0.22878029 0.21667231 0.20561138 0.19543007 0.18715883 0.18053097 0.17311112 0.1659276  0.15854831 0.15290875 0.14464837 0.14372437 0.13739568 0.1319999  0.13000562 0.12690343 0.12332858 0.12028837 0.11759957 0.11467659 0.11346943 0.1106288  0.10894167 0.10565453 0.10414155 0.10160737 0.1000854  0.09798733 0.09722561 0.09559469 0.09521824 0.09407549 0.09394717 0.0934463  0.09298458 0.09164985 0.09087031 0.09225566 0.09221936 0.09227342 0.0918013  0.09093752 0.08973621 0.08800245 0.08742213 0.08574251 0.08436723 0.0829912  0.0817138  0.08152918 0.08157203 0.08140169 0.08143545 0.08094083 0.07970634 0.07788214 0.07654827 0.07576034 0.07495302 0.07295006 0.07244234 0.07220148 0.07463656 0.07726504 0.08115295 0.08599171 0.09300656 0.09945403 0.10608521 0.11350514 0.12130843 0.12962248 0.13482876 0.1414005  0.14173744 0.14162256 0.14014749 0.12628167], 25.11, 23.09, False
