exp,bottle,tp,datetime,date,time,wl,c,c_se,a,a_se,b
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,400,0.8318221119999999,4.988014744797094e-4,0.13668097750000002,0.001267735625666477,0.6951411344999998
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,404.6,0.828088715,4.915309774812316e-4,0.13893090000000002,9.935308664519684e-4,0.689157815
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,408.7,0.82331095,4.517147576141848e-4,0.13717655500000003,8.238805777590908e-4,0.686134395
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,412.5,0.818311255,4.257773146787169e-4,0.13961571750000001,6.651759415776006e-4,0.6786955375
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,416.9,0.812966925,4.1023370724052426e-4,0.13995492249999997,5.551382426697562e-4,0.6730120025
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,421.4,0.8072697525,4.1138527605048993e-4,0.1414950425,4.802124950571987e-4,0.66577471
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,426.5,0.8035109822000001,3.8664545047488696e-4,0.14161176250000002,5.011314687534829e-4,0.6618992197
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,430.9,0.80092952,4.094753389665607e-4,0.14349026000000004,4.1474428203169285e-4,0.6574392599999999
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,435.5,0.796264535,3.8008059288100957e-4,0.143712605,6.755784157752775e-4,0.65255193
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,439.8,0.796124315,3.7700024522972927e-4,0.1426382,2.9905421364147814e-4,0.653486115
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,444.8,0.7974372125,3.8881429482500016e-4,0.13821585,2.4360001615414425e-4,0.6592213625
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,449.9,0.7982958,3.783827368401821e-4,0.13291352,2.102903380866321e-4,0.66538228
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,455,0.798648535,3.7472598382453753e-4,0.12704169999999998,1.904160060154853e-4,0.671606835
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,459.4,0.79717281,3.7283063203478746e-4,0.12273865999999994,1.780920537692889e-4,0.67443415
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,463.8,0.794910245,3.70547450448703e-4,0.11947301250000003,1.575544540383913e-4,0.6754372325
TP22-14,B,1,2022-05-18T16:38:45Z,2022-05-18,09:38:45,468.7,0.792951445,3.743706852508112e-4,0.11676423999999996,1.3965582335818486e-4,0.6761872050000001
