exp,exp_no,phyto,source,bottle,tp,datetime,date,time,plot_date,plot_datetime,wl,cp,c_se,ap,a_se,bp,abs_line_height,chl_line_height
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,400,0.479139527534408,4.293668801563174e-4,0.0444192224324734,8.820695906320442e-4,0.4347203051019346,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,404.6,0.474927037034408,3.8293716504988605e-4,0.0457442061824735,6.884915450510794e-4,0.4291828308519345,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,408.7,0.4740281025,3.385364992431746e-4,0.0460449161440388,6.911533188469907e-4,0.4279831863559612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,412.5,0.469955876133602,3.272327357289322e-4,0.0473920799036475,4.5728844144514127e-4,0.4225637962299545,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,416.9,0.467450815,2.7850591766780667e-4,0.0470584423940388,3.811450925485042e-4,0.42039237260596124,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,421.4,0.46574030625,2.675993129700663e-4,0.0472713748940388,3.138017444623813e-4,0.4184689313559612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,426.5,0.4619819336,2.567613208062795e-4,0.0487617098940388,0.0010068297836069698,0.41322022370596123,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,430.9,0.462018595,2.6361445917342055e-4,0.0489461436440388,0.0016982376775763637,0.41307245135596116,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,435.5,0.4572222925,2.681916279059406e-4,0.0503136211440388,3.367920774961708e-4,0.4069086713559612,0.01669896535638975,2.049926096884982
TP22-14,2,italic('T. Pseudonana'),Optics,A,1,2022-05-18T16:00:00Z,2022-05-18,09:00:00,2022-11-27,2022-11-27T09:00:00Z,439.8,0.4573456725,2.3795734998919514e-4,0.0500846911440388,3.8998132714192875e-4,0.4072609813559612,0.01669896535638975,2.049926096884982
