time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/12/01 15:22:25.424, 176, 313, 222
2022/12/01 15:22:26.930, 187, 277, 206
2022/12/01 15:22:28.435, 176, 291, 208
2022/12/01 15:22:29.942, 181, 314, 255
2022/12/01 15:22:31.447, 188, 301, 224
2022/12/01 15:22:32.953, 177, 294, 214
2022/12/01 15:22:34.459, 187, 299, 204
2022/12/01 15:22:35.965, 179, 303, 219
2022/12/01 15:22:37.470, 189, 281, 207
2022/12/01 15:22:38.977, 193, 287, 207
2022/12/01 15:22:40.482, 175, 297, 208
2022/12/01 15:22:41.988, 187, 289, 219
2022/12/01 15:22:43.494, 188, 290, 219
2022/12/01 15:22:44.999, 182, 283, 202
2022/12/01 15:22:46.505, 178, 318, 213
2022/12/01 15:22:48.011, 185, 418, 204
2022/12/01 15:22:49.517, 183, 301, 384
2022/12/01 15:22:51.024, 177, 291, 208
2022/12/01 15:22:52.528, 189, 289, 214
2022/12/01 15:22:54.034, 186, 282, 208
2022/12/01 15:22:55.540, 194, 284, 216
2022/12/01 15:22:57.046, 176, 321, 229
2022/12/01 15:22:58.551, 201, 289, 225
2022/12/01 15:23:00.056, 180, 287, 221
2022/12/01 15:23:01.562, 190, 287, 234
2022/12/01 15:23:03.067, 180, 299, 213
2022/12/01 15:23:04.574, 195, 287, 210
2022/12/01 15:23:06.079, 194, 316, 223
2022/12/01 15:23:07.586, 174, 328, 230
2022/12/01 15:23:09.092, 187, 300, 208
2022/12/01 15:23:10.598, 185, 299, 218
2022/12/01 15:23:12.103, 180, 295, 221
2022/12/01 15:23:13.609, 184, 291, 212
2022/12/01 15:23:15.115, 216, 287, 208
2022/12/01 15:23:16.621, 180, 283, 218
2022/12/01 15:23:18.126, 196, 292, 214
2022/12/01 15:23:19.632, 207, 351, 203
2022/12/01 15:23:21.138, 190, 291, 238
2022/12/01 15:23:22.644, 191, 285, 203
2022/12/01 15:23:24.150, 193, 286, 209
2022/12/01 15:23:25.656, 183, 289, 220
2022/12/01 15:23:27.162, 196, 307, 208
2022/12/01 15:23:28.667, 182, 294, 207
2022/12/01 15:23:30.173, 177, 294, 217
2022/12/01 15:23:31.679, 192, 291, 225
2022/12/01 15:23:33.185, 183, 292, 226
