time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/12/07 21:37:40.410, 150, 278, 211
2022/12/07 21:37:41.917, 150, 278, 205
2022/12/07 21:37:43.423, 168, 282, 195
2022/12/07 21:37:44.929, 163, 271, 213
2022/12/07 21:37:46.435, 155, 284, 203
2022/12/07 21:37:47.942, 156, 273, 220
2022/12/07 21:37:49.447, 162, 271, 223
2022/12/07 21:37:50.953, 153, 296, 203
2022/12/07 21:37:52.460, 153, 288, 206
2022/12/07 21:37:53.967, 169, 267, 203
2022/12/07 21:37:55.473, 159, 292, 206
2022/12/07 21:37:56.979, 147, 283, 207
2022/12/07 21:37:58.484, 161, 262, 207
2022/12/07 21:37:59.991, 162, 272, 200
2022/12/07 21:38:01.497, 152, 266, 211
2022/12/07 21:38:03.003, 150, 278, 193
2022/12/07 21:38:04.509, 165, 258, 216
2022/12/07 21:38:06.014, 166, 277, 201
2022/12/07 21:38:07.521, 159, 276, 202
2022/12/07 21:38:09.026, 153, 294, 216
2022/12/07 21:38:10.534, 162, 272, 212
2022/12/07 21:38:12.040, 160, 277, 205
2022/12/07 21:38:13.545, 156, 280, 196
2022/12/07 21:38:15.052, 164, 272, 214
2022/12/07 21:38:16.558, 166, 290, 214
2022/12/07 21:38:18.064, 160, 269, 208
2022/12/07 21:38:19.570, 154, 277, 235
2022/12/07 21:38:21.076, 170, 268, 201
2022/12/07 21:38:22.582, 147, 276, 213
2022/12/07 21:38:24.088, 160, 286, 208
2022/12/07 21:38:25.593, 169, 287, 214
2022/12/07 21:38:27.099, 149, 292, 202
2022/12/07 21:38:28.605, 169, 275, 199
2022/12/07 21:38:30.111, 150, 269, 204
2022/12/07 21:38:31.617, 156, 268, 204
2022/12/07 21:38:33.123, 163, 279, 205
2022/12/07 21:38:34.629, 161, 270, 199
2022/12/07 21:38:36.135, 152, 286, 199
2022/12/07 21:38:37.642, 164, 266, 222
2022/12/07 21:38:39.148, 145, 278, 203
2022/12/07 21:38:40.654, 160, 269, 210
2022/12/07 21:38:42.160, 169, 271, 213
2022/12/07 21:38:43.665, 170, 264, 216
2022/12/07 21:38:45.172, 150, 287, 225
2022/12/07 21:38:46.678, 163, 286, 218
2022/12/07 21:38:48.185, 164, 269, 199
2022/12/07 21:38:49.691, 152, 286, 204
