time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/12/08 03:49:33.940, 210, 407, 312
2022/12/08 03:49:35.446, 205, 422, 289
2022/12/08 03:49:36.953, 205, 431, 284
2022/12/08 03:49:38.459, 210, 425, 290
2022/12/08 03:49:39.965, 218, 411, 292
2022/12/08 03:49:41.472, 218, 420, 277
2022/12/08 03:49:42.977, 211, 435, 284
2022/12/08 03:49:44.484, 202, 437, 290
2022/12/08 03:49:45.990, 218, 409, 284
2022/12/08 03:49:47.497, 229, 424, 296
2022/12/08 03:49:49.004, 219, 401, 301
2022/12/08 03:49:50.510, 218, 429, 287
2022/12/08 03:49:52.016, 216, 407, 280
2022/12/08 03:49:53.521, 205, 402, 291
2022/12/08 03:49:55.028, 206, 402, 287
2022/12/08 03:49:56.535, 210, 411, 279
2022/12/08 03:49:58.041, 221, 407, 278
2022/12/08 03:49:59.547, 218, 405, 283
2022/12/08 03:50:01.054, 204, 402, 273
2022/12/08 03:50:02.560, 203, 411, 287
2022/12/08 03:50:04.066, 205, 418, 293
2022/12/08 03:50:05.572, 210, 408, 283
2022/12/08 03:50:07.078, 218, 401, 286
2022/12/08 03:50:08.584, 214, 400, 296
2022/12/08 03:50:10.092, 213, 403, 281
2022/12/08 03:50:11.598, 201, 417, 285
2022/12/08 03:50:13.104, 208, 405, 291
2022/12/08 03:50:14.611, 218, 405, 279
2022/12/08 03:50:16.117, 221, 411, 283
2022/12/08 03:50:17.623, 223, 404, 280
2022/12/08 03:50:19.128, 210, 421, 300
2022/12/08 03:50:20.635, 208, 410, 283
2022/12/08 03:50:22.141, 220, 409, 287
2022/12/08 03:50:23.647, 219, 408, 298
2022/12/08 03:50:25.153, 210, 405, 285
2022/12/08 03:50:26.659, 211, 441, 295
2022/12/08 03:50:28.165, 204, 425, 304
2022/12/08 03:50:29.671, 207, 411, 304
2022/12/08 03:50:31.177, 203, 417, 292
2022/12/08 03:50:32.684, 205, 405, 286
2022/12/08 03:50:34.190, 205, 412, 288
2022/12/08 03:50:35.696, 205, 410, 286
2022/12/08 03:50:37.202, 215, 413, 290
2022/12/08 03:50:38.708, 214, 403, 291
2022/12/08 03:50:40.215, 208, 412, 276
2022/12/08 03:50:41.722, 207, 406, 296
2022/12/08 03:50:43.228, 224, 409, 288
