time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/12/08 00:48:13.959, 87, 96, 77
2022/12/08 00:48:15.462, 91, 102, 89
2022/12/08 00:48:16.967, 89, 101, 90
2022/12/08 00:48:18.472, 97, 125, 99
2022/12/08 00:48:19.976, 80, 111, 88
2022/12/08 00:48:21.479, 95, 101, 89
2022/12/08 00:48:22.983, 91, 102, 91
2022/12/08 00:48:24.488, 86, 103, 80
2022/12/08 00:48:25.991, 97, 104, 84
2022/12/08 00:48:27.495, 83, 98, 87
2022/12/08 00:48:28.998, 94, 100, 78
2022/12/08 00:48:30.503, 92, 105, 92
2022/12/08 00:48:32.007, 93, 122, 88
2022/12/08 00:48:33.511, 89, 114, 78
2022/12/08 00:48:35.016, 98, 100, 91
2022/12/08 00:48:36.520, 81, 114, 87
2022/12/08 00:48:38.025, 85, 111, 80
2022/12/08 00:48:39.529, 105, 106, 91
2022/12/08 00:48:41.034, 93, 102, 82
2022/12/08 00:48:42.537, 86, 96, 76
2022/12/08 00:48:44.042, 92, 112, 96
2022/12/08 00:48:45.545, 85, 98, 83
2022/12/08 00:48:47.050, 90, 109, 89
2022/12/08 00:48:48.553, 91, 97, 86
2022/12/08 00:48:50.056, 87, 98, 88
2022/12/08 00:48:51.561, 82, 106, 90
2022/12/08 00:48:53.064, 87, 92, 92
2022/12/08 00:48:54.569, 87, 106, 87
2022/12/08 00:48:56.074, 104, 106, 88
2022/12/08 00:48:57.578, 97, 98, 89
2022/12/08 00:48:59.081, 95, 108, 81
2022/12/08 00:49:00.586, 90, 100, 83
2022/12/08 00:49:02.090, 91, 94, 94
2022/12/08 00:49:03.595, 86, 116, 104
2022/12/08 00:49:05.100, 101, 107, 93
2022/12/08 00:49:06.605, 86, 109, 97
2022/12/08 00:49:08.108, 97, 105, 96
2022/12/08 00:49:09.613, 94, 108, 91
2022/12/08 00:49:11.117, 84, 116, 91
2022/12/08 00:49:12.621, 99, 108, 86
2022/12/08 00:49:14.125, 92, 94, 79
2022/12/08 00:49:15.629, 90, 101, 88
2022/12/08 00:49:17.133, 92, 108, 84
2022/12/08 00:49:18.637, 92, 114, 88
2022/12/08 00:49:20.142, 95, 107, 81
2022/12/08 00:49:21.646, 82, 104, 79
2022/12/08 00:49:23.151, 78, 109, 91
2022/12/08 00:49:24.656, 103, 104, 104
2022/12/08 00:49:26.160, 90, 106, 92
2022/12/08 00:49:27.665, 89, 103, 104
2022/12/08 00:49:29.169, 88, 93, 92
2022/12/08 00:49:30.673, 90, 106, 94
2022/12/08 00:49:32.178, 94, 103, 106
2022/12/08 00:49:33.683, 90, 103, 110
2022/12/08 00:49:35.187, 82, 100, 92
2022/12/08 00:49:36.691, 95, 105, 95
2022/12/08 00:49:38.196, 81, 102, 82
2022/12/08 00:49:39.700, 96, 105, 87
2022/12/08 00:49:41.203, 87, 107, 86
2022/12/08 00:49:42.709, 92, 102, 85
2022/12/08 00:49:44.213, 96, 105, 81
2022/12/08 00:49:45.716, 81, 98, 94
2022/12/08 00:49:47.219, 83, 95, 88
2022/12/08 00:49:48.725, 98, 110, 103
2022/12/08 00:49:50.229, 98, 102, 85
2022/12/08 00:49:51.732, 83, 94, 93
2022/12/08 00:49:53.236, 94, 96, 90
2022/12/08 00:49:54.739, 95, 94, 80
2022/12/08 00:49:56.243, 96, 97, 84
2022/12/08 00:49:57.747, 86, 105, 82
2022/12/08 00:49:59.251, 97, 98, 90
2022/12/08 00:50:00.755, 92, 105, 78
2022/12/08 00:50:02.259, 96, 92, 91
2022/12/08 00:50:03.763, 93, 108, 91
2022/12/08 00:50:05.266, 87, 98, 90
2022/12/08 00:50:06.771, 90, 108, 81
2022/12/08 00:50:08.275, 80, 97, 102
2022/12/08 00:50:09.779, 92, 96, 94
2022/12/08 00:50:11.282, 88, 117, 86
2022/12/08 00:50:12.788, 100, 110, 88
2022/12/08 00:50:14.293, 94, 106, 85
2022/12/08 00:50:15.796, 85, 94, 83
2022/12/08 00:50:17.300, 89, 107, 91
