time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/08/24 20:17:08.835, 129, 153, 158
2022/08/24 20:17:10.341, 113, 138, 158
2022/08/24 20:17:11.846, 91, 191, 130
2022/08/24 20:17:13.351, 98, 156, 189
2022/08/24 20:17:14.856, 124, 172, 172
2022/08/24 20:17:16.361, 87, 167, 165
2022/08/24 20:17:17.867, 119, 169, 175
2022/08/24 20:17:19.372, 80, 176, 162
2022/08/24 20:17:20.877, 81, 152, 144
2022/08/24 20:17:22.382, 150, 149, 162
2022/08/24 20:17:23.887, 81, 128, 174
2022/08/24 20:17:25.392, 82, 135, 167
2022/08/24 20:17:26.897, 96, 156, 121
2022/08/24 20:17:28.403, 109, 172, 132
2022/08/24 20:17:29.908, 126, 155, 154
2022/08/24 20:17:31.414, 127, 134, 128
2022/08/24 20:17:32.920, 157, 149, 163
2022/08/24 20:17:34.424, 78, 143, 178
2022/08/24 20:17:35.930, 108, 184, 118
2022/08/24 20:17:37.436, 111, 181, 157
2022/08/24 20:17:38.941, 95, 151, 167
2022/08/24 20:17:40.446, 134, 198, 159
2022/08/24 20:17:41.952, 132, 168, 178
2022/08/24 20:17:43.457, 94, 171, 146
2022/08/24 20:17:44.962, 116, 162, 176
2022/08/24 20:17:46.468, 109, 182, 187
2022/08/24 20:17:47.974, 104, 163, 133
2022/08/24 20:17:49.479, 83, 189, 137
2022/08/24 20:17:50.983, 67, 171, 156
2022/08/24 20:17:52.489, 108, 182, 173
2022/08/24 20:17:53.994, 96, 182, 180
2022/08/24 20:17:55.500, 116, 146, 147
2022/08/24 20:17:57.005, 106, 125, 156
2022/08/24 20:17:58.511, 112, 172, 131
2022/08/24 20:18:00.015, 96, 176, 193
2022/08/24 20:18:01.521, 103, 189, 103
2022/08/24 20:18:03.026, 117, 184, 147
2022/08/24 20:18:04.531, 117, 195, 171
2022/08/24 20:18:06.037, 104, 162, 174
2022/08/24 20:18:07.542, 96, 179, 141
2022/08/24 20:18:09.047, 97, 181, 144
2022/08/24 20:18:10.552, 122, 162, 148
2022/08/24 20:18:12.058, 115, 162, 126
2022/08/24 20:18:13.564, 100, 150, 152
2022/08/24 20:18:15.069, 116, 178, 164
2022/08/24 20:18:16.574, 82, 161, 155
2022/08/24 20:18:18.080, 101, 172, 153
2022/08/24 20:18:19.585, 91, 168, 158
