time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/08/25 06:38:37.752, 153, 297, 274
2022/08/25 06:38:39.258, 136, 269, 250
2022/08/25 06:38:40.765, 145, 276, 283
2022/08/25 06:38:42.271, 140, 295, 309
2022/08/25 06:38:43.777, 157, 257, 283
2022/08/25 06:38:45.283, 159, 269, 288
2022/08/25 06:38:46.790, 199, 294, 269
2022/08/25 06:38:48.296, 164, 287, 290
2022/08/25 06:38:49.803, 175, 278, 295
2022/08/25 06:38:51.309, 161, 301, 280
2022/08/25 06:38:52.815, 140, 290, 260
2022/08/25 06:38:54.321, 134, 303, 285
2022/08/25 06:38:55.827, 161, 279, 293
2022/08/25 06:38:57.333, 174, 272, 269
2022/08/25 06:38:58.840, 173, 290, 283
2022/08/25 06:39:00.345, 194, 288, 256
2022/08/25 06:39:01.851, 168, 279, 266
2022/08/25 06:39:03.358, 182, 292, 271
2022/08/25 06:39:04.863, 155, 295, 247
2022/08/25 06:39:06.370, 152, 286, 294
2022/08/25 06:39:07.876, 164, 281, 277
2022/08/25 06:39:09.382, 130, 263, 281
2022/08/25 06:39:10.889, 118, 291, 270
2022/08/25 06:39:12.395, 181, 263, 240
2022/08/25 06:39:13.901, 121, 251, 302
2022/08/25 06:39:15.407, 177, 271, 295
2022/08/25 06:39:16.914, 149, 302, 284
2022/08/25 06:39:18.420, 180, 267, 301
2022/08/25 06:39:19.926, 146, 249, 272
2022/08/25 06:39:21.432, 150, 290, 330
2022/08/25 06:39:22.939, 128, 310, 276
2022/08/25 06:39:24.445, 141, 276, 274
2022/08/25 06:39:25.951, 182, 288, 293
2022/08/25 06:39:27.458, 182, 298, 277
2022/08/25 06:39:28.964, 187, 282, 315
2022/08/25 06:39:30.471, 168, 307, 282
2022/08/25 06:39:31.977, 175, 312, 280
2022/08/25 06:39:33.483, 188, 306, 302
2022/08/25 06:39:34.989, 162, 314, 298
2022/08/25 06:39:36.496, 163, 292, 310
2022/08/25 06:39:38.002, 139, 322, 274
2022/08/25 06:39:39.508, 176, 291, 283
2022/08/25 06:39:41.014, 183, 271, 276
2022/08/25 06:39:42.521, 194, 288, 294
2022/08/25 06:39:44.027, 143, 299, 270
2022/08/25 06:39:45.534, 163, 259, 279
2022/08/25 06:39:47.039, 143, 281, 281
2022/08/25 06:39:48.546, 152, 320, 268
