time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/08/25 12:56:02.038, 214, 393, 435
2022/08/25 12:56:03.544, 200, 397, 419
2022/08/25 12:56:05.050, 193, 387, 419
2022/08/25 12:56:06.556, 179, 408, 439
2022/08/25 12:56:08.062, 203, 378, 430
2022/08/25 12:56:09.568, 193, 390, 446
2022/08/25 12:56:11.074, 182, 410, 443
2022/08/25 12:56:12.580, 165, 393, 450
2022/08/25 12:56:14.086, 183, 383, 441
2022/08/25 12:56:15.592, 184, 392, 432
2022/08/25 12:56:17.098, 176, 405, 434
2022/08/25 12:56:18.604, 182, 393, 441
2022/08/25 12:56:20.110, 183, 387, 430
2022/08/25 12:56:21.616, 183, 397, 433
2022/08/25 12:56:23.122, 193, 390, 438
2022/08/25 12:56:24.628, 203, 380, 433
2022/08/25 12:56:26.134, 187, 400, 414
2022/08/25 12:56:27.640, 195, 404, 426
2022/08/25 12:56:29.147, 216, 403, 428
2022/08/25 12:56:30.653, 208, 398, 427
2022/08/25 12:56:32.159, 215, 399, 410
2022/08/25 12:56:33.665, 211, 389, 428
2022/08/25 12:56:35.171, 203, 403, 407
2022/08/25 12:56:36.677, 203, 391, 435
2022/08/25 12:56:38.183, 189, 389, 445
2022/08/25 12:56:39.689, 199, 414, 431
2022/08/25 12:56:41.195, 197, 400, 418
2022/08/25 12:56:42.701, 182, 409, 412
2022/08/25 12:56:44.207, 170, 401, 456
2022/08/25 12:56:45.713, 171, 391, 423
2022/08/25 12:56:47.219, 195, 396, 437
2022/08/25 12:56:48.725, 192, 396, 426
2022/08/25 12:56:50.231, 187, 397, 408
2022/08/25 12:56:51.737, 201, 398, 437
2022/08/25 12:56:53.243, 207, 410, 429
2022/08/25 12:56:54.749, 184, 415, 429
2022/08/25 12:56:56.255, 208, 408, 429
2022/08/25 12:56:57.761, 182, 405, 410
2022/08/25 12:56:59.266, 186, 404, 448
2022/08/25 12:57:00.772, 199, 392, 422
2022/08/25 12:57:02.278, 197, 411, 422
2022/08/25 12:57:03.784, 197, 396, 430
2022/08/25 12:57:05.290, 180, 412, 404
