time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/08/25 00:06:50.077, 89, 178, 84
2022/08/25 00:06:51.583, 132, 180, 110
2022/08/25 00:06:53.089, 114, 100, 118
2022/08/25 00:06:54.595, 132, 159, 118
2022/08/25 00:06:56.100, 52, 164, 121
2022/08/25 00:06:57.621, 74, 157, 93
2022/08/25 00:06:59.110, 104, 154, 103
2022/08/25 00:07:00.622, 89, 142, 116
2022/08/25 00:07:02.121, 145, 151, 105
2022/08/25 00:07:03.626, 102, 165, 132
2022/08/25 00:07:05.131, 93, 140, 105
2022/08/25 00:07:06.637, 107, 147, 104
2022/08/25 00:07:08.143, 132, 147, 121
2022/08/25 00:07:09.648, 112, 152, 98
2022/08/25 00:07:11.153, 114, 162, 77
2022/08/25 00:07:12.659, 109, 180, 109
2022/08/25 00:07:14.165, 130, 136, 78
2022/08/25 00:07:15.670, 109, 137, 86
2022/08/25 00:07:17.175, 111, 124, 98
2022/08/25 00:07:18.681, 140, 137, 106
2022/08/25 00:07:20.187, 145, 131, 112
2022/08/25 00:07:21.692, 81, 193, 121
2022/08/25 00:07:23.198, 124, 189, 129
2022/08/25 00:07:24.703, 78, 154, 112
2022/08/25 00:07:26.209, 100, 105, 118
2022/08/25 00:07:27.715, 131, 153, 110
2022/08/25 00:07:29.220, 75, 103, 101
2022/08/25 00:07:30.726, 113, 176, 104
2022/08/25 00:07:32.232, 129, 166, 122
2022/08/25 00:07:33.738, 113, 169, 130
2022/08/25 00:07:35.244, 126, 186, 76
2022/08/25 00:07:36.749, 121, 110, 130
2022/08/25 00:07:38.255, 123, 148, 112
2022/08/25 00:07:39.761, 116, 117, 127
2022/08/25 00:07:41.267, 113, 155, 103
2022/08/25 00:07:42.772, 101, 138, 99
2022/08/25 00:07:44.277, 110, 166, 82
2022/08/25 00:07:45.782, 79, 112, 123
2022/08/25 00:07:47.288, 132, 157, 96
2022/08/25 00:07:48.793, 102, 123, 96
2022/08/25 00:07:50.299, 124, 148, 112
2022/08/25 00:07:51.805, 103, 142, 147
2022/08/25 00:07:53.311, 158, 187, 108
2022/08/25 00:07:54.817, 121, 141, 122
2022/08/25 00:07:56.323, 131, 156, 103
2022/08/25 00:07:57.828, 129, 162, 144
2022/08/25 00:07:59.334, 105, 138, 166
2022/08/25 00:08:00.839, 93, 160, 109
2022/08/25 00:08:02.344, 111, 143, 72
2022/08/25 00:08:03.850, 147, 118, 130
