time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/05/19 00:19:51.585, 115, 144, 118
2022/05/19 00:19:53.078, 100, 148, 125
2022/05/19 00:19:54.583, 116, 149, 120
2022/05/19 00:19:56.090, 123, 150, 114
2022/05/19 00:19:57.595, 112, 145, 122
2022/05/19 00:19:59.101, 100, 151, 131
2022/05/19 00:20:00.607, 108, 151, 117
2022/05/19 00:20:02.112, 118, 154, 112
2022/05/19 00:20:03.618, 110, 152, 135
2022/05/19 00:20:05.123, 115, 151, 115
2022/05/19 00:20:06.629, 104, 147, 100
2022/05/19 00:20:08.135, 120, 148, 134
2022/05/19 00:20:09.640, 99, 150, 126
2022/05/19 00:20:11.146, 114, 151, 118
2022/05/19 00:20:12.652, 115, 152, 120
2022/05/19 00:20:14.158, 123, 124, 120
2022/05/19 00:20:15.664, 113, 142, 127
2022/05/19 00:20:17.170, 123, 150, 123
2022/05/19 00:20:18.676, 107, 145, 123
2022/05/19 00:20:20.181, 99, 142, 103
2022/05/19 00:20:21.687, 117, 153, 128
2022/05/19 00:20:23.193, 128, 147, 117
2022/05/19 00:20:24.699, 108, 149, 121
2022/05/19 00:20:26.205, 111, 149, 136
2022/05/19 00:20:27.711, 125, 150, 126
2022/05/19 00:20:29.217, 112, 153, 118
2022/05/19 00:20:30.722, 106, 151, 129
2022/05/19 00:20:32.228, 116, 156, 128
2022/05/19 00:20:33.734, 116, 153, 127
2022/05/19 00:20:35.241, 113, 142, 119
2022/05/19 00:20:36.746, 114, 155, 117
2022/05/19 00:20:38.252, 112, 149, 124
2022/05/19 00:20:39.758, 110, 148, 128
2022/05/19 00:20:41.264, 125, 150, 125
2022/05/19 00:20:42.770, 109, 153, 120
2022/05/19 00:20:44.276, 103, 161, 127
2022/05/19 00:20:45.782, 117, 146, 129
2022/05/19 00:20:47.288, 112, 150, 142
2022/05/19 00:20:48.794, 101, 149, 134
2022/05/19 00:20:50.300, 122, 158, 116
2022/05/19 00:20:51.806, 110, 148, 128
2022/05/19 00:20:53.312, 111, 146, 131
2022/05/19 00:20:54.818, 113, 155, 114
2022/05/19 00:20:56.323, 98, 152, 139
2022/05/19 00:20:57.829, 107, 156, 142
2022/05/19 00:20:59.334, 111, 157, 135
2022/05/19 00:21:00.840, 118, 164, 131
2022/05/19 00:21:02.346, 114, 155, 135
2022/05/19 00:21:03.851, 106, 147, 130
2022/05/19 00:21:05.357, 103, 152, 118
2022/05/19 00:21:06.862, 111, 147, 117
2022/05/19 00:21:08.369, 105, 146, 115
