time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/05/19 00:36:40.395, 131, 186, 168
2022/05/19 00:36:41.901, 130, 192, 150
2022/05/19 00:36:43.407, 126, 190, 138
2022/05/19 00:36:44.913, 127, 185, 137
2022/05/19 00:36:46.419, 129, 190, 136
2022/05/19 00:36:47.925, 116, 192, 140
2022/05/19 00:36:49.431, 144, 185, 147
2022/05/19 00:36:50.937, 124, 186, 146
2022/05/19 00:36:52.442, 124, 194, 148
2022/05/19 00:36:53.948, 135, 185, 149
2022/05/19 00:36:55.454, 122, 191, 153
2022/05/19 00:36:56.960, 139, 186, 146
2022/05/19 00:36:58.466, 128, 187, 149
2022/05/19 00:36:59.972, 125, 176, 114
2022/05/19 00:37:01.477, 132, 191, 144
2022/05/19 00:37:02.983, 141, 173, 146
2022/05/19 00:37:04.489, 146, 171, 144
2022/05/19 00:37:05.995, 130, 186, 147
2022/05/19 00:37:07.500, 135, 187, 148
2022/05/19 00:37:09.006, 138, 184, 149
2022/05/19 00:37:10.513, 128, 186, 161
2022/05/19 00:37:12.018, 112, 191, 145
2022/05/19 00:37:13.525, 132, 172, 147
2022/05/19 00:37:15.030, 133, 188, 170
2022/05/19 00:37:16.536, 133, 201, 133
2022/05/19 00:37:18.042, 140, 189, 146
2022/05/19 00:37:19.548, 112, 191, 139
2022/05/19 00:37:21.054, 134, 185, 166
2022/05/19 00:37:22.566, 127, 191, 159
2022/05/19 00:37:24.066, 124, 190, 146
2022/05/19 00:37:25.579, 129, 196, 145
2022/05/19 00:37:27.078, 137, 185, 150
2022/05/19 00:37:28.588, 115, 190, 146
2022/05/19 00:37:30.090, 119, 185, 133
2022/05/19 00:37:31.595, 133, 183, 148
2022/05/19 00:37:33.101, 128, 193, 149
2022/05/19 00:37:34.607, 137, 200, 166
2022/05/19 00:37:36.113, 136, 194, 156
2022/05/19 00:37:37.619, 118, 203, 153
2022/05/19 00:37:39.125, 141, 188, 145
2022/05/19 00:37:40.631, 132, 183, 150
2022/05/19 00:37:42.137, 116, 187, 145
2022/05/19 00:37:43.643, 138, 200, 131
2022/05/19 00:37:45.149, 126, 190, 126
2022/05/19 00:37:46.655, 136, 192, 161
2022/05/19 00:37:48.161, 139, 185, 157
2022/05/19 00:37:49.667, 140, 192, 154
