time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/05/19 05:02:27.806, 135, 189, 151
2022/05/19 05:02:29.312, 136, 181, 156
2022/05/19 05:02:30.818, 130, 190, 157
2022/05/19 05:02:32.336, 138, 194, 153
2022/05/19 05:02:33.830, 136, 183, 151
2022/05/19 05:02:35.336, 123, 178, 162
2022/05/19 05:02:36.842, 141, 199, 159
2022/05/19 05:02:38.367, 126, 190, 155
2022/05/19 05:02:39.854, 127, 183, 181
2022/05/19 05:02:41.367, 139, 186, 168
2022/05/19 05:02:42.866, 124, 185, 143
2022/05/19 05:02:44.371, 134, 197, 156
2022/05/19 05:02:45.877, 139, 190, 156
2022/05/19 05:02:47.384, 125, 205, 158
2022/05/19 05:02:48.889, 137, 191, 148
2022/05/19 05:02:50.395, 142, 187, 137
2022/05/19 05:02:51.901, 129, 194, 150
2022/05/19 05:02:53.407, 140, 191, 156
2022/05/19 05:02:54.913, 140, 186, 152
2022/05/19 05:02:56.419, 124, 201, 152
2022/05/19 05:02:57.925, 142, 191, 148
2022/05/19 05:02:59.430, 124, 198, 154
2022/05/19 05:03:00.936, 131, 193, 146
2022/05/19 05:03:02.442, 139, 188, 164
2022/05/19 05:03:03.948, 129, 192, 164
2022/05/19 05:03:05.453, 125, 188, 154
2022/05/19 05:03:06.959, 133, 194, 142
2022/05/19 05:03:08.465, 132, 183, 153
2022/05/19 05:03:09.971, 112, 207, 151
2022/05/19 05:03:11.477, 126, 195, 152
2022/05/19 05:03:12.983, 134, 187, 145
2022/05/19 05:03:14.489, 125, 201, 151
2022/05/19 05:03:15.995, 135, 189, 152
2022/05/19 05:03:17.501, 130, 188, 158
2022/05/19 05:03:19.007, 127, 188, 152
2022/05/19 05:03:20.513, 137, 170, 154
2022/05/19 05:03:22.019, 137, 196, 156
2022/05/19 05:03:23.524, 127, 206, 156
2022/05/19 05:03:25.030, 138, 184, 155
2022/05/19 05:03:26.536, 138, 189, 165
2022/05/19 05:03:28.042, 130, 191, 157
2022/05/19 05:03:29.548, 132, 194, 164
2022/05/19 05:03:31.054, 132, 188, 160
2022/05/19 05:03:32.560, 126, 184, 161
2022/05/19 05:03:34.066, 135, 185, 158
2022/05/19 05:03:35.572, 129, 186, 157
2022/05/19 05:03:37.078, 124, 193, 153
2022/05/19 05:03:38.584, 141, 206, 154
2022/05/19 05:03:40.090, 136, 184, 154
