time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/05/19 18:04:56.448, 88, 113, 58
2022/05/19 18:04:57.952, 95, 122, 81
2022/05/19 18:04:59.456, 82, 98, 114
2022/05/19 18:05:00.976, 94, 96, 95
2022/05/19 18:05:02.463, 95, 100, 94
2022/05/19 18:05:03.968, 117, 103, 65
2022/05/19 18:05:05.473, 80, 114, 87
2022/05/19 18:05:06.977, 110, 95, 90
2022/05/19 18:05:08.481, 64, 105, 67
2022/05/19 18:05:09.985, 86, 96, 60
2022/05/19 18:05:11.489, 114, 98, 54
2022/05/19 18:05:12.994, 76, 114, 83
2022/05/19 18:05:14.498, 76, 110, 67
2022/05/19 18:05:16.004, 110, 105, 106
2022/05/19 18:05:17.508, 95, 84, 74
2022/05/19 18:05:19.012, 77, 134, 83
2022/05/19 18:05:20.516, 101, 90, 79
2022/05/19 18:05:22.021, 72, 104, 59
2022/05/19 18:05:23.524, 81, 85, 70
2022/05/19 18:05:25.028, 64, 85, 80
2022/05/19 18:05:26.531, 91, 80, 88
2022/05/19 18:05:28.035, 61, 73, 79
2022/05/19 18:05:29.540, 105, 111, 79
2022/05/19 18:05:31.044, 58, 92, 103
2022/05/19 18:05:32.549, 78, 110, 85
2022/05/19 18:05:34.053, 64, 105, 75
2022/05/19 18:05:35.558, 105, 104, 94
2022/05/19 18:05:37.063, 97, 101, 107
2022/05/19 18:05:38.569, 85, 132, 104
2022/05/19 18:05:40.073, 91, 132, 78
2022/05/19 18:05:41.579, 111, 126, 105
2022/05/19 18:05:43.084, 70, 129, 71
2022/05/19 18:05:44.587, 89, 82, 50
2022/05/19 18:05:46.091, 96, 91, 96
2022/05/19 18:05:47.595, 87, 112, 96
2022/05/19 18:05:49.099, 119, 80, 79
2022/05/19 18:05:50.603, 78, 83, 87
2022/05/19 18:05:52.108, 99, 102, 102
2022/05/19 18:05:53.614, 100, 121, 116
2022/05/19 18:05:55.118, 95, 150, 90
2022/05/19 18:05:56.621, 68, 92, 81
2022/05/19 18:05:58.126, 65, 102, 84
2022/05/19 18:05:59.629, 84, 67, 82
2022/05/19 18:06:01.133, 80, 112, 79
2022/05/19 18:06:02.637, 95, 116, 76
2022/05/19 18:06:04.141, 64, 115, 83
2022/05/19 18:06:05.646, 101, 87, 71
2022/05/19 18:06:07.151, 102, 99, 120
2022/05/19 18:06:08.656, 100, 116, 89
2022/05/19 18:06:10.159, 80, 99, 84
2022/05/19 18:06:11.664, 96, 102, 82
2022/05/19 18:06:13.169, 118, 112, 71
2022/05/19 18:06:14.673, 89, 118, 60
2022/05/19 18:06:16.177, 71, 104, 74
2022/05/19 18:06:17.683, 79, 130, 112
2022/05/19 18:06:19.187, 85, 92, 102
2022/05/19 18:06:20.690, 80, 88, 90
2022/05/19 18:06:22.195, 88, 100, 77
2022/05/19 18:06:23.699, 95, 115, 60
2022/05/19 18:06:25.203, 84, 88, 110
