exp,bottle,filt,tp,filtrate_cells
TP22-14, B,a,1,NA
TP22-14, B,b,1,NA
TP22-14, B,c,1,NA
TP22-14, A,a,2,NA
TP22-14, A,b,2,NA
TP22-14, A,c,2,NA
TP22-14, B,a,2,NA
TP22-14, B,b,2,NA
TP22-14, B,c,2,NA
TP22-14, C,a,2,NA
TP22-14, C,b,2,NA
TP22-14, C,c,2,NA
TP22-14, B,a,3,NA
TP22-14, B,b,3,NA
TP22-14, B,c,3,NA
TP22-14, B,a,4,NA
TP22-14, B,b,4,NA
TP22-14, B,c,4,NA
TP22-14, B,a,5,NA
TP22-14, B,b,5,NA
TP22-14, B,c,5,NA
TP22-14, B,a,6,NA
TP22-14, B,b,6,NA
TP22-14, B,c,6,NA
TP22-14, A,a,7,NA
TP22-14, A,b,7,NA
TP22-14, A,c,7,NA
TP22-14, B,a,7,NA
TP22-14, B,b,7,NA
TP22-14, B,c,7,NA
TP22-14, C,a,7,NA
TP22-14, C,b,7,NA
TP22-14, C,c,7,NA
TP22-14, B,a,8,NA
TP22-14, B,b,8,NA
TP22-14, B,c,8,NA
TP22-14, B,a,9,NA
TP22-14, B,b,9,NA
TP22-14, B,c,9,NA
TP22-14, B,a,10,NA
TP22-14, B,b,10,NA
TP22-14, B,c,10,NA
TP22-14, B,a,11,NA
TP22-14, B,b,11,NA
TP22-14, B,c,11,NA
TP22-14, B,a,12,NA
TP22-14, B,b,12,NA
TP22-14, B,c,12,NA
SYN22-5, D,a,1,NA
SYN22-5, D,b,1,NA
SYN22-5, D,c,1,NA
SYN22-5, D,a,2,NA
SYN22-5, D,b,2,NA
SYN22-5, D,c,2,357920
SYN22-5, A,a,3,NA
SYN22-5, A,b,3,NA
SYN22-5, A,c,3,NA
SYN22-5, B,a,3,NA
SYN22-5, B,b,3,NA
SYN22-5, B,c,3,NA
SYN22-5, C,a,3,NA
SYN22-5, C,b,3,NA
SYN22-5, C,c,3,NA
SYN22-5, D,a,3,NA
SYN22-5, D,b,3,NA
SYN22-5, D,c,3,NA
SYN22-5, D,a,4,NA
SYN22-5, D,b,4,NA
SYN22-5, D,c,4,NA
SYN22-5, D,a,5,NA
SYN22-5, D,b,5,177288
SYN22-5, D,c,5,NA
SYN22-5, D,a,6,NA
SYN22-5, D,b,6,NA
SYN22-5, D,c,6,NA
SYN22-5, D,a,7,NA
SYN22-5, D,b,7,1186186
SYN22-5, D,a,8,NA
SYN22-5, D,b,8,82882
SYN22-5, D,c,8,NA
SYN22-5, A,a,9,53644
SYN22-5, A,b,9,268898
SYN22-5, A,c,9,NA
SYN22-5, B,a,9,NA
SYN22-5, B,b,9,NA
SYN22-5, B,c,9,NA
SYN22-5, C,a,9,NA
SYN22-5, C,b,9,NA
SYN22-5, C,c,9,NA
SYN22-5, D,a,9,NA
SYN22-5, D,b,9,265339
SYN22-5, D,c,9,NA
SYN22-5, D,a,10,77627
SYN22-5, D,b,10,297458
SYN22-5, D,c,10,NA
SYN22-5, D,a,11,NA
SYN22-5, D,b,11,NA
SYN22-5, D,c,11,NA
SYN22-5, D,a,12,NA
SYN22-5, D,b,12,NA
SYN22-5, D,c,12,172627
SYN22-5, D,a,13,NA
SYN22-5, D,b,13,NA
SYN22-5, D,c,13,NA
SYN22-5, D,a,14,NA
SYN22-5, D,b,14,NA
SYN22-5, D,c,14,NA
SYN22-5, A,a,15,NA
SYN22-5, A,b,15,NA
SYN22-5, A,c,15,111440
SYN22-5, B,a,15,NA
SYN22-5, B,b,15,68728
SYN22-5, B,c,15,181780
SYN22-5, C,a,15,NA
SYN22-5, C,b,15,NA
SYN22-5, C,c,15,NA
SYN22-5, D,a,15,NA
SYN22-5, D,b,15,NA
SYN22-5, D,c,15,NA
OL22-3,D,a,1,42034
OL22-3,D,b,1,186031
OL22-3,D,c,1,240282
OL22-3,D,a,2,338757
OL22-3,D,b,2,1505296
OL22-3,D,c,2,579492
OL22-3,A,a,3,NA
OL22-3,A,b,3,1517055
OL22-3,A,c,3,1662712
OL22-3,B,a,3,NA
OL22-3,B,b,3,NA
OL22-3,B,c,3,NA
OL22-3,C,a,3,NA
OL22-3,C,b,3,NA
OL22-3,C,c,3,NA
OL22-3,D,a,3,NA
OL22-3,D,b,3,519322
OL22-3,D,c,3,1418832
OL22-3,D,a,4,63446
OL22-3,D,b,4,29326
OL22-3,D,c,4,NA
OL22-3,D,a,5,NA
OL22-3,D,b,5,NA
OL22-3,D,c,5,NA
OL22-3,A,a,6,NA
OL22-3,A,b,6,876384
OL22-3,A,c,6,NA
OL22-3,A,a,7,NA
OL22-3,A,b,7,204972
OL22-3,A,c,7,NA
OL22-3,D,a,8,NA
OL22-3,D,b,8,NA
OL22-3,D,c,8,NA
OL22-3,A,a,9,NA
OL22-3,A,b,9,NA
OL22-3,A,c,9,NA
OL22-3,B,a,9,NA
OL22-3,B,b,9,NA
OL22-3,B,c,9,NA
OL22-3,C,a,9,NA
OL22-3,C,b,9,NA
OL22-3,C,c,9,NA
OL22-3,D,a,9,NA
OL22-3,D,b,9,NA
OL22-3,D,c,9,NA
OL22-3,D,a,10,NA
OL22-3,D,b,10,433220
OL22-3,D,c,10,NA
OL22-3,D,a,11,NA
OL22-3,D,b,11,NA
OL22-3,D,c,11,NA
OL22-3,D,a,12,NA
OL22-3,D,b,12,NA
OL22-3,D,c,12,1584322
OL22-3,D,a,13,NA
OL22-3,D,b,13,NA
OL22-3,D,c,13,NA
OL22-3,D,a,14,NA
OL22-3,D,b,14,NA
OL22-3,D,c,14,NA
OL22-3,A,a,15,NA
OL22-3,A,b,15,NA
OL22-3,A,c,15,NA
OL22-3,B,a,15,NA
OL22-3,B,b,15,NA
OL22-3,B,c,15,NA
OL22-3,C,a,15,NA
OL22-3,C,b,15,NA
OL22-3,C,c,15,NA
OL22-3,D,a,15,NA
OL22-3,D,b,15,NA
OL22-3,D,c,15,NA
