----,
DateTime:,      2022/12/01, 01:14:27, 1669886066,
PIF:,             13.06,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,   972.38,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.224,      43.078,      0.000,
    2,        3.3,    410.628,      50.768,      0.000,
    3,        5.8,    410.924,      58.307,      0.000,
    4,        8.3,    411.257,      63.110,      0.000,
    5,       10.8,    411.609,      65.974,      0.000,
    6,       13.3,    411.887,      67.576,      0.000,
    7,       15.8,    412.220,      68.591,      0.000,
    8,       18.3,    412.368,      69.198,      0.000,
    9,       20.8,    412.590,      69.519,      0.000,
   10,       23.3,    412.664,      69.717,      0.000,
   11,       25.8,    412.794,      69.771,      0.000,
   12,       28.3,    412.831,      69.930,      0.000,
   13,       30.8,    413.071,      69.870,      0.000,
   14,       33.3,    413.127,      69.836,      0.000,
   15,       35.8,    413.404,      69.825,      0.000,
   16,       38.3,    413.386,      69.828,      0.000,
   17,       40.8,    413.552,      69.691,      0.000,
   18,       43.3,    413.552,      69.739,      0.000,
   19,       45.8,    413.608,      69.656,      0.000,
   20,       48.3,    413.589,      69.688,      0.000,
   21,       50.8,    413.645,      69.615,      0.000,
   22,       53.3,    413.756,      69.426,      0.000,
   23,       55.8,    413.793,      69.459,      0.000,
   24,       58.3,    413.904,      69.503,      0.000,
   25,       60.8,    413.978,      69.438,      0.000,
   26,       63.3,    414.015,      69.245,      0.000,
   27,       65.8,    413.941,      69.232,      0.000,
   28,       68.3,    413.997,      69.323,      0.000,
   29,       70.8,    414.200,      69.220,      0.000,
   30,       73.3,    414.108,      69.198,      0.000,
   31,       75.8,    414.219,      69.204,      0.000,
