----,
DateTime:,      2022/11/30, 15:14:14, 1669850053,
PIF:,             18.23,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,   923.39,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.227,      27.802,      0.000,
    2,        3.3,    410.661,      31.166,      0.000,
    3,        5.8,    410.957,      34.464,      0.000,
    4,        8.3,    411.345,      36.702,      0.000,
    5,       10.8,    411.623,      38.386,      0.000,
    6,       13.3,    411.919,      39.437,      0.000,
    7,       15.8,    412.215,      40.197,      0.000,
    8,       18.3,    412.363,      40.628,      0.000,
    9,       20.8,    412.585,      40.929,      0.000,
   10,       23.3,    412.622,      41.099,      0.000,
   11,       25.8,    412.769,      41.331,      0.000,
   12,       28.3,    412.917,      41.242,      0.000,
   13,       30.8,    413.102,      41.390,      0.000,
   14,       33.3,    413.232,      41.314,      0.000,
   15,       35.8,    413.287,      41.428,      0.000,
   16,       38.3,    413.509,      41.351,      0.000,
   17,       40.8,    413.472,      41.440,      0.000,
   18,       43.3,    413.639,      41.451,      0.000,
   19,       45.8,    413.676,      41.394,      0.000,
   20,       48.3,    413.620,      41.460,      0.000,
   21,       50.8,    413.731,      41.468,      0.000,
   22,       53.3,    413.750,      41.414,      0.000,
   23,       55.8,    413.824,      41.337,      0.000,
   24,       58.3,    413.805,      41.359,      0.000,
   25,       60.8,    413.972,      41.449,      0.000,
   26,       63.3,    413.935,      41.387,      0.000,
   27,       65.8,    414.083,      41.347,      0.000,
   28,       68.3,    414.046,      41.284,      0.000,
   29,       70.8,    414.138,      41.322,      0.000,
   30,       73.3,    414.064,      41.285,      0.000,
   31,       75.8,    414.120,      41.273,      0.000,
