----,
DateTime:,      2022/12/01, 01:15:33, 1669886132,
PIF:,             11.34,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,  1079.60,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.323,      51.126,      0.000,
    2,        3.3,    410.631,      60.648,      0.000,
    3,        5.8,    411.038,      69.986,      0.000,
    4,        8.3,    411.352,      76.208,      0.000,
    5,       10.8,    411.704,      80.160,      0.000,
    6,       13.3,    411.963,      82.262,      0.000,
    7,       15.8,    412.240,      83.566,      0.000,
    8,       18.3,    412.407,      84.047,      0.000,
    9,       20.8,    412.610,      84.615,      0.000,
   10,       23.3,    412.703,      84.809,      0.000,
   11,       25.8,    412.758,      85.026,      0.000,
   12,       28.3,    412.906,      84.833,      0.000,
   13,       30.8,    413.054,      85.057,      0.000,
   14,       33.3,    413.221,      84.869,      0.000,
   15,       35.8,    413.480,      85.108,      0.000,
   16,       38.3,    413.350,      84.848,      0.000,
   17,       40.8,    413.498,      84.837,      0.000,
   18,       43.3,    413.554,      84.675,      0.000,
   19,       45.8,    413.591,      84.844,      0.000,
   20,       48.3,    413.628,      84.568,      0.000,
   21,       50.8,    413.591,      84.611,      0.000,
   22,       53.3,    413.757,      84.412,      0.000,
   23,       55.8,    413.887,      84.461,      0.000,
   24,       58.3,    413.887,      84.435,      0.000,
   25,       60.8,    413.979,      84.417,      0.000,
   26,       63.3,    413.924,      84.209,      0.000,
   27,       65.8,    414.109,      84.177,      0.000,
   28,       68.3,    414.035,      84.171,      0.000,
   29,       70.8,    414.035,      84.139,      0.000,
   30,       73.3,    414.164,      84.078,      0.000,
   31,       75.8,    414.183,      84.007,      0.000,
