----,
DateTime:,      2022/12/08, 13:25:48, 1670534747,
PIF:,             11.92,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,  1436.74,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.360,      71.384,      0.000,
    2,        3.3,    410.538,      85.247,      0.000,
    3,        5.8,    410.946,      98.843,      0.000,
    4,        8.3,    411.243,     107.709,      0.000,
    5,       10.8,    411.595,     112.931,      0.000,
    6,       13.3,    411.947,     116.033,      0.000,
    7,       15.8,    412.114,     117.532,      0.000,
    8,       18.3,    412.411,     118.661,      0.000,
    9,       20.8,    412.541,     119.071,      0.000,
   10,       23.3,    412.726,     119.257,      0.000,
   11,       25.8,    412.745,     119.236,      0.000,
   12,       28.3,    412.967,     119.555,      0.000,
   13,       30.8,    412.949,     119.401,      0.000,
   14,       33.3,    413.246,     119.432,      0.000,
   15,       35.8,    413.264,     119.239,      0.000,
   16,       38.3,    413.450,     119.334,      0.000,
   17,       40.8,    413.487,     119.186,      0.000,
   18,       43.3,    413.542,     119.111,      0.000,
   19,       45.8,    413.561,     118.962,      0.000,
   20,       48.3,    413.580,     119.127,      0.000,
   21,       50.8,    413.598,     118.756,      0.000,
   22,       53.3,    413.672,     118.723,      0.000,
   23,       55.8,    413.784,     118.616,      0.000,
   24,       58.3,    413.876,     118.568,      0.000,
   25,       60.8,    413.913,     118.461,      0.000,
   26,       63.3,    413.988,     118.258,      0.000,
   27,       65.8,    414.043,     118.315,      0.000,
   28,       68.3,    414.099,     118.134,      0.000,
   29,       70.8,    414.043,     118.085,      0.000,
   30,       73.3,    414.136,     117.865,      0.000,
   31,       75.8,    414.099,     118.005,      0.000,
