----,
DateTime:,      2022/12/07, 17:28:19, 1670462898,
PIF:,             16.12,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          10,    5, 
S/N Ratio:,  1256.72,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.268,      46.318,      0.000,
    2,        3.3,    410.717,      54.808,      0.000,
    3,        5.8,    410.960,      63.134,      0.000,
    4,        8.3,    411.316,      68.891,      0.000,
    5,       10.8,    411.671,      72.423,      0.000,
    6,       13.3,    411.933,      74.765,      0.000,
    7,       15.8,    412.139,      76.073,      0.000,
    8,       18.3,    412.345,      76.945,      0.000,
    9,       20.8,    412.439,      77.352,      0.000,
   10,       23.3,    412.645,      77.726,      0.000,
   11,       25.8,    412.720,      77.950,      0.000,
   12,       28.3,    412.869,      78.149,      0.000,
   13,       30.8,    413.075,      78.125,      0.000,
   14,       33.3,    413.244,      78.176,      0.000,
   15,       35.8,    413.375,      78.142,      0.000,
   16,       38.3,    413.412,      78.146,      0.000,
   17,       40.8,    413.468,      78.159,      0.000,
   18,       43.3,    413.543,      78.011,      0.000,
   19,       45.8,    413.581,      78.165,      0.000,
   20,       48.3,    413.618,      78.022,      0.000,
   21,       50.8,    413.712,      78.083,      0.000,
   22,       53.3,    413.730,      77.887,      0.000,
   23,       55.8,    413.843,      78.080,      0.000,
   24,       58.3,    413.843,      77.965,      0.000,
   25,       60.8,    413.974,      77.982,      0.000,
   26,       63.3,    413.861,      77.892,      0.000,
   27,       65.8,    414.030,      78.022,      0.000,
   28,       68.3,    414.048,      77.813,      0.000,
   29,       70.8,    414.123,      77.794,      0.000,
   30,       73.3,    414.179,      77.639,      0.000,
   31,       75.8,    414.179,      77.712,      0.000,
