----,
DateTime:,      2022/08/17, 22:49:06, 1660801745,
PIF:,              4.65,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          25,    5, 
S/N Ratio:,  2732.42,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.188,     110.975,      0.000,
    2,        3.3,    410.689,     124.550,      0.000,
    3,        5.8,    411.093,     137.859,      0.000,
    4,        8.3,    411.313,     148.125,      0.000,
    5,       10.8,    411.698,     155.333,      0.000,
    6,       13.3,    411.863,     160.523,      0.000,
    7,       15.8,    412.120,     164.666,      0.000,
    8,       18.3,    412.395,     167.506,      0.000,
    9,       20.8,    412.505,     169.541,      0.000,
   10,       23.3,    412.670,     170.985,      0.000,
   11,       25.8,    412.780,     172.076,      0.000,
   12,       28.3,    412.926,     172.655,      0.000,
   13,       30.8,    413.018,     173.266,      0.000,
   14,       33.3,    413.220,     173.537,      0.000,
   15,       35.8,    413.385,     173.902,      0.000,
   16,       38.3,    413.458,     173.904,      0.000,
   17,       40.8,    413.422,     174.131,      0.000,
   18,       43.3,    413.587,     173.924,      0.000,
   19,       45.8,    413.495,     174.041,      0.000,
   20,       48.3,    413.605,     173.974,      0.000,
   21,       50.8,    413.715,     173.817,      0.000,
   22,       53.3,    413.678,     173.673,      0.000,
   23,       55.8,    413.807,     173.631,      0.000,
   24,       58.3,    413.843,     173.422,      0.000,
   25,       60.8,    413.935,     173.244,      0.000,
   26,       63.3,    414.045,     173.096,      0.000,
   27,       65.8,    414.063,     172.919,      0.000,
   28,       68.3,    414.045,     172.780,      0.000,
   29,       70.8,    413.990,     172.512,      0.000,
   30,       73.3,    414.137,     172.333,      0.000,
   31,       75.8,    414.082,     172.152,      0.000,
