----,
DateTime:,      2022/08/17, 15:35:51, 1660775750,
PIF:,             31.11,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,           1,    5, 
S/N Ratio:,   335.50,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.214,      88.682,      0.000,
    2,        3.3,    410.662,      93.391,      0.000,
    3,        5.8,    410.954,      98.009,      0.000,
    4,        8.3,    411.302,     102.044,      0.000,
    5,       10.8,    411.522,     103.833,      0.000,
    6,       13.3,    411.869,     105.854,      0.000,
    7,       15.8,    412.089,     107.012,      0.000,
    8,       18.3,    412.363,     108.670,      0.000,
    9,       20.8,    412.510,     108.711,      0.000,
   10,       23.3,    412.711,     109.376,      0.000,
   11,       25.8,    412.803,     110.003,      0.000,
   12,       28.3,    412.821,     110.615,      0.000,
   13,       30.8,    412.986,     110.565,      0.000,
   14,       33.3,    413.095,     111.561,      0.000,
   15,       35.8,    413.352,     111.779,      0.000,
   16,       38.3,    413.352,     112.068,      0.000,
   17,       40.8,    413.498,     111.966,      0.000,
   18,       43.3,    413.516,     112.366,      0.000,
   19,       45.8,    413.516,     112.200,      0.000,
   20,       48.3,    413.571,     111.949,      0.000,
   21,       50.8,    413.626,     112.173,      0.000,
   22,       53.3,    413.754,     112.216,      0.000,
   23,       55.8,    413.773,     112.529,      0.000,
   24,       58.3,    413.754,     112.512,      0.000,
   25,       60.8,    413.864,     112.108,      0.000,
   26,       63.3,    413.919,     112.896,      0.000,
   27,       65.8,    414.010,     112.828,      0.000,
   28,       68.3,    414.010,     112.616,      0.000,
   29,       70.8,    414.120,     112.774,      0.000,
   30,       73.3,    414.193,     112.934,      0.000,
   31,       75.8,    414.120,     112.758,      0.000,
