----,
DateTime:,      2022/08/16, 09:28:38, 1660667317,
PIF:,             10.83,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          25,    5, 
S/N Ratio:,  1300.73,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.076,      44.207,      0.000,
    2,        3.3,    410.731,      48.014,      0.000,
    3,        5.8,    411.060,      51.746,      0.000,
    4,        8.3,    411.407,      54.543,      0.000,
    5,       10.8,    411.644,      56.778,      0.000,
    6,       13.3,    411.900,      58.337,      0.000,
    7,       15.8,    412.046,      59.699,      0.000,
    8,       18.3,    412.393,      60.457,      0.000,
    9,       20.8,    412.448,      61.179,      0.000,
   10,       23.3,    412.667,      61.570,      0.000,
   11,       25.8,    412.795,      62.088,      0.000,
   12,       28.3,    412.905,      62.302,      0.000,
   13,       30.8,    413.069,      62.534,      0.000,
   14,       33.3,    413.197,      62.594,      0.000,
   15,       35.8,    413.325,      62.809,      0.000,
   16,       38.3,    413.270,      62.866,      0.000,
   17,       40.8,    413.417,      62.894,      0.000,
   18,       43.3,    413.563,      62.869,      0.000,
   19,       45.8,    413.599,      62.959,      0.000,
   20,       48.3,    413.709,      62.867,      0.000,
   21,       50.8,    413.764,      62.990,      0.000,
   22,       53.3,    413.873,      62.912,      0.000,
   23,       55.8,    413.855,      62.987,      0.000,
   24,       58.3,    413.873,      62.859,      0.000,
   25,       60.8,    413.983,      62.918,      0.000,
   26,       63.3,    414.129,      62.862,      0.000,
   27,       65.8,    414.038,      62.861,      0.000,
   28,       68.3,    414.074,      62.851,      0.000,
   29,       70.8,    414.220,      62.677,      0.000,
   30,       73.3,    414.166,      62.743,      0.000,
   31,       75.8,    414.184,      62.719,      0.000,
