----,
DateTime:,      2022/08/25, 09:27:10, 1661444829,
PIF:,             11.11,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          50,    5, 
S/N Ratio:,  4016.91,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.176,     134.989,      0.000,
    2,        3.3,    410.682,     146.981,      0.000,
    3,        5.8,    410.993,     158.741,      0.000,
    4,        8.3,    411.250,     167.047,      0.000,
    5,       10.8,    411.542,     173.096,      0.000,
    6,       13.3,    411.854,     178.241,      0.000,
    7,       15.8,    412.055,     181.969,      0.000,
    8,       18.3,    412.275,     184.739,      0.000,
    9,       20.8,    412.439,     186.707,      0.000,
   10,       23.3,    412.586,     188.191,      0.000,
   11,       25.8,    412.751,     189.383,      0.000,
   12,       28.3,    412.806,     190.292,      0.000,
   13,       30.8,    413.025,     190.923,      0.000,
   14,       33.3,    413.135,     191.529,      0.000,
   15,       35.8,    413.190,     191.956,      0.000,
   16,       38.3,    413.391,     192.335,      0.000,
   17,       40.8,    413.318,     192.639,      0.000,
   18,       43.3,    413.465,     192.816,      0.000,
   19,       45.8,    413.465,     193.064,      0.000,
   20,       48.3,    413.520,     193.259,      0.000,
   21,       50.8,    413.593,     193.191,      0.000,
   22,       53.3,    413.648,     193.380,      0.000,
   23,       55.8,    413.721,     193.368,      0.000,
   24,       58.3,    413.794,     193.529,      0.000,
   25,       60.8,    413.776,     193.451,      0.000,
   26,       63.3,    413.886,     193.516,      0.000,
   27,       65.8,    414.032,     193.518,      0.000,
   28,       68.3,    413.904,     193.557,      0.000,
   29,       70.8,    413.977,     193.459,      0.000,
   30,       73.3,    414.069,     193.568,      0.000,
   31,       75.8,    414.014,     193.416,      0.000,
