----,
DateTime:,      2022/08/24, 19:22:28, 1661394147,
PIF:,              5.82,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01110,
Gain:,          25,    5, 
S/N Ratio:,  2024.29,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    403.131,      97.948,      0.000,
    2,        3.3,    410.540,     103.923,      0.000,
    3,        5.8,    410.960,     109.783,      0.000,
    4,        8.3,    411.270,     113.958,      0.000,
    5,       10.8,    411.635,     116.930,      0.000,
    6,       13.3,    411.873,     119.197,      0.000,
    7,       15.8,    412.183,     120.874,      0.000,
    8,       18.3,    412.238,     122.148,      0.000,
    9,       20.8,    412.475,     122.833,      0.000,
   10,       23.3,    412.621,     123.629,      0.000,
   11,       25.8,    412.767,     124.021,      0.000,
   12,       28.3,    412.858,     124.556,      0.000,
   13,       30.8,    413.059,     124.870,      0.000,
   14,       33.3,    413.150,     125.298,      0.000,
   15,       35.8,    413.278,     125.461,      0.000,
   16,       38.3,    413.442,     125.848,      0.000,
   17,       40.8,    413.424,     125.933,      0.000,
   18,       43.3,    413.534,     126.167,      0.000,
   19,       45.8,    413.607,     126.315,      0.000,
   20,       48.3,    413.698,     126.548,      0.000,
   21,       50.8,    413.661,     126.546,      0.000,
   22,       53.3,    413.716,     126.661,      0.000,
   23,       55.8,    413.862,     126.706,      0.000,
   24,       58.3,    413.917,     126.825,      0.000,
   25,       60.8,    413.935,     126.916,      0.000,
   26,       63.3,    413.917,     126.852,      0.000,
   27,       65.8,    413.899,     126.953,      0.000,
   28,       68.3,    414.045,     127.002,      0.000,
   29,       70.8,    414.118,     127.068,      0.000,
   30,       73.3,    414.227,     127.044,      0.000,
   31,       75.8,    414.227,     127.160,      0.000,
