----,
DateTime:,      2022/05/09, 09:22:45, 1652113364,
PIF:,             24.29,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,          50,    1, 
S/N Ratio:,   382.22,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    185.280,      20.757,      0.000,
    2,        3.3,    188.588,      22.892,      0.000,
    3,        5.8,    188.970,      24.982,      0.000,
    4,        8.3,    189.352,      27.198,      0.000,
    5,       10.8,    189.479,      29.829,      0.000,
    6,       13.3,    189.670,      32.151,      0.000,
    7,       15.8,    189.988,      34.996,      0.000,
    8,       18.3,    189.988,      37.295,      0.000,
    9,       20.8,    190.242,      39.563,      0.000,
   10,       23.3,    189.861,      41.294,      0.000,
   11,       25.8,    190.179,      43.443,      0.000,
   12,       28.3,    190.242,      44.797,      0.000,
   13,       30.8,    190.497,      46.297,      0.000,
   14,       33.3,    190.687,      47.394,      0.000,
   15,       35.8,    190.624,      48.523,      0.000,
   16,       38.3,    190.751,      49.319,      0.000,
   17,       40.8,    190.751,      49.993,      0.000,
   18,       43.3,    190.815,      50.493,      0.000,
   19,       45.8,    190.751,      51.379,      0.000,
   20,       48.3,    190.815,      51.705,      0.000,
   21,       50.8,    190.815,      51.932,      0.000,
   22,       53.3,    190.815,      52.240,      0.000,
   23,       55.8,    191.324,      52.732,      0.000,
   24,       58.3,    191.069,      52.805,      0.000,
   25,       60.8,    191.006,      52.912,      0.000,
   26,       63.3,    191.133,      53.166,      0.000,
   27,       65.8,    191.006,      53.500,      0.000,
   28,       68.3,    191.133,      53.348,      0.000,
   29,       70.8,    190.878,      53.403,      0.000,
   30,       73.3,    191.133,      53.642,      0.000,
   31,       75.8,    191.069,      53.705,      0.000,
