----,
DateTime:,      2022/05/19, 09:15:40, 1652976939,
PIF:,             46.28,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,    91.11,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    185.223,      25.396,      0.000,
    2,        3.3,    188.836,      27.900,      0.000,
    3,        5.8,    188.963,      30.353,      0.000,
    4,        8.3,    189.280,      34.357,      0.000,
    5,       10.8,    189.521,      37.305,      0.000,
    6,       13.3,    189.787,      40.245,      0.000,
    7,       15.8,    189.952,      43.012,      0.000,
    8,       18.3,    190.066,      45.984,      0.000,
    9,       20.8,    190.168,      48.769,      0.000,
   10,       23.3,    190.180,      51.737,      0.000,
   11,       25.8,    190.168,      54.702,      0.000,
   12,       28.3,    190.332,      57.306,      0.000,
   13,       30.8,    190.370,      59.023,      0.000,
   14,       33.3,    190.523,      60.564,      0.000,
   15,       35.8,    190.548,      62.820,      0.000,
   16,       38.3,    190.624,      63.496,      0.000,
   17,       40.8,    190.725,      65.045,      0.000,
   18,       43.3,    190.751,      65.737,      0.000,
   19,       45.8,    190.738,      66.950,      0.000,
   20,       48.3,    190.827,      65.543,      0.000,
   21,       50.8,    190.877,      66.930,      0.000,
   22,       53.3,    190.941,      68.297,      0.000,
   23,       55.8,    191.017,      67.929,      0.000,
   24,       58.3,    191.106,      67.741,      0.000,
   25,       60.8,    191.118,      68.607,      0.000,
   26,       63.3,    191.131,      68.755,      0.000,
   27,       65.8,    191.156,      67.520,      0.000,
   28,       68.3,    191.182,      68.561,      0.000,
   29,       70.8,    191.220,      69.086,      0.000,
   30,       73.3,    191.169,      69.420,      0.000,
   31,       75.8,    191.220,      69.568,      0.000,
