----,
DateTime:,      2022/05/18, 17:19:46, 1652919585,
PIF:,             38.25,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   209.27,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    185.243,      54.950,      0.000,
    2,        3.3,    188.778,      59.720,      0.000,
    3,        5.8,    189.044,      64.390,      0.000,
    4,        8.3,    189.348,      66.957,      0.000,
    5,       10.8,    189.564,      71.965,      0.000,
    6,       13.3,    189.830,      78.031,      0.000,
    7,       15.8,    189.982,      81.128,      0.000,
    8,       18.3,    190.108,      87.387,      0.000,
    9,       20.8,    190.146,      92.963,      0.000,
   10,       23.3,    190.197,      96.618,      0.000,
   11,       25.8,    190.324,     102.373,      0.000,
   12,       28.3,    190.387,     106.387,      0.000,
   13,       30.8,    190.412,     108.418,      0.000,
   14,       33.3,    190.640,     113.247,      0.000,
   15,       35.8,    190.666,     115.305,      0.000,
   16,       38.3,    190.780,     118.911,      0.000,
   17,       40.8,    190.780,     120.625,      0.000,
   18,       43.3,    190.907,     123.736,      0.000,
   19,       45.8,    190.869,     124.415,      0.000,
   20,       48.3,    190.907,     124.771,      0.000,
   21,       50.8,    190.919,     127.364,      0.000,
   22,       53.3,    190.995,     129.062,      0.000,
   23,       55.8,    191.059,     130.235,      0.000,
   24,       58.3,    191.147,     130.023,      0.000,
   25,       60.8,    191.198,     131.231,      0.000,
   26,       63.3,    191.223,     132.762,      0.000,
   27,       65.8,    191.223,     132.023,      0.000,
   28,       68.3,    191.223,     132.700,      0.000,
   29,       70.8,    191.236,     133.751,      0.000,
   30,       73.3,    191.274,     134.420,      0.000,
   31,       75.8,    191.287,     135.489,      0.000,
