----,
DateTime:,      2022/05/18, 13:37:32, 1652906251,
PIF:,             32.36,
PARs:,        0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,       0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Lamps:,    #01000,
Gain:,           1,    5, 
S/N Ratio:,   129.34,
Position:,    0.0,        0.0,   NoData,
Cycles:,        2,
     1,        99,        100,        227,
   228,      3226,       3227,       3354,
DataPt,  Time(us),         EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,      0.000,
    1,        0.8,    185.158,      34.748,      0.000,
    2,        3.3,    188.746,      38.302,      0.000,
    3,        5.8,    189.025,      41.782,      0.000,
    4,        8.3,    189.317,      43.122,      0.000,
    5,       10.8,    189.533,      47.992,      0.000,
    6,       13.3,    189.735,      50.218,      0.000,
    7,       15.8,    189.913,      54.910,      0.000,
    8,       18.3,    190.129,      58.732,      0.000,
    9,       20.8,    190.179,      61.161,      0.000,
   10,       23.3,    190.230,      64.989,      0.000,
   11,       25.8,    190.268,      67.791,      0.000,
   12,       28.3,    190.293,      68.632,      0.000,
   13,       30.8,    190.395,      72.988,      0.000,
   14,       33.3,    190.560,      75.745,      0.000,
   15,       35.8,    190.636,      77.443,      0.000,
   16,       38.3,    190.724,      77.075,      0.000,
   17,       40.8,    190.712,      78.264,      0.000,
   18,       43.3,    190.775,      79.660,      0.000,
   19,       45.8,    190.826,      81.017,      0.000,
   20,       48.3,    190.902,      82.236,      0.000,
   21,       50.8,    190.927,      81.859,      0.000,
   22,       53.3,    190.953,      83.226,      0.000,
   23,       55.8,    190.991,      84.603,      0.000,
   24,       58.3,    191.130,      85.113,      0.000,
   25,       60.8,    191.117,      84.896,      0.000,
   26,       63.3,    191.168,      85.246,      0.000,
   27,       65.8,    191.168,      85.916,      0.000,
   28,       68.3,    191.232,      85.732,      0.000,
   29,       70.8,    191.244,      85.405,      0.000,
   30,       73.3,    191.232,      86.267,      0.000,
   31,       75.8,    191.320,      85.009,      0.000,
