exp,id,bottle,tp,sample,vol,filt,plate,well
TP22-14,B_1_a_top,B,1,a,5.5,top,1,A1
TP22-14,B_1_b_top,B,1,b,5.3,top,1,A2
TP22-14,B_1_c_top,B,1,c,5.2,top,1,A3
TP22-14,B_1_blank_top,B,1,blank,,top,1,A4
TP22-14,A_2_a_top,A,2,a,5.4,top,1,A5
TP22-14,A_2_b_top,A,2,b,5.1,top,1,A6
TP22-14,A_2_c_top,A,2,c,5.3,top,1,A7
TP22-14,A_2_blank_top,A,2,blank,,top,1,A8
TP22-14,B_2_a_top,B,2,a,5.8,top,1,A9
TP22-14,B_2_b_top,B,2,b,5.4,top,1,A10
TP22-14,B_2_c_top,B,2,c,5.7,top,1,A11
TP22-14,B_2_blank_top,B,2,blank,,top,1,A12
TP22-14,C_2_a_top,C,2,a,5.9,top,1,B1
TP22-14,C_2_b_top,C,2,b,5.2,top,1,B2
TP22-14,C_2_c_top,C,2,c,5.2,top,1,B3
TP22-14,C_2_blank_top,C,2,blank,,top,1,B4
TP22-14,B_3_a_top,B,3,a,5.1,top,1,B5
TP22-14,B_3_b_top,B,3,b,5.4,top,1,B6
TP22-14,B_3_c_top,B,3,c,5.4,top,1,B7
TP22-14,B_3_blank_top,B,3,blank,,top,1,B8
TP22-14,B_4_a_top,B,4,a,5.5,top,1,B9
TP22-14,B_4_b_top,B,4,b,5.4,top,1,B10
TP22-14,B_4_c_top,B,4,c,5.2,top,1,B11
TP22-14,B_4_blank_top,B,4,blank,,top,1,B12
TP22-14,B_5_a_top,B,5,a,5.7,top,1,C1
TP22-14,B_5_b_top,B,5,b,5.3,top,1,C2
TP22-14,B_5_c_top,B,5,c,5.4,top,1,C3
TP22-14,B_5_blank_top,B,5,blank,,top,1,C4
TP22-14,B_6_a_top,B,6,a,5.7,top,1,C5
TP22-14,B_6_b_top,B,6,b,5.4,top,1,C6
TP22-14,B_6_c_top,B,6,c,5.3,top,1,C7
TP22-14,B_6_blank_top,B,6,blank,,top,1,C8
TP22-14,A_7_a_top,A,7,a,5.5,top,1,C9
TP22-14,A_7_b_top,A,7,b,5.4,top,1,C10
TP22-14,A_7_c_top,A,7,c,5.3,top,1,C11
TP22-14,A_7_blank_top,A,7,blank,,top,1,C12
TP22-14,B_7_a_top,B,7,a,5.8,top,1,D1
TP22-14,B_7_b_top,B,7,b,5.4,top,1,D2
TP22-14,B_7_c_top,B,7,c,5.4,top,1,D3
TP22-14,B_7_blank_top,B,7,blank,,top,1,D4
TP22-14,C_7_a_top,C,7,a,5.4,top,1,D5
TP22-14,C_7_b_top,C,7,b,5.5,top,1,D6
TP22-14,C_7_c_top,C,7,c,5.3,top,1,D7
TP22-14,C_7_blank_top,C,7,blank,,top,1,D8
TP22-14,B_8_a_top,B,8,a,5.5,top,1,D9
TP22-14,B_8_b_top,B,8,b,5.3,top,1,D10
TP22-14,B_8_c_top,B,8,c,5.5,top,1,D11
TP22-14,B_8_blank_top,B,8,blank,,top,1,D12
TP22-14,B_9_a_top,B,9,a,5.5,top,1,E1
TP22-14,B_9_b_top,B,9,b,5.5,top,1,E2
TP22-14,B_9_c_top,B,9,c,5.3,top,1,E3
TP22-14,B_9_blank_top,B,9,blank,,top,1,E4
TP22-14,B_10_a_top,B,10,a,5.4,top,1,E5
TP22-14,B_10_b_top,B,10,b,5.2,top,1,E6
TP22-14,B_10_c_top,B,10,c,5.2,top,1,E7
TP22-14,B_10_blank_top,B,10,blank,,top,1,E8
TP22-14,B_11_a_top,B,11,a,5.2,top,1,E9
TP22-14,B_11_b_top,B,11,b,5.1,top,1,E10
TP22-14,B_11_c_top,B,11,c,5.1,top,1,E11
TP22-14,B_11_blank_top,B,11,blank,,top,1,E12
TP22-14,B_12_a_top,B,12,a,5.1,top,1,F1
TP22-14,B_12_b_top,B,12,b,5.1,top,1,F2
TP22-14,B_12_c_top,B,12,c,5.2,top,1,F3
TP22-14,B_12_blank_top,B,12,blank,,top,1,F4
TP22-14,B_13_a_top,B,13,a,5.3,top,1,F5
TP22-14,B_13_b_top,B,13,b,5.2,top,1,F6
TP22-14,B_13_c_top,B,13,c,5.2,top,1,F7
TP22-14,B_13_blank_top,B,13,blank,,top,1,F8
SYN22-5,D_1_a_top,D,1,a,5.5,top,1,A1
SYN22-5,D_1_b_top,D,1,b,5.2,top,1,A2
SYN22-5,D_1_c_top,D,1,c,5.2,top,1,A3
SYN22-5,D_1_blank_top,D,1,blank,,top,1,A4
SYN22-5,D_2_a_top,D,2,a,5,top,1,A5
SYN22-5,D_2_b_top,D,2,b,5,top,1,A6
SYN22-5,D_2_c_top,D,2,c,5,top,1,A7
SYN22-5,D_2_blank_top,D,2,blank,,top,1,A8
SYN22-5,D_3_a_top,D,3,a,5.1,top,1,A9
SYN22-5,D_3_b_top,D,3,b,5.1,top,1,A10
SYN22-5,D_3_c_top,D,3,c,5.1,top,1,A11
SYN22-5,D_3_blank_top,D,3,blank,,top,1,A12
SYN22-5,A_3_a_top,A,3,a,5.2,top,1,B1
SYN22-5,A_3_b_top,A,3,b,4.9,top,1,B2
SYN22-5,A_3_c_top,A,3,c,5.2,top,1,B3
SYN22-5,A_3_blank_top,A,3,blank,,top,1,B4
SYN22-5,B_3_a_top,B,3,a,5.6,top,1,B5
