time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/12/01 19:40:16.557, 274, 514, 357
2022/12/01 19:40:18.063, 276, 511, 359
2022/12/01 19:40:19.570, 285, 509, 355
2022/12/01 19:40:21.077, 277, 513, 360
2022/12/01 19:40:22.583, 297, 515, 367
2022/12/01 19:40:24.089, 276, 509, 355
2022/12/01 19:40:25.596, 283, 526, 352
2022/12/01 19:40:27.103, 264, 508, 366
2022/12/01 19:40:28.608, 280, 508, 363
2022/12/01 19:40:30.115, 270, 508, 357
2022/12/01 19:40:31.622, 299, 507, 353
2022/12/01 19:40:33.128, 291, 508, 365
2022/12/01 19:40:34.634, 280, 510, 368
2022/12/01 19:40:36.141, 282, 541, 383
2022/12/01 19:40:37.647, 275, 524, 371
2022/12/01 19:40:39.154, 276, 507, 389
2022/12/01 19:40:40.660, 254, 515, 562
2022/12/01 19:40:42.167, 271, 522, 364
2022/12/01 19:40:43.673, 272, 522, 372
2022/12/01 19:40:45.180, 280, 520, 356
2022/12/01 19:40:46.686, 281, 511, 368
2022/12/01 19:40:48.192, 290, 504, 411
2022/12/01 19:40:49.699, 269, 508, 437
2022/12/01 19:40:51.205, 294, 511, 372
2022/12/01 19:40:52.711, 293, 500, 390
2022/12/01 19:40:54.217, 274, 513, 381
2022/12/01 19:40:55.724, 279, 513, 388
2022/12/01 19:40:57.230, 260, 521, 370
2022/12/01 19:40:58.735, 278, 544, 362
2022/12/01 19:41:00.242, 270, 547, 383
2022/12/01 19:41:01.749, 278, 585, 400
2022/12/01 19:41:03.255, 262, 595, 388
2022/12/01 19:41:04.762, 280, 585, 374
2022/12/01 19:41:06.269, 271, 560, 404
2022/12/01 19:41:07.775, 283, 538, 373
2022/12/01 19:41:09.281, 278, 511, 384
2022/12/01 19:41:10.788, 262, 527, 381
2022/12/01 19:41:12.294, 275, 521, 363
2022/12/01 19:41:13.801, 269, 535, 364
2022/12/01 19:41:15.307, 282, 513, 363
2022/12/01 19:41:16.814, 289, 763, 359
2022/12/01 19:41:18.320, 358, 533, 390
2022/12/01 19:41:19.827, 342, 517, 378
2022/12/01 19:41:21.333, 294, 522, 411
2022/12/01 19:41:22.839, 279, 518, 371
2022/12/01 19:41:24.346, 264, 511, 368
2022/12/01 19:41:25.852, 298, 517, 370
