time, beta470, beta532, beta660
yyyy/mm/dd HH:MM:SS.fff, counts, counts, counts
2022/12/01 20:54:02.472, 143, 186, 136
2022/12/01 20:54:03.978, 142, 183, 129
2022/12/01 20:54:05.484, 133, 181, 131
2022/12/01 20:54:06.990, 151, 180, 132
2022/12/01 20:54:08.497, 134, 184, 135
2022/12/01 20:54:10.003, 134, 185, 138
2022/12/01 20:54:11.508, 146, 182, 139
2022/12/01 20:54:13.014, 134, 181, 128
2022/12/01 20:54:14.520, 144, 182, 130
2022/12/01 20:54:16.026, 134, 174, 134
2022/12/01 20:54:17.532, 132, 185, 131
2022/12/01 20:54:19.038, 145, 184, 135
2022/12/01 20:54:20.543, 134, 182, 126
2022/12/01 20:54:22.050, 141, 183, 146
2022/12/01 20:54:23.556, 146, 179, 133
2022/12/01 20:54:25.062, 136, 184, 134
2022/12/01 20:54:26.567, 145, 180, 131
2022/12/01 20:54:28.073, 132, 179, 129
2022/12/01 20:54:29.579, 136, 182, 128
2022/12/01 20:54:31.085, 143, 185, 129
2022/12/01 20:54:32.591, 133, 184, 132
2022/12/01 20:54:34.097, 146, 185, 131
2022/12/01 20:54:35.603, 142, 176, 129
2022/12/01 20:54:37.108, 128, 181, 131
2022/12/01 20:54:38.615, 145, 184, 131
2022/12/01 20:54:40.121, 146, 182, 136
2022/12/01 20:54:41.626, 136, 186, 128
2022/12/01 20:54:43.132, 145, 188, 132
2022/12/01 20:54:44.638, 132, 188, 131
2022/12/01 20:54:46.144, 138, 182, 139
2022/12/01 20:54:47.650, 139, 180, 131
2022/12/01 20:54:49.155, 135, 182, 131
2022/12/01 20:54:50.662, 142, 182, 129
2022/12/01 20:54:52.168, 137, 180, 128
2022/12/01 20:54:53.673, 135, 186, 135
2022/12/01 20:54:55.178, 145, 183, 131
2022/12/01 20:54:56.685, 147, 181, 129
2022/12/01 20:54:58.189, 132, 182, 133
2022/12/01 20:54:59.696, 136, 186, 131
2022/12/01 20:55:01.202, 149, 185, 129
2022/12/01 20:55:02.708, 139, 184, 132
2022/12/01 20:55:04.214, 134, 186, 131
2022/12/01 20:55:05.720, 144, 178, 128
2022/12/01 20:55:07.225, 131, 181, 127
2022/12/01 20:55:08.731, 135, 186, 127
2022/12/01 20:55:10.237, 135, 184, 129
2022/12/01 20:55:11.743, 131, 187, 128
2022/12/01 20:55:13.250, 144, 183, 131
